<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.01.02	00:00:00	16592.64	16599.14	16572.94	16588.24	475	0	1242
2023.01.02	01:00:00	16588.24	16611.14	16588.24	16604.14	384	0	1242
2023.01.02	02:00:00	16604.14	16612.14	16566.74	16571.74	505	0	1242
2023.01.02	03:00:00	16571.74	16573.04	16535.04	16550.34	719	0	1242
2023.01.02	04:00:00	16550.34	16580.84	16541.24	16574.24	343	0	1242
2023.01.02	05:00:00	16574.24	16693.74	16568.84	16648.44	716	0	1242
2023.01.02	06:00:00	16648.44	16658.74	16615.64	16625.54	830	0	1242
2023.01.02	07:00:00	16625.54	16647.54	16606.64	16633.84	583	0	1242
2023.01.02	08:00:00	16633.84	16648.54	16621.64	16626.24	587	0	1242
2023.01.02	09:00:00	16626.24	16750.94	16624.64	16706.34	1961	0	1242
2023.01.02	10:00:00	16706.34	16757.74	16694.84	16718.34	1138	0	1242
2023.01.02	11:00:00	16718.34	16729.64	16698.94	16703.74	674	0	1242
2023.01.02	12:00:00	16703.74	16748.60	16697.04	16713.94	750	0	1242
2023.01.02	13:00:00	16713.94	16727.74	16689.84	16722.24	589	0	1242
2023.01.02	14:00:00	16722.24	16729.84	16706.84	16707.04	448	0	1242
2023.01.02	15:00:00	16707.04	16710.24	16673.24	16681.54	526	0	1242
2023.01.02	16:00:00	16681.54	16696.24	16659.84	16688.54	506	0	1242
2023.01.02	17:00:00	16688.54	16738.54	16682.24	16722.94	660	0	1242
2023.01.02	18:00:00	16722.94	16726.64	16697.84	16697.84	371	0	1242
2023.01.02	19:00:00	16697.84	16710.24	16696.34	16703.84	276	0	1242
2023.01.02	20:00:00	16703.84	16719.54	16697.74	16712.04	221	0	1242
2023.01.02	21:00:00	16712.04	16724.74	16704.94	16724.24	223	0	1242
2023.01.02	22:00:00	16724.24	16725.74	16696.84	16716.54	348	0	1242
2023.01.02	23:00:00	16716.54	16788.74	16708.84	16745.74	404	0	1242
2023.01.03	00:00:00	16745.74	16749.44	16678.94	16688.44	1069	0	1242
2023.01.03	01:00:00	16688.44	16711.14	16647.24	16659.74	864	0	1242
2023.01.03	02:00:00	16659.74	16693.34	16637.04	16682.84	693	0	1242
2023.01.03	03:00:00	16682.84	16682.84	16639.34	16664.24	718	0	1242
2023.01.03	04:00:00	16664.24	16673.74	16659.04	16660.24	364	0	1242
2023.01.03	05:00:00	16660.24	16687.74	16655.34	16678.24	387	0	1242
2023.01.03	06:00:00	16678.24	16684.94	16669.04	16671.74	265	0	1242
2023.01.03	07:00:00	16671.74	16715.64	16671.54	16713.74	478	0	1242
2023.01.03	08:00:00	16713.74	16767.34	16711.54	16713.54	911	0	1242
2023.01.03	09:00:00	16713.54	16720.14	16694.44	16716.84	413	0	1242
2023.01.03	10:00:00	16716.84	16722.64	16685.54	16703.84	576	0	1242
2023.01.03	11:00:00	16703.84	16744.04	16703.84	16726.64	545	0	1242
2023.01.03	12:00:00	16726.64	16734.64	16709.84	16712.04	443	0	1242
2023.01.03	13:00:00	16712.04	16723.54	16696.84	16708.04	417	0	1242
2023.01.03	14:00:00	16708.04	16714.94	16689.44	16697.54	545	0	1242
2023.01.03	15:00:00	16697.54	16725.94	16697.54	16711.94	525	0	1242
2023.01.03	16:00:00	16711.94	16758.64	16626.84	16646.84	1800	0	1242
2023.01.03	17:00:00	16646.84	16668.64	16604.14	16664.25	1903	0	1242
2023.01.03	18:00:00	16664.64	16673.84	16599.84	16611.14	1369	0	1242
2023.01.03	19:00:00	16611.14	16630.74	16594.14	16619.84	762	0	1242
2023.01.03	20:00:00	16619.84	16639.54	16614.85	16631.44	575	0	1242
2023.01.03	21:00:00	16631.44	16644.24	16610.73	16631.44	724	0	1242
2023.01.03	22:00:00	16631.44	16659.54	16629.84	16650.04	730	0	1242
2023.01.03	23:00:00	16649.84	16659.44	16646.24	16652.54	348	0	1242
2023.01.04	00:00:00	16652.54	16666.74	16636.74	16663.94	277	0	1242
2023.01.04	01:00:00	16663.94	16681.94	16654.04	16661.04	592	0	1242
2023.01.04	02:00:00	16661.04	16662.14	16639.84	16649.44	356	0	1242
2023.01.04	03:00:00	16649.44	16722.57	16646.14	16689.94	1118	0	1242
2023.01.04	04:00:00	16689.94	16743.14	16689.34	16722.84	1023	0	1242
2023.01.04	05:00:00	16722.84	16863.24	16722.84	16851.34	2114	0	1242
2023.01.04	06:00:00	16849.74	16895.84	16834.84	16846.24	1274	0	1242
2023.01.04	07:00:00	16846.24	16850.24	16826.14	16842.14	565	0	1242
2023.01.04	08:00:00	16842.14	16866.64	16836.04	16866.64	625	0	1242
2023.01.04	09:00:00	16866.64	16879.14	16834.94	16856.34	893	0	1242
2023.01.04	10:00:00	16856.34	16907.04	16820.46	16850.94	1158	0	1242
2023.01.04	11:00:00	16850.94	16854.14	16819.04	16832.74	599	0	1242
2023.01.04	12:00:00	16832.74	16834.64	16819.94	16831.74	415	0	1242
2023.01.04	13:00:00	16831.74	16841.14	16820.04	16820.54	529	0	1242
2023.01.04	14:00:00	16820.54	16832.44	16794.34	16801.84	768	0	1242
2023.01.04	15:00:00	16801.84	16823.54	16798.14	16813.94	414	0	1242
2023.01.04	16:00:00	16813.94	16845.54	16782.84	16814.74	1228	0	1242
2023.01.04	17:00:00	16814.74	16844.14	16753.14	16840.34	2131	0	1242
2023.01.04	18:00:00	16840.34	16884.54	16818.14	16844.54	1416	0	1242
2023.01.04	19:00:00	16844.54	16927.81	16835.64	16879.24	1258	0	1242
2023.01.04	20:00:00	16879.24	16970.14	16857.84	16935.74	1534	0	1242
2023.01.04	21:00:00	16935.74	16977.54	16774.14	16829.74	3087	0	1242
2023.01.04	22:00:00	16829.74	16837.94	16761.64	16794.94	1263	0	1242
2023.01.04	23:00:00	16794.94	16814.14	16782.90	16813.14	529	0	1242
2023.01.05	00:00:00	16813.14	16830.94	16802.34	16812.54	416	0	1242
2023.01.05	01:00:00	16812.54	16854.64	16801.14	16835.94	601	0	1242
2023.01.05	02:00:00	16835.94	16862.74	16811.44	16813.64	647	0	1242
2023.01.05	03:00:00	16813.64	16836.24	16793.84	16818.84	481	0	1242
2023.01.05	04:00:00	16818.84	16830.34	16810.74	16821.64	385	0	1242
2023.01.05	05:00:00	16821.64	16822.04	16804.14	16812.84	431	0	1242
2023.01.05	06:00:00	16812.84	16828.44	16808.84	16822.84	277	0	1242
2023.01.05	07:00:00	16822.84	16834.44	16822.84	16829.94	259	0	1242
2023.01.05	08:00:00	16829.94	16829.94	16798.24	16804.24	471	0	1242
2023.01.05	09:00:00	16804.24	16810.44	16776.24	16809.84	485	0	1242
2023.01.05	10:00:00	16809.84	16815.74	16780.34	16793.74	582	0	1242
2023.01.05	11:00:00	16793.74	16799.74	16768.94	16794.44	728	0	1242
2023.01.05	12:00:00	16794.44	16822.74	16792.04	16810.14	548	0	1242
2023.01.05	13:00:00	16810.14	16823.74	16801.74	16820.74	362	0	1242
2023.01.05	14:00:00	16820.74	16820.74	16801.84	16807.44	390	0	1242
2023.01.05	15:00:00	16807.44	16814.84	16763.94	16764.84	1143	0	1242
2023.01.05	16:00:00	16764.84	16822.74	16738.04	16815.34	1452	0	1242
2023.01.05	17:00:00	16815.34	16866.54	16810.84	16830.44	1501	0	1242
2023.01.05	18:00:00	16830.44	16850.54	16811.14	16826.84	656	0	1242
2023.01.05	19:00:00	16826.84	16833.54	16800.54	16800.54	590	0	1242
2023.01.05	20:00:00	16800.54	16833.34	16788.04	16830.74	671	0	1242
2023.01.05	21:00:00	16830.74	16861.54	16814.84	16850.14	581	0	1242
2023.01.05	22:00:00	16850.14	16857.14	16833.24	16846.54	401	0	1242
2023.01.05	23:00:00	16846.54	16851.54	16821.35	16833.74	444	0	1242
2023.01.06	00:00:00	16833.74	16842.34	16819.14	16823.74	216	0	1242
2023.01.06	01:00:00	16823.74	16832.14	16805.04	16817.64	633	0	1242
2023.01.06	02:00:00	16817.64	16858.74	16812.74	16845.84	459	0	1242
2023.01.06	03:00:00	16845.84	16848.44	16806.14	16811.94	346	0	1242
2023.01.06	04:00:00	16811.94	16824.94	16789.44	16822.54	482	0	1242
2023.01.06	05:00:00	16822.54	16827.94	16813.84	16818.84	305	0	1242
2023.01.06	06:00:00	16818.84	16821.74	16790.14	16808.14	392	0	1242
2023.01.06	07:00:00	16808.14	16808.14	16775.54	16795.14	386	0	1242
2023.01.06	08:00:00	16795.14	16801.04	16766.84	16772.94	436	0	1242
2023.01.06	09:00:00	16772.94	16790.24	16767.24	16779.44	431	0	1242
2023.01.06	10:00:00	16779.44	16799.04	16779.44	16786.54	308	0	1242
2023.01.06	11:00:00	16786.54	16786.54	16748.84	16775.04	616	0	1242
2023.01.06	12:00:00	16775.04	16790.54	16749.14	16754.04	508	0	1242
2023.01.06	13:00:00	16754.04	16757.84	16679.04	16725.24	1146	0	1242
2023.01.06	14:00:00	16725.24	16735.84	16705.84	16718.14	632	0	1242
2023.01.06	15:00:00	16718.14	16803.74	16673.84	16760.74	2219	0	1242
2023.01.06	16:00:00	16760.74	16777.74	16708.84	16736.74	1357	0	1242
2023.01.06	17:00:00	16736.74	16836.07	16736.74	16827.94	1667	0	1242
2023.01.06	18:00:00	16827.94	16840.04	16795.44	16814.34	965	0	1242
2023.01.06	19:00:00	16814.34	16830.54	16798.84	16808.74	600	0	1242
2023.01.06	20:00:00	16808.74	16847.54	16808.74	16834.24	705	0	1242
2023.01.06	21:00:00	16835.34	16953.54	16831.54	16926.44	1195	0	1242
2023.01.06	22:00:00	16926.44	17022.84	16874.83	16882.44	2133	0	1242
2023.01.06	23:00:00	16882.44	16937.14	16875.64	16916.74	928	0	1242
2023.01.07	02:00:00	16940.14	16963.74	16918.64	16963.74	464	0	1242
2023.01.07	03:00:00	16963.74	16967.34	16929.04	16934.84	428	0	1242
2023.01.07	04:00:00	16934.84	16941.14	16921.74	16928.74	373	0	1242
2023.01.07	05:00:00	16928.74	16941.84	16923.32	16938.14	279	0	1242
2023.01.07	06:00:00	16938.14	16938.74	16921.84	16923.84	292	0	1242
2023.01.07	07:00:00	16923.84	16926.94	16919.04	16920.64	187	0	1242
2023.01.07	08:00:00	16920.64	16923.74	16909.59	16918.94	331	0	1242
2023.01.07	09:00:00	16918.94	16934.64	16918.94	16933.64	136	0	1242
2023.01.07	10:00:00	16933.64	16940.14	16914.44	16915.94	387	0	1242
2023.01.07	11:00:00	16915.94	16920.84	16909.64	16917.84	190	0	1242
2023.01.07	12:00:00	16917.84	16917.84	16899.44	16910.94	192	0	1242
2023.01.07	13:00:00	16910.94	16913.74	16896.84	16906.14	269	0	1242
2023.01.07	14:00:00	16906.14	16908.84	16895.84	16906.34	265	0	1242
2023.01.07	15:00:00	16906.34	16925.44	16900.34	16905.64	242	0	1242
2023.01.07	16:00:00	16905.64	16936.94	16894.34	16925.54	407	0	1242
2023.01.07	17:00:00	16925.54	16935.44	16922.74	16928.24	251	0	1242
2023.01.07	18:00:00	16928.24	16928.24	16904.15	16910.24	355	0	1242
2023.01.07	19:00:00	16910.24	16923.54	16907.94	16917.04	203	0	1242
2023.01.07	20:00:00	16917.04	16927.04	16917.04	16925.94	131	0	1242
2023.01.07	21:00:00	16925.94	16933.34	16923.44	16931.04	149	0	1242
2023.01.07	22:00:00	16931.04	16938.84	16923.94	16933.14	203	0	1242
2023.01.07	23:00:00	16933.14	16935.74	16922.84	16925.24	237	0	1242
2023.01.08	00:00:00	16925.24	16926.14	16916.74	16924.24	161	0	1242
2023.01.08	01:00:00	16924.24	16934.14	16919.44	16930.24	211	0	1242
2023.01.08	02:00:00	16930.24	16942.04	16898.84	16913.14	472	0	1242
2023.01.08	03:00:00	16913.14	16923.64	16902.44	16918.64	391	0	1242
2023.01.08	04:00:00	16918.64	16921.14	16906.14	16919.24	211	0	1242
2023.01.08	05:00:00	16919.24	16933.24	16917.04	16932.74	170	0	1242
2023.01.08	06:00:00	16932.74	16933.14	16923.84	16924.54	184	0	1242
2023.01.08	07:00:00	16924.54	16930.94	16923.04	16930.94	91	0	1242
2023.01.08	08:00:00	16930.94	16939.64	16921.34	16939.64	186	0	1242
2023.01.08	09:00:00	16939.64	16941.24	16931.94	16939.24	239	0	1242
2023.01.08	10:00:00	16939.24	16943.64	16926.84	16932.64	212	0	1242
2023.01.08	11:00:00	16932.64	16953.14	16912.24	16921.14	374	0	1242
2023.01.08	12:00:00	16921.14	16925.34	16921.04	16924.54	175	0	1242
2023.01.08	13:00:00	16924.54	16926.94	16911.64	16912.34	163	0	1242
2023.01.08	14:00:00	16912.34	16916.24	16909.14	16909.14	191	0	1242
2023.01.08	15:00:00	16909.14	16923.24	16906.54	16917.84	186	0	1242
2023.01.08	16:00:00	16917.84	16941.74	16917.84	16939.44	236	0	1242
2023.01.08	17:00:00	16939.44	17001.04	16925.54	16984.74	714	0	1242
2023.01.08	18:00:00	16984.74	17008.34	16904.04	16923.84	1325	0	1242
2023.01.08	19:00:00	16923.84	16937.94	16906.04	16913.74	464	0	1242
2023.01.08	20:00:00	16913.74	16921.44	16905.84	16915.84	300	0	1242
2023.01.08	21:00:00	16915.84	16925.54	16909.54	16914.14	307	0	1242
2023.01.08	22:00:00	16914.14	16968.34	16910.34	16953.24	784	0	1242
2023.01.08	23:00:00	16953.24	16974.04	16933.84	16942.94	427	0	1242
2023.01.09	00:00:00	16942.94	16963.54	16939.94	16950.64	321	0	1242
2023.01.09	01:00:00	16950.64	17172.24	16950.64	17118.44	1755	0	1242
2023.01.09	02:00:00	17118.44	17184.54	17092.04	17173.64	2148	0	1242
2023.01.09	03:00:00	17172.50	17204.04	17132.44	17160.84	1564	0	1242
2023.01.09	04:00:00	17160.74	17238.39	17147.94	17176.64	1974	0	1242
2023.01.09	05:00:00	17176.64	17200.74	17165.74	17181.94	637	0	1242
2023.01.09	06:00:00	17181.94	17233.54	17179.84	17209.84	1007	0	1242
2023.01.09	07:00:00	17209.84	17241.74	17187.14	17188.84	783	0	1242
2023.01.09	08:00:00	17188.84	17199.44	17165.54	17174.74	652	0	1242
2023.01.09	09:00:00	17174.74	17198.24	17172.07	17183.54	440	0	1242
2023.01.09	10:00:00	17183.54	17223.74	17173.84	17176.54	665	0	1242
2023.01.09	11:00:00	17176.54	17254.94	17174.94	17223.84	986	0	1242
2023.01.09	12:00:00	17223.84	17269.34	17221.34	17248.94	973	0	1242
2023.01.09	13:00:00	17249.14	17264.34	17224.14	17225.94	605	0	1242
2023.01.09	14:00:00	17225.94	17240.34	17216.84	17236.44	587	0	1242
2023.01.09	15:00:00	17236.44	17280.64	17175.84	17212.34	1109	0	1242
2023.01.09	16:00:00	17212.34	17259.44	17193.94	17248.24	1522	0	1242
