time,open,high,low,close,volume,spread
2025-11-30 00:00:00,5000.0,5000.14,4999.86,5000.12,5,0.02
2025-11-30 00:01:00,5000.12,5000.4,5000.03,5000.2,1,0.08
2025-11-30 00:02:00,5000.2,5000.27,5000.02,5000.09,22,0.05
2025-11-30 00:03:00,5000.09,5000.21,4999.82,4999.86,10,0.04
2025-11-30 00:04:00,4999.86,5000.25,4999.54,5000.22,1,0.06
2025-11-30 00:05:00,5000.22,5000.4,5000.19,5000.32,34,0.05
2025-11-30 00:06:00,5000.32,5000.45,5000.29,5000.32,32,0.04
2025-11-30 00:07:00,5000.32,5000.58,5000.29,5000.41,104,0.07
2025-11-30 00:08:00,5000.41,5000.62,5000.29,5000.6,9,0.07
2025-11-30 00:09:00,5000.6,5000.64,4999.98,5000.2,4,0.07
2025-11-30 00:10:00,5000.2,5000.28,4999.96,5000.03,39,0.07
2025-11-30 00:11:00,5000.03,5000.36,5000.0,5000.26,59,0.06
2025-11-30 00:12:00,5000.26,5000.28,4999.99,5000.14,30,0.07
2025-11-30 00:13:00,5000.14,5000.18,4999.83,4999.91,42,0.05
2025-11-30 00:14:00,4999.91,5000.11,4999.85,4999.9,3,0.02
2025-11-30 00:15:00,4999.9,4999.91,4999.64,4999.89,71,0.03
2025-11-30 00:16:00,4999.89,5000.32,4999.86,5000.26,5,0.08
2025-11-30 00:17:00,5000.26,5000.37,5000.11,5000.15,48,0.03
2025-11-30 00:18:00,5000.15,5000.3,5000.11,5000.17,3,0.03
2025-11-30 00:19:00,5000.17,5000.38,5000.14,5000.34,1,0.05
2025-11-30 00:20:00,5000.34,5000.4,4999.93,4999.99,11,0.05
2025-11-30 00:21:00,4999.99,5000.02,4999.94,4999.95,98,0.04
2025-11-30 00:22:00,4999.95,4999.95,4999.45,4999.47,20,0.02
2025-11-30 00:23:00,4999.47,4999.49,4999.32,4999.36,4,0.05
2025-11-30 00:24:00,4999.36,4999.74,4999.26,4999.65,30,0.06
2025-11-30 00:25:00,4999.65,5000.11,4999.57,4999.99,1,0.06
2025-11-30 00:26:00,4999.99,5000.0,4999.54,4999.6,14,0.08
2025-11-30 00:27:00,4999.6,4999.7,4999.33,4999.37,77,0.07
2025-11-30 00:28:00,4999.37,4999.73,4999.2,4999.58,8,0.03
2025-11-30 00:29:00,4999.58,5000.25,4999.48,5000.21,12,0.04
2025-11-30 00:30:00,5000.21,5000.38,5000.14,5000.34,2,0.03
2025-11-30 00:31:00,5000.34,5000.68,5000.25,5000.65,1,0.03
2025-11-30 00:32:00,5000.65,5001.17,5000.56,5001.11,8,0.04
2025-11-30 00:33:00,5001.11,5001.23,5000.82,5000.88,32,0.05
2025-11-30 00:34:00,5000.88,5000.97,5000.7,5000.81,29,0.07
2025-11-30 00:35:00,5000.81,5000.85,5000.41,5000.75,6,0.06
