time,open,high,low,close,volume,spread
2025-11-30 00:00:00,2650.0,2650.12,2649.88,2650.11,8,0.01
2025-11-30 00:01:00,2650.11,2650.34,2650.02,2650.17,1,0.05
2025-11-30 00:02:00,2650.17,2650.23,2650.01,2650.07,37,0.03
2025-11-30 00:03:00,2650.07,2650.18,2649.84,2649.88,17,0.02
2025-11-30 00:04:00,2649.88,2650.21,2649.61,2650.19,2,0.03
2025-11-30 00:05:00,2650.19,2650.34,2650.16,2650.27,57,0.03
2025-11-30 00:06:00,2650.27,2650.38,2650.24,2650.27,54,0.02
2025-11-30 00:07:00,2650.27,2650.49,2650.25,2650.35,174,0.04
2025-11-30 00:08:00,2650.35,2650.53,2650.24,2650.51,15,0.04
2025-11-30 00:09:00,2650.51,2650.54,2649.99,2650.17,7,0.04
2025-11-30 00:10:00,2650.17,2650.24,2649.97,2650.03,65,0.04
2025-11-30 00:11:00,2650.03,2650.31,2650.0,2650.22,99,0.03
2025-11-30 00:12:00,2650.22,2650.24,2649.99,2650.12,50,0.05
2025-11-30 00:13:00,2650.12,2650.15,2649.86,2649.92,71,0.03
2025-11-30 00:14:00,2649.92,2650.09,2649.88,2649.92,5,0.01
2025-11-30 00:15:00,2649.92,2649.93,2649.69,2649.9,119,0.02
2025-11-30 00:16:00,2649.9,2650.27,2649.88,2650.22,8,0.05
2025-11-30 00:17:00,2650.22,2650.31,2650.09,2650.13,81,0.02
2025-11-30 00:18:00,2650.13,2650.25,2650.09,2650.15,5,0.02
2025-11-30 00:19:00,2650.15,2650.32,2650.12,2650.29,1,0.03
2025-11-30 00:20:00,2650.29,2650.34,2649.94,2649.99,19,0.03
2025-11-30 00:21:00,2649.99,2650.02,2649.95,2649.96,164,0.02
2025-11-30 00:22:00,2649.96,2649.96,2649.54,2649.55,34,0.01
2025-11-30 00:23:00,2649.55,2649.57,2649.42,2649.46,7,0.03
2025-11-30 00:24:00,2649.46,2649.78,2649.37,2649.7,50,0.04
2025-11-30 00:25:00,2649.7,2650.1,2649.64,2649.99,2,0.03
2025-11-30 00:26:00,2649.99,2650.0,2649.61,2649.66,24,0.05
2025-11-30 00:27:00,2649.66,2649.75,2649.44,2649.47,129,0.05
2025-11-30 00:28:00,2649.47,2649.77,2649.33,2649.64,13,0.01
2025-11-30 00:29:00,2649.64,2650.21,2649.56,2650.18,20,0.02
2025-11-30 00:30:00,2650.18,2650.32,2650.11,2650.29,4,0.02
2025-11-30 00:31:00,2650.29,2650.58,2650.22,2650.55,1,0.02
2025-11-30 00:32:00,2650.55,2651.0,2650.47,2650.94,13,0.02
2025-11-30 00:33:00,2650.94,2651.05,2650.7,2650.74,53,0.03
2025-11-30 00:34:00,2650.74,2650.82,2650.6,2650.69,49,0.04
2025-11-30 00:35:00,2650.69,2650.72,2650.35,2650.64,10,0.04
2025-11-30 00:36:00,2650.64,2650.69,2650.4,2650.41,170,0.05
2025-11-30 00:37:00,2650.41,2650.66,2650.25,2650.57,95,0.02
2025-11-30 00:38:00,2650.57,2650.75,2650.5,2650.61,5,0.03
2025-11-30 00:39:00,2650.61,2650.99,2650.49,2650.99,104,0.04
