<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.02	00:00:00	95.874	95.982	95.873	95.931	73	0	48
2024.01.02	00:30:00	95.931	95.990	95.887	95.888	97	0	30
2024.01.02	01:00:00	95.911	96.004	95.911	96.003	426	0	8
2024.01.02	01:30:00	96.002	96.113	95.967	96.091	644	0	6
2024.01.02	02:00:00	96.091	96.270	96.091	96.232	645	0	3
2024.01.02	02:30:00	96.237	96.265	96.168	96.174	617	0	3
2024.01.02	03:00:00	96.173	96.371	96.173	96.354	866	0	4
2024.01.02	03:30:00	96.347	96.397	96.324	96.353	927	0	2
2024.01.02	04:00:00	96.353	96.375	96.261	96.285	607	0	4
2024.01.02	04:30:00	96.284	96.393	96.232	96.327	917	0	3
2024.01.02	05:00:00	96.321	96.430	96.303	96.430	708	0	5
2024.01.02	05:30:00	96.430	96.539	96.409	96.428	660	0	3
2024.01.02	06:00:00	96.428	96.527	96.391	96.519	490	0	6
2024.01.02	06:30:00	96.522	96.545	96.499	96.515	561	0	6
2024.01.02	07:00:00	96.516	96.617	96.512	96.585	642	0	2
2024.01.02	07:30:00	96.585	96.698	96.551	96.668	805	0	5
2024.01.02	08:00:00	96.665	96.675	96.578	96.644	788	0	4
2024.01.02	08:30:00	96.639	96.668	96.590	96.604	743	0	5
2024.01.02	09:00:00	96.599	96.628	96.540	96.572	1042	0	4
2024.01.02	09:30:00	96.575	96.589	96.500	96.528	960	0	6
2024.01.02	10:00:00	96.518	96.659	96.518	96.566	1192	0	5
2024.01.02	10:30:00	96.564	96.635	96.556	96.607	1128	0	2
2024.01.02	11:00:00	96.607	96.709	96.574	96.614	1098	0	3
2024.01.02	11:30:00	96.611	96.662	96.548	96.561	1004	0	3
2024.01.02	12:00:00	96.559	96.586	96.495	96.509	953	0	2
2024.01.02	12:30:00	96.512	96.600	96.510	96.558	814	0	4
2024.01.02	13:00:00	96.554	96.562	96.392	96.403	1002	0	2
2024.01.02	13:30:00	96.404	96.464	96.381	96.447	998	0	2
2024.01.02	14:00:00	96.452	96.516	96.410	96.515	992	0	2
2024.01.02	14:30:00	96.507	96.570	96.430	96.432	1139	0	3
2024.01.02	15:00:00	96.431	96.450	96.302	96.318	1211	0	4
2024.01.02	15:30:00	96.316	96.382	96.300	96.374	1178	0	2
2024.01.02	16:00:00	96.372	96.388	96.144	96.169	1201	0	2
2024.01.02	16:30:00	96.171	96.229	96.009	96.072	1411	0	4
2024.01.02	17:00:00	96.067	96.144	95.985	96.016	1332	0	4
2024.01.02	17:30:00	96.008	96.108	95.899	96.059	1287	0	2
2024.01.02	18:00:00	96.056	96.125	95.987	95.999	1209	0	3
2024.01.02	18:30:00	96.001	96.092	95.975	96.069	953	0	5
2024.01.02	19:00:00	96.069	96.153	96.067	96.147	978	0	4
2024.01.02	19:30:00	96.148	96.198	96.141	96.161	968	0	6
2024.01.02	20:00:00	96.159	96.167	96.038	96.044	780	0	4
2024.01.02	20:30:00	96.042	96.082	96.018	96.024	743	0	4
2024.01.02	21:00:00	96.024	96.024	95.973	96.005	765	0	5
2024.01.02	21:30:00	96.002	96.027	95.974	95.974	734	0	5
2024.01.02	22:00:00	95.974	95.977	95.900	95.902	661	0	6
2024.01.02	22:30:00	95.901	95.949	95.838	95.944	863	0	4
2024.01.02	23:00:00	95.944	95.983	95.928	95.971	508	0	3
2024.01.02	23:30:00	95.969	96.016	95.959	96.004	279	0	6
2024.01.03	00:00:00	95.865	96.015	95.863	95.953	85	0	45
2024.01.03	00:30:00	95.953	96.082	95.943	96.042	167	0	19
2024.01.03	01:00:00	96.061	96.153	96.061	96.149	370	0	5
2024.01.03	01:30:00	96.150	96.199	96.126	96.199	432	0	2
2024.01.03	02:00:00	96.202	96.202	96.057	96.083	827	0	2
2024.01.03	02:30:00	96.073	96.092	95.997	96.017	779	0	4
2024.01.03	03:00:00	96.010	96.043	95.931	95.949	919	0	3
2024.01.03	03:30:00	95.960	96.009	95.915	95.946	881	0	5
2024.01.03	04:00:00	95.950	95.962	95.872	95.887	833	0	5
