<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.02	00:00:00	0.68069	0.68226	0.68040	0.68122	3504	0	2
2024.01.02	04:00:00	0.68122	0.68389	0.68018	0.68389	4448	0	2
2024.01.02	08:00:00	0.68385	0.68386	0.68188	0.68212	6392	0	2
2024.01.02	12:00:00	0.68210	0.68239	0.67772	0.67795	6663	0	2
2024.01.02	16:00:00	0.67795	0.67909	0.67612	0.67730	8282	0	2
2024.01.02	20:00:00	0.67730	0.67734	0.67569	0.67606	4244	0	2
2024.01.03	00:00:00	0.67605	0.67706	0.67520	0.67561	3562	0	2
2024.01.03	04:00:00	0.67562	0.67705	0.67507	0.67641	4276	0	2
2024.01.03	08:00:00	0.67643	0.67699	0.67450	0.67490	6106	0	2
2024.01.03	12:00:00	0.67491	0.67513	0.67120	0.67147	6374	0	2
2024.01.03	16:00:00	0.67149	0.67391	0.67018	0.67201	8856	0	2
2024.01.03	20:00:00	0.67202	0.67371	0.67067	0.67308	6450	0	2
2024.01.04	00:00:00	0.67237	0.67358	0.67175	0.67298	3573	0	2
2024.01.04	04:00:00	0.67297	0.67464	0.67208	0.67395	4722	0	2
2024.01.04	08:00:00	0.67395	0.67599	0.67394	0.67426	6737	0	2
2024.01.04	12:00:00	0.67426	0.67451	0.67087	0.67126	6645	0	2
2024.01.04	16:00:00	0.67128	0.67173	0.66962	0.67027	8140	0	2
2024.01.04	20:00:00	0.67026	0.67077	0.66982	0.67063	4432	0	2
2024.01.05	00:00:00	0.67058	0.67162	0.66981	0.67111	3547	0	2
2024.01.05	04:00:00	0.67110	0.67183	0.66925	0.67032	4337	0	2
2024.01.05	08:00:00	0.67034	0.67089	0.66818	0.66821	6470	0	2
2024.01.05	12:00:00	0.66823	0.66892	0.66402	0.66861	6536	0	2
2024.01.05	16:00:00	0.66865	0.67476	0.66829	0.67139	9991	0	2
2024.01.05	20:00:00	0.67140	0.67265	0.67050	0.67068	5376	0	2
2024.01.08	00:00:00	0.67141	0.67343	0.67088	0.67259	3101	0	2
2024.01.08	04:00:00	0.67261	0.67261	0.66937	0.66997	4484	0	2
2024.01.08	08:00:00	0.67000	0.67148	0.66813	0.66972	6624	0	2
2024.01.08	12:00:00	0.66972	0.66995	0.66774	0.66812	6454	0	2
2024.01.08	16:00:00	0.66812	0.67214	0.66797	0.67120	11149	0	2
2024.01.08	20:00:00	0.67120	0.67229	0.67049	0.67189	5268	0	2
2024.01.09	00:00:00	0.67066	0.67310	0.67066	0.67282	8214	0	2
2024.01.09	04:00:00	0.67282	0.67342	0.67073	0.67086	10289	0	2
2024.01.09	08:00:00	0.67086	0.67135	0.66947	0.67039	16722	0	2
2024.01.09	12:00:00	0.67039	0.67054	0.66876	0.66983	16206	0	2
2024.01.09	16:00:00	0.66983	0.67015	0.66769	0.66865	12929	0	2
2024.01.09	20:00:00	0.66866	0.66916	0.66769	0.66871	6752	0	2
2024.01.10	00:00:00	0.66789	0.67002	0.66777	0.66983	8349	0	2
