<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.02	00:00:00	0.68069	0.68138	0.68046	0.68062	108	0	17
2024.01.02	00:30:00	0.68062	0.68110	0.68040	0.68056	150	0	8
2024.01.02	01:00:00	0.68069	0.68128	0.68069	0.68118	363	0	2
2024.01.02	01:30:00	0.68116	0.68118	0.68060	0.68091	373	0	2
2024.01.02	02:00:00	0.68093	0.68143	0.68089	0.68096	440	0	2
2024.01.02	02:30:00	0.68096	0.68144	0.68083	0.68139	402	0	2
2024.01.02	03:00:00	0.68135	0.68226	0.68123	0.68174	793	0	2
2024.01.02	03:30:00	0.68173	0.68178	0.68101	0.68122	875	0	2
2024.01.02	04:00:00	0.68122	0.68138	0.68079	0.68090	650	0	2
2024.01.02	04:30:00	0.68091	0.68094	0.68025	0.68042	787	0	2
2024.01.02	05:00:00	0.68041	0.68075	0.68018	0.68073	558	0	2
2024.01.02	05:30:00	0.68077	0.68186	0.68077	0.68145	475	0	2
2024.01.02	06:00:00	0.68145	0.68191	0.68131	0.68184	306	0	2
2024.01.02	06:30:00	0.68190	0.68206	0.68168	0.68188	416	0	2
2024.01.02	07:00:00	0.68190	0.68298	0.68190	0.68278	650	0	2
2024.01.02	07:30:00	0.68277	0.68389	0.68262	0.68389	606	0	2
2024.01.02	08:00:00	0.68385	0.68386	0.68311	0.68351	600	0	2
2024.01.02	08:30:00	0.68350	0.68358	0.68242	0.68257	547	0	2
2024.01.02	09:00:00	0.68257	0.68299	0.68189	0.68274	785	0	2
2024.01.02	09:30:00	0.68273	0.68300	0.68188	0.68194	850	0	2
2024.01.02	10:00:00	0.68196	0.68336	0.68196	0.68287	1034	0	2
2024.01.02	10:30:00	0.68284	0.68304	0.68219	0.68244	969	0	2
2024.01.02	11:00:00	0.68244	0.68279	0.68233	0.68265	805	0	2
2024.01.02	11:30:00	0.68266	0.68322	0.68209	0.68212	802	0	2
2024.01.02	12:00:00	0.68210	0.68239	0.68109	0.68131	781	0	2
2024.01.02	12:30:00	0.68132	0.68226	0.68132	0.68164	699	0	2
2024.01.02	13:00:00	0.68159	0.68160	0.68020	0.68022	871	0	2
2024.01.02	13:30:00	0.68020	0.68022	0.67956	0.68000	840	0	2
2024.01.02	14:00:00	0.68002	0.68006	0.67907	0.67936	794	0	2
2024.01.02	14:30:00	0.67935	0.67939	0.67842	0.67854	889	0	2
2024.01.02	15:00:00	0.67853	0.67857	0.67817	0.67843	897	0	2
2024.01.02	15:30:00	0.67844	0.67900	0.67772	0.67795	892	0	2
2024.01.02	16:00:00	0.67795	0.67842	0.67754	0.67812	1022	0	2
2024.01.02	16:30:00	0.67811	0.67873	0.67737	0.67861	1297	0	2
2024.01.02	17:00:00	0.67864	0.67909	0.67726	0.67752	1268	0	2
2024.01.02	17:30:00	0.67749	0.67749	0.67612	0.67679	1201	0	2
2024.01.02	18:00:00	0.67677	0.67796	0.67670	0.67711	1097	0	2
2024.01.02	18:30:00	0.67708	0.67721	0.67626	0.67703	843	0	2
2024.01.02	19:00:00	0.67703	0.67755	0.67687	0.67743	813	0	2
2024.01.02	19:30:00	0.67743	0.67777	0.67714	0.67730	741	0	2
2024.01.02	20:00:00	0.67730	0.67734	0.67662	0.67692	686	0	2
2024.01.02	20:30:00	0.67692	0.67692	0.67633	0.67644	711	0	2
2024.01.02	21:00:00	0.67642	0.67654	0.67615	0.67647	618	0	2
2024.01.02	21:30:00	0.67647	0.67655	0.67606	0.67608	579	0	2
2024.01.02	22:00:00	0.67608	0.67627	0.67589	0.67591	496	0	2
2024.01.02	22:30:00	0.67591	0.67604	0.67569	0.67579	641	0	2
2024.01.02	23:00:00	0.67580	0.67600	0.67570	0.67587	308	0	2
2024.01.02	23:30:00	0.67586	0.67612	0.67585	0.67606	205	0	2
2024.01.03	00:00:00	0.67605	0.67625	0.67554	0.67594	171	0	14
2024.01.03	00:30:00	0.67595	0.67658	0.67579	0.67641	267	0	7
2024.01.03	01:00:00	0.67648	0.67663	0.67640	0.67662	302	0	2
2024.01.03	01:30:00	0.67662	0.67663	0.67642	0.67662	319	0	2
2024.01.03	02:00:00	0.67662	0.67706	0.67644	0.67700	476	0	2
2024.01.03	02:30:00	0.67697	0.67703	0.67626	0.67639	424	0	2
2024.01.03	03:00:00	0.67634	0.67669	0.67520	0.67554	770	0	2
2024.01.03	03:30:00	0.67553	0.67648	0.67553	0.67561	833	0	2
