<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.02	00:00:00	6141970	6147533	6108418	6130830	222503	0	0
2024.01.02	01:00:00	6131570	6233596	6131570	6233596	453668	0	0
2024.01.02	02:00:00	6234233	6377798	6229238	6360154	964336	0	0
2024.01.02	03:00:00	6358633	6404073	6318882	6343397	738742	0	0
2024.01.02	04:00:00	6343499	6422965	6343499	6422781	453338	0	0
2024.01.02	05:00:00	6426090	6441480	6388637	6424958	516153	0	0
2024.01.02	06:00:00	6423565	6431300	6393284	6393709	369741	0	0
2024.01.02	07:00:00	6393680	6411469	6379673	6385370	276679	0	0
2024.01.02	08:00:00	6385054	6408232	6379502	6391609	202596	0	0
2024.01.02	09:00:00	6391341	6451597	6391341	6432427	451265	0	0
2024.01.02	10:00:00	6432427	6482428	6409879	6475743	675490	0	0
2024.01.02	11:00:00	6476639	6493457	6453072	6463064	401700	0	0
2024.01.02	12:00:00	6464376	6475713	6433970	6456270	372837	0	0
2024.01.02	13:00:00	6456179	6471645	6411445	6442741	385634	0	0
2024.01.02	14:00:00	6442741	6478484	6428409	6438063	411055	0	0
2024.01.02	15:00:00	6437157	6488470	6430874	6484480	371649	0	0
2024.01.02	16:00:00	6486169	6505317	6371081	6405494	697763	0	0
2024.01.02	17:00:00	6403626	6431437	6352553	6412369	708074	0	0
2024.01.02	18:00:00	6412465	6440523	6363046	6435290	603015	0	0
2024.01.02	19:00:00	6435015	6438874	6379822	6383636	505586	0	0
2024.01.02	20:00:00	6384724	6422188	6377114	6408775	425189	0	0
2024.01.02	21:00:00	6408774	6420358	6357144	6393683	461772	0	0
2024.01.02	22:00:00	6392287	6410290	6346310	6357079	477222	0	0
2024.01.02	23:00:00	6357392	6406694	6332227	6406694	528421	0	0
2024.01.03	00:00:00	6398693	6427765	6365810	6386287	420685	0	0
2024.01.03	01:00:00	6387702	6400088	6365743	6389255	258337	0	0
2024.01.03	02:00:00	6389897	6416856	6366882	6406379	371327	0	0
2024.01.03	03:00:00	6406289	6434381	6402353	6434253	241739	0	0
2024.01.03	04:00:00	6434797	6448565	6421002	6429641	231197	0	0
2024.01.03	05:00:00	6429732	6433401	6408332	6421796	142157	0	0
2024.01.03	06:00:00	6421389	6423800	6403398	6411266	142579	0	0
2024.01.03	07:00:00	6410815	6431032	6402158	6418381	180088	0	0
2024.01.03	08:00:00	6419148	6444947	6413264	6439245	174199	0	0
2024.01.03	09:00:00	6439290	6458859	6399501	6409591	299580	0	0
2024.01.03	10:00:00	6409437	6443541	6407984	6443541	265811	0	0
2024.01.03	11:00:00	6443451	6484991	6441369	6467346	299383	0	0
2024.01.03	12:00:00	6466756	6476081	6424499	6439483	304962	0	0
2024.01.03	13:00:00	6439844	6441855	6217745	6245998	1120979	0	0
2024.01.03	14:00:00	6247255	6247569	5841950	6114817	2371863	0	0
2024.01.03	15:00:00	6115303	6118247	6049314	6080741	944741	0	0
2024.01.03	16:00:00	6081914	6081914	6019541	6036845	855301	0	0
2024.01.03	17:00:00	6040472	6177238	6036784	6174139	807609	0	0
2024.01.03	18:00:00	6173050	6249392	6135503	6170239	1083032	0	0
2024.01.03	19:00:00	6170942	6177760	6116220	6163158	681824	0	0
2024.01.03	20:00:00	6159422	6179239	6046052	6065410	767761	0	0
2024.01.03	21:00:00	6065967	6158676	6054605	6102496	839855	0	0
2024.01.03	22:00:00	6100364	6136702	6087969	6116094	482977	0	0
2024.01.03	23:00:00	6119358	6155681	6098345	6148989	451311	0	0
2024.01.04	00:00:00	6143626	6149867	6097569	6117878	358336	0	0
2024.01.04	01:00:00	6117664	6125677	6092665	6125677	292333	0	0
2024.01.04	02:00:00	6124448	6146217	6109717	6140770	340939	0	0
2024.01.04	03:00:00	6141456	6149422	6103953	6124677	413758	0	0
2024.01.04	04:00:00	6124635	6197961	6119409	6188277	310150	0	0
2024.01.04	05:00:00	6188980	6197851	6159678	6177811	279090	0	0
2024.01.04	06:00:00	6177954	6196612	6157657	6194501	259723	0	0
2024.01.04	07:00:00	6193896	6223381	6185153	6207586	268324	0	0
2024.01.04	08:00:00	6207845	6211318	6191056	6194556	237804	0	0
2024.01.04	09:00:00	6192960	6208379	6130810	6130810	563443	0	0
2024.01.04	10:00:00	6130015	6165864	6129975	6151770	416235	0	0
2024.01.04	11:00:00	6152113	6192828	6152113	6186153	301877	0	0
2024.01.04	12:00:00	6186411	6211874	6138730	6211037	452881	0	0
2024.01.04	13:00:00	6212459	6235336	6190135	6226035	333249	0	0
2024.01.04	14:00:00	6227590	6254878	6211899	6254878	478982	0	0
