<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.02	01:00:00	3.8561	3.8606	3.8561	3.8606	114	0	35
2024.01.02	01:30:00	3.8606	3.8631	3.8581	3.8621	112	0	35
2024.01.02	02:00:00	3.8621	3.8656	3.8618	3.8641	100	0	35
2024.01.02	02:30:00	3.8636	3.8656	3.8626	3.8651	132	0	35
2024.01.02	03:00:00	3.8648	3.8708	3.8586	3.8646	551	0	35
2024.01.02	03:30:00	3.8643	3.8643	3.8507	3.8517	462	0	35
2024.01.02	04:00:00	3.8517	3.8557	3.8502	3.8527	281	0	35
2024.01.02	04:30:00	3.8522	3.8611	3.8522	3.8611	297	0	35
2024.01.02	05:00:00	3.8609	3.8626	3.8566	3.8576	236	0	35
2024.01.02	05:30:00	3.8576	3.8621	3.8576	3.8604	144	0	35
2024.01.02	06:00:00	3.8606	3.8621	3.8596	3.8618	96	0	35
2024.01.02	06:30:00	3.8616	3.8621	3.8596	3.8611	84	0	35
2024.01.02	07:00:00	3.8616	3.8666	3.8614	3.8646	148	0	35
2024.01.02	07:30:00	3.8641	3.8680	3.8621	3.8671	341	0	35
2024.01.02	08:00:00	3.8668	3.8730	3.8651	3.8710	292	0	35
2024.01.02	08:30:00	3.8710	3.8750	3.8675	3.8680	325	0	35
2024.01.02	09:00:00	3.8680	3.8750	3.8611	3.8648	309	0	35
2024.01.02	09:30:00	3.8651	3.8678	3.8571	3.8581	273	0	35
2024.01.02	10:00:00	3.8586	3.8675	3.8532	3.8547	471	0	35
2024.01.02	10:30:00	3.8544	3.8576	3.8519	3.8549	344	0	35
2024.01.02	11:00:00	3.8552	3.8690	3.8547	3.8581	406	0	35
2024.01.02	11:30:00	3.8571	3.8594	3.8532	3.8542	291	0	35
2024.01.02	12:00:00	3.8537	3.8537	3.8433	3.8470	414	0	35
2024.01.02	12:30:00	3.8467	3.8557	3.8467	3.8522	302	0	35
2024.01.02	13:00:00	3.8522	3.8522	3.8368	3.8413	343	0	35
2024.01.02	13:30:00	3.8415	3.8420	3.8368	3.8408	304	0	35
2024.01.02	14:00:00	3.8410	3.8418	3.8343	3.8408	257	0	35
2024.01.02	14:30:00	3.8405	3.8428	3.8383	3.8383	282	0	35
2024.01.02	15:00:00	3.8393	3.8457	3.8319	3.8368	489	0	25
2024.01.02	15:30:00	3.8368	3.8443	3.8324	3.8329	364	0	25
2024.01.02	16:00:00	3.8329	3.8368	3.8254	3.8314	400	0	25
2024.01.02	16:30:00	3.8314	3.8428	3.8259	3.8405	637	0	25
2024.01.02	17:00:00	3.8400	3.8438	3.8314	3.8353	547	0	25
2024.01.02	17:30:00	3.8353	3.8408	3.8294	3.8381	529	0	25
2024.01.02	18:00:00	3.8378	3.8547	3.8378	3.8462	460	0	25
2024.01.02	18:30:00	3.8457	3.8462	3.8319	3.8443	368	0	25
2024.01.02	19:00:00	3.8443	3.8532	3.8443	3.8492	297	0	25
2024.01.02	19:30:00	3.8492	3.8507	3.8433	3.8438	240	0	25
2024.01.02	20:00:00	3.8438	3.8438	3.8368	3.8383	200	0	25
2024.01.02	20:30:00	3.8383	3.8383	3.8339	3.8358	133	0	25
