<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.02	01:00:00	37986.50	38040.70	37986.50	38020.70	590	0	800
2024.01.02	02:00:00	38020.70	38028.70	38008.70	38014.70	339	0	850
2024.01.02	03:00:00	38015.70	38034.70	37996.70	38005.20	659	0	500
2024.01.02	04:00:00	38005.20	38015.20	38002.70	38013.20	432	0	850
2024.01.02	05:00:00	38015.20	38022.20	38010.50	38020.00	328	0	800
2024.01.02	06:00:00	38020.00	38035.50	38016.50	38031.00	253	0	800
2024.01.02	07:00:00	38031.50	38051.50	38031.00	38037.50	397	0	800
2024.01.02	08:00:00	38038.00	38040.00	38022.50	38029.00	431	0	800
2024.01.02	09:00:00	38029.50	38055.50	38028.00	38040.50	738	0	800
2024.01.02	10:00:00	38044.00	38108.50	38044.00	38104.50	1316	0	800
2024.01.02	11:00:00	38104.00	38104.50	37999.00	38007.00	1232	0	800
2024.01.02	12:00:00	38007.00	38011.00	37965.00	37982.50	1106	0	800
2024.01.02	13:00:00	37981.50	37982.50	37811.50	37844.00	1649	0	800
2024.01.02	14:00:00	37841.50	37841.50	37760.50	37769.00	1419	0	800
2024.01.02	15:00:00	37768.00	37812.50	37758.00	37777.00	1441	0	800
2024.01.02	16:00:00	37777.00	37938.50	37754.50	37938.50	2196	0	800
2024.01.02	17:00:00	37930.50	37990.00	37896.50	37969.00	2427	0	800
2024.01.02	18:00:00	37966.50	38021.00	37935.50	38015.00	2079	0	800
2024.01.02	19:00:00	38017.00	38064.50	38009.50	38035.50	2027	0	800
2024.01.02	20:00:00	38035.00	38036.00	37960.00	37971.50	1943	0	800
2024.01.02	21:00:00	37972.50	37976.50	37875.50	37875.50	1972	0	800
2024.01.02	22:00:00	37876.50	38000.50	37853.00	37997.50	2188	0	800
2024.01.02	23:00:00	37989.50	38005.50	37980.50	37997.00	853	0	500
2024.01.03	01:00:00	37997.50	38009.00	37984.50	38004.50	474	0	500
2024.01.03	02:00:00	38005.00	38005.50	37983.50	37990.00	566	0	800
2024.01.03	03:00:00	37989.50	37994.00	37981.50	37985.50	652	0	800
2024.01.03	04:00:00	37985.00	37988.50	37975.00	37979.50	467	0	800
2024.01.03	05:00:00	37979.50	37985.50	37969.50	37969.50	402	0	800
2024.01.03	06:00:00	37969.00	37975.50	37964.50	37966.50	318	0	800
2024.01.03	07:00:00	37967.00	37967.50	37953.00	37960.50	442	0	800
2024.01.03	08:00:00	37959.50	37970.50	37958.50	37967.00	419	0	800
2024.01.03	09:00:00	37965.00	37977.50	37951.50	37964.50	720	0	800
2024.01.03	10:00:00	37965.00	37997.50	37958.50	37969.00	1467	0	800
2024.01.03	11:00:00	37969.00	37973.50	37925.50	37929.50	1357	0	800
2024.01.03	12:00:00	37929.50	37937.50	37901.00	37919.50	1245	0	800
2024.01.03	13:00:00	37920.00	37929.00	37875.50	37888.50	1164	0	800
2024.01.03	14:00:00	37891.00	37891.00	37851.00	37868.50	1290	0	800
2024.01.03	15:00:00	37868.50	37905.50	37852.00	37855.50	1272	0	800
2024.01.03	16:00:00	37855.00	37890.00	37773.50	37791.00	2141	0	800
2024.01.03	17:00:00	37785.00	37842.50	37666.00	37708.00	2555	0	800
2024.01.03	18:00:00	37706.00	37752.50	37699.00	37729.50	2301	0	800
2024.01.03	19:00:00	37730.00	37819.00	37702.50	37814.50	1864	0	800
2024.01.03	20:00:00	37815.50	37850.50	37800.00	37802.50	1817	0	800
2024.01.03	21:00:00	37803.50	37877.50	37728.50	37820.50	2631	0	800
2024.01.03	22:00:00	37821.50	37821.50	37663.50	37689.00	2324	0	800
2024.01.03	23:00:00	37697.50	37717.00	37678.50	37717.00	830	0	500
2024.01.04	01:00:00	37729.00	37747.00	37709.00	37722.50	469	0	500
2024.01.04	02:00:00	37720.50	37739.50	37702.00	37737.00	639	0	800
2024.01.04	03:00:00	37737.00	37744.50	37726.50	37738.00	649	0	800
2024.01.04	04:00:00	37739.00	37741.50	37718.00	37733.50	561	0	800
2024.01.04	05:00:00	37734.00	37743.50	37721.00	37724.50	494	0	800
2024.01.04	06:00:00	37724.50	37734.50	37720.50	37721.00	376	0	800
2024.01.04	07:00:00	37721.50	37723.50	37704.00	37708.50	479	0	800
2024.01.04	08:00:00	37708.50	37739.50	37708.50	37737.50	558	0	800
2024.01.04	09:00:00	37737.50	37751.00	37727.00	37732.00	756	0	800
2024.01.04	10:00:00	37733.50	37776.50	37729.50	37740.00	1453	0	800
2024.01.04	11:00:00	37740.50	37749.00	37714.50	37746.00	1327	0	800
2024.01.04	12:00:00	37746.50	37759.50	37715.00	37747.00	1130	0	800
2024.01.04	13:00:00	37747.00	37773.50	37715.50	37735.00	1140	0	800
2024.01.04	14:00:00	37733.50	37803.50	37726.00	37785.00	1327	0	800
2024.01.04	15:00:00	37785.50	37799.50	37758.50	37778.00	1504	0	800
2024.01.04	16:00:00	37779.50	37821.50	37721.50	37814.50	2128	0	800
2024.01.04	17:00:00	37812.50	37899.50	37808.00	37882.50	2258	0	800
2024.01.04	18:00:00	37885.50	37980.00	37876.50	37893.50	2080	0	800
2024.01.04	19:00:00	37894.50	37897.50	37762.50	37796.50	2074	0	800
2024.01.04	20:00:00	37795.50	37831.50	37788.50	37807.50	1936	0	800
2024.01.04	21:00:00	37808.50	37832.00	37765.00	37808.00	2056	0	800
2024.01.04	22:00:00	37809.00	37820.00	37695.50	37716.00	2177	0	800
2024.01.04	23:00:00	37721.50	37753.00	37703.00	37751.00	791	0	500
2024.01.05	01:00:00	37754.50	37774.50	37754.00	37754.00	502	0	800
2024.01.05	02:00:00	37754.00	37765.50	37746.00	37755.00	622	0	800
2024.01.05	03:00:00	37754.50	37766.50	37745.00	37761.00	645	0	800
2024.01.05	04:00:00	37760.50	37760.50	37738.50	37740.50	523	0	800
2024.01.05	05:00:00	37742.50	37749.50	37734.50	37735.50	384	0	800
2024.01.05	06:00:00	37735.50	37751.00	37727.50	37733.00	467	0	800
2024.01.05	07:00:00	37733.00	37735.50	37722.00	37724.50	530	0	800
2024.01.05	08:00:00	37723.50	37733.50	37672.50	37690.50	710	0	800
2024.01.05	09:00:00	37691.00	37716.50	37671.50	37681.00	880	0	800
2024.01.05	10:00:00	37683.00	37707.50	37671.50	37678.00	1454	0	800
2024.01.05	11:00:00	37676.50	37679.00	37617.00	37622.00	1258	0	800
2024.01.05	12:00:00	37622.50	37640.00	37600.50	37636.50	1169	0	800
2024.01.05	13:00:00	37636.50	37647.00	37584.00	37622.50	1094	0	800
2024.01.05	14:00:00	37623.00	37647.50	37601.00	37613.50	1165	0	800
2024.01.05	15:00:00	37613.00	37662.00	37504.00	37634.00	1968	0	800
2024.01.05	16:00:00	37636.00	37737.50	37629.00	37710.50	2374	0	800
2024.01.05	17:00:00	37734.00	37876.50	37727.00	37810.50	2686	0	800
2024.01.05	18:00:00	37811.00	37834.00	37698.50	37699.50	2211	0	800
2024.01.05	19:00:00	37700.00	37702.00	37584.50	37616.00	2298	0	800
2024.01.05	20:00:00	37614.00	37755.00	37570.00	37729.00	2283	0	800
2024.01.05	21:00:00	37728.50	37776.50	37628.50	37639.50	2291	0	800
2024.01.05	22:00:00	37636.50	37754.50	37625.50	37715.50	2247	0	800
2024.01.05	23:00:00	37720.00	37734.00	37697.50	37706.50	705	0	500
2024.01.08	01:00:00	37673.50	37704.00	37651.00	37667.00	740	0	800
2024.01.08	02:00:00	37666.50	37680.00	37653.50	37657.00	487	0	800
2024.01.08	03:00:00	37657.00	37660.50	37587.50	37591.50	686	0	800
2024.01.08	04:00:00	37590.00	37596.00	37567.50	37591.00	649	0	800
2024.01.08	05:00:00	37592.00	37592.00	37563.50	37570.00	514	0	800
2024.01.08	06:00:00	37569.50	37585.00	37565.00	37584.00	285	0	800
2024.01.08	07:00:00	37584.00	37589.50	37573.00	37579.00	495	0	800
2024.01.08	08:00:00	37580.00	37593.00	37564.00	37564.00	683	0	800
2024.01.08	09:00:00	37565.00	37591.50	37563.00	37566.00	816	0	800
2024.01.08	10:00:00	37566.00	37622.00	37553.00	37587.00	1600	0	800
2024.01.08	11:00:00	37587.50	37587.50	37467.50	37541.00	1579	0	800
2024.01.08	12:00:00	37540.00	37549.00	37518.00	37523.00	1227	0	800
2024.01.08	13:00:00	37520.00	37570.00	37505.00	37556.00	1202	0	800
2024.01.08	14:00:00	37557.00	37575.50	37535.00	37574.50	1175	0	800
2024.01.08	15:00:00	37576.00	37610.50	37562.00	37571.50	1404	0	800
2024.01.08	16:00:00	37572.00	37613.50	37491.00	37550.00	3644	0	800
2024.01.08	17:00:00	37555.50	37680.00	37538.00	37627.00	3309	0	800
2024.01.08	18:00:00	37628.00	37660.50	37591.50	37653.00	3339	0	800
2024.01.08	19:00:00	37652.50	37715.50	37622.00	37702.00	2741	0	800
2024.01.08	20:00:00	37702.00	37744.50	37680.50	37740.50	2586	0	800
2024.01.08	21:00:00	37741.00	37884.00	37732.50	37865.00	2798	0	800
2024.01.08	22:00:00	37866.50	37940.00	37844.50	37926.50	3543	0	800
2024.01.08	23:00:00	37923.50	37925.00	37887.00	37891.00	968	0	500
2024.01.09	01:00:00	37891.50	37894.00	37880.00	37894.00	620	0	500
2024.01.09	02:00:00	37894.00	37898.50	37880.50	37881.50	1054	0	800
2024.01.09	03:00:00	37881.50	37887.50	37870.50	37880.00	1148	0	800
