<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.02	01:00:00	37986.50	38026.50	37986.50	38019.00	246	0	800
2024.01.02	01:15:00	38018.50	38040.70	38017.50	38039.70	138	0	800
2024.01.02	01:30:00	38038.20	38038.20	38016.50	38016.50	129	0	800
2024.01.02	01:45:00	38015.50	38021.20	38013.20	38020.70	77	0	800
2024.01.02	02:00:00	38020.70	38028.70	38018.70	38027.70	83	0	850
2024.01.02	02:15:00	38027.20	38027.20	38010.70	38015.20	102	0	850
2024.01.02	02:30:00	38015.20	38021.70	38008.70	38021.70	85	0	850
2024.01.02	02:45:00	38020.70	38020.70	38012.70	38014.70	69	0	850
2024.01.02	03:00:00	38015.70	38034.70	38011.70	38015.20	190	0	850
2024.01.02	03:15:00	38015.70	38030.70	38015.20	38021.70	148	0	500
2024.01.02	03:30:00	38021.70	38025.70	38001.70	38007.70	185	0	850
2024.01.02	03:45:00	38009.70	38015.70	37996.70	38005.20	136	0	850
2024.01.02	04:00:00	38005.20	38012.70	38002.70	38006.70	100	0	850
2024.01.02	04:15:00	38007.20	38013.20	38003.70	38010.70	109	0	850
2024.01.02	04:30:00	38011.20	38015.20	38007.20	38010.70	124	0	850
2024.01.02	04:45:00	38010.70	38015.20	38003.70	38013.20	99	0	850
2024.01.02	05:00:00	38015.20	38022.20	38013.70	38018.00	99	0	800
2024.01.02	05:15:00	38017.50	38019.50	38014.00	38017.50	66	0	800
2024.01.02	05:30:00	38018.00	38018.00	38010.50	38017.50	84	0	800
2024.01.02	05:45:00	38019.00	38021.50	38011.50	38020.00	79	0	800
2024.01.02	06:00:00	38020.00	38022.50	38016.50	38021.00	69	0	800
2024.01.02	06:15:00	38021.50	38023.50	38019.50	38022.00	54	0	800
2024.01.02	06:30:00	38022.50	38035.50	38021.50	38031.00	72	0	800
2024.01.02	06:45:00	38030.00	38035.00	38029.50	38031.00	58	0	800
2024.01.02	07:00:00	38031.50	38045.50	38031.00	38045.50	114	0	800
2024.01.02	07:15:00	38044.50	38051.50	38040.50	38041.50	114	0	800
2024.01.02	07:30:00	38042.00	38043.50	38035.50	38037.50	88	0	800
