<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.02	00:00:00	4533.25	4541.25	4533.25	4537.25	143	0	130
2024.01.02	04:00:00	4537.25	4544.25	4536.25	4542.25	303	0	130
2024.01.02	08:00:00	4542.25	4569.75	4535.75	4539.75	803	0	130
2024.01.02	12:00:00	4539.75	4541.75	4483.75	4492.75	986	0	130
2024.01.02	16:00:00	4492.75	4519.75	4492.75	4515.75	1040	0	130
2024.01.02	20:00:00	4515.75	4515.75	4494.75	4499.90	666	0	130
2024.01.03	00:00:00	4500.40	4504.25	4498.40	4500.75	250	0	130
2024.01.03	04:00:00	4500.75	4502.75	4494.75	4498.75	306	0	130
2024.01.03	08:00:00	4498.75	4517.25	4470.25	4470.25	920	0	130
2024.01.03	12:00:00	4469.25	4482.25	4453.75	4455.25	857	0	130
2024.01.03	16:00:00	4455.25	4456.25	4431.25	4455.25	1296	0	130
2024.01.03	20:00:00	4455.25	4459.25	4444.25	4450.40	860	0	130
2024.01.04	00:00:00	4454.90	4454.90	4436.75	4450.25	249	0	130
2024.01.04	04:00:00	4450.25	4450.25	4441.25	4441.25	318	0	130
2024.01.04	08:00:00	4441.25	4465.75	4441.25	4464.75	936	0	130
2024.01.04	12:00:00	4464.75	4466.75	4441.75	4448.75	875	0	130
2024.01.04	16:00:00	4448.75	4475.75	4445.75	4464.75	1010	0	130
2024.01.04	20:00:00	4463.75	4466.75	4451.90	4456.90	689	0	130
2024.01.05	00:00:00	4459.40	4462.75	4455.75	4457.75	284	0	130
2024.01.05	04:00:00	4457.75	4457.75	4449.75	4450.75	293	0	130
2024.01.05	08:00:00	4451.75	4453.75	4424.25	4428.25	871	0	130
2024.01.05	12:00:00	4428.25	4443.25	4417.25	4439.25	1069	0	130
2024.01.05	16:00:00	4440.25	4473.25	4437.25	4455.25	1320	0	130
2024.01.05	20:00:00	4455.25	4464.75	4451.25	4456.40	838	0	130
2024.01.08	00:00:00	4456.90	4467.25	4455.90	4457.25	321	0	130
2024.01.08	04:00:00	4457.25	4458.25	4453.25	4453.25	457	0	130
2024.01.08	08:00:00	4453.25	4470.75	4437.75	4451.75	1068	0	130
2024.01.08	12:00:00	4451.75	4471.75	4450.75	4465.75	898	0	130
2024.01.08	16:00:00	4465.75	4491.75	4465.75	4491.75	957	0	130
2024.01.08	20:00:00	4491.75	4506.75	4487.75	4498.90	595	0	130
2024.01.09	00:00:00	4497.80	4502.15	4494.15	4495.15	348	0	130
2024.01.09	04:00:00	4495.15	4498.15	4491.15	4495.15	415	0	130
2024.01.09	08:00:00	4495.15	4498.15	4456.65	4472.65	1118	0	130
2024.01.09	12:00:00	4472.65	4472.65	4444.65	4450.65	1099	0	130
2024.01.09	16:00:00	4450.65	4471.65	4447.65	4465.65	1158	0	130
2024.01.09	20:00:00	4465.65	4470.65	4458.65	4461.80	831	0	130
2024.01.10	00:00:00	4460.30	4467.65	4457.30	4461.65	443	0	130
2024.01.10	04:00:00	4461.65	4462.65	4450.65	4454.65	540	0	130
2024.01.10	08:00:00	4454.65	4485.15	4449.65	4479.15	1243	0	130
2024.01.10	12:00:00	4479.15	4480.15	4458.15	4461.15	981	0	130
2024.01.10	16:00:00	4461.15	4472.15	4458.15	4470.15	1015	0	130
2024.01.10	20:00:00	4470.15	4483.15	4467.65	4478.30	793	0	130
2024.01.11	00:00:00	4475.80	4487.15	4474.80	4486.15	462	0	130
2024.01.11	04:00:00	4486.15	4498.15	4485.15	4496.15	473	0	130
2024.01.11	08:00:00	4495.15	4509.65	4480.65	4485.65	1152	0	130
2024.01.11	12:00:00	4485.65	4487.65	4460.65	4461.65	1412	0	130
2024.01.11	16:00:00	4461.65	4487.65	4436.65	4449.65	2184	0	130
2024.01.11	20:00:00	4448.65	4470.80	4448.65	4467.80	929	0	130
2024.01.12	00:00:00	4464.30	4473.65	4464.30	4470.65	585	0	130
2024.01.12	04:00:00	4470.65	4476.65	4467.65	4471.65	456	0	130
2024.01.12	08:00:00	4471.65	4492.15	4461.15	4479.15	1514	0	130
2024.01.12	12:00:00	4479.15	4488.15	4456.15	4475.15	1583	0	130
2024.01.12	16:00:00	4475.15	4491.15	4469.15	4477.15	1523	0	130
2024.01.12	20:00:00	4477.15	4485.15	4474.30	4475.30	791	0	130
2024.01.15	00:00:00	4478.30	4486.65	4470.30	4485.65	475	0	130
2024.01.15	04:00:00	4485.65	4497.65	4485.65	4492.65	529	0	130
2024.01.15	08:00:00	4491.65	4498.15	4456.15	4469.15	1214	0	130
2024.01.15	12:00:00	4470.15	4473.15	4452.15	4454.15	857	0	130
2024.01.15	16:00:00	4454.15	4460.15	4449.15	4456.15	531	0	130
2024.01.15	20:00:00	4456.15	4457.65	4454.15	4454.30	283	0	130
2024.01.16	00:00:00	4451.80	4453.80	4437.15	4448.15	497	0	130
2024.01.16	04:00:00	4448.15	4450.15	4430.15	4432.15	579	0	130
2024.01.16	08:00:00	4432.15	4441.65	4412.65	4434.15	1713	0	130
2024.01.16	12:00:00	4433.65	4445.65	4424.65	4431.65	1123	0	130
2024.01.16	16:00:00	4431.65	4447.65	4426.65	4429.65	1646	0	130
2024.01.16	20:00:00	4429.65	4438.65	4425.65	4432.80	831	0	130
2024.01.17	00:00:00	4433.30	4436.65	4422.65	4424.65	573	0	130
2024.01.17	04:00:00	4424.65	4425.65	4404.65	4405.65	569	0	130
2024.01.17	08:00:00	4405.65	4408.15	4386.15	4404.15	1901	0	130
2024.01.17	12:00:00	4404.15	4407.15	4388.15	4390.15	1202	0	130
2024.01.17	16:00:00	4390.15	4403.15	4379.15	4393.15	1279	0	130
2024.01.17	20:00:00	4393.15	4403.15	4384.15	4399.30	749	0	130
2024.01.18	00:00:00	4398.80	4405.15	4395.80	4403.15	568	0	130
2024.01.18	04:00:00	4403.15	4403.15	4392.15	4397.15	645	0	130
2024.01.18	08:00:00	4397.15	4423.65	4396.15	4418.65	1148	0	130
2024.01.18	12:00:00	4418.65	4445.65	4412.65	4431.65	860	0	130
2024.01.18	16:00:00	4432.65	4454.65	4432.65	4444.65	1318	0	130
2024.01.18	20:00:00	4444.65	4469.80	4438.65	4468.80	931	0	130
2024.01.19	00:00:00	4466.30	4471.30	4464.65	4470.65	600	0	130
2024.01.19	04:00:00	4470.65	4470.65	4465.65	4465.65	659	0	130
2024.01.19	08:00:00	4465.65	4483.15	4456.15	4465.15	1341	0	130
2024.01.19	12:00:00	4465.15	4470.15	4450.15	4451.15	971	0	130
2024.01.19	16:00:00	4451.15	4459.15	4435.15	4459.15	1402	0	130
2024.01.19	20:00:00	4459.15	4477.99	4456.15	4471.21	860	0	130
2024.01.22	00:00:00	4477.50	4491.85	4471.50	4485.85	762	0	130
2024.01.22	04:00:00	4486.85	4488.85	4478.85	4480.85	752	0	130
2024.01.22	08:00:00	4480.85	4495.35	4471.35	4472.35	1239	0	130
2024.01.22	12:00:00	4472.35	4477.35	4463.35	4469.35	674	0	130
2024.01.22	16:00:00	4469.35	4485.35	4469.35	4476.35	1014	0	130
2024.01.22	20:00:00	4476.35	4480.35	4471.35	4471.50	831	0	130
2024.01.23	00:00:00	4471.00	4481.35	4471.00	4479.35	462	0	130
2024.01.23	04:00:00	4479.35	4485.35	4476.35	4483.35	564	0	130
2024.01.23	08:00:00	4483.35	4497.85	4460.85	4467.85	1109	0	130
2024.01.23	12:00:00	4467.85	4473.85	4460.85	4463.85	739	0	130
2024.01.23	16:00:00	4463.85	4472.85	4454.85	4472.85	852	0	130
2024.01.23	20:00:00	4472.85	4484.00	4468.85	4483.00	522	0	130
2024.01.24	00:00:00	4484.50	4486.50	4478.50	4483.85	519	0	130
2024.01.24	04:00:00	4484.85	4493.85	4482.85	4491.85	576	0	130
2024.01.24	08:00:00	4491.85	4530.35	4491.85	4529.35	1579	0	130
2024.01.24	12:00:00	4529.35	4551.35	4525.35	4549.35	689	0	130
2024.01.24	16:00:00	4549.35	4577.35	4548.35	4576.35	781	0	130
2024.01.24	20:00:00	4576.35	4576.35	4548.50	4557.45	882	0	130
2024.01.25	00:00:00	4555.80	4562.15	4551.15	4557.15	381	0	130
2024.01.25	04:00:00	4557.15	4560.15	4554.15	4560.15	563	0	130
2024.01.25	08:00:00	4560.15	4567.65	4551.65	4560.65	956	0	130
2024.01.25	12:00:00	4560.65	4573.65	4543.65	4567.65	880	0	130
2024.01.25	16:00:00	4567.65	4586.65	4567.65	4585.65	1101	0	130
2024.01.25	20:00:00	4585.65	4596.65	4582.65	4591.80	908	0	130
2024.01.26	00:00:00	4590.50	4592.50	4585.85	4588.85	613	0	130
2024.01.26	04:00:00	4588.85	4592.85	4578.85	4582.85	525	0	130
2024.01.26	08:00:00	4582.85	4616.35	4574.85	4614.35	1153	0	130
2024.01.26	12:00:00	4614.35	4638.85	4614.35	4634.35	968	0	130
2024.01.26	16:00:00	4634.35	4637.35	4622.35	4629.35	935	0	130
2024.01.26	20:00:00	4629.35	4636.35	4627.35	4628.50	647	0	130
2024.01.29	00:00:00	4621.80	4629.15	4619.80	4629.15	601	0	130
2024.01.29	04:00:00	4629.15	4629.15	4623.15	4625.15	438	0	130
2024.01.29	08:00:00	4626.15	4637.65	4624.65	4627.65	846	0	130
2024.01.29	12:00:00	4627.65	4632.65	4620.15	4625.65	591	0	130
2024.01.29	16:00:00	4625.65	4639.65	4624.65	4637.65	688	0	130
2024.01.29	20:00:00	4637.65	4659.65	4635.65	4651.80	618	0	130
2024.01.30	00:00:00	4654.30	4662.65	4652.30	4657.65	485	0	130
2024.01.30	04:00:00	4657.65	4658.65	4654.65	4656.65	501	0	130
2024.01.30	08:00:00	4657.65	4658.65	4641.15	4657.15	933	0	130
2024.01.30	12:00:00	4657.15	4668.15	4653.15	4661.15	651	0	130
2024.01.30	16:00:00	4661.15	4665.15	4655.15	4658.15	750	0	130
2024.01.30	20:00:00	4658.15	4666.15	4650.30	4651.30	700	0	130
2024.01.31	00:00:00	4653.80	4660.15	4648.76	4656.15	456	0	130
2024.01.31	04:00:00	4656.15	4663.15	4654.15	4661.15	488	0	130
2024.01.31	08:00:00	4661.15	4674.65	4653.15	4659.65	908	0	130
2024.01.31	12:00:00	4659.65	4669.65	4656.65	4667.65	692	0	130
2024.01.31	16:00:00	4667.65	4667.65	4639.65	4649.65	961	0	130
2024.01.31	20:00:00	4649.65	4663.65	4627.65	4632.80	2337	0	130
2024.02.01	00:00:00	4631.30	4642.65	4631.30	4638.65	651	0	130
2024.02.01	04:00:00	4638.65	4648.65	4637.65	4642.65	501	0	130
2024.02.01	08:00:00	4642.65	4642.65	4612.15	4634.65	1320	0	130
2024.02.01	12:00:00	4634.15	4655.15	4634.15	4652.15	770	0	130
2024.02.01	16:00:00	4652.15	4657.15	4625.15	4653.15	1398	0	130
2024.02.01	20:00:00	4652.15	4681.43	4645.15	4676.30	1308	0	130
2024.02.02	00:00:00	4672.70	4677.05	4669.55	4677.05	529	0	130
2024.02.02	04:00:00	4677.05	4678.05	4669.05	4670.05	601	0	130
2024.02.02	08:00:00	4670.05	4671.05	4650.55	4669.55	1041	0	130
2024.02.02	12:00:00	4669.55	4674.55	4651.55	4652.55	966	0	130
2024.02.02	16:00:00	4652.55	4662.55	4647.55	4657.55	1327	0	130
2024.02.02	20:00:00	4657.55	4668.55	4656.55	4657.70	1080	0	130
2024.02.05	00:00:00	4663.40	4664.40	4641.75	4647.75	723	0	130
2024.02.05	04:00:00	4647.75	4649.75	4642.75	4648.75	652	0	130
2024.02.05	08:00:00	4648.75	4661.25	4646.25	4651.25	971	0	130
2024.02.05	12:00:00	4651.25	4667.25	4645.25	4645.25	618	0	130
2024.02.05	16:00:00	4645.25	4664.25	4637.25	4663.25	1119	0	130
2024.02.05	20:00:00	4663.25	4673.25	4659.40	4663.40	726	0	130
2024.02.06	00:00:00	4663.90	4666.25	4660.90	4665.25	498	0	130
2024.02.06	04:00:00	4665.25	4674.25	4664.25	4669.25	603	0	130
2024.02.06	08:00:00	4669.25	4685.75	4662.75	4664.75	795	0	130
2024.02.06	12:00:00	4664.75	4678.75	4659.75	4675.75	567	0	130
2024.02.06	16:00:00	4675.75	4692.75	4675.75	4685.75	1043	0	130
2024.02.06	20:00:00	4685.75	4698.75	4683.75	4692.90	791	0	130
2024.02.07	00:00:00	4694.50	4704.85	4693.50	4699.85	516	0	130
2024.02.07	04:00:00	4699.85	4700.85	4692.85	4696.85	731	0	130
2024.02.07	08:00:00	4696.85	4699.35	4685.35	4688.35	796	0	130
2024.02.07	12:00:00	4688.35	4692.35	4677.35	4684.35	559	0	130
2024.02.07	16:00:00	4684.35	4691.35	4676.35	4686.35	903	0	130
2024.02.07	20:00:00	4686.35	4693.35	4685.10	4688.10	686	0	130
2024.02.08	00:00:00	4689.00	4690.35	4684.35	4689.35	333	0	130
2024.02.08	04:00:00	4689.35	4691.35	4682.35	4685.35	442	0	130
2024.02.08	08:00:00	4685.35	4704.85	4680.85	4702.85	790	0	130
2024.02.08	12:00:00	4702.85	4715.85	4691.85	4713.85	607	0	130
2024.02.08	16:00:00	4714.85	4719.85	4700.85	4702.85	757	0	130
2024.02.08	20:00:00	4702.85	4707.85	4701.85	4703.00	573	0	130
2024.02.09	00:00:00	4698.60	4700.60	4694.95	4697.95	412	0	130
2024.02.09	04:00:00	4697.95	4697.95	4693.95	4695.95	398	0	130
2024.02.09	08:00:00	4695.95	4709.45	4695.95	4708.45	717	0	130
2024.02.09	12:00:00	4708.45	4722.45	4707.45	4714.45	603	0	130
2024.02.09	16:00:00	4713.45	4722.45	4693.45	4722.45	707	0	130
2024.02.09	20:00:00	4722.45	4732.45	4721.45	4723.60	511	0	130
2024.02.12	00:00:00	4724.10	4730.45	4721.10	4725.45	294	0	130
2024.02.12	04:00:00	4725.45	4725.95	4722.45	4722.45	304	0	130
2024.02.12	08:00:00	4722.45	4732.95	4721.95	4732.95	698	0	130
2024.02.12	12:00:00	4732.95	4736.95	4720.95	4723.95	448	0	130
2024.02.12	16:00:00	4723.95	4745.95	4723.95	4744.95	575	0	130
2024.02.12	20:00:00	4744.95	4746.95	4722.10	4726.10	818	0	130
2024.02.13	00:00:00	4725.50	4732.85	4722.50	4729.85	323	0	130
2024.02.13	04:00:00	4729.85	4730.85	4725.85	4727.85	330	0	130
2024.02.13	08:00:00	4727.85	4734.85	4705.35	4711.35	741	0	130
2024.02.13	12:00:00	4711.35	4713.35	4680.85	4681.35	875	0	130
2024.02.13	16:00:00	4682.35	4691.35	4670.35	4678.35	1203	0	130
2024.02.13	20:00:00	4678.35	4678.35	4653.35	4670.50	988	0	130
2024.02.14	00:00:00	4670.00	4678.35	4669.00	4678.35	358	0	130
2024.02.14	04:00:00	4678.35	4680.35	4674.35	4675.35	317	0	130
2024.02.14	08:00:00	4675.35	4701.85	4675.35	4698.85	756	0	130
2024.02.14	12:00:00	4698.85	4711.85	4696.85	4703.85	594	0	130
2024.02.14	16:00:00	4703.85	4712.85	4696.85	4709.85	968	0	130
2024.02.14	20:00:00	4710.85	4725.00	4703.85	4721.00	1039	0	130
