<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.02	00:00:00	155.539	155.592	155.539	155.592	27	0	119
2024.01.02	00:15:00	155.592	155.646	155.531	155.592	57	0	87
2024.01.02	00:30:00	155.592	155.683	155.534	155.563	55	0	72
2024.01.02	00:45:00	155.563	155.608	155.553	155.585	39	0	51
2024.01.02	01:00:00	155.589	155.620	155.448	155.448	259	0	5
2024.01.02	01:15:00	155.448	155.573	155.446	155.573	317	0	7
2024.01.02	01:30:00	155.568	155.599	155.521	155.586	361	0	5
2024.01.02	01:45:00	155.586	155.765	155.585	155.743	398	0	5
2024.01.02	02:00:00	155.749	155.820	155.736	155.819	253	0	1
2024.01.02	02:15:00	155.819	156.011	155.806	155.937	330	0	2
2024.01.02	02:30:00	155.948	155.970	155.872	155.916	247	0	0
2024.01.02	02:45:00	155.916	155.943	155.799	155.804	312	0	0
2024.01.02	03:00:00	155.810	155.943	155.810	155.921	384	0	1
2024.01.02	03:15:00	155.920	156.046	155.905	156.032	323	0	3
2024.01.02	03:30:00	156.031	156.138	155.989	156.053	334	0	0
2024.01.02	03:45:00	156.058	156.129	156.058	156.084	239	0	0
2024.01.02	04:00:00	156.084	156.097	155.990	155.996	221	0	0
2024.01.02	04:15:00	155.996	155.996	155.901	155.922	323	0	1
2024.01.02	04:30:00	155.922	156.166	155.907	155.978	390	0	0
2024.01.02	04:45:00	155.978	156.045	155.950	155.992	360	0	0
2024.01.02	05:00:00	155.987	156.051	155.986	156.009	298	0	0
2024.01.02	05:15:00	156.005	156.140	156.004	156.134	290	0	1
2024.01.02	05:30:00	156.134	156.134	156.055	156.094	251	0	2
2024.01.02	05:45:00	156.094	156.106	156.001	156.007	227	0	2
2024.01.02	06:00:00	156.009	156.038	155.956	156.032	262	0	2
2024.01.02	06:15:00	156.026	156.061	155.990	155.990	173	0	3
2024.01.02	06:30:00	155.989	156.004	155.956	155.987	205	0	3
2024.01.02	06:45:00	155.987	155.997	155.952	155.995	212	0	2
2024.01.02	07:00:00	155.996	156.022	155.938	155.963	283	0	1
2024.01.02	07:15:00	155.963	156.013	155.944	155.985	234	0	3
2024.01.02	07:30:00	155.985	156.034	155.958	156.021	251	0	1
2024.01.02	07:45:00	156.022	156.022	155.930	155.962	293	0	2
2024.01.02	08:00:00	155.958	156.006	155.946	156.003	310	0	2
2024.01.02	08:15:00	156.003	156.030	155.949	155.987	299	0	0
2024.01.02	08:30:00	155.986	156.070	155.952	156.044	317	0	2
2024.01.02	08:45:00	156.036	156.129	156.020	156.091	309	0	3
2024.01.02	09:00:00	156.084	156.136	156.026	156.043	471	0	2
2024.01.02	09:15:00	156.043	156.134	156.026	156.123	489	0	2
2024.01.02	09:30:00	156.122	156.123	156.026	156.029	498	0	0
2024.01.02	09:45:00	156.023	156.120	155.922	155.926	561	0	0
2024.01.02	10:00:00	155.940	156.062	155.928	155.955	681	0	0
2024.01.02	10:15:00	155.947	155.975	155.841	155.962	584	0	1
2024.01.02	10:30:00	155.966	156.095	155.957	156.045	561	0	0
2024.01.02	10:45:00	156.048	156.187	156.042	156.140	574	0	0
2024.01.02	11:00:00	156.136	156.339	156.105	156.311	528	0	0
2024.01.02	11:15:00	156.314	156.338	156.152	156.155	486	0	0
2024.01.02	11:30:00	156.149	156.158	155.860	155.866	524	0	0
2024.01.02	11:45:00	155.866	155.929	155.791	155.927	543	0	3
2024.01.02	12:00:00	155.927	155.928	155.766	155.852	497	0	1
2024.01.02	12:15:00	155.851	156.000	155.841	155.875	561	0	0
2024.01.02	12:30:00	155.882	155.959	155.848	155.933	525	0	0
2024.01.02	12:45:00	155.936	155.953	155.858	155.928	505	0	1
2024.01.02	13:00:00	155.927	155.941	155.735	155.741	549	0	0
2024.01.02	13:15:00	155.741	155.771	155.587	155.619	570	0	0
2024.01.02	13:30:00	155.605	155.712	155.603	155.666	612	0	0
2024.01.02	13:45:00	155.666	155.666	155.543	155.578	512	0	0
2024.01.02	14:00:00	155.585	155.645	155.546	155.632	523	0	0
2024.01.02	14:15:00	155.632	155.800	155.632	155.784	569	0	0
2024.01.02	14:30:00	155.776	155.919	155.771	155.834	563	0	0
2024.01.02	14:45:00	155.834	155.886	155.680	155.680	551	0	1
2024.01.02	15:00:00	155.679	155.736	155.620	155.638	617	0	0
2024.01.02	15:15:00	155.637	155.680	155.533	155.573	603	0	0
2024.01.02	15:30:00	155.574	155.628	155.537	155.593	562	0	1
2024.01.02	15:45:00	155.593	155.707	155.550	155.694	571	0	0
2024.01.02	16:00:00	155.698	155.709	155.472	155.472	575	0	1
2024.01.02	16:15:00	155.471	155.479	155.259	155.320	581	0	1
2024.01.02	16:30:00	155.323	155.483	155.317	155.465	674	0	0
2024.01.02	16:45:00	155.461	155.487	155.082	155.198	715	0	0
2024.01.02	17:00:00	155.184	155.281	155.184	155.232	667	0	0
2024.01.02	17:15:00	155.235	155.323	155.217	155.309	620	0	0
2024.01.02	17:30:00	155.308	155.466	155.252	155.462	646	0	0
2024.01.02	17:45:00	155.463	155.484	155.309	155.331	652	0	0
