<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.02	00:00:00	179.183	179.360	179.120	179.315	111	0	37
2024.01.02	00:30:00	179.315	179.424	179.098	179.281	82	0	63
2024.01.02	01:00:00	179.326	179.424	179.273	179.424	338	0	11
2024.01.02	01:30:00	179.424	179.632	179.364	179.608	480	0	9
2024.01.02	02:00:00	179.608	179.862	179.599	179.792	621	0	0
2024.01.02	02:30:00	179.804	179.824	179.608	179.616	631	0	0
2024.01.02	03:00:00	179.623	179.878	179.619	179.867	846	0	0
2024.01.02	03:30:00	179.863	179.987	179.812	179.922	654	0	0
2024.01.02	04:00:00	179.922	179.986	179.865	179.881	478	0	0
2024.01.02	04:30:00	179.883	180.209	179.865	179.934	849	0	0
2024.01.02	05:00:00	179.928	180.103	179.925	180.100	617	0	0
2024.01.02	05:30:00	180.100	180.100	179.964	179.971	481	0	1
2024.01.02	06:00:00	179.971	180.017	179.901	179.956	458	0	0
2024.01.02	06:30:00	179.956	179.993	179.933	179.951	432	0	0
2024.01.02	07:00:00	179.953	180.013	179.903	179.990	617	0	0
2024.01.02	07:30:00	179.990	180.124	179.951	180.039	903	0	0
2024.01.02	08:00:00	180.037	180.073	179.973	180.050	793	0	2
2024.01.02	08:30:00	180.048	180.215	180.013	180.177	811	0	0
2024.01.02	09:00:00	180.171	180.288	180.126	180.187	1095	0	0
2024.01.02	09:30:00	180.191	180.275	180.121	180.222	1156	0	0
2024.01.02	10:00:00	180.203	180.412	180.126	180.287	1362	0	0
2024.01.02	10:30:00	180.287	180.573	180.277	180.479	1200	0	0
2024.01.02	11:00:00	180.465	180.646	180.350	180.371	1209	0	0
2024.01.02	11:30:00	180.367	180.387	179.935	180.025	1137	0	0
2024.01.02	12:00:00	180.024	180.184	179.923	180.032	1166	0	0
2024.01.02	12:30:00	180.032	180.089	179.799	179.834	1152	0	0
2024.01.02	13:00:00	179.833	179.833	179.525	179.605	1233	0	0
2024.01.02	13:30:00	179.605	179.714	179.487	179.591	1262	0	0
2024.01.02	14:00:00	179.593	179.866	179.474	179.845	1198	0	0
2024.01.02	14:30:00	179.828	179.946	179.659	179.688	1308	0	0
2024.01.02	15:00:00	179.689	179.757	179.394	179.451	1309	0	0
2024.01.02	15:30:00	179.451	179.552	179.303	179.534	1244	0	0
2024.01.02	16:00:00	179.526	179.552	179.090	179.189	1308	0	0
2024.01.02	16:30:00	179.187	179.325	178.755	178.776	1519	0	0
2024.01.02	17:00:00	178.745	178.982	178.736	178.947	1475	0	0
2024.01.02	17:30:00	178.945	179.216	178.856	179.192	1459	0	0
2024.01.02	18:00:00	179.188	179.239	178.941	178.977	1361	0	0
2024.01.02	18:30:00	178.985	179.248	178.951	179.210	1014	0	0
2024.01.02	19:00:00	179.212	179.305	179.201	179.274	1036	0	0
2024.01.02	19:30:00	179.276	179.383	179.272	179.356	965	0	0
2024.01.02	20:00:00	179.356	179.380	179.204	179.223	824	0	0
2024.01.02	20:30:00	179.223	179.322	179.192	179.230	909	0	0
2024.01.02	21:00:00	179.228	179.230	179.129	179.190	674	0	0
2024.01.02	21:30:00	179.191	179.243	179.143	179.143	740	0	0
2024.01.02	22:00:00	179.145	179.189	179.058	179.065	917	0	0
2024.01.02	22:30:00	179.066	179.137	178.970	179.131	943	0	0
2024.01.02	23:00:00	179.129	179.207	179.118	179.167	724	0	0
2024.01.02	23:30:00	179.165	179.216	179.149	179.186	357	0	0
2024.01.03	00:00:00	178.907	179.127	178.905	179.111	94	0	61
2024.01.03	00:30:00	179.111	179.208	179.068	179.139	101	0	31
2024.01.03	01:00:00	179.139	179.378	179.139	179.377	272	0	11
2024.01.03	01:30:00	179.377	179.462	179.352	179.459	552	0	5
2024.01.03	02:00:00	179.459	179.459	179.176	179.234	866	0	1
2024.01.03	02:30:00	179.233	179.311	179.191	179.301	863	0	1
2024.01.03	03:00:00	179.293	179.473	179.278	179.375	856	0	2
2024.01.03	03:30:00	179.377	179.383	179.228	179.349	757	0	1
2024.01.03	04:00:00	179.349	179.403	179.304	179.349	706	0	3
2024.01.03	04:30:00	179.350	179.387	179.330	179.380	644	0	0
2024.01.03	05:00:00	179.385	179.399	179.284	179.337	799	0	2
2024.01.03	05:30:00	179.330	179.379	179.326	179.354	732	0	0
2024.01.03	06:00:00	179.353	179.398	179.318	179.377	603	0	1
2024.01.03	06:30:00	179.377	179.416	179.349	179.385	625	0	1
2024.01.03	07:00:00	179.385	179.518	179.385	179.463	597	0	2
2024.01.03	07:30:00	179.463	179.535	179.395	179.511	865	0	0
2024.01.03	08:00:00	179.506	179.562	179.455	179.537	806	0	0
2024.01.03	08:30:00	179.538	179.705	179.520	179.654	818	0	0
2024.01.03	09:00:00	179.646	179.874	179.515	179.851	1122	0	0
2024.01.03	09:30:00	179.851	180.127	179.828	180.071	1147	0	0
2024.01.03	10:00:00	180.080	180.305	179.995	180.304	1248	0	0
2024.01.03	10:30:00	180.305	180.353	180.206	180.231	1162	0	0
2024.01.03	11:00:00	180.235	180.342	180.022	180.041	1230	0	0
2024.01.03	11:30:00	180.041	180.290	179.997	180.122	1095	0	0
2024.01.03	12:00:00	180.116	180.297	180.068	180.222	989	0	0
2024.01.03	12:30:00	180.221	180.265	180.040	180.125	914	0	0
2024.01.03	13:00:00	180.122	180.276	180.049	180.255	1013	0	0
2024.01.03	13:30:00	180.252	180.551	180.244	180.498	1128	0	0
2024.01.03	14:00:00	180.483	180.565	180.424	180.480	1067	0	0
2024.01.03	14:30:00	180.484	180.517	180.361	180.456	1072	0	0
2024.01.03	15:00:00	180.457	180.620	180.449	180.593	1203	0	0
2024.01.03	15:30:00	180.604	180.667	180.524	180.630	1398	0	0
2024.01.03	16:00:00	180.633	180.890	180.556	180.890	1356	0	0
2024.01.03	16:30:00	180.891	181.046	180.682	180.714	1467	0	0
2024.01.03	17:00:00	180.664	181.368	180.623	181.319	1579	0	0
2024.01.03	17:30:00	181.317	181.465	181.262	181.339	1536	0	0
2024.01.03	18:00:00	181.320	181.437	181.269	181.374	1452	0	0
2024.01.03	18:30:00	181.377	181.464	181.286	181.464	1237	0	0
2024.01.03	19:00:00	181.464	181.536	181.433	181.535	1100	0	0
2024.01.03	19:30:00	181.531	181.747	181.517	181.593	1061	0	0
2024.01.03	20:00:00	181.591	181.756	181.509	181.662	1108	0	0
2024.01.03	20:30:00	181.667	181.685	181.319	181.387	950	0	0
2024.01.03	21:00:00	181.256	181.698	181.256	181.577	1470	0	0
2024.01.03	21:30:00	181.600	181.615	181.393	181.406	1398	0	0
2024.01.03	22:00:00	181.413	181.442	181.258	181.355	1271	0	0
2024.01.03	22:30:00	181.354	181.426	181.327	181.393	1188	0	0
2024.01.03	23:00:00	181.395	181.461	181.387	181.448	678	0	0
2024.01.03	23:30:00	181.446	181.503	181.410	181.478	440	0	3
2024.01.04	00:00:00	181.327	181.427	181.280	181.332	115	0	58
2024.01.04	00:30:00	181.332	181.384	181.213	181.223	127	0	29
2024.01.04	01:00:00	181.223	181.357	181.191	181.255	452	0	8
2024.01.04	01:30:00	181.253	181.320	181.165	181.227	715	0	0
2024.01.04	02:00:00	181.218	181.237	181.017	181.231	1025	0	0
2024.01.04	02:30:00	181.236	181.547	181.230	181.511	1000	0	0
2024.01.04	03:00:00	181.509	181.586	181.290	181.578	1113	0	0
2024.01.04	03:30:00	181.577	181.647	181.510	181.615	1051	0	0
2024.01.04	04:00:00	181.615	181.615	181.493	181.509	931	0	0
2024.01.04	04:30:00	181.515	181.646	181.515	181.636	834	0	0
2024.01.04	05:00:00	181.636	181.638	181.525	181.551	918	0	0
2024.01.04	05:30:00	181.555	181.683	181.498	181.668	723	0	0
2024.01.04	06:00:00	181.669	181.948	181.655	181.844	604	0	0
2024.01.04	06:30:00	181.844	181.961	181.687	181.906	851	0	0
2024.01.04	07:00:00	181.908	182.034	181.904	181.978	1020	0	0
2024.01.04	07:30:00	181.978	182.239	181.970	182.102	1117	0	0
2024.01.04	08:00:00	182.105	182.207	181.984	182.117	1028	0	0
2024.01.04	08:30:00	182.115	182.132	181.953	181.985	1095	0	0
2024.01.04	09:00:00	181.982	182.054	181.800	181.903	1175	0	0
2024.01.04	09:30:00	181.899	182.038	181.680	181.992	1242	0	0
2024.01.04	10:00:00	181.982	182.239	181.844	182.104	1342	0	0
2024.01.04	10:30:00	182.104	182.448	182.104	182.390	1316	0	0
2024.01.04	11:00:00	182.385	182.640	182.383	182.604	1224	0	0
2024.01.04	11:30:00	182.631	183.045	182.625	183.009	1320	0	0
2024.01.04	12:00:00	183.012	183.269	182.993	183.174	1133	0	0
2024.01.04	12:30:00	183.176	183.328	183.072	183.309	1132	0	0
2024.01.04	13:00:00	183.310	183.334	183.113	183.276	1046	0	0
2024.01.04	13:30:00	183.281	183.294	182.984	183.068	973	0	0
2024.01.04	14:00:00	183.065	183.101	182.848	183.053	1045	0	0
2024.01.04	14:30:00	183.053	183.092	182.973	183.055	1026	0	0
2024.01.04	15:00:00	183.054	183.182	182.697	183.092	1256	0	0
2024.01.04	15:30:00	182.965	183.284	182.965	183.179	1403	0	0
2024.01.04	16:00:00	183.174	183.366	183.174	183.366	1322	0	0
2024.01.04	16:30:00	183.365	183.686	183.330	183.573	1369	0	0
2024.01.04	17:00:00	183.567	183.757	183.542	183.617	1467	0	0
2024.01.04	17:30:00	183.617	183.777	183.603	183.717	1357	0	0
2024.01.04	18:00:00	183.698	183.706	183.442	183.497	1287	0	0
2024.01.04	18:30:00	183.498	183.544	183.407	183.482	1161	0	0
2024.01.04	19:00:00	183.479	183.525	183.346	183.417	1115	0	0
2024.01.04	19:30:00	183.419	183.442	183.238	183.397	957	0	0
2024.01.04	20:00:00	183.391	183.522	183.351	183.366	896	0	0
2024.01.04	20:30:00	183.366	183.435	183.315	183.383	842	0	0
2024.01.04	21:00:00	183.385	183.387	183.296	183.328	692	0	0
2024.01.04	21:30:00	183.331	183.410	183.225	183.372	703	0	0
2024.01.04	22:00:00	183.370	183.370	183.268	183.313	831	0	0
2024.01.04	22:30:00	183.314	183.402	183.286	183.401	841	0	0
2024.01.04	23:00:00	183.419	183.481	183.391	183.451	553	0	0
2024.01.04	23:30:00	183.455	183.471	183.372	183.429	506	0	0
2024.01.05	00:00:00	183.276	183.435	183.241	183.371	241	0	48
2024.01.05	00:30:00	183.375	183.416	183.284	183.386	568	0	17
2024.01.05	01:00:00	183.363	183.534	183.363	183.528	272	0	3
2024.01.05	01:30:00	183.529	183.620	183.479	183.589	390	0	2
2024.01.05	02:00:00	183.588	183.680	183.507	183.600	836	0	0
2024.01.05	02:30:00	183.594	183.887	183.580	183.765	927	0	0
2024.01.05	03:00:00	183.762	183.794	183.693	183.768	1002	0	0
2024.01.05	03:30:00	183.768	183.797	183.611	183.727	989	0	1
2024.01.05	04:00:00	183.728	183.737	183.645	183.653	684	0	0
2024.01.05	04:30:00	183.660	183.760	183.646	183.728	891	0	0
2024.01.05	05:00:00	183.717	183.779	183.677	183.743	838	0	0
