<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.02	00:00:00	1.27212	1.27351	1.27174	1.27209	3397	0	0
2024.01.02	04:00:00	1.27208	1.27408	1.27096	1.27368	3969	0	0
2024.01.02	08:00:00	1.27368	1.27597	1.27173	1.27176	6808	0	0
2024.01.02	12:00:00	1.27170	1.27183	1.26213	1.26297	8239	0	0
2024.01.02	16:00:00	1.26282	1.26445	1.26104	1.26330	8947	0	0
2024.01.02	20:00:00	1.26329	1.26346	1.26158	1.26188	4830	0	0
2024.01.03	00:00:00	1.26150	1.26340	1.26129	1.26288	3257	0	0
2024.01.03	04:00:00	1.26288	1.26416	1.26262	1.26305	3854	0	0
2024.01.03	08:00:00	1.26306	1.26523	1.26243	1.26281	6718	0	0
2024.01.03	12:00:00	1.26278	1.26430	1.26181	1.26296	7383	0	0
2024.01.03	16:00:00	1.26298	1.26562	1.26163	1.26448	9385	0	0
2024.01.03	20:00:00	1.26454	1.26763	1.26304	1.26641	7431	0	0
2024.01.04	00:00:00	1.26572	1.26735	1.26555	1.26623	3766	0	0
2024.01.04	04:00:00	1.26622	1.26758	1.26567	1.26650	4166	0	0
2024.01.04	08:00:00	1.26649	1.27242	1.26649	1.27200	7485	0	0
2024.01.04	12:00:00	1.27202	1.27294	1.26702	1.26727	7286	0	0
2024.01.04	16:00:00	1.26728	1.27108	1.26646	1.26834	8700	0	0
2024.01.04	20:00:00	1.26833	1.26874	1.26737	1.26826	4228	0	0
2024.01.05	00:00:00	1.26758	1.26955	1.26750	1.26935	3391	0	0
2024.01.05	04:00:00	1.26935	1.26964	1.26736	1.26740	4418	0	0
2024.01.05	08:00:00	1.26740	1.26887	1.26570	1.26593	6698	0	0
2024.01.05	12:00:00	1.26595	1.26711	1.26113	1.26570	7089	0	0
2024.01.05	16:00:00	1.26576	1.27706	1.26547	1.27233	10520	0	0
2024.01.05	20:00:00	1.27232	1.27391	1.27100	1.27174	5996	0	0
2024.01.08	00:00:00	1.27121	1.27299	1.27057	1.27210	2707	0	0
2024.01.08	04:00:00	1.27210	1.27210	1.26978	1.27035	3728	0	0
2024.01.08	08:00:00	1.27035	1.27197	1.26732	1.26949	6304	0	0
2024.01.08	12:00:00	1.26947	1.27208	1.26930	1.27117	6838	0	0
2024.01.08	16:00:00	1.27118	1.27667	1.27091	1.27546	11150	0	0
2024.01.08	20:00:00	1.27544	1.27603	1.27398	1.27482	5721	0	0
2024.01.09	00:00:00	1.27459	1.27608	1.27401	1.27602	6971	0	0
2024.01.09	04:00:00	1.27602	1.27649	1.27376	1.27433	7769	0	0
2024.01.09	08:00:00	1.27433	1.27508	1.27241	1.27343	14228	0	0
2024.01.09	12:00:00	1.27343	1.27383	1.27069	1.27254	17254	0	0
2024.01.09	16:00:00	1.27254	1.27313	1.26891	1.27100	13219	0	0
2024.01.09	20:00:00	1.27100	1.27174	1.26916	1.27093	6911	0	0
2024.01.10	00:00:00	1.27002	1.27178	1.26971	1.27108	6044	0	0
2024.01.10	04:00:00	1.27108	1.27126	1.26969	1.27013	6814	0	0
2024.01.10	08:00:00	1.27012	1.27288	1.26858	1.27256	16145	0	0
2024.01.10	12:00:00	1.27255	1.27364	1.27178	1.27243	16005	0	0
2024.01.10	16:00:00	1.27243	1.27406	1.27133	1.27336	10970	0	0
2024.01.10	20:00:00	1.27336	1.27441	1.27276	1.27418	6296	0	0
2024.01.11	00:00:00	1.27287	1.27613	1.27238	1.27603	5795	0	0
2024.01.11	04:00:00	1.27603	1.27713	1.27578	1.27632	9046	0	0
2024.01.11	08:00:00	1.27632	1.27741	1.27383	1.27396	13918	0	0
2024.01.11	12:00:00	1.27396	1.27707	1.27025	1.27105	15509	0	0
2024.01.11	16:00:00	1.27111	1.27538	1.26899	1.27204	17498	0	0
2024.01.11	20:00:00	1.27202	1.27667	1.27188	1.27627	10482	0	0
2024.01.12	00:00:00	1.27432	1.27816	1.27425	1.27800	9865	0	0
2024.01.12	04:00:00	1.27800	1.27842	1.27680	1.27725	10965	0	0
2024.01.12	08:00:00	1.27725	1.27796	1.27495	1.27526	16568	0	0
2024.01.12	12:00:00	1.27526	1.27681	1.27192	1.27551	18850	0	0
2024.01.12	16:00:00	1.27554	1.27855	1.27322	1.27394	14528	0	0
2024.01.12	20:00:00	1.27395	1.27562	1.27351	1.27473	7193	0	0
2024.01.15	00:00:00	1.27275	1.27509	1.27275	1.27418	9289	0	0
2024.01.15	04:00:00	1.27421	1.27652	1.27419	1.27527	9637	0	0
2024.01.15	08:00:00	1.27527	1.27603	1.27183	1.27260	16128	0	0
2024.01.15	12:00:00	1.27260	1.27394	1.27127	1.27278	16259	0	0
2024.01.15	16:00:00	1.27278	1.27381	1.27130	1.27292	7933	0	0
2024.01.15	20:00:00	1.27292	1.27318	1.27261	1.27282	1483	0	0
2024.01.16	00:00:00	1.27256	1.27285	1.26789	1.26951	10025	0	0
2024.01.16	04:00:00	1.26951	1.26951	1.26763	1.26803	10501	0	0
2024.01.16	08:00:00	1.26803	1.26870	1.26353	1.26408	21859	0	0
2024.01.16	12:00:00	1.26408	1.26723	1.26200	1.26422	16234	0	0
2024.01.16	16:00:00	1.26418	1.26786	1.26241	1.26245	15807	0	0
2024.01.16	20:00:00	1.26245	1.26404	1.26189	1.26347	6395	0	0
2024.01.17	00:00:00	1.26249	1.26429	1.26249	1.26352	8254	0	0
2024.01.17	04:00:00	1.26353	1.26436	1.26057	1.26098	10319	0	0
2024.01.17	08:00:00	1.26100	1.26838	1.25962	1.26803	26937	0	0
2024.01.17	12:00:00	1.26803	1.26961	1.26416	1.26507	17168	0	0
2024.01.17	16:00:00	1.26507	1.26820	1.26385	1.26780	13883	0	0
2024.01.17	20:00:00	1.26781	1.26867	1.26621	1.26796	7358	0	0
2024.01.18	00:00:00	1.26760	1.26916	1.26670	1.26894	7960	0	0
2024.01.18	04:00:00	1.26893	1.26949	1.26775	1.26867	10307	0	0
2024.01.18	08:00:00	1.26869	1.27038	1.26737	1.26737	10874	0	0
2024.01.18	12:00:00	1.26737	1.26957	1.26503	1.26521	10172	0	0
2024.01.18	16:00:00	1.26520	1.26919	1.26479	1.26812	14160	0	0
2024.01.18	20:00:00	1.26813	1.27080	1.26767	1.27063	7338	0	0
2024.01.19	00:00:00	1.27036	1.27123	1.26997	1.27071	6075	0	0
2024.01.19	04:00:00	1.27070	1.27146	1.26960	1.26991	6391	0	0
2024.01.19	08:00:00	1.26988	1.27012	1.26650	1.26839	13701	0	0
2024.01.19	12:00:00	1.26839	1.26904	1.26696	1.26742	14216	0	0
2024.01.19	16:00:00	1.26742	1.26883	1.26608	1.26881	12909	0	0
2024.01.19	20:00:00	1.26882	1.27052	1.26822	1.27014	6268	0	0
2024.01.22	00:00:00	1.26817	1.27131	1.26801	1.27089	6547	0	0
2024.01.22	04:00:00	1.27089	1.27189	1.27066	1.27185	5796	0	0
2024.01.22	08:00:00	1.27185	1.27243	1.26867	1.27048	10308	0	0
2024.01.22	12:00:00	1.27041	1.27318	1.26982	1.27270	8575	0	0
2024.01.22	16:00:00	1.27271	1.27326	1.27088	1.27212	10199	0	0
2024.01.22	20:00:00	1.27212	1.27216	1.26975	1.27079	6385	0	0
2024.01.23	00:00:00	1.27032	1.27212	1.27004	1.27204	4533	0	0
2024.01.23	04:00:00	1.27202	1.27386	1.27150	1.27370	9914	0	0
2024.01.23	08:00:00	1.27370	1.27471	1.27202	1.27283	14520	0	0
2024.01.23	12:00:00	1.27283	1.27287	1.26998	1.27079	12373	0	0
2024.01.23	16:00:00	1.27078	1.27078	1.26490	1.26577	10534	0	0
2024.01.23	20:00:00	1.26577	1.26917	1.26570	1.26871	4969	0	0
2024.01.24	00:00:00	1.26716	1.26976	1.26666	1.26924	6877	0	0
2024.01.24	04:00:00	1.26924	1.27041	1.26854	1.27023	5246	0	0
2024.01.24	08:00:00	1.27023	1.27731	1.26995	1.27644	13544	0	0
2024.01.24	12:00:00	1.27643	1.27709	1.27281	1.27666	12971	0	0
2024.01.24	16:00:00	1.27666	1.27746	1.27337	1.27481	12890	0	0
2024.01.24	20:00:00	1.27479	1.27502	1.27131	1.27238	6940	0	0
2024.01.25	00:00:00	1.27186	1.27262	1.27034	1.27117	4463	0	0
2024.01.25	04:00:00	1.27118	1.27172	1.27071	1.27102	4539	0	0
2024.01.25	08:00:00	1.27103	1.27368	1.27086	1.27259	7280	0	0
2024.01.25	12:00:00	1.27261	1.27423	1.26980	1.27361	8963	0	0
2024.01.25	16:00:00	1.27363	1.27363	1.26815	1.26903	13311	0	0
2024.01.25	20:00:00	1.26905	1.27117	1.26860	1.27084	6772	0	0
2024.01.26	00:00:00	1.27007	1.27120	1.26977	1.27088	4680	0	0
2024.01.26	04:00:00	1.27085	1.27161	1.27019	1.27058	5038	0	0
2024.01.26	08:00:00	1.27058	1.27217	1.26754	1.27142	12425	0	0
2024.01.26	12:00:00	1.27142	1.27583	1.27142	1.27488	12766	0	0
2024.01.26	16:00:00	1.27485	1.27545	1.27061	1.27131	12367	0	0
2024.01.26	20:00:00	1.27132	1.27150	1.26988	1.27033	5537	0	0
2024.01.29	00:00:00	1.26961	1.27056	1.26902	1.27003	8310	0	0
2024.01.29	04:00:00	1.27003	1.27079	1.26949	1.27018	6172	0	0
2024.01.29	08:00:00	1.27019	1.27190	1.26983	1.27037	12198	0	0
2024.01.29	12:00:00	1.27037	1.27129	1.26831	1.26934	10222	0	0
2024.01.29	16:00:00	1.26935	1.26958	1.26621	1.26831	11154	0	0
2024.01.29	20:00:00	1.26837	1.27172	1.26766	1.27092	7532	0	0
2024.01.30	00:00:00	1.27034	1.27211	1.26932	1.27108	4984	0	0
2024.01.30	04:00:00	1.27108	1.27137	1.27037	1.27057	4642	0	0
2024.01.30	08:00:00	1.27057	1.27088	1.26714	1.26809	11424	0	0
2024.01.30	12:00:00	1.26809	1.26837	1.26625	1.26749	10402	0	0
2024.01.30	16:00:00	1.26751	1.26891	1.26400	1.26808	15036	0	0
2024.01.30	20:00:00	1.26808	1.27000	1.26733	1.26991	6751	0	0
2024.01.31	00:00:00	1.26960	1.27004	1.26792	1.26844	5908	0	0
2024.01.31	04:00:00	1.26842	1.26842	1.26725	1.26777	5850	0	0
2024.01.31	08:00:00	1.26777	1.26972	1.26664	1.26697	11260	0	0
2024.01.31	12:00:00	1.26698	1.27126	1.26671	1.27054	12999	0	0
2024.01.31	16:00:00	1.27054	1.27504	1.27003	1.27183	17725	0	0
2024.01.31	20:00:00	1.27176	1.27389	1.26578	1.26873	17646	0	0
2024.02.01	00:00:00	1.26680	1.26872	1.26672	1.26793	7700	0	0
2024.02.01	04:00:00	1.26791	1.26980	1.26678	1.26678	5767	0	0
2024.02.01	08:00:00	1.26680	1.26740	1.26420	1.26559	13160	0	0
2024.02.01	12:00:00	1.26559	1.26857	1.26252	1.26589	16473	0	0
2024.02.01	16:00:00	1.26589	1.27396	1.26412	1.27362	18292	0	0
2024.02.01	20:00:00	1.27362	1.27557	1.27281	1.27423	8742	0	0
2024.02.02	00:00:00	1.27416	1.27547	1.27394	1.27456	5889	0	0
2024.02.02	04:00:00	1.27458	1.27543	1.27432	1.27496	5298	0	0
2024.02.02	08:00:00	1.27495	1.27675	1.27422	1.27574	10471	0	0
2024.02.02	12:00:00	1.27575	1.27723	1.26690	1.26716	11297	0	0
2024.02.02	16:00:00	1.26711	1.26734	1.26138	1.26182	13425	0	0
2024.02.02	20:00:00	1.26180	1.26436	1.26156	1.26329	7231	0	0
2024.02.05	00:00:00	1.26249	1.26327	1.25988	1.26110	9020	0	0
2024.02.05	04:00:00	1.26108	1.26140	1.25990	1.26113	7560	0	0
