<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.02	00:00:00	1.27212	1.27247	1.27188	1.27223	32	0	54
2024.01.02	00:15:00	1.27223	1.27284	1.27204	1.27284	53	0	1
2024.01.02	00:30:00	1.27284	1.27321	1.27174	1.27320	106	0	1
2024.01.02	00:45:00	1.27322	1.27323	1.27270	1.27277	85	0	1
2024.01.02	01:00:00	1.27296	1.27351	1.27296	1.27321	138	0	0
2024.01.02	01:15:00	1.27321	1.27321	1.27264	1.27308	248	0	0
2024.01.02	01:30:00	1.27308	1.27314	1.27270	1.27271	224	0	0
2024.01.02	01:45:00	1.27271	1.27289	1.27262	1.27277	213	0	0
2024.01.02	02:00:00	1.27278	1.27297	1.27266	1.27277	242	0	0
2024.01.02	02:15:00	1.27277	1.27293	1.27213	1.27228	207	0	0
2024.01.02	02:30:00	1.27226	1.27245	1.27216	1.27224	219	0	0
2024.01.02	02:45:00	1.27223	1.27269	1.27221	1.27258	265	0	0
2024.01.02	03:00:00	1.27258	1.27331	1.27237	1.27254	397	0	0
2024.01.02	03:15:00	1.27254	1.27299	1.27251	1.27259	331	0	0
2024.01.02	03:30:00	1.27256	1.27263	1.27215	1.27249	352	0	0
2024.01.02	03:45:00	1.27253	1.27267	1.27202	1.27209	285	0	0
2024.01.02	04:00:00	1.27208	1.27255	1.27207	1.27245	214	0	0
2024.01.02	04:15:00	1.27245	1.27245	1.27212	1.27212	261	0	0
2024.01.02	04:30:00	1.27212	1.27228	1.27122	1.27138	333	0	0
2024.01.02	04:45:00	1.27141	1.27151	1.27098	1.27107	309	0	0
2024.01.02	05:00:00	1.27107	1.27171	1.27096	1.27156	297	0	0
2024.01.02	05:15:00	1.27155	1.27163	1.27125	1.27137	249	0	0
2024.01.02	05:30:00	1.27145	1.27161	1.27143	1.27161	216	0	0
2024.01.02	05:45:00	1.27161	1.27199	1.27132	1.27185	223	0	0
2024.01.02	06:00:00	1.27185	1.27189	1.27143	1.27156	174	0	0
2024.01.02	06:15:00	1.27159	1.27159	1.27127	1.27133	161	0	0
2024.01.02	06:30:00	1.27138	1.27161	1.27129	1.27130	204	0	0
2024.01.02	06:45:00	1.27130	1.27146	1.27110	1.27145	177	0	0
2024.01.02	07:00:00	1.27146	1.27210	1.27144	1.27209	283	0	0
2024.01.02	07:15:00	1.27209	1.27253	1.27204	1.27240	284	0	0
2024.01.02	07:30:00	1.27240	1.27303	1.27236	1.27297	301	0	0
2024.01.02	07:45:00	1.27298	1.27408	1.27294	1.27368	283	0	0
2024.01.02	08:00:00	1.27368	1.27371	1.27316	1.27338	311	0	0
