<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.02	00:00:00	16793.25	16819.25	16793.25	16800.25	322	0	210
2024.01.02	04:00:00	16800.25	16825.25	16794.25	16818.25	607	0	210
2024.01.02	08:00:00	16818.25	16983.55	16807.25	16887.55	2939	0	50
2024.01.02	12:00:00	16887.55	16890.55	16658.25	16710.05	3931	0	50
2024.01.02	16:00:00	16710.05	16802.05	16710.05	16785.05	4244	0	50
2024.01.02	20:00:00	16785.05	16788.05	16728.05	16750.25	2067	0	50
2024.01.03	00:00:00	16754.05	16759.05	16742.05	16744.05	474	0	210
2024.01.03	04:00:00	16744.05	16752.05	16723.55	16737.05	855	0	210
2024.01.03	08:00:00	16736.55	16799.85	16657.85	16657.85	3069	0	50
2024.01.03	12:00:00	16658.65	16700.85	16592.85	16604.85	3748	0	50
2024.01.03	16:00:00	16604.85	16606.85	16488.35	16569.35	4825	0	50
2024.01.03	20:00:00	16568.35	16579.35	16523.55	16537.55	2741	0	50
2024.01.04	00:00:00	16514.85	16543.35	16514.85	16538.35	531	0	210
2024.01.04	04:00:00	16538.35	16544.85	16513.35	16514.85	891	0	210
2024.01.04	08:00:00	16515.85	16624.15	16514.85	16602.15	3120	0	50
2024.01.04	12:00:00	16602.15	16605.15	16509.15	16544.15	3451	0	50
2024.01.04	16:00:00	16545.15	16636.15	16539.15	16603.15	3935	0	50
2024.01.04	20:00:00	16602.15	16611.15	16562.35	16580.35	2066	0	50
2024.01.05	00:00:00	16593.15	16593.15	16568.15	16577.15	489	0	210
2024.01.05	04:00:00	16577.15	16577.15	16543.15	16549.15	824	0	210
2024.01.05	08:00:00	16549.65	16556.15	16473.95	16493.95	3150	0	50
2024.01.05	12:00:00	16495.95	16541.95	16450.95	16525.95	3713	0	50
2024.01.05	16:00:00	16526.95	16654.95	16511.45	16581.95	4468	0	50
2024.01.05	20:00:00	16581.95	16612.95	16567.95	16593.05	1899	0	50
2024.01.08	00:00:00	16615.65	16635.65	16604.65	16605.65	400	0	210
2024.01.08	04:00:00	16604.65	16613.15	16577.65	16579.65	998	0	210
2024.01.08	08:00:00	16579.65	16654.45	16526.45	16591.45	3485	0	50
2024.01.08	12:00:00	16590.45	16658.45	16588.45	16640.45	3363	0	50
2024.01.08	16:00:00	16640.45	16742.65	16640.45	16741.65	4057	0	50
2024.01.08	20:00:00	16741.65	16794.15	16729.65	16772.15	1757	0	50
2024.01.09	00:00:00	16785.55	16786.55	16760.55	16767.55	1169	0	210
2024.01.09	04:00:00	16767.55	16774.55	16751.05	16760.55	1928	0	210
2024.01.09	08:00:00	16761.05	16784.05	16644.35	16704.35	12524	0	50
2024.01.09	12:00:00	16704.35	16711.35	16619.35	16645.35	12603	0	50
2024.01.09	16:00:00	16645.35	16705.35	16632.35	16694.35	5864	0	50
2024.01.09	20:00:00	16694.35	16708.35	16666.75	16679.35	2737	0	50
2024.01.10	00:00:00	16693.75	16703.75	16672.25	16677.25	1571	0	210
2024.01.10	04:00:00	16677.25	16684.25	16630.75	16655.25	3744	0	200
2024.01.10	08:00:00	16655.25	16767.55	16637.75	16755.55	12455	0	50
2024.01.10	12:00:00	16755.55	16758.55	16670.05	16679.05	10554	0	50
2024.01.10	16:00:00	16679.05	16715.05	16664.05	16712.05	5707	0	50
2024.01.10	20:00:00	16713.05	16749.05	16704.05	16733.25	2159	0	50
2024.01.11	00:00:00	16734.55	16763.55	16731.55	16759.05	1400	0	210
2024.01.11	04:00:00	16759.05	16810.05	16757.05	16801.05	2530	0	210
2024.01.11	08:00:00	16801.05	16849.85	16732.85	16758.85	14277	0	50
2024.01.11	12:00:00	16758.85	16768.85	16647.85	16650.85	11373	0	50
2024.01.11	16:00:00	16651.85	16730.85	16541.35	16590.35	8252	0	50
2024.01.11	20:00:00	16588.35	16653.35	16586.35	16629.99	3367	0	50
2024.01.12	00:00:00	16639.95	16652.95	16627.95	16646.95	1878	0	210
2024.01.12	04:00:00	16647.45	16666.45	16629.95	16650.95	2230	0	210
