<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.02	00:00:00	16859.25	16880.75	16853.50	16856.75	2733	0	70
2024.01.02	04:00:00	16856.75	16861.50	16843.50	16860.00	2734	0	70
2024.01.02	08:00:00	16860.00	16877.60	16831.65	16837.65	4761	0	70
2024.01.02	12:00:00	16837.40	16840.90	16661.15	16696.65	7503	0	70
2024.01.02	16:00:00	16697.40	16721.40	16528.50	16562.50	11150	0	70
2024.01.02	20:00:00	16562.75	16585.50	16467.50	16575.75	8781	0	70
2024.01.03	00:00:00	16576.90	16580.40	16552.15	16556.40	2746	0	70
2024.01.03	04:00:00	16556.15	16559.40	16534.15	16549.65	2985	0	70
2024.01.03	08:00:00	16548.90	16573.40	16486.80	16488.05	5663	0	70
2024.01.03	12:00:00	16487.80	16518.65	16443.10	16462.15	6751	0	70
2024.01.03	16:00:00	16461.90	16497.45	16389.95	16448.35	11271	0	70
2024.01.03	20:00:00	16446.10	16472.50	16367.75	16388.15	9296	0	70
2024.01.04	00:00:00	16405.75	16410.25	16381.50	16403.00	2960	0	70
2024.01.04	04:00:00	16403.00	16405.00	16390.00	16391.00	2622	0	70
2024.01.04	08:00:00	16391.00	16434.50	16387.50	16424.25	5140	0	70
2024.01.04	12:00:00	16424.25	16425.00	16300.30	16308.05	6412	0	70
2024.01.04	16:00:00	16309.05	16431.65	16293.05	16354.15	11247	0	70
2024.01.04	20:00:00	16353.15	16377.65	16285.40	16298.40	8981	0	70
2024.01.05	00:00:00	16306.10	16318.35	16300.85	16309.60	2688	0	70
2024.01.05	04:00:00	16309.60	16310.10	16275.35	16278.10	2737	0	70
2024.01.05	08:00:00	16277.60	16287.85	16241.50	16247.35	5523	0	70
2024.01.05	12:00:00	16247.10	16266.70	16186.45	16249.45	6729	0	70
2024.01.05	16:00:00	16251.95	16424.60	16250.45	16318.35	11453	0	70
2024.01.05	20:00:00	16318.10	16357.60	16253.85	16314.10	8896	0	70
