<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.02	01:00:00	16859.25	16869.00	16856.50	16867.50	314	0	70
2024.01.02	01:15:00	16868.00	16879.25	16868.00	16875.50	232	0	70
2024.01.02	01:30:00	16875.50	16878.00	16870.00	16870.00	230	0	70
2024.01.02	01:45:00	16870.00	16873.00	16869.75	16872.00	153	0	70
2024.01.02	02:00:00	16872.50	16872.75	16869.00	16869.75	178	0	70
2024.01.02	02:15:00	16869.75	16870.75	16861.00	16862.25	163	0	70
2024.01.02	02:30:00	16862.25	16869.75	16860.75	16868.25	163	0	70
2024.01.02	02:45:00	16868.50	16869.75	16867.00	16869.25	152	0	70
2024.01.02	03:00:00	16869.75	16880.75	16869.00	16871.75	294	0	70
2024.01.02	03:15:00	16872.00	16878.25	16869.50	16871.50	245	0	70
2024.01.02	03:30:00	16871.00	16873.75	16853.50	16857.00	317	0	70
2024.01.02	03:45:00	16857.75	16864.50	16856.00	16856.75	292	0	70
2024.01.02	04:00:00	16856.75	16861.25	16856.50	16859.25	208	0	70
2024.01.02	04:15:00	16859.00	16859.00	16852.75	16853.50	218	0	70
2024.01.02	04:30:00	16854.00	16855.50	16848.75	16853.50	242	0	70
2024.01.02	04:45:00	16853.50	16854.00	16843.50	16850.75	243	0	70
2024.01.02	05:00:00	16851.50	16855.00	16850.25	16853.50	152	0	70
2024.01.02	05:15:00	16853.50	16854.25	16847.00	16851.75	171	0	70
2024.01.02	05:30:00	16851.50	16852.50	16845.50	16850.00	124	0	70
2024.01.02	05:45:00	16849.75	16851.75	16844.50	16849.50	152	0	70
2024.01.02	06:00:00	16849.50	16850.25	16845.75	16850.25	120	0	70
2024.01.02	06:15:00	16850.50	16850.75	16848.00	16850.00	93	0	70
2024.01.02	06:30:00	16850.50	16855.25	16849.50	16852.00	138	0	70
2024.01.02	06:45:00	16851.75	16853.75	16849.75	16850.00	115	0	70
2024.01.02	07:00:00	16850.00	16858.50	16849.00	16858.50	224	0	70
2024.01.02	07:15:00	16858.50	16861.00	16855.00	16859.00	188	0	70
2024.01.02	07:30:00	16859.00	16861.00	16858.00	16860.50	190	0	70
2024.01.02	07:45:00	16860.50	16861.50	16858.50	16860.00	156	0	70
2024.01.02	08:00:00	16860.00	16861.50	16852.50	16853.00	188	0	70
2024.01.02	08:15:00	16853.00	16855.00	16852.00	16854.25	175	0	70
2024.01.02	08:30:00	16854.25	16855.00	16849.75	16853.00	163	0	70
2024.01.02	08:45:00	16853.00	16855.75	16845.25	16846.75	223	0	70
2024.01.02	09:00:00	16846.75	16861.50	16846.50	16859.75	291	0	70
2024.01.02	09:15:00	16860.25	16865.00	16858.75	16860.75	279	0	70
2024.01.02	09:30:00	16861.00	16861.50	16855.00	16855.50	250	0	70
2024.01.02	09:45:00	16855.50	16861.00	16853.00	16858.75	260	0	70
2024.01.02	10:00:00	16858.75	16872.60	16858.50	16866.85	426	0	70
2024.01.02	10:15:00	16865.85	16875.35	16863.60	16874.10	389	0	70
2024.01.02	10:30:00	16873.60	16877.60	16872.85	16873.60	325	0	70
2024.01.02	10:45:00	16873.35	16873.35	16866.60	16868.35	363	0	70
2024.01.02	11:00:00	16868.10	16869.10	16844.00	16845.75	400	0	70
2024.01.02	11:15:00	16845.75	16847.75	16840.50	16847.50	342	0	70
2024.01.02	11:30:00	16847.25	16847.75	16833.00	16839.00	337	0	70
2024.01.02	11:45:00	16838.25	16842.00	16831.65	16837.65	350	0	70
2024.01.02	12:00:00	16837.40	16839.90	16827.40	16829.40	326	0	70
2024.01.02	12:15:00	16829.40	16837.40	16825.65	16829.40	312	0	70
2024.01.02	12:30:00	16829.65	16840.90	16829.15	16837.90	339	0	70
2024.01.02	12:45:00	16838.65	16838.65	16811.90	16814.65	374	0	70
2024.01.02	13:00:00	16814.40	16820.15	16776.15	16776.90	464	0	70
2024.01.02	13:15:00	16775.90	16777.15	16720.15	16721.40	608	0	70
2024.01.02	13:30:00	16722.65	16725.65	16689.90	16708.40	580	0	70
2024.01.02	13:45:00	16707.65	16722.40	16705.90	16718.90	524	0	70
2024.01.02	14:00:00	16721.15	16721.15	16691.90	16713.15	523	0	70
2024.01.02	14:15:00	16713.15	16714.15	16695.15	16703.40	444	0	70
2024.01.02	14:30:00	16703.40	16707.15	16695.15	16695.15	455	0	70
2024.01.02	14:45:00	16695.15	16700.40	16661.40	16667.15	540	0	70
2024.01.02	15:00:00	16665.65	16675.65	16664.65	16664.90	498	0	70
2024.01.02	15:15:00	16663.90	16674.40	16661.15	16671.90	499	0	70
2024.01.02	15:30:00	16670.15	16694.15	16665.90	16689.40	558	0	70
2024.01.02	15:45:00	16689.15	16699.40	16683.40	16696.65	459	0	70
2024.01.02	16:00:00	16697.40	16709.15	16678.90	16704.90	539	0	70
2024.01.02	16:15:00	16705.15	16721.40	16704.40	16705.90	559	0	70
2024.01.02	16:30:00	16705.15	16717.15	16612.15	16620.90	812	0	70
2024.01.02	16:45:00	16621.65	16625.15	16563.60	16606.60	804	0	70
2024.01.02	17:00:00	16602.35	16629.40	16585.85	16589.10	810	0	70
2024.01.02	17:15:00	16588.35	16600.85	16559.10	16565.10	768	0	70
2024.01.02	17:30:00	16563.35	16563.35	16539.25	16558.50	755	0	70
2024.01.02	17:45:00	16557.50	16565.50	16528.50	16554.50	732	0	70
2024.01.02	18:00:00	16553.50	16599.50	16552.00	16591.50	726	0	70
2024.01.02	18:15:00	16591.00	16603.50	16586.50	16603.50	716	0	70
2024.01.02	18:30:00	16603.50	16615.25	16602.75	16613.00	649	0	70
2024.01.02	18:45:00	16613.00	16628.00	16610.00	16620.25	644	0	70
2024.01.02	19:00:00	16621.00	16629.00	16615.50	16621.50	630	0	70
2024.01.02	19:15:00	16621.25	16621.25	16597.00	16602.75	664	0	70
2024.01.02	19:30:00	16602.50	16629.00	16594.50	16618.00	652	0	70
2024.01.02	19:45:00	16617.50	16618.75	16560.50	16562.50	690	0	70
2024.01.02	20:00:00	16562.75	16567.25	16548.00	16564.00	646	0	70
2024.01.02	20:15:00	16563.75	16585.50	16561.00	16575.00	606	0	70
2024.01.02	20:30:00	16575.25	16584.50	16571.25	16573.50	623	0	70
2024.01.02	20:45:00	16573.75	16582.75	16532.75	16540.50	646	0	70
2024.01.02	21:00:00	16540.50	16546.50	16513.25	16536.00	685	0	70
2024.01.02	21:15:00	16535.50	16545.00	16528.75	16543.50	594	0	70
2024.01.02	21:30:00	16543.00	16551.25	16525.25	16531.50	608	0	70
2024.01.02	21:45:00	16530.00	16535.50	16499.00	16499.00	615	0	70
2024.01.02	22:00:00	16499.75	16503.25	16467.50	16470.50	661	0	70
