<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.02	00:00:00	2031.66	2038.11	2031.66	2033.56	1446	0	48
2024.01.02	04:00:00	2033.56	2038.06	2033.46	2037.61	1449	0	48
2024.01.02	08:00:00	2037.56	2043.44	2035.26	2038.74	2715	0	32
2024.01.02	12:00:00	2038.74	2041.54	2009.74	2015.24	4718	0	32
2024.01.02	16:00:00	2015.14	2036.59	2007.74	2027.29	9776	0	32
2024.01.02	20:00:00	2027.24	2027.59	2004.39	2016.84	7269	0	32
2024.01.03	00:00:00	2017.66	2019.06	2013.61	2014.16	1356	0	48
2024.01.03	04:00:00	2014.16	2014.91	2009.51	2010.76	1562	0	48
2024.01.03	08:00:00	2010.66	2016.44	2002.29	2002.29	3367	0	32
2024.01.03	12:00:00	2002.34	2004.24	1989.14	1989.19	3988	0	32
2024.01.03	16:00:00	1989.34	1995.94	1972.29	1981.89	9485	0	32
2024.01.03	20:00:00	1981.81	1986.81	1955.79	1961.81	8069	0	32
2024.01.04	00:00:00	1964.26	1966.91	1961.01	1965.76	1516	0	48
2024.01.04	04:00:00	1965.86	1966.16	1961.76	1962.06	1460	0	48
2024.01.04	08:00:00	1961.96	1971.29	1961.66	1970.34	2942	0	32
2024.01.04	12:00:00	1970.44	1972.34	1949.74	1950.04	4151	0	32
2024.01.04	16:00:00	1950.24	1970.89	1947.44	1958.94	9388	0	32
2024.01.04	20:00:00	1958.84	1965.69	1953.31	1958.59	7383	0	32
2024.01.05	00:00:00	1960.66	1961.21	1957.06	1959.16	1336	0	48
2024.01.05	04:00:00	1959.16	1960.36	1956.76	1957.76	1333	0	48
2024.01.05	08:00:00	1957.96	1958.76	1946.21	1947.11	2990	0	32
2024.01.05	12:00:00	1947.19	1948.31	1920.67	1939.94	4769	0	32
2024.01.05	16:00:00	1940.34	1970.94	1935.44	1951.84	10064	0	32
2024.01.05	20:00:00	1951.74	1961.44	1943.99	1951.29	7730	0	32
2024.01.08	00:00:00	1952.36	1960.46	1952.16	1954.56	1514	0	48
2024.01.08	04:00:00	1954.26	1954.56	1948.06	1948.76	1735	0	48
2024.01.08	08:00:00	1948.76	1953.04	1938.47	1945.17	3480	0	32
2024.01.08	12:00:00	1945.07	1950.69	1940.17	1946.64	3838	0	32
2024.01.08	16:00:00	1946.69	1974.24	1940.29	1973.24	13768	0	32
2024.01.08	20:00:00	1973.14	1988.39	1972.59	1986.04	9337	0	32
2024.01.09	00:00:00	1986.06	1986.66	1983.06	1983.76	1746	0	48
2024.01.09	04:00:00	1983.76	1984.76	1980.11	1980.16	2396	0	48
2024.01.09	08:00:00	1980.16	1981.61	1967.94	1969.71	3682	0	32
2024.01.09	12:00:00	1969.71	1970.64	1960.54	1961.94	4778	0	32
2024.01.09	16:00:00	1961.94	1971.89	1950.39	1971.89	14553	0	32
2024.01.09	20:00:00	1971.89	1975.17	1962.87	1965.34	10378	0	32
2024.01.10	00:00:00	1965.86	1969.01	1963.76	1964.86	2012	0	48
2024.01.10	04:00:00	1964.96	1965.36	1962.56	1964.46	1984	0	48
2024.01.10	08:00:00	1964.36	1973.34	1960.76	1970.54	3642	0	32
2024.01.10	12:00:00	1970.69	1970.84	1962.94	1963.14	4052	0	32
2024.01.10	16:00:00	1963.14	1968.29	1948.21	1960.91	13565	0	32
2024.01.10	20:00:00	1961.09	1971.61	1958.31	1969.39	9595	0	32
2024.01.11	00:00:00	1968.76	1977.26	1967.66	1976.91	2051	0	48
2024.01.11	04:00:00	1976.96	1979.76	1974.86	1975.36	2194	0	48
2024.01.11	08:00:00	1975.21	1980.44	1971.04	1971.34	3705	0	32
2024.01.11	12:00:00	1971.24	1984.37	1949.84	1953.11	5646	0	32
2024.01.11	16:00:00	1953.39	1963.89	1929.34	1941.09	16660	0	32
2024.01.11	20:00:00	1940.89	1955.19	1940.84	1950.89	10950	0	32
2024.01.12	00:00:00	1949.76	1952.86	1947.06	1950.16	2921	0	48
2024.01.12	04:00:00	1950.06	1954.11	1948.31	1951.06	2898	0	48
2024.01.12	08:00:00	1951.06	1961.14	1945.91	1954.04	5580	0	32
2024.01.12	12:00:00	1954.04	1967.19	1941.74	1964.11	8543	0	32
2024.01.12	16:00:00	1964.11	1987.29	1942.39	1946.49	15826	0	32
2024.01.12	20:00:00	1946.47	1953.59	1943.19	1946.87	9306	0	32
2024.01.15	00:00:00	1947.61	1949.31	1943.56	1948.76	2322	0	48
2024.01.15	04:00:00	1948.86	1955.41	1948.86	1951.86	2323	0	48
2024.01.15	08:00:00	1951.76	1956.41	1943.44	1944.84	4263	0	32
2024.01.15	12:00:00	1944.94	1947.14	1936.57	1941.09	4573	0	32
2024.01.15	16:00:00	1941.27	1952.39	1938.77	1952.07	5018	0	32
2024.01.16	00:00:00	1951.16	1952.36	1938.61	1942.56	3216	0	48
2024.01.16	04:00:00	1942.56	1943.36	1937.16	1937.26	3137	0	48
2024.01.16	08:00:00	1937.06	1939.41	1928.87	1932.27	6652	0	32
2024.01.16	12:00:00	1932.27	1939.71	1929.87	1930.27	6704	0	32
2024.01.16	16:00:00	1930.27	1939.99	1921.49	1926.97	16092	0	32
2024.01.16	20:00:00	1926.89	1932.09	1917.29	1926.27	10401	0	32
2024.01.17	00:00:00	1926.66	1927.91	1922.36	1923.96	2546	0	48
2024.01.17	04:00:00	1923.96	1925.11	1916.26	1916.56	3323	0	48
2024.01.17	08:00:00	1916.56	1917.11	1898.54	1901.94	7665	0	32
2024.01.17	12:00:00	1902.09	1905.29	1893.84	1895.14	7692	0	32
2024.01.17	16:00:00	1895.29	1915.09	1891.04	1904.07	14745	0	32
2024.01.17	20:00:00	1903.99	1913.59	1895.99	1910.99	9691	0	32
2024.01.18	00:00:00	1910.16	1913.76	1909.26	1912.56	2817	0	48
2024.01.18	04:00:00	1912.51	1914.21	1908.16	1910.91	2675	0	48
2024.01.18	08:00:00	1910.81	1913.69	1907.96	1911.94	3894	0	32
2024.01.18	12:00:00	1911.94	1927.94	1910.84	1918.84	5103	0	32
2024.01.18	16:00:00	1919.24	1927.49	1899.89	1902.44	14656	0	32
2024.01.18	20:00:00	1902.59	1924.67	1897.59	1923.69	10882	0	32
2024.01.19	00:00:00	1923.06	1926.16	1920.81	1924.26	3067	0	48
2024.01.19	04:00:00	1924.16	1924.81	1919.56	1919.76	2885	0	48
2024.01.19	08:00:00	1919.76	1930.17	1919.26	1928.04	4686	0	32
2024.01.19	12:00:00	1928.04	1935.14	1924.24	1928.14	5620	0	32
2024.01.19	16:00:00	1928.14	1930.24	1908.14	1923.04	14935	0	32
2024.01.19	20:00:00	1922.99	1944.49	1919.49	1941.24	10883	0	32
2024.01.22	00:00:00	1947.06	1956.36	1946.01	1954.26	3190	0	48
2024.01.22	04:00:00	1954.26	1955.16	1947.96	1948.11	2967	0	48
2024.01.22	08:00:00	1948.11	1950.79	1944.44	1948.54	5145	0	32
2024.01.22	12:00:00	1948.44	1960.94	1946.64	1960.24	4340	0	32
2024.01.22	16:00:00	1960.04	1985.64	1957.34	1971.84	14614	0	32
2024.01.22	20:00:00	1971.89	1984.39	1964.44	1983.59	10270	0	32
2024.01.23	00:00:00	1983.66	1988.26	1982.71	1987.46	2571	0	48
2024.01.23	04:00:00	1987.41	1989.36	1984.46	1986.41	3203	0	48
2024.01.23	08:00:00	1986.46	2000.94	1984.44	1999.14	4367	0	32
2024.01.23	12:00:00	1999.14	2002.19	1995.14	1999.64	5366	0	32
2024.01.23	16:00:00	1999.74	2004.14	1967.39	1972.04	11448	0	32
2024.01.23	20:00:00	1972.24	1985.19	1969.64	1976.44	6873	0	32
2024.01.24	00:00:00	1978.06	1980.66	1977.36	1978.06	2115	0	48
2024.01.24	04:00:00	1978.11	1982.11	1976.66	1980.06	2584	0	48
2024.01.24	08:00:00	1980.11	1996.04	1979.96	1995.04	5134	0	32
2024.01.24	12:00:00	1994.94	2004.54	1989.04	2003.14	5257	0	32
2024.01.24	16:00:00	2003.04	2003.54	1972.44	1983.09	9173	0	32
2024.01.24	20:00:00	1983.01	1983.29	1955.79	1960.47	7991	0	32
2024.01.25	00:00:00	1960.06	1962.96	1958.36	1960.96	1811	0	48
2024.01.25	04:00:00	1960.91	1966.46	1959.76	1966.36	2034	0	48
2024.01.25	08:00:00	1966.36	1971.84	1960.94	1969.64	3174	0	32
2024.01.25	12:00:00	1969.54	1984.74	1963.74	1982.84	3675	0	32
2024.01.25	16:00:00	1983.04	1993.44	1960.59	1963.81	9896	0	32
2024.01.25	20:00:00	1963.99	1981.71	1961.21	1978.71	8199	0	32
2024.01.26	00:00:00	1977.81	1980.31	1974.91	1978.31	2113	0	48
2024.01.26	04:00:00	1978.21	1983.21	1972.21	1974.91	2012	0	48
2024.01.26	08:00:00	1975.01	1984.61	1970.51	1983.71	4321	0	32
2024.01.26	12:00:00	1983.81	1990.01	1974.61	1988.61	4821	0	32
2024.01.26	16:00:00	1988.51	1995.11	1969.89	1973.69	14255	0	32
2024.01.26	20:00:00	1973.61	1980.01	1972.39	1974.27	9343	0	32
2024.01.29	00:00:00	1969.11	1975.36	1968.46	1974.76	2556	0	48
2024.01.29	04:00:00	1974.76	1977.51	1972.76	1977.46	2386	0	48
2024.01.29	08:00:00	1977.71	1980.86	1972.29	1973.44	3605	0	32
2024.01.29	12:00:00	1973.24	1979.14	1972.24	1978.64	3044	0	32
2024.01.29	16:00:00	1978.64	1988.49	1967.49	1985.89	11923	0	32
2024.01.29	20:00:00	1986.09	2011.49	1983.79	2006.91	9207	0	32
2024.01.30	00:00:00	2009.16	2013.91	2008.06	2011.06	2496	0	48
2024.01.30	04:00:00	2010.96	2011.76	2008.11	2010.06	2226	0	48
2024.01.30	08:00:00	2010.06	2011.79	2006.66	2009.44	4082	0	32
2024.01.30	12:00:00	2009.24	2011.79	1998.87	2001.64	3374	0	32
2024.01.30	16:00:00	2001.54	2006.39	1988.64	1990.54	12871	0	32
2024.01.30	20:00:00	1990.44	2001.34	1988.44	1999.14	9820	0	32
2024.01.31	00:00:00	2001.06	2002.61	1998.26	1999.01	2063	0	48
2024.01.31	04:00:00	1999.11	2002.41	1998.31	2001.01	1653	0	48
2024.01.31	08:00:00	2001.11	2008.51	1997.91	2001.31	3590	0	32
2024.01.31	12:00:00	2001.29	2006.31	1990.61	1991.21	4220	0	32
2024.01.31	16:00:00	1991.01	1994.51	1973.67	1987.67	14509	0	32
2024.01.31	20:00:00	1987.69	2006.37	1942.89	1949.27	14825	0	32
2024.02.01	00:00:00	1948.26	1958.41	1948.16	1957.46	2796	0	48
2024.02.01	04:00:00	1957.41	1962.16	1957.26	1958.06	2870	0	48
2024.02.01	08:00:00	1958.21	1960.14	1952.36	1958.54	4586	0	32
2024.02.01	12:00:00	1958.54	1971.34	1957.84	1961.44	4502	0	32
2024.02.01	16:00:00	1961.44	1970.24	1931.34	1962.99	16801	0	32
2024.02.01	20:00:00	1962.94	1975.94	1955.04	1970.49	13268	0	32
2024.02.02	00:00:00	1975.51	1978.51	1972.61	1978.06	2420	0	48
2024.02.02	04:00:00	1977.91	1978.26	1973.76	1974.36	2217	0	48
2024.02.02	08:00:00	1974.41	1975.96	1971.19	1972.34	3298	0	32
2024.02.02	12:00:00	1972.29	1977.64	1947.64	1952.14	4069	0	32
2024.02.02	16:00:00	1951.74	1960.84	1940.04	1952.39	10235	0	32
2024.02.02	20:00:00	1952.49	1971.59	1949.49	1955.69	11003	0	32
2024.02.05	00:00:00	1960.36	1960.66	1947.56	1951.46	3898	0	48
2024.02.05	04:00:00	1951.36	1952.96	1949.31	1952.26	2219	0	48
2024.02.05	08:00:00	1952.26	1955.96	1944.64	1945.64	3439	0	32
2024.02.05	12:00:00	1945.54	1949.99	1939.44	1940.44	3467	0	32
2024.02.05	16:00:00	1940.44	1942.04	1916.59	1935.64	14229	0	32
2024.02.05	20:00:00	1935.79	1947.64	1931.24	1934.04	10663	0	32
2024.02.06	00:00:00	1934.46	1935.76	1932.36	1935.66	1642	0	48
2024.02.06	04:00:00	1935.76	1939.16	1935.26	1938.06	1922	0	48
2024.02.06	08:00:00	1938.06	1941.14	1932.54	1932.64	2501	0	32
2024.02.06	12:00:00	1932.64	1934.24	1925.94	1933.04	3054	0	32
2024.02.06	16:00:00	1933.14	1954.54	1926.19	1944.99	15100	0	32
2024.02.06	20:00:00	1945.04	1953.34	1940.99	1952.59	10793	0	32
2024.02.07	00:00:00	1952.61	1961.66	1952.26	1958.86	1853	0	48
2024.02.07	04:00:00	1958.91	1959.76	1952.36	1953.46	1903	0	48
2024.02.07	08:00:00	1953.46	1953.56	1942.04	1946.24	2958	0	32
2024.02.07	12:00:00	1946.29	1963.04	1938.34	1958.04	4189	0	32
2024.02.07	16:00:00	1958.24	1962.14	1936.69	1949.24	14922	0	32
2024.02.07	20:00:00	1949.49	1958.19	1943.84	1945.74	10291	0	32
2024.02.08	00:00:00	1945.96	1946.36	1942.16	1944.36	1192	0	48
2024.02.08	04:00:00	1944.26	1945.46	1942.21	1942.86	1041	0	48
2024.02.08	08:00:00	1942.71	1946.56	1939.34	1941.24	2639	0	32
2024.02.08	12:00:00	1941.34	1952.14	1939.04	1947.14	3672	0	32
2024.02.08	16:00:00	1946.94	1971.34	1942.84	1966.44	13214	0	32
2024.02.08	20:00:00	1966.44	1980.19	1966.09	1977.79	9437	0	32
