<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.02	01:00:00	2031.66	2036.96	2031.66	2035.46	192	0	48
2024.01.02	01:15:00	2035.46	2036.56	2035.26	2036.56	102	0	48
2024.01.02	01:30:00	2036.56	2038.11	2036.46	2036.76	140	0	48
2024.01.02	01:45:00	2036.71	2036.76	2035.66	2035.81	82	0	48
2024.01.02	02:00:00	2035.91	2036.66	2035.86	2036.36	82	0	48
2024.01.02	02:15:00	2036.36	2036.56	2035.11	2035.16	101	0	48
2024.01.02	02:30:00	2035.11	2035.11	2034.16	2034.66	84	0	48
2024.01.02	02:45:00	2034.56	2034.66	2033.61	2033.86	87	0	48
2024.01.02	03:00:00	2033.86	2037.06	2033.76	2035.36	164	0	48
2024.01.02	03:15:00	2035.36	2036.91	2035.36	2035.76	124	0	48
2024.01.02	03:30:00	2035.66	2035.96	2033.36	2033.86	155	0	48
2024.01.02	03:45:00	2033.96	2035.06	2033.46	2033.56	133	0	48
2024.01.02	04:00:00	2033.56	2034.76	2033.46	2033.86	82	0	48
2024.01.02	04:15:00	2033.81	2034.86	2033.46	2034.56	93	0	48
2024.01.02	04:30:00	2034.56	2034.76	2034.06	2034.46	136	0	48
2024.01.02	04:45:00	2034.51	2034.76	2033.66	2034.36	117	0	48
2024.01.02	05:00:00	2034.56	2035.91	2034.41	2035.56	85	0	48
2024.01.02	05:15:00	2035.51	2035.76	2034.96	2035.71	96	0	48
2024.01.02	05:30:00	2035.76	2035.81	2035.01	2035.36	107	0	48
2024.01.02	05:45:00	2035.26	2035.66	2034.71	2035.56	86	0	48
2024.01.02	06:00:00	2035.56	2036.31	2035.26	2036.21	82	0	48
2024.01.02	06:15:00	2036.26	2036.31	2035.96	2036.06	62	0	48
2024.01.02	06:30:00	2036.06	2037.11	2036.06	2036.46	63	0	48
2024.01.02	06:45:00	2036.46	2036.96	2036.36	2036.66	63	0	48
2024.01.02	07:00:00	2036.76	2038.06	2036.66	2038.01	97	0	48
2024.01.02	07:15:00	2037.91	2037.96	2037.41	2037.46	104	0	48
2024.01.02	07:30:00	2037.46	2037.66	2037.01	2037.11	92	0	48
2024.01.02	07:45:00	2037.11	2037.81	2036.96	2037.61	84	0	48
2024.01.02	08:00:00	2037.56	2037.76	2036.26	2036.86	95	0	48
2024.01.02	08:15:00	2036.71	2037.06	2036.56	2036.96	81	0	48
2024.01.02	08:30:00	2037.01	2037.31	2036.16	2036.61	91	0	48
2024.01.02	08:45:00	2036.66	2037.16	2035.26	2035.41	130	0	48
2024.01.02	09:00:00	2035.51	2038.46	2035.46	2038.16	138	0	48
2024.01.02	09:15:00	2038.26	2039.21	2038.06	2038.76	123	0	48
2024.01.02	09:30:00	2038.76	2038.86	2036.66	2036.76	146	0	48
2024.01.02	09:45:00	2036.66	2037.66	2036.46	2036.86	155	0	48
2024.01.02	10:00:00	2037.01	2040.54	2036.96	2040.14	289	0	32
2024.01.02	10:15:00	2039.94	2040.59	2039.14	2039.84	237	0	32
2024.01.02	10:30:00	2039.74	2041.19	2039.64	2040.39	197	0	32
2024.01.02	10:45:00	2040.24	2042.64	2039.34	2042.54	195	0	32
2024.01.02	11:00:00	2042.49	2043.44	2039.74	2040.84	236	0	32
2024.01.02	11:15:00	2040.79	2040.79	2039.69	2040.04	209	0	32
2024.01.02	11:30:00	2040.04	2040.84	2038.14	2039.14	191	0	32
2024.01.02	11:45:00	2039.14	2039.64	2037.34	2038.74	202	0	32
2024.01.02	12:00:00	2038.74	2039.04	2037.24	2037.64	175	0	32
2024.01.02	12:15:00	2037.74	2039.14	2036.89	2037.14	197	0	32
2024.01.02	12:30:00	2037.29	2041.54	2037.24	2040.64	244	0	32
2024.01.02	12:45:00	2040.74	2040.74	2036.24	2036.64	217	0	32
2024.01.02	13:00:00	2036.44	2036.44	2027.14	2027.14	286	0	32
2024.01.02	13:15:00	2027.04	2027.54	2022.09	2023.14	387	0	32
2024.01.02	13:30:00	2023.54	2024.14	2018.44	2019.94	394	0	32
2024.01.02	13:45:00	2019.74	2023.64	2019.34	2023.14	296	0	32
2024.01.02	14:00:00	2022.94	2022.99	2020.04	2022.84	307	0	32
2024.01.02	14:15:00	2022.94	2023.14	2021.19	2023.04	271	0	32
2024.01.02	14:30:00	2023.14	2023.44	2018.24	2018.24	293	0	32
2024.01.02	14:45:00	2018.14	2019.24	2010.64	2011.94	349	0	32
2024.01.02	15:00:00	2012.09	2015.64	2009.74	2010.44	335	0	32
2024.01.02	15:15:00	2010.54	2012.64	2009.94	2011.14	317	0	32
2024.01.02	15:30:00	2010.79	2016.84	2009.84	2014.54	381	0	32
2024.01.02	15:45:00	2014.54	2015.64	2011.94	2015.24	269	0	32
2024.01.02	16:00:00	2015.14	2018.24	2011.94	2017.54	336	0	32
2024.01.02	16:15:00	2017.54	2018.64	2013.34	2014.34	342	0	32
2024.01.02	16:30:00	2013.34	2027.49	2007.74	2021.44	792	0	32
2024.01.02	16:45:00	2021.54	2031.69	2015.74	2031.44	722	0	32
2024.01.02	17:00:00	2030.34	2036.59	2025.09	2026.09	750	0	32
2024.01.02	17:15:00	2025.69	2031.99	2022.69	2025.64	714	0	32
2024.01.02	17:30:00	2025.54	2026.04	2016.09	2022.54	674	0	32
2024.01.02	17:45:00	2022.14	2024.69	2015.49	2016.74	664	0	32
2024.01.02	18:00:00	2016.49	2024.94	2016.44	2023.39	684	0	32
2024.01.02	18:15:00	2023.39	2027.14	2021.84	2024.74	640	0	32
2024.01.02	18:30:00	2024.09	2028.04	2022.29	2027.94	596	0	32
2024.01.02	18:45:00	2027.74	2031.39	2026.89	2031.39	554	0	32
2024.01.02	19:00:00	2031.44	2035.94	2031.09	2035.34	569	0	32
2024.01.02	19:15:00	2035.19	2035.49	2030.49	2031.44	574	0	32
2024.01.02	19:30:00	2031.49	2036.19	2030.99	2034.29	547	0	32
2024.01.02	19:45:00	2034.29	2034.29	2026.69	2027.29	618	0	32
2024.01.02	20:00:00	2027.24	2027.59	2020.59	2024.94	586	0	32
2024.01.02	20:15:00	2024.89	2026.24	2022.89	2022.94	509	0	32
2024.01.02	20:30:00	2022.99	2025.14	2021.54	2021.74	526	0	32
2024.01.02	20:45:00	2021.74	2024.29	2016.54	2016.79	554	0	32
2024.01.02	21:00:00	2016.74	2018.44	2014.34	2016.49	584	0	32
2024.01.02	21:15:00	2016.44	2016.44	2013.29	2015.39	527	0	32
2024.01.02	21:30:00	2014.99	2015.64	2011.44	2011.99	488	0	32
2024.01.02	21:45:00	2011.99	2013.84	2008.64	2008.64	512	0	32
2024.01.02	22:00:00	2008.59	2009.74	2005.49	2006.39	522	0	32
2024.01.02	22:15:00	2006.34	2010.24	2005.39	2008.29	600	0	32
2024.01.02	22:30:00	2008.19	2009.44	2004.39	2007.19	501	0	32
2024.01.02	22:45:00	2007.09	2015.49	2005.44	2015.49	649	0	32
2024.01.02	23:00:00	2015.69	2017.59	2014.49	2016.89	353	0	32
2024.01.02	23:15:00	2016.79	2017.09	2016.49	2016.54	121	0	32
2024.01.02	23:30:00	2016.54	2017.79	2016.24	2017.69	116	0	32
2024.01.02	23:45:00	2017.69	2018.29	2016.74	2016.84	121	0	32
2024.01.03	01:00:00	2017.66	2019.06	2017.11	2017.76	108	0	48
2024.01.03	01:15:00	2017.76	2017.81	2016.26	2016.76	104	0	48
2024.01.03	01:30:00	2016.71	2017.16	2015.96	2016.01	83	0	48
2024.01.03	01:45:00	2016.06	2018.11	2015.96	2018.06	97	0	48
2024.01.03	02:00:00	2018.06	2018.16	2017.16	2017.56	135	0	48
2024.01.03	02:15:00	2017.56	2018.01	2017.16	2017.56	94	0	48
2024.01.03	02:30:00	2017.51	2017.96	2016.26	2016.36	122	0	48
2024.01.03	02:45:00	2016.41	2016.41	2014.46	2014.56	103	0	48
2024.01.03	03:00:00	2014.26	2015.51	2014.06	2014.46	125	0	48
2024.01.03	03:15:00	2014.36	2014.41	2013.61	2014.21	134	0	48
2024.01.03	03:30:00	2014.26	2015.21	2013.96	2014.26	154	0	48
2024.01.03	03:45:00	2014.16	2015.06	2013.96	2014.16	97	0	48
2024.01.03	04:00:00	2014.16	2014.91	2013.96	2014.51	122	0	48
2024.01.03	04:15:00	2014.51	2014.61	2013.51	2013.71	115	0	48
2024.01.03	04:30:00	2013.66	2014.16	2013.21	2014.16	104	0	48
2024.01.03	04:45:00	2014.06	2014.16	2012.76	2013.56	104	0	48
2024.01.03	05:00:00	2013.56	2014.16	2013.16	2013.16	89	0	48
