<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.02	01:00:00	23.748	23.845	23.748	23.808	438	0	24
2024.01.02	02:00:00	23.808	23.822	23.767	23.821	428	0	24
2024.01.02	03:00:00	23.821	23.929	23.798	23.810	1122	0	24
2024.01.02	04:00:00	23.804	23.875	23.769	23.874	786	0	24
2024.01.02	05:00:00	23.875	23.947	23.860	23.931	574	0	24
2024.01.02	06:00:00	23.931	23.947	23.902	23.918	400	0	24
2024.01.02	07:00:00	23.921	24.057	23.921	24.038	733	0	24
2024.01.02	08:00:00	24.041	24.076	23.984	24.041	809	0	24
2024.01.02	09:00:00	24.041	24.079	23.988	23.988	985	0	23
2024.01.02	10:00:00	23.996	24.032	23.953	24.025	1054	0	23
2024.01.02	11:00:00	24.026	24.082	24.026	24.053	861	0	23
2024.01.02	12:00:00	24.054	24.067	23.975	24.060	876	0	23
2024.01.02	13:00:00	24.059	24.065	23.904	23.937	1189	0	23
2024.01.02	14:00:00	23.937	23.937	23.845	23.882	1107	0	23
2024.01.02	15:00:00	23.883	24.002	23.796	23.914	1693	0	23
2024.01.02	16:00:00	23.913	23.986	23.807	23.983	1883	0	23
2024.01.02	17:00:00	23.986	24.011	23.698	23.718	1893	0	23
2024.01.02	18:00:00	23.720	23.895	23.714	23.803	1418	0	23
2024.01.02	19:00:00	23.804	23.822	23.696	23.700	1008	0	23
2024.01.02	20:00:00	23.702	23.728	23.638	23.647	784	0	23
2024.01.02	21:00:00	23.644	23.673	23.635	23.637	553	0	23
2024.01.02	22:00:00	23.640	23.658	23.632	23.642	550	0	23
2024.01.02	23:00:00	23.643	23.655	23.631	23.643	241	0	23
2024.01.03	01:00:00	23.569	23.643	23.569	23.626	285	0	24
2024.01.03	02:00:00	23.628	23.693	23.623	23.675	353	0	24
2024.01.03	03:00:00	23.672	23.699	23.628	23.643	868	0	21
2024.01.03	04:00:00	23.646	23.697	23.633	23.696	593	0	25
2024.01.03	05:00:00	23.694	23.716	23.657	23.686	458	0	24
2024.01.03	06:00:00	23.685	23.692	23.665	23.674	305	0	24
2024.01.03	07:00:00	23.673	23.674	23.599	23.612	488	0	24
2024.01.03	08:00:00	23.611	23.665	23.597	23.640	701	0	24
