<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.02	01:00:00	3028.48	3033.86	3028.18	3030.46	1229	0	18
2024.01.02	02:00:00	3030.64	3031.88	3028.65	3031.13	1248	0	10
2024.01.02	03:00:00	3031.45	3036.55	3030.24	3033.50	2101	0	20
2024.01.02	04:00:00	3033.45	3039.72	3030.19	3038.88	1650	0	17
2024.01.02	05:00:00	3038.85	3041.45	3034.77	3036.95	1348	0	29
2024.01.02	06:00:00	3036.95	3037.83	3034.26	3034.73	1004	0	29
2024.01.02	07:00:00	3034.86	3035.62	3031.91	3033.20	1571	0	10
2024.01.02	08:00:00	3033.42	3039.54	3033.32	3038.62	1642	0	16
2024.01.02	09:00:00	3038.66	3042.54	3038.20	3039.96	2029	0	22
2024.01.02	10:00:00	3040.50	3040.54	3033.04	3037.86	2218	0	22
2024.01.02	11:00:00	3037.90	3045.45	3037.67	3044.79	2030	0	11
2024.01.02	12:00:00	3044.82	3046.40	3042.64	3045.47	1930	0	20
2024.01.02	13:00:00	3045.56	3051.03	3041.73	3042.83	2242	0	6
2024.01.02	14:00:00	3042.78	3047.91	3039.22	3047.51	2210	0	19
2024.01.02	15:00:00	3047.43	3050.20	3044.39	3047.46	2627	0	15
2024.01.02	16:00:00	3047.60	3052.07	3043.95	3050.46	2831	0	17
2024.01.02	17:00:00	3050.42	3050.67	3040.17	3042.67	2953	0	9
2024.01.02	18:00:00	3042.77	3053.64	3042.17	3051.55	2432	0	9
2024.01.02	19:00:00	3051.43	3052.79	3044.07	3045.26	1952	0	16
2024.01.02	20:00:00	3045.47	3050.18	3044.90	3046.91	1710	0	18
2024.01.02	21:00:00	3046.98	3049.27	3046.65	3048.10	1465	0	17
2024.01.02	22:00:00	3048.06	3049.05	3045.03	3045.42	1396	0	23
2024.01.02	23:00:00	3045.67	3046.72	3044.41	3045.12	697	0	8
2024.01.03	01:00:00	3042.96	3044.87	3042.55	3043.74	855	0	15
2024.01.03	02:00:00	3043.78	3046.81	3042.69	3045.81	1315	0	8
2024.01.03	03:00:00	3045.85	3052.81	3045.59	3052.41	1934	0	26
2024.01.03	04:00:00	3052.50	3057.67	3052.00	3056.07	1627	0	16
2024.01.03	05:00:00	3056.24	3056.24	3051.48	3052.14	1410	0	21
2024.01.03	06:00:00	3051.95	3053.91	3050.51	3053.05	1001	0	29
2024.01.03	07:00:00	3052.93	3053.28	3049.86	3051.37	1355	0	29
2024.01.03	08:00:00	3051.26	3053.14	3049.43	3050.77	1431	0	20
2024.01.03	09:00:00	3050.67	3053.82	3047.90	3052.82	2005	0	19
2024.01.03	10:00:00	3052.78	3056.11	3047.65	3049.00	2170	0	8
2024.01.03	11:00:00	3049.11	3051.30	3044.49	3047.22	2108	0	9
2024.01.03	12:00:00	3047.20	3048.44	3044.15	3047.59	1789	0	16
2024.01.03	13:00:00	3047.58	3049.15	3041.63	3042.73	2006	0	11
2024.01.03	14:00:00	3042.62	3043.96	3033.57	3040.81	2439	0	11
2024.01.03	15:00:00	3040.79	3044.58	3033.63	3039.41	2685	0	9
2024.01.03	16:00:00	3039.40	3040.44	3029.52	3032.04	2955	0	12
2024.01.03	17:00:00	3031.94	3040.47	3027.87	3028.22	3138	0	9
2024.01.03	18:00:00	3028.10	3030.42	3022.40	3024.69	2708	0	17
2024.01.03	19:00:00	3024.83	3027.07	3021.63	3025.63	2249	0	21
2024.01.03	20:00:00	3025.68	3029.97	3023.07	3028.30	1802	0	15
2024.01.03	21:00:00	3028.66	3031.00	3024.27	3026.29	2892	0	10
2024.01.03	22:00:00	3026.34	3036.48	3026.34	3034.28	2297	0	21
2024.01.03	23:00:00	3035.09	3035.89	3031.77	3032.17	816	0	22
2024.01.04	01:00:00	3031.40	3035.85	3031.12	3033.52	1051	0	9
