<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.02	01:00:00	2063.93	2066.51	2063.75	2065.78	278	0	8
2024.01.02	01:15:00	2065.55	2066.21	2065.14	2065.15	224	0	8
2024.01.02	01:30:00	2065.16	2065.45	2064.23	2064.57	260	0	8
2024.01.02	01:45:00	2064.54	2064.55	2063.18	2063.74	228	0	8
2024.01.02	02:00:00	2063.78	2064.99	2063.43	2064.11	262	0	3
2024.01.02	02:15:00	2064.12	2064.41	2062.28	2063.40	320	0	8
2024.01.02	02:30:00	2063.32	2064.70	2063.10	2064.70	243	0	7
2024.01.02	02:45:00	2064.69	2065.88	2064.52	2065.47	270	0	8
2024.01.02	03:00:00	2065.63	2069.65	2064.87	2069.23	543	0	8
2024.01.02	03:15:00	2069.24	2069.82	2067.35	2068.55	432	0	7
2024.01.02	03:30:00	2068.57	2068.66	2067.04	2068.21	485	0	8
2024.01.02	03:45:00	2068.44	2069.09	2066.44	2066.64	416	0	8
2024.01.02	04:00:00	2066.63	2066.81	2064.02	2064.75	379	0	7
2024.01.02	04:15:00	2064.74	2067.09	2064.71	2066.81	322	0	8
2024.01.02	04:30:00	2066.97	2068.42	2065.91	2067.53	396	0	7
2024.01.02	04:45:00	2067.62	2068.30	2067.45	2067.84	333	0	8
2024.01.02	05:00:00	2067.87	2069.52	2066.52	2069.08	306	0	7
2024.01.02	05:15:00	2069.14	2070.01	2069.14	2069.79	303	0	6
2024.01.02	05:30:00	2069.91	2069.99	2069.46	2069.92	213	0	8
2024.01.02	05:45:00	2069.86	2070.31	2068.66	2069.65	292	0	8
2024.01.02	06:00:00	2069.68	2070.45	2069.30	2070.38	282	0	8
2024.01.02	06:15:00	2070.63	2070.66	2068.94	2069.50	287	0	8
2024.01.02	06:30:00	2069.74	2070.40	2069.63	2069.93	233	0	8
2024.01.02	06:45:00	2070.04	2070.23	2068.95	2069.55	283	0	8
2024.01.02	07:00:00	2069.66	2071.68	2069.53	2071.62	311	0	2
2024.01.02	07:15:00	2071.63	2071.83	2070.86	2071.50	271	0	8
2024.01.02	07:30:00	2071.29	2072.25	2070.88	2072.16	323	0	8
2024.01.02	07:45:00	2072.18	2074.81	2072.06	2074.48	401	0	4
2024.01.02	08:00:00	2074.70	2074.91	2072.96	2074.80	386	0	8
2024.01.02	08:15:00	2074.71	2076.69	2074.28	2075.85	357	0	0
