<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.02	00:00:00	985.87	995.19	985.87	987.44	1605	0	200
2024.01.02	04:00:00	987.44	991.04	985.04	990.64	1364	0	253
2024.01.02	08:00:00	990.64	995.54	987.64	994.44	1577	0	201
2024.01.02	12:00:00	994.34	1001.74	981.14	986.24	2833	0	200
2024.01.02	16:00:00	986.24	995.04	983.70	987.04	4289	0	243
2024.01.02	20:00:00	986.94	988.24	981.24	984.55	1165	0	302
2024.01.03	00:00:00	980.89	987.24	980.61	984.74	925	0	242
2024.01.03	04:00:00	984.94	987.84	982.94	984.54	1146	0	292
2024.01.03	08:00:00	984.54	988.22	976.04	977.14	1775	0	276
2024.01.03	12:00:00	977.14	977.64	968.78	969.40	3131	0	254
2024.01.03	16:00:00	969.36	977.14	965.79	977.04	5815	0	214
2024.01.03	20:00:00	977.24	978.04	971.44	971.54	2162	0	292
2024.01.04	00:00:00	970.12	975.69	969.56	969.91	1173	0	289
2024.01.04	04:00:00	969.99	970.19	966.84	967.14	1646	0	257
2024.01.04	08:00:00	967.14	972.72	964.74	971.96	2341	0	245
2024.01.04	12:00:00	971.94	977.04	966.33	966.64	2551	0	274
2024.01.04	16:00:00	966.64	967.33	955.74	957.14	4311	0	200
2024.01.04	20:00:00	957.14	960.67	954.22	956.75	1629	0	200
2024.01.05	00:00:00	953.84	958.52	953.42	956.62	1266	0	269
2024.01.05	04:00:00	956.58	957.94	951.74	952.34	1214	0	221
2024.01.05	08:00:00	952.34	953.54	947.34	949.84	1872	0	272
2024.01.05	12:00:00	949.84	955.58	941.82	954.34	3084	0	200
2024.01.05	16:00:00	954.54	968.62	954.54	962.34	5079	0	200
2024.01.05	20:00:00	962.24	966.34	959.81	959.87	1717	0	292
2024.01.08	00:00:00	958.41	966.96	956.11	963.64	1614	0	200
2024.01.08	04:00:00	963.54	963.64	953.98	957.54	1629	0	244
2024.01.08	08:00:00	957.34	959.54	951.56	955.24	1934	0	210
