<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.08.17	02:00:00	83.189	83.189	83.056	83.056	49	0	299
2024.08.17	02:15:00	83.056	83.248	83.056	83.233	53	0	299
2024.08.17	02:30:00	83.233	83.307	83.115	83.145	43	0	299
2024.08.17	02:45:00	83.145	83.174	83.071	83.086	41	0	299
2024.08.17	03:00:00	83.086	83.086	82.805	82.894	77	0	299
2024.08.17	03:15:00	82.894	82.968	82.746	82.864	71	0	299
2024.08.17	03:30:00	82.864	82.879	82.702	82.835	70	0	299
2024.08.17	03:45:00	82.835	83.086	82.835	83.071	67	0	299
2024.08.17	04:00:00	83.071	83.145	82.968	83.056	76	0	299
2024.08.17	04:15:00	83.056	83.130	82.923	83.130	66	0	299
2024.08.17	04:30:00	83.130	83.248	83.056	83.248	60	0	299
2024.08.17	04:45:00	83.248	83.248	83.145	83.174	37	0	299
2024.08.17	05:00:00	83.174	83.292	83.086	83.160	52	0	299
2024.08.17	05:15:00	83.160	83.174	83.056	83.100	36	0	299
2024.08.17	05:30:00	83.100	83.130	82.968	83.071	49	0	299
2024.08.17	05:45:00	83.071	83.130	82.953	83.056	42	0	299
2024.08.17	06:00:00	83.056	83.100	82.923	82.953	51	0	299
2024.08.17	06:15:00	82.953	83.086	82.953	83.012	53	0	299
2024.08.17	06:30:00	83.012	83.071	82.849	82.849	56	0	299
2024.08.17	06:45:00	82.849	82.997	82.805	82.968	48	0	299
2024.08.17	07:00:00	82.968	83.027	82.879	82.909	46	0	299
2024.08.17	07:15:00	82.909	83.086	82.909	83.056	45	0	299
2024.08.17	07:30:00	83.056	83.233	83.056	83.204	41	0	299
2024.08.17	07:45:00	83.204	83.248	83.160	83.174	40	0	299
2024.08.17	08:00:00	83.174	83.219	83.145	83.219	21	0	299
2024.08.17	08:15:00	83.219	83.351	83.130	83.351	41	0	299
2024.08.17	08:30:00	83.351	83.396	83.263	83.292	29	0	299
2024.08.17	08:45:00	83.292	83.307	83.204	83.307	31	0	299
2024.08.17	09:00:00	83.307	83.396	83.307	83.337	39	0	299
2024.08.17	09:15:00	83.337	83.440	83.278	83.307	48	0	299
2024.08.17	09:30:00	83.307	83.337	83.219	83.233	36	0	299
2024.08.17	09:45:00	83.233	83.278	83.174	83.233	38	0	299
2024.08.17	10:00:00	83.233	83.263	83.086	83.086	41	0	299
2024.08.17	10:15:00	83.086	83.145	83.041	83.130	45	0	299
2024.08.17	10:30:00	83.130	83.189	83.130	83.145	32	0	299
2024.08.17	10:45:00	83.145	83.233	83.130	83.233	41	0	299
2024.08.17	11:00:00	83.233	83.248	83.041	83.071	33	0	299
2024.08.17	11:15:00	83.071	83.100	82.982	83.041	44	0	299
2024.08.17	11:30:00	83.027	83.100	83.012	83.027	35	0	299
2024.08.17	11:45:00	83.027	83.160	82.968	83.160	36	0	299
2024.08.17	12:00:00	83.160	83.160	83.012	83.041	52	0	299
2024.08.17	12:15:00	83.041	83.130	82.982	83.130	50	0	299
2024.08.17	12:30:00	83.130	83.204	83.086	83.086	39	0	299
2024.08.17	12:45:00	83.086	83.100	82.909	83.071	55	0	299
2024.08.17	13:00:00	83.071	83.115	82.953	83.100	45	0	299
2024.08.17	13:15:00	83.100	83.204	82.953	82.997	52	0	299
2024.08.17	13:30:00	82.997	83.100	82.923	83.012	45	0	299
