<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.02	00:00:00	6141970	6147533	6108418	6123547	161260	0	0
2024.01.02	00:30:00	6123548	6135353	6118329	6130830	61243	0	0
2024.01.02	01:00:00	6131570	6200083	6131570	6198674	204970	0	0
2024.01.02	01:30:00	6198850	6233596	6190509	6233596	248698	0	0
2024.01.02	02:00:00	6234233	6336378	6229238	6302985	536848	0	0
2024.01.02	02:30:00	6302837	6377798	6293869	6360154	427488	0	0
2024.01.02	03:00:00	6358633	6404073	6331365	6348900	454521	0	0
2024.01.02	03:30:00	6349234	6359657	6318882	6343397	284221	0	0
2024.01.02	04:00:00	6343499	6375802	6343499	6375802	198324	0	0
2024.01.02	04:30:00	6376253	6422965	6372697	6422781	255014	0	0
2024.01.02	05:00:00	6426090	6432785	6388637	6418810	269087	0	0
2024.01.02	05:30:00	6418538	6441480	6415025	6424958	247066	0	0
2024.01.02	06:00:00	6423565	6431300	6401533	6420652	210574	0	0
2024.01.02	06:30:00	6420190	6420190	6393284	6393709	159167	0	0
2024.01.02	07:00:00	6393680	6411469	6383876	6401204	145605	0	0
2024.01.02	07:30:00	6401521	6406695	6379673	6385370	131074	0	0
2024.01.02	08:00:00	6385054	6401806	6379502	6397898	112719	0	0
2024.01.02	08:30:00	6396947	6408232	6390910	6391609	89877	0	0
2024.01.02	09:00:00	6391341	6451597	6391341	6428013	206770	0	0
2024.01.02	09:30:00	6429084	6441095	6402954	6432427	244495	0	0
2024.01.02	10:00:00	6432427	6477616	6409879	6467170	342069	0	0
2024.01.02	10:30:00	6468222	6482428	6448147	6475743	333421	0	0
2024.01.02	11:00:00	6476639	6493457	6466333	6485859	229091	0	0
2024.01.02	11:30:00	6485081	6485081	6453072	6463064	172609	0	0
2024.01.02	12:00:00	6464376	6475713	6447644	6464724	192846	0	0
2024.01.02	12:30:00	6465043	6466332	6433970	6456270	179991	0	0
2024.01.02	13:00:00	6456179	6471645	6445352	6445431	150331	0	0
2024.01.02	13:30:00	6446680	6456568	6411445	6442741	235303	0	0
2024.01.02	14:00:00	6442741	6457004	6428409	6454871	172464	0	0
2024.01.02	14:30:00	6455235	6478484	6434792	6438063	238591	0	0
2024.01.02	15:00:00	6437157	6468309	6430874	6462215	190110	0	0
2024.01.02	15:30:00	6462079	6488470	6460383	6484480	181539	0	0
2024.01.02	16:00:00	6486169	6505317	6460272	6468934	240377	0	0
2024.01.02	16:30:00	6471490	6476737	6371081	6405494	457386	0	0
2024.01.02	17:00:00	6403626	6414951	6352553	6376763	439769	0	0
2024.01.02	17:30:00	6376628	6431437	6362947	6412369	268305	0	0
2024.01.02	18:00:00	6412465	6426620	6363046	6405448	355190	0	0
2024.01.02	18:30:00	6406126	6440523	6395920	6435290	247825	0	0
2024.01.02	19:00:00	6435015	6438874	6407675	6414125	219659	0	0
2024.01.02	19:30:00	6415345	6415345	6379822	6383636	285927	0	0
2024.01.02	20:00:00	6384724	6405173	6377114	6400567	228448	0	0
2024.01.02	20:30:00	6402036	6422188	6396993	6408775	196741	0	0
2024.01.02	21:00:00	6408774	6420358	6357144	6367629	221220	0	0
2024.01.02	21:30:00	6366395	6403998	6358066	6393683	240552	0	0
2024.01.02	22:00:00	6392287	6410290	6373997	6377061	245143	0	0
2024.01.02	22:30:00	6377106	6380821	6346310	6357079	232079	0	0
2024.01.02	23:00:00	6357392	6380616	6332227	6359666	330474	0	0
2024.01.02	23:30:00	6361013	6406694	6356952	6406694	197947	0	0
2024.01.03	00:00:00	6398693	6427765	6391389	6395697	222751	0	0
2024.01.03	00:30:00	6395697	6402946	6365810	6386287	197934	0	0
2024.01.03	01:00:00	6387702	6400088	6382612	6388767	124336	0	0
2024.01.03	01:30:00	6388991	6392500	6365743	6389255	134001	0	0
2024.01.03	02:00:00	6389897	6402289	6366882	6371708	191333	0	0
2024.01.03	02:30:00	6371080	6416856	6367816	6406379	179994	0	0
2024.01.03	03:00:00	6406289	6425953	6402353	6413330	126274	0	0
2024.01.03	03:30:00	6413420	6434381	6403829	6434253	115465	0	0
2024.01.03	04:00:00	6434797	6448565	6421002	6435898	155866	0	0
2024.01.03	04:30:00	6436351	6441581	6422055	6429641	75331	0	0
2024.01.03	05:00:00	6429732	6433401	6415544	6419841	80592	0	0
2024.01.03	05:30:00	6420383	6421796	6408332	6421796	61565	0	0
2024.01.03	06:00:00	6421389	6423800	6411137	6414783	67488	0	0
2024.01.03	06:30:00	6414782	6416513	6403398	6411266	75091	0	0
2024.01.03	07:00:00	6410815	6430568	6402158	6430568	71540	0	0
2024.01.03	07:30:00	6430478	6431032	6417796	6418381	108548	0	0
2024.01.03	08:00:00	6419148	6434188	6413264	6433115	88597	0	0
2024.01.03	08:30:00	6431982	6444947	6423273	6439245	85602	0	0
2024.01.03	09:00:00	6439290	6458859	6431522	6455476	82112	0	0
2024.01.03	09:30:00	6455839	6457262	6399501	6409591	217468	0	0
2024.01.03	10:00:00	6409437	6437244	6407984	6437244	151322	0	0
2024.01.03	10:30:00	6439593	6443541	6419599	6443541	114489	0	0
2024.01.03	11:00:00	6443451	6466231	6441369	6463876	138614	0	0
2024.01.03	11:30:00	6463695	6484991	6454026	6467346	160769	0	0
2024.01.03	12:00:00	6466756	6476081	6455012	6464089	119963	0	0
2024.01.03	12:30:00	6464497	6465739	6424499	6439483	184999	0	0
2024.01.03	13:00:00	6439844	6441855	6329048	6333112	463626	0	0
2024.01.03	13:30:00	6332519	6362079	6217745	6245998	657353	0	0
2024.01.03	14:00:00	6247255	6247569	5841950	6050387	1725977	0	0
2024.01.03	14:30:00	6047296	6115661	6009407	6114817	645886	0	0
2024.01.03	15:00:00	6115303	6118247	6051338	6069959	533318	0	0
2024.01.03	15:30:00	6070213	6097260	6049314	6080741	411423	0	0
2024.01.03	16:00:00	6081914	6081914	6019541	6029300	456453	0	0
2024.01.03	16:30:00	6031213	6068377	6030026	6036845	398848	0	0
2024.01.03	17:00:00	6040472	6085884	6036784	6082070	365471	0	0
2024.01.03	17:30:00	6083215	6177238	6072165	6174139	442138	0	0
2024.01.03	18:00:00	6173050	6249392	6155979	6227602	603082	0	0
2024.01.03	18:30:00	6228562	6228562	6135503	6170239	479950	0	0
2024.01.03	19:00:00	6170942	6177760	6116220	6140899	411158	0	0
2024.01.03	19:30:00	6140255	6165141	6124973	6163158	270666	0	0
2024.01.03	20:00:00	6159422	6179239	6134760	6136814	309292	0	0
2024.01.03	20:30:00	6137882	6145959	6046052	6065410	458469	0	0
2024.01.03	21:00:00	6065967	6119142	6054605	6112903	421811	0	0
2024.01.03	21:30:00	6113044	6158676	6095891	6102496	418044	0	0
2024.01.03	22:00:00	6100364	6125271	6087969	6119009	247936	0	0
2024.01.03	22:30:00	6118497	6136702	6107183	6116094	235041	0	0
2024.01.03	23:00:00	6119358	6142890	6098345	6132205	254788	0	0
2024.01.03	23:30:00	6132162	6155681	6123826	6148989	196523	0	0
2024.01.04	00:00:00	6143626	6149867	6109287	6112710	235711	0	0
2024.01.04	00:30:00	6112320	6121170	6097569	6117878	122625	0	0
2024.01.04	01:00:00	6117664	6121198	6092665	6116505	191118	0	0
2024.01.04	01:30:00	6117061	6125677	6107063	6125677	101215	0	0
2024.01.04	02:00:00	6124448	6140582	6109717	6132512	206745	0	0
2024.01.04	02:30:00	6133327	6146217	6129650	6140770	134194	0	0
2024.01.04	03:00:00	6141456	6149422	6103953	6121707	217927	0	0
2024.01.04	03:30:00	6123202	6131289	6110938	6124677	195831	0	0
2024.01.04	04:00:00	6124635	6160346	6119409	6147820	125450	0	0
2024.01.04	04:30:00	6147348	6197961	6145837	6188277	184700	0	0
2024.01.04	05:00:00	6188980	6197851	6164064	6166658	164176	0	0
2024.01.04	05:30:00	6166356	6183039	6159678	6177811	114914	0	0
2024.01.04	06:00:00	6177954	6190679	6157657	6187461	143092	0	0
2024.01.04	06:30:00	6187633	6196612	6175565	6194501	116631	0	0
2024.01.04	07:00:00	6193896	6203838	6185153	6187580	119096	0	0
2024.01.04	07:30:00	6187882	6223381	6186029	6207586	149228	0	0
2024.01.04	08:00:00	6207845	6211318	6191817	6196272	142869	0	0
2024.01.04	08:30:00	6196272	6209189	6191056	6194556	94935	0	0
2024.01.04	09:00:00	6192960	6208379	6159821	6173111	240332	0	0
2024.01.04	09:30:00	6173369	6190493	6130810	6130810	323111	0	0
2024.01.04	10:00:00	6130015	6165864	6129975	6162131	245654	0	0
2024.01.04	10:30:00	6161873	6164395	6140822	6151770	170581	0	0
2024.01.04	11:00:00	6152113	6187052	6152113	6181887	148187	0	0
2024.01.04	11:30:00	6180683	6192828	6171657	6186153	153690	0	0
2024.01.04	12:00:00	6186411	6200372	6138730	6158283	222659	0	0
2024.01.04	12:30:00	6158369	6211874	6149817	6211037	230222	0	0
2024.01.04	13:00:00	6212459	6225004	6190135	6217565	170125	0	0
2024.01.04	13:30:00	6217997	6235336	6217256	6226035	163124	0	0
2024.01.04	14:00:00	6227590	6254483	6211899	6223947	274064	0	0
2024.01.04	14:30:00	6225215	6254878	6219287	6254878	204918	0	0
2024.01.04	15:00:00	6254965	6256003	6234124	6237773	183918	0	0
2024.01.04	15:30:00	6238089	6283657	6230320	6264090	187328	0	0
2024.01.04	16:00:00	6263294	6280457	6253336	6269908	189971	0	0
2024.01.04	16:30:00	6270731	6334293	6261417	6321872	302037	0	0
2024.01.04	17:00:00	6322484	6384282	6308131	6378922	379249	0	0
2024.01.04	17:30:00	6376649	6405183	6354877	6372040	423428	0	0
2024.01.04	18:00:00	6371048	6380524	6330944	6338614	364894	0	0
2024.01.04	18:30:00	6339623	6365253	6327241	6348302	282539	0	0
2024.01.04	19:00:00	6348916	6391927	6339868	6374099	270256	0	0
2024.01.04	19:30:00	6374440	6378865	6336017	6360934	265237	0	0
2024.01.04	20:00:00	6359125	6376863	6348374	6358499	215097	0	0
2024.01.04	20:30:00	6358719	6384774	6357151	6368616	171029	0	0
2024.01.04	21:00:00	6368616	6422485	6367358	6417516	292146	0	0
2024.01.04	21:30:00	6417632	6425383	6347589	6354727	318087	0	0
2024.01.04	22:00:00	6353332	6371218	6344049	6370195	210217	0	0
2024.01.04	22:30:00	6369755	6450344	6369220	6375507	541888	0	0
2024.01.04	23:00:00	6377368	6431919	6377368	6422366	454721	0	0
2024.01.04	23:30:00	6423165	6429660	6398000	6425170	235334	0	0
2024.01.05	00:00:00	6419217	6466678	6417642	6429227	302560	0	0
2024.01.05	00:30:00	6428248	6428248	6381331	6406287	290767	0	0
2024.01.05	01:00:00	6406552	6415278	6391307	6411722	150599	0	0
2024.01.05	01:30:00	6411944	6414129	6376295	6390546	166749	0	0
2024.01.05	02:00:00	6391219	6402344	6384175	6397987	191799	0	0
2024.01.05	02:30:00	6397898	6406202	6362532	6401971	189591	0	0
2024.01.05	03:00:00	6400866	6411156	6345591	6355517	264692	0	0
2024.01.05	03:30:00	6355648	6365245	6163772	6278807	758973	0	0
2024.01.05	04:00:00	6276636	6357688	6266028	6266028	560317	0	0
2024.01.05	04:30:00	6265424	6313448	6264556	6299293	235963	0	0
2024.01.05	05:00:00	6299423	6336199	6297394	6310468	228803	0	0
2024.01.05	05:30:00	6310511	6313699	6291454	6298382	188421	0	0
2024.01.05	06:00:00	6298122	6310412	6261806	6282740	268193	0	0
2024.01.05	06:30:00	6282783	6318471	6275019	6312967	176146	0	0
2024.01.05	07:00:00	6313055	6319439	6303711	6313304	136845	0	0
