<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.02	00:00:00	43614.21	45367.78	43366.39	44850.95	6312	0	1001
2024.01.02	04:00:00	44851.29	45490.99	44851.29	45174.47	4275	0	1001
2024.01.02	08:00:00	45174.47	45874.62	45125.00	45670.17	4706	0	1001
2024.01.02	12:00:00	45668.47	45706.09	45200.99	45632.92	4110	0	1001
2024.01.02	16:00:00	45632.92	45794.99	44828.33	44961.15	6274	0	1001
2024.01.02	20:00:00	44973.32	45266.19	44607.57	45114.74	4827	0	1001
2024.01.03	00:00:00	45116.50	45324.82	44797.00	45312.58	3254	0	1001
2024.01.03	04:00:00	45312.58	45405.39	45113.91	45167.12	1899	0	1001
2024.01.03	08:00:00	45167.12	45494.99	44935.94	45339.66	2779	0	1001
2024.01.03	12:00:00	45339.66	45387.93	40860.78	42518.84	8614	0	1001
2024.01.03	16:00:00	42526.99	43552.22	42045.00	42901.00	8437	0	1001
2024.01.03	20:00:00	42895.01	43044.99	42135.70	42912.61	5956	0	1001
2024.01.04	00:00:00	42918.01	42978.12	42586.09	42703.01	3486	0	1001
2024.01.04	04:00:00	42703.01	43268.07	42685.02	43178.74	3192	0	1001
2024.01.04	08:00:00	43178.74	43256.62	42716.99	43002.73	4150	0	1001
2024.01.04	12:00:00	43002.73	43479.83	42635.39	43341.67	4305	0	1001
2024.01.04	16:00:00	43335.61	44320.99	43249.00	43985.00	6336	0	1001
2024.01.04	20:00:00	43980.99	44623.00	43876.31	44425.85	5156	0	1001
2024.01.05	00:00:00	44425.85	44724.19	42597.16	43380.77	4671	0	1001
2024.01.05	04:00:00	43366.10	43926.08	43209.61	43648.42	4754	0	1001
2024.01.05	08:00:00	43639.15	44311.00	43573.08	44142.21	3515	0	1001
2024.01.05	12:00:00	44142.21	44152.02	43484.11	43981.00	4786	0	1001
2024.01.05	16:00:00	43981.00	44057.35	43102.91	43604.52	6845	0	1001
2024.01.05	20:00:00	43606.99	44297.00	43413.00	43943.00	4131	0	1001
2024.01.06	00:00:00	44146.09	44209.41	43905.00	43965.64	1706	0	1001
2024.01.06	04:00:00	43965.64	44011.65	43583.00	43693.72	2543	0	1001
2024.01.06	08:00:00	43693.72	43750.99	43392.99	43646.89	3314	0	1001
2024.01.06	12:00:00	43654.99	43766.09	43533.24	43699.07	2191	0	1001
2024.01.06	16:00:00	43699.07	43994.99	43698.41	43958.72	2430	0	1001
2024.01.06	20:00:00	43958.72	44142.04	43655.00	43884.42	2537	0	1001
2024.01.07	00:00:00	43884.42	44254.28	43729.00	43962.71	2459	0	1001
2024.01.07	04:00:00	43962.71	44082.76	43837.61	43880.47	2034	0	1001
2024.01.07	08:00:00	43880.47	44162.80	43853.00	43935.49	2281	0	1001
2024.01.07	12:00:00	43933.89	44438.99	43905.49	44404.30	2615	0	1001
2024.01.07	16:00:00	44404.30	44475.58	43715.23	44059.83	4047	0	1001
2024.01.07	20:00:00	44059.83	44264.91	44030.25	44226.53	1950	0	1001
2024.01.08	00:00:00	44226.53	44226.53	43583.06	43708.06	4891	0	1001
2024.01.08	04:00:00	43708.06	43795.06	43172.18	43636.74	4332	0	1001
2024.01.08	08:00:00	43636.74	44284.44	43579.87	43710.89	3759	0	1001
2024.01.08	12:00:00	43715.45	45180.99	43684.26	44900.34	6163	0	1001
2024.01.08	16:00:00	44906.57	45661.00	44665.75	45655.00	7742	0	1001
2024.01.08	20:00:00	45655.00	47232.45	45643.99	47066.41	11013	0	1001
2024.01.09	00:00:00	47066.41	47144.99	46230.99	46551.61	11381	0	1001
2024.01.09	04:00:00	46551.61	46969.41	46478.83	46709.66	8304	0	1001
