<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.02	00:00:00	2115.24	2116.69	2101.72	2110.91	557	0	873
2024.01.02	01:00:00	2110.91	2127.28	2110.91	2127.28	900	0	875
2024.01.02	02:00:00	2127.28	2162.47	2123.02	2159.10	1646	0	878
2024.01.02	03:00:00	2159.07	2166.85	2144.36	2151.50	1505	0	883
2024.01.02	04:00:00	2151.68	2159.18	2149.67	2159.00	977	0	884
2024.01.02	05:00:00	2159.00	2161.86	2148.51	2159.77	813	0	884
2024.01.02	06:00:00	2159.77	2164.40	2153.48	2162.13	746	0	884
2024.01.02	07:00:00	2162.13	2165.48	2150.78	2150.78	650	0	884
2024.01.02	08:00:00	2150.71	2156.58	2147.67	2148.74	743	0	884
2024.01.02	09:00:00	2148.74	2162.72	2148.72	2161.11	904	0	883
2024.01.02	10:00:00	2161.11	2200.38	2154.12	2195.57	1405	0	885
2024.01.02	11:00:00	2195.68	2197.28	2184.51	2187.48	879	0	892
2024.01.02	12:00:00	2187.48	2188.66	2171.15	2175.73	558	0	888
2024.01.02	13:00:00	2175.73	2184.46	2168.59	2177.67	685	0	888
2024.01.02	14:00:00	2177.67	2189.64	2171.64	2176.31	990	0	889
2024.01.02	15:00:00	2175.95	2188.97	2172.48	2187.51	718	0	791
2024.01.02	16:00:00	2187.49	2192.86	2148.11	2157.45	1445	0	884
2024.01.02	17:00:00	2157.16	2161.52	2144.34	2151.87	1497	0	883
2024.01.02	18:00:00	2151.96	2160.88	2142.54	2158.64	1328	0	882
2024.01.02	19:00:00	2158.66	2159.63	2144.07	2149.60	1248	0	883
2024.01.02	20:00:00	2150.06	2161.72	2148.18	2158.50	1075	0	884
2024.01.02	21:00:00	2158.59	2165.17	2148.79	2161.98	1311	0	884
2024.01.02	22:00:00	2161.98	2171.14	2152.60	2154.11	1244	0	885
2024.01.02	23:00:00	2154.03	2160.15	2141.16	2160.15	1343	0	883
2024.01.03	00:00:00	2160.43	2165.43	2152.91	2153.39	645	0	885
2024.01.03	01:00:00	2153.48	2156.48	2146.77	2150.11	860	0	883
2024.01.03	02:00:00	2150.11	2159.30	2142.26	2154.18	1101	0	882
2024.01.03	03:00:00	2154.18	2166.36	2153.11	2164.87	986	0	885
2024.01.03	04:00:00	2164.87	2175.34	2159.89	2161.03	699	0	886
2024.01.03	05:00:00	2161.03	2162.71	2156.70	2158.91	437	0	885
2024.01.03	06:00:00	2158.91	2164.04	2154.65	2160.81	626	0	885
2024.01.03	07:00:00	2160.90	2169.95	2158.61	2168.56	933	0	886
2024.01.03	08:00:00	2168.66	2171.34	2164.58	2165.71	981	0	887
2024.01.03	09:00:00	2165.71	2170.40	2149.51	2153.23	955	0	884
2024.01.03	10:00:00	2153.14	2162.74	2152.86	2162.10	978	0	884
2024.01.03	11:00:00	2162.10	2177.15	2161.72	2170.61	1085	0	886
2024.01.03	12:00:00	2170.61	2175.27	2158.30	2161.63	1246	0	886
2024.01.03	13:00:00	2161.72	2162.60	2103.30	2110.32	1683	0	609
2024.01.03	14:00:00	2109.77	2110.50	1920.88	2055.73	2368	0	443
2024.01.03	15:00:00	2057.56	2057.84	2020.19	2034.65	2151	0	830
2024.01.03	16:00:00	2034.65	2034.92	2006.05	2008.36	2043	0	853
2024.01.03	17:00:00	2007.99	2053.12	2003.31	2053.12	1682	0	852
2024.01.03	18:00:00	2053.21	2056.39	2035.33	2043.30	2047	0	859
2024.01.03	19:00:00	2043.67	2046.00	2027.24	2037.22	1593	0	758
2024.01.03	20:00:00	2037.22	2039.63	2006.71	2013.29	1463	0	854
2024.01.03	21:00:00	2013.11	2038.54	2012.68	2018.91	1415	0	785
2024.01.03	22:00:00	2018.91	2033.73	2017.21	2027.92	1047	0	855
2024.01.03	23:00:00	2028.10	2037.83	2023.08	2035.62	936	0	856
2024.01.04	00:00:00	2035.72	2035.99	2011.55	2016.70	702	0	854
2024.01.04	01:00:00	2016.51	2020.43	2008.44	2019.90	923	0	853
2024.01.04	02:00:00	2019.90	2028.92	2017.21	2021.29	889	0	855
2024.01.04	03:00:00	2021.24	2025.26	2013.49	2017.98	1079	0	854
2024.01.04	04:00:00	2017.98	2041.91	2016.40	2040.86	864	0	856
2024.01.04	05:00:00	2040.98	2047.45	2033.83	2039.73	1209	0	859
2024.01.04	06:00:00	2039.73	2046.66	2036.28	2046.00	918	0	859
2024.01.04	07:00:00	2046.00	2052.09	2041.94	2044.50	1143	0	860
2024.01.04	08:00:00	2044.13	2052.89	2042.11	2045.58	1032	0	860
2024.01.04	09:00:00	2045.76	2048.56	2028.44	2029.17	1148	0	857
2024.01.04	10:00:00	2029.07	2033.46	2018.83	2020.91	1115	0	855
2024.01.04	11:00:00	2020.82	2032.51	2020.07	2025.06	1108	0	855
2024.01.04	12:00:00	2025.06	2027.20	2009.86	2026.64	1268	0	853
2024.01.04	13:00:00	2026.59	2034.53	2021.46	2033.00	1121	0	856
2024.01.04	14:00:00	2033.48	2043.85	2028.19	2039.71	1277	0	857
2024.01.04	15:00:00	2039.71	2051.29	2036.72	2043.43	1062	0	859
2024.01.04	16:00:00	2043.43	2074.62	2036.29	2074.62	1552	0	859
2024.01.04	17:00:00	2075.07	2082.36	2062.30	2076.78	1678	0	865
2024.01.04	18:00:00	2076.78	2080.05	2061.40	2069.89	1358	0	864
2024.01.04	19:00:00	2070.26	2088.96	2068.92	2076.93	1321	0	866
2024.01.04	20:00:00	2076.73	2081.02	2069.85	2075.31	940	0	866
2024.01.04	21:00:00	2075.49	2094.12	2074.20	2075.79	1134	0	867
2024.01.04	22:00:00	2075.79	2093.96	2074.62	2074.89	943	0	751
2024.01.04	23:00:00	2074.89	2088.89	2071.53	2075.97	1105	0	866
2024.01.05	00:00:00	2076.06	2088.51	2065.62	2072.73	924	0	865
2024.01.05	01:00:00	2072.73	2077.87	2069.02	2069.57	723	0	804
2024.01.05	02:00:00	2069.66	2076.04	2063.62	2069.19	622	0	865
2024.01.05	03:00:00	2069.15	2072.34	2020.35	2041.51	1215	0	857
2024.01.05	04:00:00	2041.78	2054.03	2036.21	2045.16	1314	0	859
2024.01.05	05:00:00	2044.80	2053.31	2044.34	2047.51	759	0	861
2024.01.05	06:00:00	2047.60	2052.67	2041.48	2049.52	1121	0	815
2024.01.05	07:00:00	2049.52	2053.20	2047.72	2052.14	686	0	861
2024.01.05	08:00:00	2052.14	2063.92	2048.41	2061.48	819	0	862
2024.01.05	09:00:00	2061.66	2070.04	2060.73	2061.11	999	0	864
2024.01.05	10:00:00	2061.12	2067.59	2059.87	2062.99	1160	0	864
2024.01.05	11:00:00	2063.17	2077.97	2062.83	2072.85	1035	0	865
2024.01.05	12:00:00	2072.94	2074.25	2045.73	2050.30	1126	0	862
2024.01.05	13:00:00	2050.85	2059.52	2049.48	2052.18	1092	0	862
2024.01.05	14:00:00	2052.18	2062.65	2045.85	2051.70	1225	0	861
2024.01.05	15:00:00	2051.64	2062.78	2049.15	2056.23	1332	0	862
2024.01.05	16:00:00	2055.74	2059.35	2028.73	2031.77	1565	0	858
2024.01.05	17:00:00	2031.77	2038.26	2018.60	2024.01	1450	0	792
2024.01.05	18:00:00	2024.01	2031.79	2015.82	2016.09	1164	0	855
2024.01.05	19:00:00	2016.27	2037.51	2012.88	2037.18	1647	0	854
2024.01.05	20:00:00	2037.18	2041.29	2031.17	2036.69	1037	0	858
2024.01.05	21:00:00	2037.08	2044.36	2033.07	2038.91	1015	0	858
2024.01.05	22:00:00	2039.00	2061.12	2039.00	2053.29	1082	0	860
2024.01.05	23:00:00	2053.01	2053.64	2040.76	2051.06	1193	0	860
2024.01.06	02:00:00	2071.57	2072.94	2062.17	2066.83	894	0	865
2024.01.06	03:00:00	2066.83	2066.92	2058.52	2059.43	855	0	864
2024.01.06	04:00:00	2058.88	2061.71	2055.69	2059.16	796	0	863
2024.01.06	05:00:00	2059.16	2059.80	2055.14	2057.33	343	0	863
2024.01.06	06:00:00	2057.33	2059.16	2050.85	2050.85	294	0	862
2024.01.06	07:00:00	2050.85	2053.68	2036.24	2040.26	541	0	859
2024.01.06	08:00:00	2040.17	2040.44	2023.28	2025.65	752	0	856
2024.01.06	09:00:00	2025.84	2038.25	2023.10	2038.16	876	0	856
2024.01.06	10:00:00	2038.16	2042.36	2034.05	2042.36	771	0	858
2024.01.06	11:00:00	2042.09	2044.09	2038.71	2039.17	638	0	859
2024.01.06	12:00:00	2039.17	2043.27	2035.06	2040.26	411	0	858
2024.01.06	13:00:00	2040.35	2043.27	2036.34	2042.82	539	0	859
2024.01.06	14:00:00	2042.82	2045.46	2033.69	2037.16	411	0	858
2024.01.06	15:00:00	2037.16	2042.18	2033.69	2040.99	351	0	858
2024.01.06	16:00:00	2040.99	2051.31	2040.44	2045.01	603	0	860
2024.01.06	17:00:00	2044.92	2050.85	2042.36	2049.57	512	0	860
2024.01.06	18:00:00	2049.57	2052.40	2047.47	2049.02	740	0	861
2024.01.06	19:00:00	2049.02	2055.23	2046.56	2051.95	702	0	861
2024.01.06	20:00:00	2051.95	2056.87	2049.12	2050.03	780	0	861
2024.01.06	21:00:00	2050.03	2050.94	2042.45	2048.02	756	0	860
2024.01.06	22:00:00	2047.93	2050.67	2040.26	2045.56	724	0	860
2024.01.06	23:00:00	2045.65	2046.38	2039.80	2044.55	744	0	860
2024.01.07	00:00:00	2044.55	2045.10	2036.43	2042.27	668	0	859
2024.01.07	01:00:00	2042.27	2045.10	2036.43	2045.10	683	0	859
2024.01.07	02:00:00	2045.10	2057.24	2042.82	2053.04	706	0	860
2024.01.07	03:00:00	2053.13	2057.24	2045.65	2045.65	815	0	861
2024.01.07	04:00:00	2045.46	2052.68	2041.45	2044.73	826	0	860
2024.01.07	05:00:00	2044.92	2050.67	2044.83	2046.74	648	0	861
2024.01.07	06:00:00	2046.83	2052.77	2046.83	2052.77	443	0	861
2024.01.07	07:00:00	2052.68	2054.32	2046.10	2047.56	527	0	861
2024.01.07	08:00:00	2047.56	2054.59	2046.10	2053.50	749	0	861
2024.01.07	09:00:00	2053.50	2055.05	2051.03	2053.22	541	0	862
2024.01.07	10:00:00	2053.22	2056.14	2043.82	2044.55	840	0	861
2024.01.07	11:00:00	2044.73	2046.92	2037.16	2038.98	801	0	859
2024.01.07	12:00:00	2039.07	2044.83	2038.98	2042.63	1116	0	859
2024.01.07	13:00:00	2042.54	2047.47	2040.26	2042.45	946	0	860
2024.01.07	14:00:00	2042.36	2046.47	2038.25	2042.91	838	0	860
2024.01.07	15:00:00	2042.91	2060.53	2042.54	2055.60	1117	0	861
2024.01.07	16:00:00	2055.60	2058.34	2048.57	2052.95	1163	0	862
2024.01.07	17:00:00	2052.95	2053.77	2028.48	2036.06	940	0	857
2024.01.07	18:00:00	2036.15	2040.44	2028.85	2032.14	922	0	858
2024.01.07	19:00:00	2032.05	2047.18	2027.85	2044.51	1138	0	857
2024.01.07	20:00:00	2044.51	2052.82	2042.23	2049.62	470	0	860
2024.01.07	21:00:00	2049.62	2054.56	2046.89	2053.37	985	0	861
2024.01.07	22:00:00	2051.72	2055.74	2044.88	2044.88	908	0	861
2024.01.07	23:00:00	2044.88	2048.62	2039.49	2043.78	753	0	833
2024.01.08	00:00:00	2043.51	2043.60	2015.86	2023.10	1014	0	855
2024.01.08	01:00:00	2023.10	2031.64	2014.14	2027.98	1552	0	855
2024.01.08	02:00:00	2027.98	2030.33	2000.26	2002.24	1498	0	851
2024.01.08	03:00:00	2002.26	2015.19	2001.31	2010.64	1438	0	851
2024.01.08	04:00:00	2010.82	2014.38	1982.95	1994.12	1687	0	847
2024.01.08	05:00:00	1994.12	2002.60	1978.24	2001.18	1657	0	847
2024.01.08	06:00:00	2001.08	2007.55	1998.40	2006.05	1142	0	851
2024.01.08	07:00:00	2006.33	2007.26	1999.34	2005.90	890	0	851
2024.01.08	08:00:00	2005.80	2029.46	2003.46	2019.49	1253	0	852
2024.01.08	09:00:00	2019.58	2034.56	2018.66	2029.73	1129	0	855
2024.01.08	10:00:00	2029.73	2041.84	2029.33	2030.32	1027	0	857
2024.01.08	11:00:00	2030.14	2033.70	2013.84	2018.96	1046	0	854
2024.01.08	12:00:00	2019.05	2035.31	2016.84	2032.17	1121	0	855
2024.01.08	13:00:00	2032.26	2047.02	2026.38	2045.29	1208	0	857
2024.01.08	14:00:00	2045.29	2071.34	2045.11	2067.59	2054	0	861
2024.01.08	15:00:00	2067.50	2076.07	2061.67	2066.16	1503	0	864
2024.01.08	16:00:00	2066.16	2072.45	2057.51	2061.32	1358	0	864
2024.01.08	17:00:00	2061.50	2079.00	2057.04	2066.80	1444	0	863
2024.01.08	18:00:00	2066.98	2077.83	2057.05	2060.33	1354	0	863
2024.01.08	19:00:00	2060.33	2102.17	2057.98	2101.92	1566	0	864
2024.01.08	20:00:00	2101.92	2131.15	2100.92	2128.20	1986	0	873
2024.01.08	21:00:00	2128.11	2148.58	2117.38	2144.79	1788	0	807
2024.01.08	22:00:00	2145.06	2148.42	2128.00	2129.28	1433	0	864
2024.01.08	23:00:00	2129.46	2140.62	2126.90	2131.16	1306	0	879
2024.01.09	00:00:00	2131.16	2135.80	2126.59	2130.87	646	0	879
2024.01.09	01:00:00	2131.11	2131.11	2120.84	2125.06	1026	0	878
2024.01.09	02:00:00	2125.06	2129.34	2085.71	2102.05	1254	0	847
2024.01.09	03:00:00	2102.37	2109.81	2093.95	2103.23	950	0	871
2024.01.09	04:00:00	2103.11	2109.00	2100.43	2105.34	730	0	873
2024.01.09	05:00:00	2105.43	2106.64	2100.51	2102.97	769	0	856
2024.01.09	06:00:00	2103.00	2110.04	2096.71	2108.80	677	0	872
2024.01.09	07:00:00	2108.80	2111.18	2098.80	2104.29	763	0	872
2024.01.09	08:00:00	2104.56	2104.62	2094.51	2098.36	739	0	836
2024.01.09	09:00:00	2098.36	2104.40	2095.24	2101.16	997	0	872
2024.01.09	10:00:00	2101.20	2108.12	2088.62	2088.92	1026	0	871
2024.01.09	11:00:00	2088.92	2095.43	2085.78	2090.49	1362	0	870
2024.01.09	12:00:00	2090.48	2100.44	2089.14	2092.41	1035	0	871
2024.01.09	13:00:00	2093.23	2103.42	2091.34	2099.54	1051	0	871
2024.01.09	14:00:00	2099.63	2105.09	2044.62	2066.90	1431	0	580
2024.01.09	15:00:00	2066.90	2083.93	2062.92	2075.06	1821	0	865
2024.01.09	16:00:00	2075.15	2082.00	2046.81	2050.43	1586	0	862
2024.01.09	17:00:00	2050.07	2071.41	2045.83	2063.88	1418	0	862
2024.01.09	18:00:00	2063.88	2069.02	2050.25	2067.84	1242	0	862
2024.01.09	19:00:00	2067.84	2072.46	2060.31	2067.22	1285	0	864
2024.01.09	20:00:00	2067.31	2081.53	2062.53	2079.56	967	0	865
2024.01.09	21:00:00	2079.56	2081.38	2064.82	2075.02	853	0	865
2024.01.09	22:00:00	2075.02	2076.83	2053.81	2055.88	1149	0	863
2024.01.09	23:00:00	2055.70	2162.73	2055.52	2114.09	2342	0	0
2024.01.10	00:00:00	2114.09	2165.26	2113.89	2137.38	1732	0	877
2024.01.10	01:00:00	2137.28	2141.64	2115.98	2139.74	1485	0	877
2024.01.10	02:00:00	2139.74	2190.00	2135.96	2188.38	1866	0	883
2024.01.10	03:00:00	2189.57	2191.31	2159.45	2167.99	1385	0	886
2024.01.10	04:00:00	2167.99	2168.83	2139.98	2141.18	950	0	882
2024.01.10	05:00:00	2141.18	2162.44	2139.32	2157.11	1006	0	882
2024.01.10	06:00:00	2156.84	2180.93	2152.99	2172.68	1412	0	884
2024.01.10	07:00:00	2173.22	2184.80	2166.65	2178.77	1226	0	888
2024.01.10	08:00:00	2179.29	2181.21	2167.87	2175.91	1051	0	888
2024.01.10	09:00:00	2175.72	2178.85	2160.01	2164.76	1060	0	886
2024.01.10	10:00:00	2164.67	2176.86	2156.71	2158.29	1262	0	886
2024.01.10	11:00:00	2158.29	2214.41	2158.29	2211.08	1857	0	886
2024.01.10	12:00:00	2211.08	2213.04	2188.64	2189.17	1340	0	893
2024.01.10	13:00:00	2188.96	2197.73	2176.46	2190.75	1103	0	738
2024.01.10	14:00:00	2190.75	2204.17	2137.33	2152.32	2328	0	436
2024.01.10	15:00:00	2152.23	2181.65	2143.11	2170.29	1837	0	884
2024.01.10	16:00:00	2170.29	2186.09	2163.67	2177.85	1711	0	887
2024.01.10	17:00:00	2177.85	2238.54	2174.20	2230.22	2328	0	891
2024.01.10	18:00:00	2230.18	2237.63	2192.52	2193.52	2020	0	894
2024.01.10	19:00:00	2193.61	2225.30	2187.83	2217.44	1755	0	886
2024.01.10	20:00:00	2218.70	2224.06	2200.55	2216.62	1829	0	896
2024.01.10	21:00:00	2216.53	2258.92	2209.81	2255.69	2232	0	898
