<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.02	00:00:00	2115.24	2116.69	2101.72	2107.21	316	0	873
2024.01.02	00:30:00	2107.21	2112.96	2107.21	2110.91	241	0	874
2024.01.02	01:00:00	2110.91	2125.53	2110.91	2123.04	462	0	875
2024.01.02	01:30:00	2123.04	2127.28	2121.01	2127.28	438	0	878
2024.01.02	02:00:00	2127.28	2154.74	2123.02	2143.46	831	0	878
2024.01.02	02:30:00	2143.28	2162.47	2143.28	2159.10	815	0	883
2024.01.02	03:00:00	2159.07	2166.85	2149.90	2158.87	777	0	884
2024.01.02	03:30:00	2159.32	2160.32	2144.36	2151.50	728	0	883
2024.01.02	04:00:00	2151.68	2157.10	2149.67	2157.08	502	0	884
2024.01.02	04:30:00	2157.08	2159.18	2154.05	2159.00	475	0	885
2024.01.02	05:00:00	2159.00	2160.54	2148.51	2152.87	457	0	884
2024.01.02	05:30:00	2152.88	2161.86	2151.79	2159.77	356	0	884
2024.01.02	06:00:00	2159.77	2160.77	2153.48	2157.34	331	0	884
2024.01.02	06:30:00	2157.25	2164.40	2155.65	2162.13	415	0	885
2024.01.02	07:00:00	2162.13	2165.48	2159.98	2161.64	293	0	886
2024.01.02	07:30:00	2161.73	2161.81	2150.78	2150.78	357	0	884
2024.01.02	08:00:00	2150.71	2156.58	2147.67	2154.18	441	0	884
2024.01.02	08:30:00	2154.14	2154.14	2148.73	2148.74	302	0	884
2024.01.02	09:00:00	2148.74	2158.60	2148.72	2152.76	507	0	883
2024.01.02	09:30:00	2152.76	2162.72	2149.70	2161.11	397	0	884
2024.01.02	10:00:00	2161.11	2189.95	2154.12	2189.10	663	0	885
2024.01.02	10:30:00	2189.22	2200.38	2189.04	2195.57	742	0	893
2024.01.02	11:00:00	2195.68	2197.28	2188.67	2192.62	509	0	892
2024.01.02	11:30:00	2192.62	2192.77	2184.51	2187.48	370	0	892
2024.01.02	12:00:00	2187.48	2188.66	2181.51	2184.57	268	0	891
2024.01.02	12:30:00	2184.57	2184.57	2171.15	2175.73	290	0	888
2024.01.02	13:00:00	2175.73	2184.46	2175.73	2181.55	289	0	889
2024.01.02	13:30:00	2181.55	2183.89	2168.59	2177.67	396	0	888
