<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.08.17	00:00:00	83.189	83.307	82.702	83.071	471	0	299
2024.08.17	04:00:00	83.071	83.292	82.805	83.174	798	0	299
2024.08.17	08:00:00	83.174	83.440	82.968	83.160	590	0	299
2024.08.17	12:00:00	83.160	83.558	82.909	83.337	785	0	299
2024.08.17	16:00:00	83.337	84.149	83.263	84.045	1018	0	299
2024.08.17	20:00:00	84.045	84.149	83.425	83.455	745	0	299
2024.08.18	00:00:00	83.455	83.647	83.204	83.484	575	0	299
2024.08.18	04:00:00	83.484	83.942	83.160	83.351	796	0	299
2024.08.18	08:00:00	83.351	83.514	83.219	83.425	478	0	299
2024.08.18	12:00:00	83.425	86.083	83.337	84.533	1447	0	299
2024.08.18	16:00:00	84.533	84.813	84.060	84.666	1192	0	299
2024.08.18	20:00:00	84.666	84.666	83.794	84.503	907	0	299
2024.08.19	00:00:00	84.503	84.645	82.790	82.904	7224	0	299
2024.08.19	04:00:00	82.903	83.555	82.341	82.720	11320	0	299
2024.08.19	08:00:00	82.720	84.733	82.035	84.220	14288	0	299
2024.08.19	12:00:00	84.220	86.130	84.084	84.768	14007	0	299
2024.08.19	16:00:00	84.768	85.923	83.984	85.737	12847	0	299
2024.08.19	20:00:00	85.752	89.166	85.751	87.020	9355	0	299
2024.08.20	00:00:00	87.020	88.574	86.957	88.033	7493	0	299
2024.08.20	04:00:00	88.032	89.646	87.792	89.104	12852	0	299
2024.08.20	08:00:00	89.104	90.155	88.722	89.238	13701	0	299
2024.08.20	12:00:00	89.238	89.295	88.099	88.333	11484	0	299
2024.08.20	16:00:00	88.334	88.363	85.432	86.776	14928	0	299
2024.08.20	20:00:00	86.776	87.517	86.336	86.540	7107	0	299
2024.08.21	00:00:00	86.537	86.558	85.812	86.213	9589	0	299
2024.08.21	04:00:00	86.213	87.297	85.927	86.535	11296	0	299
2024.08.21	08:00:00	86.536	87.462	86.446	86.909	11988	0	299
2024.08.21	12:00:00	86.910	87.528	86.246	86.713	10887	0	299
2024.08.21	16:00:00	86.714	87.117	85.048	86.365	17790	0	299
2024.08.21	20:00:00	86.364	87.604	86.313	87.191	11488	0	299
2024.08.22	00:00:00	87.192	87.544	86.633	86.739	7670	0	299
2024.08.22	04:00:00	86.739	87.310	85.972	86.634	10210	0	299
2024.08.22	08:00:00	86.638	87.681	86.458	87.241	11178	0	299
2024.08.22	12:00:00	87.241	88.105	87.035	87.150	11090	0	299
2024.08.22	16:00:00	87.153	87.753	86.577	87.115	14400	0	299
2024.08.22	20:00:00	87.115	87.671	86.814	87.134	8027	0	299
2024.08.23	00:00:00	87.136	87.502	86.861	87.225	6813	0	299
2024.08.23	04:00:00	87.227	87.476	86.715	86.943	10810	0	299
2024.08.23	08:00:00	86.942	87.526	86.935	87.421	10558	0	299
2024.08.23	12:00:00	87.418	87.613	86.925	87.260	9154	0	299
2024.08.23	16:00:00	87.265	87.631	85.635	86.971	17026	0	299
2024.08.23	20:00:00	86.971	87.813	86.595	87.567	10173	0	299
2024.08.24	00:00:00	88.159	88.260	87.596	87.682	605	0	299
2024.08.24	04:00:00	87.682	87.769	87.105	87.466	816	0	299
2024.08.24	08:00:00	87.466	88.274	87.365	87.884	806	0	299
2024.08.24	12:00:00	87.884	88.621	87.653	88.418	1113	0	299
2024.08.24	16:00:00	88.418	90.930	88.375	89.833	3854	0	299
2024.08.24	20:00:00	89.833	90.021	88.981	89.559	1702	0	299
2024.08.25	00:00:00	89.559	89.559	87.249	87.827	2483	0	299
2024.08.25	04:00:00	87.827	88.101	87.105	87.480	1881	0	299
2024.08.25	08:00:00	87.480	87.841	85.777	86.643	2356	0	299
2024.08.25	12:00:00	86.643	86.888	86.181	86.859	1381	0	299
2024.08.25	16:00:00	86.859	87.350	86.398	86.542	1635	0	299
2024.08.25	20:00:00	86.542	86.903	86.340	86.470	1033	0	299
2024.08.26	00:00:00	86.470	87.049	85.623	85.949	10189	0	299
2024.08.26	04:00:00	85.959	86.121	84.796	85.737	11610	0	299
2024.08.26	08:00:00	85.738	86.090	84.879	85.847	11130	0	299
2024.08.26	12:00:00	85.860	86.003	84.363	85.127	10136	0	299
2024.08.26	16:00:00	85.126	85.764	84.605	85.336	12978	0	299
2024.08.26	20:00:00	85.335	85.438	83.481	84.534	7450	0	299
2024.08.27	00:00:00	84.534	85.245	84.285	85.229	6028	0	299
2024.08.27	04:00:00	85.230	86.047	85.127	85.629	8082	0	299
2024.08.27	08:00:00	85.629	85.860	84.857	85.417	10332	0	299
2024.08.27	12:00:00	85.417	85.610	84.375	85.367	10741	0	299
2024.08.27	16:00:00	85.367	86.376	84.681	85.938	13398	0	299
2024.08.27	20:00:00	85.938	86.104	84.804	84.809	6721	0	299
2024.08.28	00:00:00	84.823	85.036	79.378	81.194	11042	0	299
2024.08.28	04:00:00	81.211	82.109	81.146	81.910	9340	0	299
2024.08.28	08:00:00	81.910	83.030	81.530	82.570	10609	0	299
2024.08.28	12:00:00	82.571	84.446	82.387	83.876	10243	0	299
2024.08.28	16:00:00	83.876	83.978	80.235	82.480	14590	0	299
2024.08.28	20:00:00	82.479	83.496	81.770	82.576	10074	0	240
2024.08.29	00:00:00	82.610	82.693	81.531	82.169	7743	0	299
2024.08.29	04:00:00	82.172	82.731	81.894	82.526	8262	0	299
2024.08.29	08:00:00	82.525	83.305	82.488	82.710	10541	0	299
2024.08.29	12:00:00	82.708	83.462	82.397	83.277	10639	0	299
2024.08.29	16:00:00	83.276	83.583	82.643	82.827	12917	0	299
2024.08.29	20:00:00	82.832	82.875	80.734	81.451	9689	0	299
2024.08.30	00:00:00	81.465	81.636	80.595	81.441	6235	0	299
2024.08.30	04:00:00	81.441	81.690	81.053	81.437	7415	0	299
2024.08.30	08:00:00	81.436	81.805	80.787	81.620	7768	0	299
2024.08.30	12:00:00	81.618	82.405	81.366	82.187	8904	0	299
2024.08.30	16:00:00	82.187	82.228	79.584	81.248	14658	0	299
2024.08.30	20:00:00	81.234	82.135	80.916	82.059	7539	0	299
2024.08.31	00:00:00	82.059	82.921	81.986	82.673	881	0	299
2024.08.31	04:00:00	82.673	82.892	82.380	82.892	576	0	299
2024.08.31	08:00:00	82.892	82.950	82.614	82.614	618	0	299
2024.08.31	12:00:00	82.614	83.477	82.395	82.906	857	0	299
2024.08.31	16:00:00	82.906	83.170	82.249	82.395	922	0	299
2024.08.31	20:00:00	82.395	82.892	82.073	82.790	1114	0	299
2024.09.01	00:00:00	82.790	82.950	82.468	82.468	505	0	299
2024.09.01	04:00:00	82.468	82.512	81.576	81.752	942	0	299
2024.09.01	08:00:00	81.752	81.781	80.684	81.708	1320	0	299
2024.09.01	12:00:00	81.708	81.722	81.065	81.298	1125	0	299
2024.09.01	16:00:00	81.298	81.459	80.480	81.094	2431	0	299
2024.09.01	20:00:00	81.094	81.986	80.568	81.737	1647	0	299
2024.09.02	00:00:00	81.737	81.737	79.450	80.119	10102	0	299
2024.09.02	04:00:00	80.119	80.294	79.347	79.408	9602	0	299
2024.09.02	08:00:00	79.408	80.979	79.377	80.589	11162	0	299
2024.09.02	12:00:00	80.588	81.667	80.336	81.406	8309	0	299
2024.09.02	16:00:00	81.406	82.148	80.799	81.534	7618	0	299
2024.09.02	20:00:00	81.534	83.378	81.534	83.183	2986	0	299
2024.09.03	00:00:00	83.183	83.396	82.853	83.147	6423	0	299
2024.09.03	04:00:00	83.145	83.800	82.615	82.769	12623	0	299
2024.09.03	08:00:00	82.769	83.016	82.327	82.492	14431	0	299
2024.09.03	12:00:00	82.490	83.500	82.467	83.056	10574	0	299
2024.09.03	16:00:00	83.057	83.063	80.805	81.473	19383	0	299
2024.09.03	20:00:00	81.473	82.550	81.456	82.203	8395	0	299
2024.09.04	00:00:00	82.203	82.279	79.947	80.053	10378	0	299
2024.09.04	04:00:00	80.069	80.600	77.305	80.270	13993	0	299
