<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.08.17	02:00:00	83.189	83.248	83.056	83.233	102	0	299
2024.08.17	02:30:00	83.233	83.307	83.071	83.086	84	0	299
2024.08.17	03:00:00	83.086	83.086	82.746	82.864	148	0	299
2024.08.17	03:30:00	82.864	83.086	82.702	83.071	137	0	299
2024.08.17	04:00:00	83.071	83.145	82.923	83.130	142	0	299
2024.08.17	04:30:00	83.130	83.248	83.056	83.174	97	0	299
2024.08.17	05:00:00	83.174	83.292	83.056	83.100	88	0	299
2024.08.17	05:30:00	83.100	83.130	82.953	83.056	91	0	299
2024.08.17	06:00:00	83.056	83.100	82.923	83.012	104	0	299
2024.08.17	06:30:00	83.012	83.071	82.805	82.968	104	0	299
2024.08.17	07:00:00	82.968	83.086	82.879	83.056	91	0	299
2024.08.17	07:30:00	83.056	83.248	83.056	83.174	81	0	299
2024.08.17	08:00:00	83.174	83.351	83.130	83.351	62	0	299
2024.08.17	08:30:00	83.351	83.396	83.204	83.307	60	0	299
2024.08.17	09:00:00	83.307	83.440	83.278	83.307	87	0	299
2024.08.17	09:30:00	83.307	83.337	83.174	83.233	74	0	299
2024.08.17	10:00:00	83.233	83.263	83.041	83.130	86	0	299
2024.08.17	10:30:00	83.130	83.233	83.130	83.233	73	0	299
2024.08.17	11:00:00	83.233	83.248	82.982	83.041	77	0	299
2024.08.17	11:30:00	83.027	83.160	82.968	83.160	71	0	299
2024.08.17	12:00:00	83.160	83.160	82.982	83.130	102	0	299
2024.08.17	12:30:00	83.130	83.204	82.909	83.071	94	0	299
2024.08.17	13:00:00	83.071	83.204	82.953	82.997	97	0	299
2024.08.17	13:30:00	82.997	83.100	82.923	83.056	85	0	299
2024.08.17	14:00:00	82.982	83.233	82.909	83.145	108	0	299
2024.08.17	14:30:00	83.145	83.307	83.145	83.263	85	0	299
2024.08.17	15:00:00	83.263	83.499	83.189	83.499	95	0	299
2024.08.17	15:30:00	83.499	83.558	83.278	83.337	119	0	299
2024.08.17	16:00:00	83.337	83.558	83.307	83.470	171	0	299
2024.08.17	16:30:00	83.470	83.514	83.263	83.351	109	0	299
2024.08.17	17:00:00	83.351	83.602	83.351	83.499	128	0	299
2024.08.17	17:30:00	83.499	83.824	83.470	83.780	120	0	299
2024.08.17	18:00:00	83.780	83.898	83.529	83.647	158	0	299
2024.08.17	18:30:00	83.647	83.750	83.529	83.529	97	0	299
2024.08.17	19:00:00	83.529	83.794	83.529	83.780	118	0	299
2024.08.17	19:30:00	83.780	84.149	83.632	84.045	117	0	299
2024.08.17	20:00:00	84.045	84.149	83.765	83.883	145	0	299
2024.08.17	20:30:00	83.883	83.972	83.706	83.706	95	0	299
2024.08.17	21:00:00	83.706	83.750	83.543	83.632	99	0	299
2024.08.17	21:30:00	83.632	83.839	83.632	83.839	88	0	299
2024.08.17	22:00:00	83.839	83.839	83.632	83.647	93	0	299
2024.08.17	22:30:00	83.647	83.662	83.529	83.602	80	0	299
2024.08.17	23:00:00	83.602	83.662	83.470	83.484	74	0	299
2024.08.17	23:30:00	83.484	83.558	83.425	83.455	71	0	299
2024.08.18	00:00:00	83.455	83.514	83.278	83.351	55	0	299
2024.08.18	00:30:00	83.351	83.381	83.204	83.337	69	0	299
2024.08.18	01:00:00	83.337	83.470	83.292	83.322	98	0	299
2024.08.18	01:30:00	83.322	83.425	83.292	83.366	58	0	299
2024.08.18	02:00:00	83.366	83.440	83.307	83.307	67	0	299
2024.08.18	02:30:00	83.307	83.484	83.263	83.484	63	0	299
2024.08.18	03:00:00	83.484	83.514	83.351	83.411	86	0	299
2024.08.18	03:30:00	83.411	83.647	83.366	83.484	79	0	299
2024.08.18	04:00:00	83.484	83.588	83.351	83.411	89	0	299
2024.08.18	04:30:00	83.411	83.425	83.292	83.351	52	0	299
2024.08.18	05:00:00	83.351	83.425	83.292	83.425	69	0	299
2024.08.18	05:30:00	83.425	83.927	83.396	83.853	131	0	299
2024.08.18	06:00:00	83.853	83.942	83.499	83.662	206	0	299
2024.08.18	06:30:00	83.662	83.662	83.411	83.411	79	0	299
2024.08.18	07:00:00	83.411	83.484	83.322	83.337	77	0	299
2024.08.18	07:30:00	83.337	83.381	83.160	83.351	93	0	299
2024.08.18	08:00:00	83.351	83.514	83.263	83.278	94	0	299
2024.08.18	08:30:00	83.278	83.381	83.233	83.322	64	0	299
2024.08.18	09:00:00	83.322	83.381	83.248	83.381	55	0	299
2024.08.18	09:30:00	83.381	83.411	83.351	83.351	41	0	299
2024.08.18	10:00:00	83.351	83.440	83.219	83.425	68	0	299
2024.08.18	10:30:00	83.425	83.425	83.263	83.292	56	0	299
2024.08.18	11:00:00	83.292	83.322	83.233	83.292	50	0	299
2024.08.18	11:30:00	83.292	83.440	83.263	83.425	50	0	299
2024.08.18	12:00:00	83.425	83.573	83.425	83.440	72	0	299
2024.08.18	12:30:00	83.440	83.780	83.337	83.573	124	0	299
2024.08.18	13:00:00	83.573	84.075	83.573	83.853	161	0	299
2024.08.18	13:30:00	83.853	83.986	83.543	83.602	162	0	299
2024.08.18	14:00:00	83.602	83.676	83.514	83.558	99	0	299
2024.08.18	14:30:00	83.558	83.706	83.455	83.706	80	0	299
2024.08.18	15:00:00	83.706	83.986	83.647	83.986	90	0	299
2024.08.18	15:30:00	84.001	86.083	83.986	84.533	659	0	299
2024.08.18	16:00:00	84.533	84.739	84.370	84.474	227	0	299
2024.08.18	16:30:00	84.474	84.636	84.075	84.237	169	0	299
2024.08.18	17:00:00	84.237	84.385	84.178	84.311	167	0	299
2024.08.18	17:30:00	84.311	84.400	84.060	84.252	128	0	299
2024.08.18	18:00:00	84.252	84.503	84.193	84.474	118	0	299
2024.08.18	18:30:00	84.474	84.592	84.341	84.518	112	0	299
2024.08.18	19:00:00	84.518	84.710	84.444	84.651	141	0	299
2024.08.18	19:30:00	84.651	84.813	84.459	84.666	130	0	299
2024.08.18	20:00:00	84.666	84.666	83.927	84.045	204	0	299
2024.08.18	20:30:00	84.045	84.149	83.794	83.957	194	0	299
2024.08.18	21:00:00	83.957	84.208	83.913	84.193	123	0	299
2024.08.18	21:30:00	84.193	84.296	84.134	84.237	88	0	299
2024.08.18	22:00:00	84.237	84.429	84.193	84.415	76	0	299
2024.08.18	22:30:00	84.415	84.488	84.282	84.385	74	0	299
2024.08.18	23:00:00	84.385	84.592	84.385	84.533	69	0	299
2024.08.18	23:30:00	84.533	84.606	84.415	84.503	79	0	299
2024.08.19	00:00:00	84.503	84.503	84.221	84.299	169	0	299
2024.08.19	00:30:00	84.299	84.458	83.943	84.141	189	0	299
2024.08.19	01:00:00	84.146	84.645	84.125	84.595	822	0	299
2024.08.19	01:30:00	84.593	84.598	84.311	84.332	970	0	299
2024.08.19	02:00:00	84.332	84.424	83.906	83.984	766	0	299
2024.08.19	02:30:00	83.985	83.985	83.083	83.162	992	0	299
2024.08.19	03:00:00	83.162	83.373	82.792	83.225	1746	0	299
2024.08.19	03:30:00	83.225	83.225	82.790	82.904	1570	0	299
2024.08.19	04:00:00	82.903	83.310	82.815	83.310	1590	0	299
2024.08.19	04:30:00	83.310	83.540	83.263	83.427	1647	0	299
2024.08.19	05:00:00	83.428	83.555	83.255	83.433	1178	0	299
2024.08.19	05:30:00	83.433	83.549	83.337	83.422	1002	0	299
2024.08.19	06:00:00	83.422	83.524	82.850	83.018	1546	0	299
2024.08.19	06:30:00	83.019	83.019	82.636	82.829	1605	0	299
2024.08.19	07:00:00	82.829	82.953	82.743	82.790	1203	0	299
2024.08.19	07:30:00	82.790	82.812	82.341	82.720	1549	0	299
2024.08.19	08:00:00	82.720	82.845	82.453	82.481	1502	0	299
2024.08.19	08:30:00	82.482	82.618	82.223	82.322	1629	0	299
2024.08.19	09:00:00	82.316	82.398	82.035	82.212	1862	0	299
2024.08.19	09:30:00	82.197	83.244	82.188	83.065	1905	0	299
2024.08.19	10:00:00	83.065	83.403	82.888	83.374	1930	0	299
2024.08.19	10:30:00	83.375	84.130	83.169	83.665	1908	0	299
2024.08.19	11:00:00	83.666	84.549	83.617	84.549	1903	0	299
2024.08.19	11:30:00	84.549	84.733	83.947	84.220	1649	0	299
2024.08.19	12:00:00	84.220	85.596	84.084	85.322	1834	0	299
2024.08.19	12:30:00	85.308	85.416	84.432	84.740	1717	0	299
2024.08.19	13:00:00	84.740	85.714	84.560	85.695	1888	0	299
2024.08.19	13:30:00	85.695	86.130	85.304	85.635	1819	0	299
2024.08.19	14:00:00	85.636	85.763	84.781	84.813	1695	0	299
2024.08.19	14:30:00	84.813	85.334	84.707	85.322	1708	0	299
2024.08.19	15:00:00	85.322	85.511	84.814	85.041	1745	0	299
2024.08.19	15:30:00	85.043	85.055	84.568	84.768	1601	0	299
2024.08.19	16:00:00	84.768	85.093	84.256	84.362	1986	0	299
2024.08.19	16:30:00	84.362	84.501	84.082	84.242	892	0	299
2024.08.19	17:00:00	84.242	84.638	83.984	84.377	2234	0	299
2024.08.19	17:30:00	84.378	84.861	84.242	84.852	1957	0	299
2024.08.19	18:00:00	84.853	85.480	84.760	85.441	1604	0	299
2024.08.19	18:30:00	85.438	85.491	84.537	84.683	1596	0	299
2024.08.19	19:00:00	84.682	85.882	84.588	85.530	1379	0	299
2024.08.19	19:30:00	85.530	85.923	85.358	85.737	1199	0	299
2024.08.19	20:00:00	85.752	87.442	85.751	87.300	1307	0	299
2024.08.19	20:30:00	87.300	88.465	87.299	87.547	1548	0	299
2024.08.19	21:00:00	87.534	88.361	87.239	88.274	1333	0	299
2024.08.19	21:30:00	88.275	88.763	87.830	88.497	1247	0	299
2024.08.19	22:00:00	88.498	89.166	88.498	88.847	1242	0	299
2024.08.19	22:30:00	88.847	88.849	87.924	88.179	1138	0	299
2024.08.19	23:00:00	88.178	88.298	87.086	87.490	710	0	299
2024.08.19	23:30:00	87.490	87.702	87.004	87.020	830	0	299
2024.08.20	00:00:00	87.020	87.308	86.957	87.208	280	0	299
2024.08.20	00:30:00	87.208	87.942	87.112	87.314	328	0	299
2024.08.20	01:00:00	87.313	87.650	87.239	87.477	464	0	299
2024.08.20	01:30:00	87.476	87.605	87.302	87.383	446	0	299
2024.08.20	02:00:00	87.384	87.894	87.224	87.667	1069	0	299
2024.08.20	02:30:00	87.667	87.764	87.504	87.652	907	0	299
2024.08.20	03:00:00	87.651	88.364	87.273	88.358	2075	0	299
2024.08.20	03:30:00	88.358	88.574	87.822	88.033	1924	0	299
2024.08.20	04:00:00	88.032	88.213	87.828	88.006	1997	0	299
2024.08.20	04:30:00	88.003	88.267	87.792	88.206	1827	0	299
2024.08.20	05:00:00	88.204	88.943	88.120	88.709	1703	0	299
2024.08.20	05:30:00	88.709	89.445	88.704	89.331	1872	0	299
2024.08.20	06:00:00	89.326	89.333	88.584	88.780	1526	0	299
2024.08.20	06:30:00	88.780	89.310	88.675	89.308	1373	0	299
2024.08.20	07:00:00	89.308	89.415	89.065	89.265	1285	0	299
2024.08.20	07:30:00	89.265	89.646	88.894	89.104	1269	0	299
2024.08.20	08:00:00	89.104	89.331	88.879	89.235	1338	0	299
2024.08.20	08:30:00	89.235	89.527	89.033	89.527	1348	0	299
2024.08.20	09:00:00	89.527	90.003	89.331	89.975	1715	0	299
2024.08.20	09:30:00	89.979	90.155	89.425	89.425	1551	0	299
2024.08.20	10:00:00	89.425	89.981	89.350	89.519	1738	0	299
2024.08.20	10:30:00	89.518	89.681	88.767	88.791	2126	0	299
2024.08.20	11:00:00	88.790	89.462	88.722	89.426	1992	0	299
2024.08.20	11:30:00	89.425	89.925	89.184	89.238	1893	0	299
2024.08.20	12:00:00	89.238	89.295	89.019	89.037	1504	0	299
2024.08.20	12:30:00	89.037	89.256	89.022	89.238	1355	0	299
2024.08.20	13:00:00	89.239	89.267	88.686	88.763	1454	0	299
2024.08.20	13:30:00	88.762	88.935	88.658	88.738	1241	0	299
2024.08.20	14:00:00	88.738	89.151	88.732	88.978	1268	0	299
2024.08.20	14:30:00	88.978	89.146	88.801	88.958	1293	0	299
2024.08.20	15:00:00	88.955	89.043	88.341	88.352	1558	0	299
2024.08.20	15:30:00	88.352	88.554	88.099	88.333	1811	0	299
2024.08.20	16:00:00	88.334	88.363	87.629	87.845	1834	0	299
2024.08.20	16:30:00	87.843	87.978	87.270	87.658	2033	0	299
2024.08.20	17:00:00	87.657	88.030	86.851	87.087	2245	0	299
2024.08.20	17:30:00	87.087	87.109	86.167	86.257	2355	0	299
2024.08.20	18:00:00	86.258	86.301	85.432	86.279	2015	0	299
2024.08.20	18:30:00	86.278	86.305	85.588	85.762	1576	0	299
2024.08.20	19:00:00	85.762	86.116	85.680	85.865	1494	0	299
2024.08.20	19:30:00	85.880	86.794	85.874	86.776	1376	0	299
2024.08.20	20:00:00	86.776	86.909	86.403	86.510	1258	0	299
2024.08.20	20:30:00	86.509	86.906	86.336	86.758	996	0	299
2024.08.20	21:00:00	86.759	87.293	86.669	86.979	969	0	299
2024.08.20	21:30:00	86.980	87.112	86.761	86.971	966	0	299
2024.08.20	22:00:00	86.974	87.373	86.878	87.269	760	0	299
2024.08.20	22:30:00	87.269	87.517	87.040	87.133	873	0	299
2024.08.20	23:00:00	87.135	87.135	86.501	86.599	611	0	299
2024.08.20	23:30:00	86.598	86.701	86.437	86.540	674	0	299
2024.08.21	00:00:00	86.537	86.537	85.841	86.128	852	0	299
2024.08.21	00:30:00	86.128	86.359	86.117	86.254	344	0	299
2024.08.21	01:00:00	86.254	86.558	86.190	86.390	866	0	299
2024.08.21	01:30:00	86.391	86.476	86.123	86.167	1062	0	299
2024.08.21	02:00:00	86.167	86.367	85.959	85.980	1377	0	299
2024.08.21	02:30:00	85.991	86.386	85.947	86.125	1409	0	299
2024.08.21	03:00:00	86.125	86.462	86.078	86.080	1730	0	299
2024.08.21	03:30:00	86.085	86.332	85.812	86.213	1949	0	299
2024.08.21	04:00:00	86.213	86.346	85.927	86.316	1888	0	299
2024.08.21	04:30:00	86.316	86.674	86.188	86.669	1838	0	299
2024.08.21	05:00:00	86.669	87.297	86.565	86.860	1552	0	299
2024.08.21	05:30:00	86.860	87.031	86.781	86.905	1185	0	299
2024.08.21	06:00:00	86.905	87.117	86.808	86.865	1121	0	299
2024.08.21	06:30:00	86.865	86.866	86.471	86.538	1412	0	299
2024.08.21	07:00:00	86.535	86.674	86.233	86.350	1038	0	299
2024.08.21	07:30:00	86.350	86.727	86.307	86.535	1262	0	299
2024.08.21	08:00:00	86.536	86.584	86.446	86.561	1090	0	299
2024.08.21	08:30:00	86.561	86.687	86.496	86.663	1273	0	299
2024.08.21	09:00:00	86.663	87.273	86.619	87.241	1541	0	299
2024.08.21	09:30:00	87.241	87.270	86.994	87.035	1503	0	299
2024.08.21	10:00:00	87.036	87.150	86.769	86.804	1768	0	299
2024.08.21	10:30:00	86.803	87.398	86.781	87.282	1713	0	299
2024.08.21	11:00:00	87.283	87.462	86.840	87.043	1707	0	299
2024.08.21	11:30:00	87.043	87.210	86.877	86.909	1393	0	299
2024.08.21	12:00:00	86.910	86.924	86.489	86.784	1445	0	299
2024.08.21	12:30:00	86.786	87.199	86.681	87.193	1378	0	299
2024.08.21	13:00:00	87.193	87.475	87.022	87.328	1284	0	299
2024.08.21	13:30:00	87.326	87.471	87.160	87.417	1115	0	299
2024.08.21	14:00:00	87.417	87.528	87.179	87.222	1256	0	299
2024.08.21	14:30:00	87.222	87.321	86.943	86.971	1191	0	299
2024.08.21	15:00:00	86.970	86.979	86.246	86.825	1518	0	299
2024.08.21	15:30:00	86.825	87.049	86.674	86.713	1700	0	299
2024.08.21	16:00:00	86.714	86.714	86.099	86.238	1841	0	299
2024.08.21	16:30:00	86.241	86.456	85.048	86.369	2250	0	299
2024.08.21	17:00:00	86.372	87.117	85.817	86.225	3023	0	299
2024.08.21	17:30:00	86.226	86.806	85.584	85.864	2829	0	299
2024.08.21	18:00:00	85.864	86.179	85.594	85.881	2393	0	299
2024.08.21	18:30:00	85.884	86.133	85.705	85.861	2046	0	299
2024.08.21	19:00:00	85.860	86.339	85.472	86.188	1938	0	299
2024.08.21	19:30:00	86.187	86.477	86.180	86.365	1470	0	299
2024.08.21	20:00:00	86.364	87.040	86.313	86.953	1377	0	299
2024.08.21	20:30:00	86.953	87.165	86.803	86.828	1395	0	299
2024.08.21	21:00:00	86.822	86.829	86.389	86.806	2012	0	299
2024.08.21	21:30:00	86.807	87.369	86.551	87.268	1757	0	299
2024.08.21	22:00:00	87.271	87.534	86.881	87.216	1553	0	299
2024.08.21	22:30:00	87.217	87.401	86.821	87.240	1481	0	299
2024.08.21	23:00:00	87.242	87.383	87.025	87.278	987	0	299
2024.08.21	23:30:00	87.279	87.604	87.112	87.191	926	0	299
2024.08.22	00:00:00	87.192	87.308	86.915	87.301	363	0	299
2024.08.22	00:30:00	87.301	87.544	87.189	87.289	441	0	299
2024.08.22	01:00:00	87.286	87.440	87.221	87.273	801	0	299
2024.08.22	01:30:00	87.274	87.275	86.866	86.867	691	0	299
2024.08.22	02:00:00	86.867	86.929	86.700	86.806	1067	0	299
2024.08.22	02:30:00	86.806	86.974	86.633	86.920	1137	0	299
2024.08.22	03:00:00	86.919	87.183	86.899	87.014	1592	0	299
2024.08.22	03:30:00	87.015	87.212	86.739	86.739	1578	0	299
2024.08.22	04:00:00	86.739	87.189	86.739	86.980	1373	0	299
2024.08.22	04:30:00	86.981	87.310	86.955	87.302	1294	0	299
2024.08.22	05:00:00	87.302	87.309	86.878	86.883	1249	0	299
