<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.02	03:00:00	77.497	78.392	77.472	77.907	1163	0	30
2024.01.02	04:00:00	77.907	78.277	77.897	78.167	622	0	29
2024.01.02	05:00:00	78.177	78.383	78.177	78.223	463	0	29
2024.01.02	06:00:00	78.223	78.323	78.148	78.313	200	0	29
2024.01.02	07:00:00	78.333	78.468	78.252	78.453	297	0	29
2024.01.02	08:00:00	78.458	78.553	78.387	78.492	498	0	29
2024.01.02	09:00:00	78.497	78.512	78.182	78.217	691	0	29
2024.01.02	10:00:00	78.217	78.462	77.962	78.397	1024	0	30
2024.01.02	11:00:00	78.402	78.622	78.232	78.567	912	0	30
2024.01.02	12:00:00	78.572	78.952	78.552	78.937	808	0	29
2024.01.02	13:00:00	78.927	78.992	78.467	78.662	852	0	29
2024.01.02	14:00:00	78.667	78.832	78.312	78.512	906	0	29
2024.01.02	15:00:00	78.522	78.952	78.272	78.857	1371	0	30
2024.01.02	16:00:00	78.872	78.877	76.842	77.147	1869	0	30
2024.01.02	17:00:00	77.142	77.572	76.855	76.987	1658	0	30
2024.01.02	18:00:00	76.962	77.162	75.812	76.302	1728	0	30
2024.01.02	19:00:00	76.277	76.782	76.062	76.652	1280	0	30
2024.01.02	20:00:00	76.652	76.687	75.712	75.712	1349	0	30
2024.01.02	21:00:00	75.712	76.042	75.532	75.963	1072	0	29
2024.01.02	22:00:00	75.968	76.082	75.837	75.837	668	0	29
2024.01.02	23:00:00	75.822	75.998	75.812	75.893	282	0	29
2024.01.03	03:00:00	75.899	76.109	75.730	75.745	764	0	29
2024.01.03	04:00:00	75.740	75.845	75.720	75.820	313	0	29
2024.01.03	05:00:00	75.825	75.885	75.705	75.800	273	0	29
2024.01.03	06:00:00	75.795	75.815	75.760	75.780	107	0	29
2024.01.03	07:00:00	75.775	75.785	75.534	75.754	378	0	29
2024.01.03	08:00:00	75.760	76.044	75.644	75.890	636	0	29
2024.01.03	09:00:00	75.879	75.890	75.534	75.549	633	0	29
2024.01.03	10:00:00	75.539	75.575	75.154	75.439	1089	0	30
2024.01.03	11:00:00	75.429	75.664	74.724	75.444	1134	0	30
2024.01.03	12:00:00	75.434	75.694	75.309	75.364	1049	0	30
2024.01.03	13:00:00	75.434	76.034	75.389	76.009	843	0	29
2024.01.03	14:00:00	76.004	76.614	75.884	76.554	1066	0	30
2024.01.03	15:00:00	76.549	76.819	76.154	76.254	1253	0	30
2024.01.03	16:00:00	76.184	77.609	76.079	77.564	1634	0	30
2024.01.03	17:00:00	77.569	78.334	77.569	78.274	1656	0	30
2024.01.03	18:00:00	78.299	78.334	77.579	77.819	1521	0	30
2024.01.03	19:00:00	77.814	78.004	77.659	77.909	1214	0	30
2024.01.03	20:00:00	77.924	78.239	77.899	78.110	957	0	29
2024.01.03	21:00:00	78.095	78.325	77.954	78.305	927	0	29
2024.01.03	22:00:00	78.290	78.595	78.280	78.440	510	0	29
2024.01.03	23:00:00	78.445	78.595	78.114	78.385	403	0	29
2024.01.04	03:00:00	78.591	78.652	78.236	78.507	890	0	29
2024.01.04	04:00:00	78.502	78.532	78.296	78.296	463	0	29
2024.01.04	05:00:00	78.331	78.441	78.271	78.417	466	0	29
2024.01.04	06:00:00	78.387	78.572	78.387	78.542	177	0	29
2024.01.04	07:00:00	78.547	78.752	78.517	78.752	321	0	29
2024.01.04	08:00:00	78.752	78.842	78.662	78.731	562	0	29
2024.01.04	09:00:00	78.726	78.782	78.586	78.626	760	0	29
2024.01.04	10:00:00	78.647	79.106	78.647	79.076	958	0	29
2024.01.04	11:00:00	79.066	79.336	78.666	78.791	947	0	30
2024.01.04	12:00:00	78.796	79.067	78.686	78.777	798	0	29
2024.01.04	13:00:00	78.776	78.907	78.746	78.877	611	0	29
