<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.02	00:00:00	95.874	95.990	95.873	95.888	170	0	30
2024.01.02	01:00:00	95.911	96.113	95.911	96.091	1070	0	6
2024.01.02	02:00:00	96.091	96.270	96.091	96.174	1262	0	3
2024.01.02	03:00:00	96.173	96.397	96.173	96.353	1793	0	2
2024.01.02	04:00:00	96.353	96.393	96.232	96.327	1524	0	3
2024.01.02	05:00:00	96.321	96.539	96.303	96.428	1368	0	3
2024.01.02	06:00:00	96.428	96.545	96.391	96.515	1051	0	6
2024.01.02	07:00:00	96.516	96.698	96.512	96.668	1447	0	2
2024.01.02	08:00:00	96.665	96.675	96.578	96.604	1531	0	4
2024.01.02	09:00:00	96.599	96.628	96.500	96.528	2002	0	4
2024.01.02	10:00:00	96.518	96.659	96.518	96.607	2320	0	2
2024.01.02	11:00:00	96.607	96.709	96.548	96.561	2102	0	3
2024.01.02	12:00:00	96.559	96.600	96.495	96.558	1767	0	2
2024.01.02	13:00:00	96.554	96.562	96.381	96.447	2000	0	2
2024.01.02	14:00:00	96.452	96.570	96.410	96.432	2131	0	2
2024.01.02	15:00:00	96.431	96.450	96.300	96.374	2389	0	2
2024.01.02	16:00:00	96.372	96.388	96.009	96.072	2612	0	2
2024.01.02	17:00:00	96.067	96.144	95.899	96.059	2619	0	2
2024.01.02	18:00:00	96.056	96.125	95.975	96.069	2162	0	3
2024.01.02	19:00:00	96.069	96.198	96.067	96.161	1946	0	4
2024.01.02	20:00:00	96.159	96.167	96.018	96.024	1523	0	4
2024.01.02	21:00:00	96.024	96.027	95.973	95.974	1499	0	5
2024.01.02	22:00:00	95.974	95.977	95.838	95.944	1524	0	4
2024.01.02	23:00:00	95.944	96.016	95.928	96.004	787	0	3
2024.01.03	00:00:00	95.865	96.082	95.863	96.042	252	0	19
2024.01.03	01:00:00	96.061	96.199	96.061	96.199	802	0	2
2024.01.03	02:00:00	96.202	96.202	95.997	96.017	1606	0	2
2024.01.03	03:00:00	96.010	96.043	95.915	95.946	1800	0	3
2024.01.03	04:00:00	95.950	95.962	95.872	95.950	1482	0	5
2024.01.03	05:00:00	95.950	96.017	95.898	96.002	1360	0	2
2024.01.03	06:00:00	96.003	96.047	95.960	95.967	1110	0	4
2024.01.03	07:00:00	95.966	96.153	95.954	96.135	1327	0	4
2024.01.03	08:00:00	96.132	96.175	96.066	96.133	1304	0	4
2024.01.03	09:00:00	96.136	96.303	96.066	96.232	2032	0	5
2024.01.03	10:00:00	96.238	96.372	96.199	96.321	2057	0	2
2024.01.03	11:00:00	96.315	96.370	96.195	96.265	1949	0	5
2024.01.03	12:00:00	96.265	96.292	96.178	96.178	1460	0	3
2024.01.03	13:00:00	96.182	96.239	96.092	96.185	1723	0	3
2024.01.03	14:00:00	96.184	96.234	96.126	96.153	1899	0	4
2024.01.03	15:00:00	96.156	96.194	96.024	96.031	2309	0	2
2024.01.03	16:00:00	96.035	96.291	96.018	96.195	2555	0	3
2024.01.03	17:00:00	96.179	96.424	96.023	96.382	2931	0	2
2024.01.03	18:00:00	96.374	96.458	96.338	96.454	2409	0	2
2024.01.03	19:00:00	96.456	96.583	96.400	96.506	1912	0	4
2024.01.03	20:00:00	96.505	96.595	96.422	96.470	1879	0	4
2024.01.03	21:00:00	96.462	96.516	96.351	96.394	2544	0	3
2024.01.03	22:00:00	96.395	96.410	96.293	96.329	2115	0	3
2024.01.03	23:00:00	96.335	96.458	96.320	96.456	910	0	4
2024.01.04	00:00:00	96.324	96.414	96.120	96.316	290	0	27
2024.01.04	01:00:00	96.318	96.369	96.261	96.304	1320	0	6
2024.01.04	02:00:00	96.301	96.435	96.185	96.418	1889	0	4
2024.01.04	03:00:00	96.420	96.573	96.310	96.529	1905	0	3
2024.01.04	04:00:00	96.530	96.553	96.389	96.543	1555	0	3
2024.01.04	05:00:00	96.545	96.650	96.497	96.599	1670	0	4
2024.01.04	06:00:00	96.595	96.787	96.587	96.759	1460	0	3
2024.01.04	07:00:00	96.761	96.955	96.742	96.904	1734	0	3
2024.01.04	08:00:00	96.902	96.986	96.850	96.925	1890	0	3
2024.01.04	09:00:00	96.929	96.976	96.774	96.834	2170	0	4
2024.01.04	10:00:00	96.836	96.938	96.820	96.924	2420	0	4
2024.01.04	11:00:00	96.925	97.094	96.879	97.011	2179	0	2
2024.01.04	12:00:00	97.011	97.171	96.992	97.167	2067	0	2
2024.01.04	13:00:00	97.163	97.196	97.024	97.065	1818	0	4
2024.01.04	14:00:00	97.066	97.068	96.934	96.979	1869	0	3
2024.01.04	15:00:00	96.977	97.075	96.907	97.027	2453	0	2
2024.01.04	16:00:00	97.028	97.110	96.985	97.023	2371	0	2
2024.01.04	17:00:00	97.022	97.122	97.010	97.081	2530	0	3
2024.01.04	18:00:00	97.074	97.092	96.951	97.008	2233	0	3
2024.01.04	19:00:00	97.008	97.016	96.828	96.923	1837	0	3
2024.01.04	20:00:00	96.920	97.003	96.891	96.906	1571	0	3
2024.01.04	21:00:00	96.908	96.949	96.849	96.921	1405	0	3
2024.01.04	22:00:00	96.919	96.958	96.867	96.940	1267	0	3
2024.01.04	23:00:00	96.952	97.013	96.930	96.998	839	0	3
2024.01.05	00:00:00	96.940	96.988	96.879	96.933	487	0	36
2024.01.05	01:00:00	96.927	97.097	96.927	97.087	786	0	3
2024.01.05	02:00:00	97.082	97.226	97.020	97.121	1555	0	3
2024.01.05	03:00:00	97.117	97.184	97.082	97.140	1910	0	3
2024.01.05	04:00:00	97.140	97.227	97.099	97.157	1447	0	3
2024.01.05	05:00:00	97.154	97.207	97.090	97.138	1275	0	3
2024.01.05	06:00:00	97.139	97.158	97.025	97.027	1261	0	4
2024.01.05	07:00:00	97.028	97.035	96.907	97.024	1430	0	3
2024.01.05	08:00:00	97.016	97.252	97.005	97.218	1972	0	3
2024.01.05	09:00:00	97.227	97.355	97.164	97.179	2004	0	3
2024.01.05	10:00:00	97.178	97.178	97.026	97.097	2065	0	3
2024.01.05	11:00:00	97.096	97.153	96.996	97.016	1949	0	3
2024.01.05	12:00:00	97.020	97.088	96.984	97.029	1823	0	3
2024.01.05	13:00:00	97.027	97.088	96.982	97.050	1449	0	3
2024.01.05	14:00:00	97.048	97.074	96.986	97.009	1505	0	3
2024.01.05	15:00:00	97.007	97.265	96.848	97.263	2610	0	3
2024.01.05	16:00:00	97.262	97.391	97.124	97.251	2921	0	3
2024.01.05	17:00:00	97.197	97.286	96.966	97.068	2996	0	3
2024.01.05	18:00:00	97.072	97.133	97.004	97.130	2460	0	3
2024.01.05	19:00:00	97.128	97.196	97.097	97.184	2185	0	3
2024.01.05	20:00:00	97.184	97.272	97.131	97.217	1851	0	4
2024.01.05	21:00:00	97.217	97.227	97.082	97.127	1722	0	3
2024.01.05	22:00:00	97.126	97.227	97.107	97.209	1416	0	3
2024.01.05	23:00:00	97.213	97.223	96.980	96.980	1050	0	3
2024.01.08	00:00:00	96.928	97.041	96.887	97.026	438	0	60
2024.01.08	01:00:00	97.025	97.278	97.025	97.189	932	0	3
2024.01.08	02:00:00	97.192	97.252	97.170	97.199	972	0	3
2024.01.08	03:00:00	97.201	97.288	97.071	97.108	1913	0	4
2024.01.08	04:00:00	97.110	97.144	96.974	96.983	1598	0	4
2024.01.08	05:00:00	96.983	97.002	96.811	96.844	1712	0	3
2024.01.08	06:00:00	96.841	96.845	96.744	96.763	1323	0	3
2024.01.08	07:00:00	96.764	96.814	96.680	96.724	1188	0	4
2024.01.08	08:00:00	96.725	96.790	96.699	96.726	1784	0	3
2024.01.08	09:00:00	96.726	96.889	96.697	96.807	2092	0	3
2024.01.08	10:00:00	96.804	96.810	96.611	96.723	2525	0	3
2024.01.08	11:00:00	96.724	96.751	96.564	96.599	2111	0	3
2024.01.08	12:00:00	96.601	96.718	96.574	96.644	1984	0	3
2024.01.08	13:00:00	96.643	96.678	96.589	96.629	1727	0	3
2024.01.08	14:00:00	96.634	96.730	96.521	96.616	1709	0	3
2024.01.08	15:00:00	96.613	96.640	96.491	96.515	2366	0	3
2024.01.08	16:00:00	96.514	96.609	96.460	96.570	4278	0	3
2024.01.08	17:00:00	96.574	96.634	96.494	96.568	3764	0	3
2024.01.08	18:00:00	96.565	96.699	96.506	96.667	3501	0	3
2024.01.08	19:00:00	96.667	96.681	96.592	96.629	2170	0	3
2024.01.08	20:00:00	96.630	96.793	96.611	96.782	1782	0	3
2024.01.08	21:00:00	96.783	96.879	96.764	96.870	1752	0	3
2024.01.08	22:00:00	96.869	96.911	96.825	96.860	1977	0	3
2024.01.08	23:00:00	96.863	96.929	96.833	96.907	1093	0	3
2024.01.09	00:00:00	96.735	96.916	96.735	96.870	537	0	21
2024.01.09	01:00:00	96.880	96.907	96.806	96.868	1213	0	3
2024.01.09	02:00:00	96.867	96.907	96.724	96.749	3863	0	3
2024.01.09	03:00:00	96.751	96.799	96.528	96.541	4908	0	3
2024.01.09	04:00:00	96.540	96.667	96.533	96.653	3927	0	3
2024.01.09	05:00:00	96.656	96.679	96.557	96.588	3323	0	3
2024.01.09	06:00:00	96.588	96.596	96.421	96.454	2253	0	3
2024.01.09	07:00:00	96.454	96.521	96.401	96.466	3174	0	3
2024.01.09	08:00:00	96.467	96.602	96.463	96.592	4316	0	3
2024.01.09	09:00:00	96.589	96.651	96.492	96.621	4518	0	3
2024.01.09	10:00:00	96.621	96.644	96.474	96.568	5536	0	3
2024.01.09	11:00:00	96.567	96.586	96.433	96.499	4321	0	3
2024.01.09	12:00:00	96.499	96.518	96.411	96.460	4625	0	3
2024.01.09	13:00:00	96.460	96.501	96.385	96.401	3130	0	3
2024.01.09	14:00:00	96.401	96.495	96.395	96.435	3889	0	3
2024.01.09	15:00:00	96.437	96.505	96.274	96.304	6009	0	3
2024.01.09	16:00:00	96.302	96.324	96.192	96.301	5861	0	3
2024.01.09	17:00:00	96.300	96.479	96.143	96.442	3944	0	3
2024.01.09	18:00:00	96.445	96.611	96.411	96.575	3115	0	3
2024.01.09	19:00:00	96.574	96.600	96.529	96.558	2528	0	3
2024.01.09	20:00:00	96.558	96.656	96.507	96.627	2516	0	3
2024.01.09	21:00:00	96.626	96.642	96.491	96.618	2193	0	3
2024.01.09	22:00:00	96.616	96.627	96.502	96.624	2345	0	3
2024.01.09	23:00:00	96.623	96.634	96.587	96.624	936	0	3
2024.01.10	00:00:00	96.499	96.590	96.499	96.525	944	0	34
2024.01.10	01:00:00	96.520	96.559	96.445	96.545	1067	0	3
2024.01.10	02:00:00	96.544	96.844	96.535	96.657	3621	0	3
2024.01.10	03:00:00	96.657	96.982	96.656	96.953	4655	0	3
2024.01.10	04:00:00	96.952	97.068	96.944	97.026	2945	0	3
2024.01.10	05:00:00	97.025	97.153	97.022	97.066	3120	0	3
2024.01.10	06:00:00	97.066	97.100	97.034	97.056	1660	0	3
2024.01.10	07:00:00	97.057	97.105	96.974	97.056	2503	0	3
2024.01.10	08:00:00	97.059	97.115	97.005	97.072	3952	0	3
2024.01.10	09:00:00	97.071	97.150	97.028	97.119	4857	0	3
2024.01.10	10:00:00	97.119	97.229	97.022	97.199	5859	0	3
2024.01.10	11:00:00	97.198	97.262	97.151	97.217	3936	0	3
2024.01.10	12:00:00	97.217	97.228	97.156	97.185	2928	0	3
2024.01.10	13:00:00	97.184	97.280	97.174	97.220	2794	0	3
