<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.02	00:00:00	95.874	95.982	95.873	95.932	31	0	96
2024.01.02	00:15:00	95.932	95.982	95.912	95.931	42	0	48
2024.01.02	00:30:00	95.931	95.990	95.928	95.935	37	0	72
2024.01.02	00:45:00	95.938	95.950	95.887	95.888	60	0	30
2024.01.02	01:00:00	95.911	95.981	95.911	95.918	213	0	8
2024.01.02	01:15:00	95.918	96.004	95.915	96.003	213	0	9
2024.01.02	01:30:00	96.002	96.011	95.967	95.988	262	0	13
2024.01.02	01:45:00	95.988	96.113	95.974	96.091	382	0	6
2024.01.02	02:00:00	96.091	96.180	96.091	96.172	300	0	5
2024.01.02	02:15:00	96.172	96.270	96.161	96.232	345	0	3
2024.01.02	02:30:00	96.237	96.242	96.193	96.238	296	0	3
2024.01.02	02:45:00	96.238	96.265	96.168	96.174	321	0	3
2024.01.02	03:00:00	96.173	96.326	96.173	96.292	465	0	4
2024.01.02	03:15:00	96.295	96.371	96.295	96.354	401	0	5
2024.01.02	03:30:00	96.347	96.390	96.324	96.346	536	0	2
2024.01.02	03:45:00	96.347	96.397	96.331	96.353	391	0	3
2024.01.02	04:00:00	96.353	96.375	96.303	96.306	320	0	4
2024.01.02	04:15:00	96.308	96.320	96.261	96.285	287	0	4
2024.01.02	04:30:00	96.284	96.393	96.232	96.273	475	0	4
2024.01.02	04:45:00	96.272	96.330	96.271	96.327	442	0	3
2024.01.02	05:00:00	96.321	96.358	96.306	96.321	363	0	5
2024.01.02	05:15:00	96.323	96.430	96.303	96.430	345	0	7
2024.01.02	05:30:00	96.430	96.533	96.409	96.523	338	0	3
2024.01.02	05:45:00	96.523	96.539	96.424	96.428	322	0	4
2024.01.02	06:00:00	96.428	96.488	96.391	96.475	295	0	6
2024.01.02	06:15:00	96.475	96.527	96.474	96.519	195	0	6
2024.01.02	06:30:00	96.522	96.545	96.507	96.517	266	0	6
2024.01.02	06:45:00	96.517	96.525	96.499	96.515	295	0	6
2024.01.02	07:00:00	96.516	96.584	96.512	96.584	340	0	2
2024.01.02	07:15:00	96.579	96.617	96.527	96.585	302	0	6
2024.01.02	07:30:00	96.585	96.636	96.551	96.631	389	0	5
2024.01.02	07:45:00	96.636	96.698	96.615	96.668	416	0	6
2024.01.02	08:00:00	96.665	96.675	96.588	96.628	395	0	4
2024.01.02	08:15:00	96.627	96.644	96.578	96.644	393	0	6
2024.01.02	08:30:00	96.639	96.668	96.624	96.650	360	0	6
2024.01.02	08:45:00	96.652	96.668	96.590	96.604	383	0	5
2024.01.02	09:00:00	96.599	96.628	96.540	96.587	524	0	4
2024.01.02	09:15:00	96.586	96.620	96.543	96.572	518	0	4
2024.01.02	09:30:00	96.575	96.589	96.513	96.520	462	0	6
2024.01.02	09:45:00	96.525	96.549	96.500	96.528	498	0	6
2024.01.02	10:00:00	96.518	96.659	96.518	96.591	633	0	5
2024.01.02	10:15:00	96.586	96.586	96.529	96.566	559	0	5
2024.01.02	10:30:00	96.564	96.635	96.556	96.596	566	0	5
2024.01.02	10:45:00	96.601	96.631	96.576	96.607	562	0	2
2024.01.02	11:00:00	96.607	96.709	96.589	96.681	588	0	3
2024.01.02	11:15:00	96.681	96.696	96.574	96.614	510	0	3
2024.01.02	11:30:00	96.611	96.662	96.567	96.581	536	0	4
2024.01.02	11:45:00	96.581	96.593	96.548	96.561	468	0	3
2024.01.02	12:00:00	96.559	96.581	96.509	96.544	417	0	2
2024.01.02	12:15:00	96.541	96.586	96.495	96.509	536	0	4
2024.01.02	12:30:00	96.512	96.591	96.510	96.589	426	0	4
2024.01.02	12:45:00	96.591	96.600	96.547	96.558	388	0	4
2024.01.02	13:00:00	96.554	96.562	96.466	96.478	478	0	6
2024.01.02	13:15:00	96.477	96.485	96.392	96.403	524	0	2
2024.01.02	13:30:00	96.404	96.453	96.381	96.445	551	0	2
2024.01.02	13:45:00	96.445	96.464	96.402	96.447	447	0	2
2024.01.02	14:00:00	96.452	96.470	96.410	96.470	420	0	2
2024.01.02	14:15:00	96.472	96.516	96.439	96.515	572	0	2
2024.01.02	14:30:00	96.507	96.570	96.494	96.500	598	0	3
2024.01.02	14:45:00	96.500	96.541	96.430	96.432	541	0	5
2024.01.02	15:00:00	96.431	96.450	96.332	96.345	630	0	5
2024.01.02	15:15:00	96.346	96.370	96.302	96.318	581	0	4
2024.01.02	15:30:00	96.316	96.352	96.300	96.339	597	0	2
2024.01.02	15:45:00	96.337	96.382	96.316	96.374	581	0	5
2024.01.02	16:00:00	96.372	96.388	96.246	96.256	596	0	2
2024.01.02	16:15:00	96.258	96.262	96.144	96.169	605	0	4
2024.01.02	16:30:00	96.171	96.229	96.107	96.156	702	0	4
2024.01.02	16:45:00	96.167	96.175	96.009	96.072	709	0	5
2024.01.02	17:00:00	96.067	96.144	96.013	96.034	693	0	5
2024.01.02	17:15:00	96.032	96.060	95.985	96.016	639	0	4
2024.01.02	17:30:00	96.008	96.009	95.899	96.005	648	0	2
2024.01.02	17:45:00	96.009	96.108	95.987	96.059	639	0	6
2024.01.02	18:00:00	96.056	96.125	96.049	96.057	657	0	3
2024.01.02	18:15:00	96.056	96.086	95.987	95.999	552	0	5
2024.01.02	18:30:00	96.001	96.039	95.975	96.028	526	0	5
2024.01.02	18:45:00	96.028	96.092	96.026	96.069	427	0	6
2024.01.02	19:00:00	96.069	96.144	96.067	96.129	473	0	4
2024.01.02	19:15:00	96.126	96.153	96.103	96.147	505	0	4
2024.01.02	19:30:00	96.148	96.198	96.141	96.188	455	0	6
2024.01.02	19:45:00	96.189	96.189	96.151	96.161	513	0	6
2024.01.02	20:00:00	96.159	96.167	96.070	96.082	387	0	4
2024.01.02	20:15:00	96.078	96.085	96.038	96.044	393	0	5
2024.01.02	20:30:00	96.042	96.082	96.024	96.073	360	0	5
2024.01.02	20:45:00	96.074	96.080	96.018	96.024	383	0	4
2024.01.02	21:00:00	96.024	96.024	95.973	96.008	390	0	5
2024.01.02	21:15:00	96.008	96.019	95.975	96.005	375	0	6
