<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.02	00:00:00	0.68069	0.68138	0.68040	0.68056	258	0	8
2024.01.02	01:00:00	0.68069	0.68128	0.68060	0.68091	736	0	2
2024.01.02	02:00:00	0.68093	0.68144	0.68083	0.68139	842	0	2
2024.01.02	03:00:00	0.68135	0.68226	0.68101	0.68122	1668	0	2
2024.01.02	04:00:00	0.68122	0.68138	0.68025	0.68042	1437	0	2
2024.01.02	05:00:00	0.68041	0.68186	0.68018	0.68145	1033	0	2
2024.01.02	06:00:00	0.68145	0.68206	0.68131	0.68188	722	0	2
2024.01.02	07:00:00	0.68190	0.68389	0.68190	0.68389	1256	0	2
2024.01.02	08:00:00	0.68385	0.68386	0.68242	0.68257	1147	0	2
2024.01.02	09:00:00	0.68257	0.68300	0.68188	0.68194	1635	0	2
2024.01.02	10:00:00	0.68196	0.68336	0.68196	0.68244	2003	0	2
2024.01.02	11:00:00	0.68244	0.68322	0.68209	0.68212	1607	0	2
2024.01.02	12:00:00	0.68210	0.68239	0.68109	0.68164	1480	0	2
2024.01.02	13:00:00	0.68159	0.68160	0.67956	0.68000	1711	0	2
2024.01.02	14:00:00	0.68002	0.68006	0.67842	0.67854	1683	0	2
2024.01.02	15:00:00	0.67853	0.67900	0.67772	0.67795	1789	0	2
2024.01.02	16:00:00	0.67795	0.67873	0.67737	0.67861	2319	0	2
2024.01.02	17:00:00	0.67864	0.67909	0.67612	0.67679	2469	0	2
2024.01.02	18:00:00	0.67677	0.67796	0.67626	0.67703	1940	0	2
2024.01.02	19:00:00	0.67703	0.67777	0.67687	0.67730	1554	0	2
2024.01.02	20:00:00	0.67730	0.67734	0.67633	0.67644	1397	0	2
2024.01.02	21:00:00	0.67642	0.67655	0.67606	0.67608	1197	0	2
2024.01.02	22:00:00	0.67608	0.67627	0.67569	0.67579	1137	0	2
2024.01.02	23:00:00	0.67580	0.67612	0.67570	0.67606	513	0	2
2024.01.03	00:00:00	0.67605	0.67658	0.67554	0.67641	438	0	7
2024.01.03	01:00:00	0.67648	0.67663	0.67640	0.67662	621	0	2
2024.01.03	02:00:00	0.67662	0.67706	0.67626	0.67639	900	0	2
2024.01.03	03:00:00	0.67634	0.67669	0.67520	0.67561	1603	0	2
2024.01.03	04:00:00	0.67562	0.67568	0.67507	0.67553	1265	0	2
2024.01.03	05:00:00	0.67553	0.67667	0.67529	0.67657	1060	0	2
2024.01.03	06:00:00	0.67657	0.67682	0.67613	0.67628	921	0	2
2024.01.03	07:00:00	0.67628	0.67705	0.67606	0.67641	1030	0	2
2024.01.03	08:00:00	0.67643	0.67699	0.67632	0.67661	1084	0	2
2024.01.03	09:00:00	0.67660	0.67679	0.67547	0.67572	1689	0	2
2024.01.03	10:00:00	0.67573	0.67601	0.67494	0.67558	1737	0	2
2024.01.03	11:00:00	0.67555	0.67570	0.67450	0.67490	1596	0	2
2024.01.03	12:00:00	0.67491	0.67513	0.67410	0.67421	1316	0	2
2024.01.03	13:00:00	0.67424	0.67434	0.67278	0.67288	1412	0	2
2024.01.03	14:00:00	0.67293	0.67360	0.67261	0.67268	1585	0	2
2024.01.03	15:00:00	0.67270	0.67295	0.67120	0.67147	2061	0	2
2024.01.03	16:00:00	0.67149	0.67216	0.67059	0.67198	2308	0	2
2024.01.03	17:00:00	0.67183	0.67391	0.67018	0.67120	2740	0	2
2024.01.03	18:00:00	0.67123	0.67257	0.67102	0.67190	2168	0	2
2024.01.03	19:00:00	0.67190	0.67220	0.67161	0.67201	1640	0	2
2024.01.03	20:00:00	0.67202	0.67272	0.67178	0.67202	1483	0	2
2024.01.03	21:00:00	0.67191	0.67371	0.67067	0.67294	2409	0	3
2024.01.03	22:00:00	0.67295	0.67299	0.67224	0.67252	1874	0	3
2024.01.03	23:00:00	0.67253	0.67314	0.67241	0.67308	684	0	2
2024.01.04	00:00:00	0.67237	0.67321	0.67175	0.67282	321	0	6
2024.01.04	01:00:00	0.67291	0.67348	0.67286	0.67345	680	0	2
2024.01.04	02:00:00	0.67347	0.67358	0.67274	0.67297	1073	0	2
2024.01.04	03:00:00	0.67299	0.67334	0.67234	0.67298	1499	0	2
2024.01.04	04:00:00	0.67297	0.67316	0.67208	0.67286	1307	0	2
2024.01.04	05:00:00	0.67289	0.67464	0.67272	0.67387	1258	0	2
2024.01.04	06:00:00	0.67383	0.67424	0.67358	0.67393	941	0	2
2024.01.04	07:00:00	0.67393	0.67439	0.67357	0.67395	1216	0	2
2024.01.04	08:00:00	0.67395	0.67539	0.67395	0.67527	1376	0	2
2024.01.04	09:00:00	0.67530	0.67599	0.67512	0.67534	1587	0	2
2024.01.04	10:00:00	0.67538	0.67558	0.67424	0.67496	1958	0	2
2024.01.04	11:00:00	0.67498	0.67514	0.67394	0.67426	1816	0	2
2024.01.04	12:00:00	0.67426	0.67451	0.67305	0.67355	1570	0	2
2024.01.04	13:00:00	0.67354	0.67388	0.67267	0.67284	1360	0	2
2024.01.04	14:00:00	0.67282	0.67323	0.67236	0.67242	1530	0	2
2024.01.04	15:00:00	0.67239	0.67280	0.67087	0.67126	2185	0	2
2024.01.04	16:00:00	0.67128	0.67140	0.66970	0.67009	2245	0	2
2024.01.04	17:00:00	0.67008	0.67173	0.67005	0.67101	2241	0	2
2024.01.04	18:00:00	0.67105	0.67167	0.67048	0.67088	1978	0	2
2024.01.04	19:00:00	0.67088	0.67092	0.66962	0.67027	1676	0	2
2024.01.04	20:00:00	0.67026	0.67060	0.66996	0.67014	1271	0	2
2024.01.04	21:00:00	0.67014	0.67051	0.66982	0.67034	1336	0	2
2024.01.04	22:00:00	0.67034	0.67060	0.67003	0.67043	1232	0	2
2024.01.04	23:00:00	0.67042	0.67077	0.67020	0.67063	593	0	2
2024.01.05	00:00:00	0.67058	0.67077	0.66981	0.67040	282	0	6
2024.01.05	01:00:00	0.67042	0.67074	0.67030	0.67057	652	0	2
2024.01.05	02:00:00	0.67056	0.67127	0.67029	0.67068	1040	0	2
2024.01.05	03:00:00	0.67068	0.67162	0.67035	0.67111	1573	0	2
2024.01.05	04:00:00	0.67110	0.67183	0.67080	0.67084	1192	0	2
2024.01.05	05:00:00	0.67087	0.67114	0.66985	0.67024	1054	0	2
2024.01.05	06:00:00	0.67024	0.67076	0.66977	0.66983	1000	0	2
2024.01.05	07:00:00	0.66982	0.67044	0.66925	0.67032	1091	0	2
2024.01.05	08:00:00	0.67034	0.67043	0.66889	0.66933	1362	0	2
