<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.02	00:00:00	0.68069	0.68125	0.68049	0.68113	38	0	31
2024.01.02	00:15:00	0.68113	0.68138	0.68046	0.68062	70	0	17
2024.01.02	00:30:00	0.68062	0.68110	0.68062	0.68096	45	0	8
2024.01.02	00:45:00	0.68096	0.68103	0.68040	0.68056	105	0	8
2024.01.02	01:00:00	0.68069	0.68128	0.68069	0.68110	195	0	2
2024.01.02	01:15:00	0.68110	0.68120	0.68091	0.68118	168	0	2
2024.01.02	01:30:00	0.68116	0.68118	0.68089	0.68091	180	0	2
2024.01.02	01:45:00	0.68091	0.68100	0.68060	0.68091	193	0	2
2024.01.02	02:00:00	0.68093	0.68143	0.68093	0.68123	218	0	2
2024.01.02	02:15:00	0.68122	0.68127	0.68089	0.68096	222	0	2
2024.01.02	02:30:00	0.68096	0.68119	0.68083	0.68118	185	0	2
2024.01.02	02:45:00	0.68117	0.68144	0.68116	0.68139	217	0	2
2024.01.02	03:00:00	0.68135	0.68226	0.68123	0.68173	421	0	2
2024.01.02	03:15:00	0.68174	0.68218	0.68162	0.68174	372	0	2
2024.01.02	03:30:00	0.68173	0.68178	0.68101	0.68148	498	0	2
2024.01.02	03:45:00	0.68153	0.68174	0.68115	0.68122	377	0	2
2024.01.02	04:00:00	0.68122	0.68138	0.68105	0.68108	350	0	2
2024.01.02	04:15:00	0.68110	0.68129	0.68079	0.68090	300	0	2
2024.01.02	04:30:00	0.68091	0.68094	0.68028	0.68043	418	0	2
2024.01.02	04:45:00	0.68042	0.68053	0.68025	0.68042	369	0	2
2024.01.02	05:00:00	0.68041	0.68070	0.68018	0.68054	297	0	2
2024.01.02	05:15:00	0.68057	0.68075	0.68038	0.68073	261	0	2
2024.01.02	05:30:00	0.68077	0.68169	0.68077	0.68164	275	0	2
2024.01.02	05:45:00	0.68164	0.68186	0.68136	0.68145	200	0	2
2024.01.02	06:00:00	0.68145	0.68159	0.68131	0.68151	153	0	2
2024.01.02	06:15:00	0.68156	0.68191	0.68145	0.68184	153	0	2
2024.01.02	06:30:00	0.68190	0.68206	0.68173	0.68174	188	0	2
2024.01.02	06:45:00	0.68175	0.68188	0.68168	0.68188	228	0	2
2024.01.02	07:00:00	0.68190	0.68274	0.68190	0.68273	329	0	2
2024.01.02	07:15:00	0.68270	0.68298	0.68243	0.68278	321	0	2
2024.01.02	07:30:00	0.68277	0.68317	0.68262	0.68313	288	0	2
2024.01.02	07:45:00	0.68318	0.68389	0.68316	0.68389	318	0	2
2024.01.02	08:00:00	0.68385	0.68386	0.68318	0.68333	309	0	2
2024.01.02	08:15:00	0.68333	0.68351	0.68311	0.68351	291	0	2
2024.01.02	08:30:00	0.68350	0.68358	0.68314	0.68344	268	0	2
2024.01.02	08:45:00	0.68346	0.68346	0.68242	0.68257	279	0	2
2024.01.02	09:00:00	0.68257	0.68276	0.68189	0.68263	403	0	2
2024.01.02	09:15:00	0.68261	0.68299	0.68239	0.68274	382	0	2
2024.01.02	09:30:00	0.68273	0.68300	0.68232	0.68232	404	0	2
2024.01.02	09:45:00	0.68236	0.68236	0.68188	0.68194	446	0	2
2024.01.02	10:00:00	0.68196	0.68336	0.68196	0.68334	547	0	2
2024.01.02	10:15:00	0.68331	0.68336	0.68278	0.68287	487	0	2
2024.01.02	10:30:00	0.68284	0.68304	0.68238	0.68277	495	0	2
2024.01.02	10:45:00	0.68277	0.68281	0.68219	0.68244	474	0	2
2024.01.02	11:00:00	0.68244	0.68278	0.68241	0.68256	431	0	2
2024.01.02	11:15:00	0.68253	0.68279	0.68233	0.68265	374	0	2
2024.01.02	11:30:00	0.68266	0.68322	0.68264	0.68283	405	0	2
