<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.02	00:00:00	155.539	155.683	155.531	155.585	178	0	51
2024.01.02	01:00:00	155.589	155.765	155.446	155.743	1335	0	5
2024.01.02	02:00:00	155.749	156.011	155.736	155.804	1142	0	0
2024.01.02	03:00:00	155.810	156.138	155.810	156.084	1280	0	0
2024.01.02	04:00:00	156.084	156.166	155.901	155.992	1294	0	0
2024.01.02	05:00:00	155.987	156.140	155.986	156.007	1066	0	0
2024.01.02	06:00:00	156.009	156.061	155.952	155.995	852	0	2
2024.01.02	07:00:00	155.996	156.034	155.930	155.962	1061	0	1
2024.01.02	08:00:00	155.958	156.129	155.946	156.091	1235	0	0
2024.01.02	09:00:00	156.084	156.136	155.922	155.926	2019	0	0
2024.01.02	10:00:00	155.940	156.187	155.841	156.140	2400	0	0
2024.01.02	11:00:00	156.136	156.339	155.791	155.927	2081	0	0
2024.01.02	12:00:00	155.927	156.000	155.766	155.928	2088	0	0
2024.01.02	13:00:00	155.927	155.941	155.543	155.578	2243	0	0
2024.01.02	14:00:00	155.585	155.919	155.546	155.680	2206	0	0
2024.01.02	15:00:00	155.679	155.736	155.533	155.694	2353	0	0
2024.01.02	16:00:00	155.698	155.709	155.082	155.198	2545	0	0
2024.01.02	17:00:00	155.184	155.484	155.184	155.331	2585	0	0
2024.01.02	18:00:00	155.324	155.490	155.286	155.471	2118	0	0
2024.01.02	19:00:00	155.472	155.499	155.409	155.471	1494	0	0
2024.01.02	20:00:00	155.471	155.483	155.397	155.399	1246	0	0
2024.01.02	21:00:00	155.399	155.450	155.329	155.387	1124	0	0
2024.01.02	22:00:00	155.392	155.416	155.257	155.366	1348	0	0
2024.01.02	23:00:00	155.359	155.388	155.298	155.372	710	0	2
2024.01.03	00:00:00	155.171	155.363	155.149	155.363	304	0	21
2024.01.03	01:00:00	155.404	155.562	155.404	155.562	978	0	4
2024.01.03	02:00:00	155.564	155.566	155.335	155.432	1224	0	0
2024.01.03	03:00:00	155.432	155.609	155.418	155.525	1157	0	0
2024.01.03	04:00:00	155.525	155.576	155.467	155.562	993	0	0
2024.01.03	05:00:00	155.562	155.566	155.472	155.524	1091	0	1
2024.01.03	06:00:00	155.524	155.593	155.498	155.561	798	0	3
2024.01.03	07:00:00	155.561	155.681	155.561	155.645	960	0	0
2024.01.03	08:00:00	155.646	155.762	155.587	155.719	1155	0	1
2024.01.03	09:00:00	155.703	156.140	155.625	156.099	1948	0	0
2024.01.03	10:00:00	156.101	156.233	156.081	156.158	2327	0	0
2024.01.03	11:00:00	156.158	156.258	155.905	155.989	2141	0	0
2024.01.03	12:00:00	155.992	156.102	155.880	155.887	1732	0	0
2024.01.03	13:00:00	155.888	156.122	155.787	156.088	1907	0	0
2024.01.03	14:00:00	156.079	156.205	155.955	156.041	2100	0	0
2024.01.03	15:00:00	156.048	156.198	156.038	156.195	2433	0	0
2024.01.03	16:00:00	156.195	156.477	156.151	156.336	2407	0	0
2024.01.03	17:00:00	156.340	156.715	156.157	156.593	2851	0	0
2024.01.03	18:00:00	156.577	156.596	156.457	156.589	2332	0	0
2024.01.03	19:00:00	156.592	156.785	156.486	156.629	1830	0	0
