<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.02	00:00:00	155.539	155.646	155.531	155.592	84	0	87
2024.01.02	00:30:00	155.592	155.683	155.534	155.585	94	0	51
2024.01.02	01:00:00	155.589	155.620	155.446	155.573	576	0	5
2024.01.02	01:30:00	155.568	155.765	155.521	155.743	759	0	5
2024.01.02	02:00:00	155.749	156.011	155.736	155.937	583	0	1
2024.01.02	02:30:00	155.948	155.970	155.799	155.804	559	0	0
2024.01.02	03:00:00	155.810	156.046	155.810	156.032	707	0	1
2024.01.02	03:30:00	156.031	156.138	155.989	156.084	573	0	0
2024.01.02	04:00:00	156.084	156.097	155.901	155.922	544	0	0
2024.01.02	04:30:00	155.922	156.166	155.907	155.992	750	0	0
2024.01.02	05:00:00	155.987	156.140	155.986	156.134	588	0	0
2024.01.02	05:30:00	156.134	156.134	156.001	156.007	478	0	2
2024.01.02	06:00:00	156.009	156.061	155.956	155.990	435	0	2
2024.01.02	06:30:00	155.989	156.004	155.952	155.995	417	0	2
2024.01.02	07:00:00	155.996	156.022	155.938	155.985	517	0	1
2024.01.02	07:30:00	155.985	156.034	155.930	155.962	544	0	1
2024.01.02	08:00:00	155.958	156.030	155.946	155.987	609	0	0
2024.01.02	08:30:00	155.986	156.129	155.952	156.091	626	0	2
2024.01.02	09:00:00	156.084	156.136	156.026	156.123	960	0	2
2024.01.02	09:30:00	156.122	156.123	155.922	155.926	1059	0	0
2024.01.02	10:00:00	155.940	156.062	155.841	155.962	1265	0	0
2024.01.02	10:30:00	155.966	156.187	155.957	156.140	1135	0	0
2024.01.02	11:00:00	156.136	156.339	156.105	156.155	1014	0	0
2024.01.02	11:30:00	156.149	156.158	155.791	155.927	1067	0	0
2024.01.02	12:00:00	155.927	156.000	155.766	155.875	1058	0	0
2024.01.02	12:30:00	155.882	155.959	155.848	155.928	1030	0	0
2024.01.02	13:00:00	155.927	155.941	155.587	155.619	1119	0	0
2024.01.02	13:30:00	155.605	155.712	155.543	155.578	1124	0	0
2024.01.02	14:00:00	155.585	155.800	155.546	155.784	1092	0	0
2024.01.02	14:30:00	155.776	155.919	155.680	155.680	1114	0	0
2024.01.02	15:00:00	155.679	155.736	155.533	155.573	1220	0	0
2024.01.02	15:30:00	155.574	155.707	155.537	155.694	1133	0	0
2024.01.02	16:00:00	155.698	155.709	155.259	155.320	1156	0	1
2024.01.02	16:30:00	155.323	155.487	155.082	155.198	1389	0	0
2024.01.02	17:00:00	155.184	155.323	155.184	155.309	1287	0	0
2024.01.02	17:30:00	155.308	155.484	155.252	155.331	1298	0	0
2024.01.02	18:00:00	155.324	155.415	155.286	155.363	1207	0	1
2024.01.02	18:30:00	155.369	155.490	155.342	155.471	911	0	0
2024.01.02	19:00:00	155.472	155.484	155.409	155.464	830	0	0
2024.01.02	19:30:00	155.464	155.499	155.442	155.471	664	0	0
2024.01.02	20:00:00	155.471	155.481	155.411	155.424	637	0	0
2024.01.02	20:30:00	155.423	155.483	155.397	155.399	609	0	0
2024.01.02	21:00:00	155.399	155.421	155.329	155.399	560	0	0
2024.01.02	21:30:00	155.396	155.450	155.376	155.387	564	0	1
2024.01.02	22:00:00	155.392	155.416	155.308	155.311	609	0	1
2024.01.02	22:30:00	155.311	155.367	155.257	155.366	739	0	0
2024.01.02	23:00:00	155.359	155.388	155.321	155.334	457	0	2
2024.01.02	23:30:00	155.323	155.385	155.298	155.372	253	0	3
2024.01.03	00:00:00	155.171	155.310	155.149	155.275	117	0	54
2024.01.03	00:30:00	155.270	155.363	155.258	155.363	187	0	21
2024.01.03	01:00:00	155.404	155.498	155.404	155.496	437	0	4
2024.01.03	01:30:00	155.496	155.562	155.479	155.562	541	0	4
2024.01.03	02:00:00	155.564	155.566	155.337	155.387	582	0	3
2024.01.03	02:30:00	155.379	155.444	155.335	155.432	642	0	0
2024.01.03	03:00:00	155.432	155.609	155.418	155.534	628	0	0
2024.01.03	03:30:00	155.539	155.541	155.432	155.525	529	0	2
2024.01.03	04:00:00	155.525	155.576	155.467	155.506	545	0	0
2024.01.03	04:30:00	155.510	155.568	155.500	155.562	448	0	2
2024.01.03	05:00:00	155.562	155.566	155.472	155.502	520	0	1
2024.01.03	05:30:00	155.497	155.562	155.491	155.524	571	0	2
2024.01.03	06:00:00	155.524	155.565	155.498	155.554	420	0	3
2024.01.03	06:30:00	155.552	155.593	155.519	155.561	378	0	3
2024.01.03	07:00:00	155.561	155.681	155.561	155.625	449	0	0
2024.01.03	07:30:00	155.625	155.675	155.576	155.645	511	0	2
2024.01.03	08:00:00	155.646	155.686	155.587	155.659	555	0	1
2024.01.03	08:30:00	155.659	155.762	155.642	155.719	600	0	1
2024.01.03	09:00:00	155.703	156.033	155.625	155.981	948	0	0
2024.01.03	09:30:00	155.977	156.140	155.971	156.099	1000	0	0
2024.01.03	10:00:00	156.101	156.202	156.081	156.191	1225	0	0
2024.01.03	10:30:00	156.190	156.233	156.114	156.158	1102	0	1
2024.01.03	11:00:00	156.158	156.258	155.905	155.920	1139	0	0
2024.01.03	11:30:00	155.920	156.103	155.908	155.989	1002	0	0
2024.01.03	12:00:00	155.992	156.102	155.958	156.048	935	0	0
2024.01.03	12:30:00	156.047	156.061	155.880	155.887	797	0	0
2024.01.03	13:00:00	155.888	155.982	155.787	155.971	871	0	0
2024.01.03	13:30:00	155.967	156.122	155.949	156.088	1036	0	0
2024.01.03	14:00:00	156.079	156.205	156.048	156.179	1047	0	0
2024.01.03	14:30:00	156.178	156.199	155.955	156.041	1053	0	0
2024.01.03	15:00:00	156.048	156.190	156.038	156.127	1171	0	0
2024.01.03	15:30:00	156.126	156.198	156.069	156.195	1262	0	0
2024.01.03	16:00:00	156.195	156.415	156.151	156.368	1126	0	0
2024.01.03	16:30:00	156.367	156.477	156.293	156.336	1281	0	0
2024.01.03	17:00:00	156.340	156.576	156.157	156.560	1462	0	0
