<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.02	00:00:00	179.183	179.424	179.098	179.281	193	0	37
2024.01.02	01:00:00	179.326	179.632	179.273	179.608	818	0	9
2024.01.02	02:00:00	179.608	179.862	179.599	179.616	1252	0	0
2024.01.02	03:00:00	179.623	179.987	179.619	179.922	1500	0	0
2024.01.02	04:00:00	179.922	180.209	179.865	179.934	1327	0	0
2024.01.02	05:00:00	179.928	180.103	179.925	179.971	1098	0	0
2024.01.02	06:00:00	179.971	180.017	179.901	179.951	890	0	0
2024.01.02	07:00:00	179.953	180.124	179.903	180.039	1520	0	0
2024.01.02	08:00:00	180.037	180.215	179.973	180.177	1604	0	0
2024.01.02	09:00:00	180.171	180.288	180.121	180.222	2251	0	0
2024.01.02	10:00:00	180.203	180.573	180.126	180.479	2562	0	0
2024.01.02	11:00:00	180.465	180.646	179.935	180.025	2346	0	0
2024.01.02	12:00:00	180.024	180.184	179.799	179.834	2318	0	0
2024.01.02	13:00:00	179.833	179.833	179.487	179.591	2495	0	0
2024.01.02	14:00:00	179.593	179.946	179.474	179.688	2506	0	0
2024.01.02	15:00:00	179.689	179.757	179.303	179.534	2553	0	0
2024.01.02	16:00:00	179.526	179.552	178.755	178.776	2827	0	0
2024.01.02	17:00:00	178.745	179.216	178.736	179.192	2934	0	0
2024.01.02	18:00:00	179.188	179.248	178.941	179.210	2375	0	0
2024.01.02	19:00:00	179.212	179.383	179.201	179.356	2001	0	0
2024.01.02	20:00:00	179.356	179.380	179.192	179.230	1733	0	0
2024.01.02	21:00:00	179.228	179.243	179.129	179.143	1414	0	0
2024.01.02	22:00:00	179.145	179.189	178.970	179.131	1860	0	0
2024.01.02	23:00:00	179.129	179.216	179.118	179.186	1081	0	0
2024.01.03	00:00:00	178.907	179.208	178.905	179.139	195	0	31
2024.01.03	01:00:00	179.139	179.462	179.139	179.459	824	0	5
2024.01.03	02:00:00	179.459	179.459	179.176	179.301	1729	0	1
2024.01.03	03:00:00	179.293	179.473	179.228	179.349	1613	0	1
2024.01.03	04:00:00	179.349	179.403	179.304	179.380	1350	0	0
2024.01.03	05:00:00	179.385	179.399	179.284	179.354	1531	0	0
2024.01.03	06:00:00	179.353	179.416	179.318	179.385	1228	0	1
2024.01.03	07:00:00	179.385	179.535	179.385	179.511	1462	0	0
2024.01.03	08:00:00	179.506	179.705	179.455	179.654	1624	0	0
2024.01.03	09:00:00	179.646	180.127	179.515	180.071	2269	0	0
2024.01.03	10:00:00	180.080	180.353	179.995	180.231	2410	0	0
2024.01.03	11:00:00	180.235	180.342	179.997	180.122	2325	0	0
2024.01.03	12:00:00	180.116	180.297	180.040	180.125	1903	0	0
2024.01.03	13:00:00	180.122	180.551	180.049	180.498	2141	0	0
2024.01.03	14:00:00	180.483	180.565	180.361	180.456	2139	0	0
2024.01.03	15:00:00	180.457	180.667	180.449	180.630	2601	0	0
2024.01.03	16:00:00	180.633	181.046	180.556	180.714	2823	0	0
2024.01.03	17:00:00	180.664	181.465	180.623	181.339	3115	0	0
2024.01.03	18:00:00	181.320	181.464	181.269	181.464	2689	0	0
2024.01.03	19:00:00	181.464	181.747	181.433	181.593	2161	0	0
2024.01.03	20:00:00	181.591	181.756	181.319	181.387	2058	0	0
2024.01.03	21:00:00	181.256	181.698	181.256	181.406	2868	0	0
2024.01.03	22:00:00	181.413	181.442	181.258	181.393	2459	0	0
2024.01.03	23:00:00	181.395	181.503	181.387	181.478	1118	0	0
2024.01.04	00:00:00	181.327	181.427	181.213	181.223	242	0	29
2024.01.04	01:00:00	181.223	181.357	181.165	181.227	1167	0	0
2024.01.04	02:00:00	181.218	181.547	181.017	181.511	2025	0	0
2024.01.04	03:00:00	181.509	181.647	181.290	181.615	2164	0	0
2024.01.04	04:00:00	181.615	181.646	181.493	181.636	1765	0	0
2024.01.04	05:00:00	181.636	181.683	181.498	181.668	1641	0	0
2024.01.04	06:00:00	181.669	181.961	181.655	181.906	1455	0	0
2024.01.04	07:00:00	181.908	182.239	181.904	182.102	2137	0	0
2024.01.04	08:00:00	182.105	182.207	181.953	181.985	2123	0	0
2024.01.04	09:00:00	181.982	182.054	181.680	181.992	2417	0	0
2024.01.04	10:00:00	181.982	182.448	181.844	182.390	2658	0	0
2024.01.04	11:00:00	182.385	183.045	182.383	183.009	2544	0	0
2024.01.04	12:00:00	183.012	183.328	182.993	183.309	2265	0	0
2024.01.04	13:00:00	183.310	183.334	182.984	183.068	2019	0	0
2024.01.04	14:00:00	183.065	183.101	182.848	183.055	2071	0	0
2024.01.04	15:00:00	183.054	183.284	182.697	183.179	2659	0	0
2024.01.04	16:00:00	183.174	183.686	183.174	183.573	2691	0	0
2024.01.04	17:00:00	183.567	183.777	183.542	183.717	2824	0	0
2024.01.04	18:00:00	183.698	183.706	183.407	183.482	2448	0	0
2024.01.04	19:00:00	183.479	183.525	183.238	183.397	2072	0	0
2024.01.04	20:00:00	183.391	183.522	183.315	183.383	1738	0	0
2024.01.04	21:00:00	183.385	183.410	183.225	183.372	1395	0	0
2024.01.04	22:00:00	183.370	183.402	183.268	183.401	1672	0	0
2024.01.04	23:00:00	183.419	183.481	183.372	183.429	1059	0	0
2024.01.05	00:00:00	183.276	183.435	183.241	183.386	809	0	17
2024.01.05	01:00:00	183.363	183.620	183.363	183.589	662	0	2
2024.01.05	02:00:00	183.588	183.887	183.507	183.765	1763	0	0
2024.01.05	03:00:00	183.762	183.797	183.611	183.727	1991	0	0
2024.01.05	04:00:00	183.728	183.760	183.645	183.728	1575	0	0
2024.01.05	05:00:00	183.717	183.829	183.677	183.783	1621	0	0
2024.01.05	06:00:00	183.783	183.817	183.638	183.656	1439	0	0
2024.01.05	07:00:00	183.657	183.674	183.400	183.440	1656	0	0
2024.01.05	08:00:00	183.422	184.127	183.410	184.018	2246	0	0
2024.01.05	09:00:00	184.025	184.089	183.804	183.937	2269	0	0
2024.01.05	10:00:00	183.913	183.951	183.686	183.700	2517	0	0
2024.01.05	11:00:00	183.697	183.860	183.649	183.801	2477	0	0
2024.01.05	12:00:00	183.805	183.932	183.749	183.787	2218	0	0
2024.01.05	13:00:00	183.789	183.934	183.700	183.821	1969	0	0
2024.01.05	14:00:00	183.817	183.948	183.673	183.718	1958	0	0
2024.01.05	15:00:00	183.716	184.282	183.654	184.120	2916	0	0
2024.01.05	16:00:00	184.125	184.303	183.979	184.293	3085	0	0
2024.01.05	17:00:00	184.070	184.179	183.555	183.792	3208	0	0
2024.01.05	18:00:00	183.792	184.106	183.737	184.093	2757	0	0
2024.01.05	19:00:00	184.097	184.201	184.041	184.166	2572	0	0
2024.01.05	20:00:00	184.175	184.300	184.116	184.153	2222	0	0
2024.01.05	21:00:00	184.150	184.176	183.983	184.054	2158	0	0
2024.01.05	22:00:00	184.054	184.147	184.000	184.118	1750	0	0
2024.01.05	23:00:00	184.125	184.138	183.822	183.836	1076	0	0
2024.01.08	00:00:00	183.826	183.899	183.708	183.830	456	0	70
2024.01.08	01:00:00	183.829	184.223	183.829	184.043	1125	0	0
2024.01.08	02:00:00	184.043	184.148	183.955	183.967	1207	0	0
2024.01.08	03:00:00	183.964	184.033	183.644	183.659	2003	0	0
2024.01.08	04:00:00	183.673	183.802	183.656	183.707	1605	0	0
2024.01.08	05:00:00	183.708	183.733	183.445	183.530	1729	0	0
2024.01.08	06:00:00	183.523	183.568	183.405	183.498	1387	0	0
2024.01.08	07:00:00	183.505	183.542	183.395	183.400	1456	0	0
2024.01.08	08:00:00	183.397	183.435	183.268	183.330	1766	0	1
2024.01.08	09:00:00	183.336	183.641	183.262	183.527	2332	0	0
2024.01.08	10:00:00	183.526	183.685	183.346	183.416	2634	0	0
2024.01.08	11:00:00	183.415	183.430	183.022	183.106	2315	0	0
2024.01.08	12:00:00	183.108	183.540	183.080	183.465	2227	0	0
2024.01.08	13:00:00	183.467	183.612	183.374	183.588	1993	0	0
2024.01.08	14:00:00	183.600	184.002	183.535	183.616	2081	0	0
2024.01.08	15:00:00	183.610	183.734	183.467	183.627	2793	0	0
