<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.02	00:00:00	1.27212	1.27323	1.27174	1.27277	276	0	1
2024.01.02	01:00:00	1.27296	1.27351	1.27262	1.27277	823	0	0
2024.01.02	02:00:00	1.27278	1.27297	1.27213	1.27258	933	0	0
2024.01.02	03:00:00	1.27258	1.27331	1.27202	1.27209	1365	0	0
2024.01.02	04:00:00	1.27208	1.27255	1.27098	1.27107	1117	0	0
2024.01.02	05:00:00	1.27107	1.27199	1.27096	1.27185	985	0	0
2024.01.02	06:00:00	1.27185	1.27189	1.27110	1.27145	716	0	0
2024.01.02	07:00:00	1.27146	1.27408	1.27144	1.27368	1151	0	0
2024.01.02	08:00:00	1.27368	1.27371	1.27288	1.27308	1200	0	0
2024.01.02	09:00:00	1.27311	1.27438	1.27265	1.27321	1685	0	0
2024.01.02	10:00:00	1.27323	1.27597	1.27292	1.27494	2062	0	0
2024.01.02	11:00:00	1.27484	1.27563	1.27173	1.27176	1861	0	0
2024.01.02	12:00:00	1.27170	1.27183	1.26919	1.26951	1983	0	0
2024.01.02	13:00:00	1.26950	1.26950	1.26540	1.26622	2166	0	0
2024.01.02	14:00:00	1.26622	1.26628	1.26393	1.26436	2012	0	0
2024.01.02	15:00:00	1.26435	1.26480	1.26213	1.26297	2078	0	0
2024.01.02	16:00:00	1.26282	1.26445	1.26201	1.26283	2496	0	0
2024.01.02	17:00:00	1.26283	1.26371	1.26147	1.26252	2676	0	0
2024.01.02	18:00:00	1.26253	1.26349	1.26104	1.26299	2056	0	0
2024.01.02	19:00:00	1.26300	1.26366	1.26222	1.26330	1719	0	0
2024.01.02	20:00:00	1.26329	1.26346	1.26236	1.26258	1498	0	0
2024.01.02	21:00:00	1.26253	1.26268	1.26198	1.26200	1331	0	0
2024.01.02	22:00:00	1.26200	1.26263	1.26158	1.26176	1387	0	0
2024.01.02	23:00:00	1.26175	1.26215	1.26159	1.26188	614	0	0
2024.01.03	00:00:00	1.26150	1.26217	1.26129	1.26208	612	0	1
2024.01.03	01:00:00	1.26217	1.26242	1.26191	1.26222	426	0	0
2024.01.03	02:00:00	1.26225	1.26323	1.26197	1.26313	837	0	0
2024.01.03	03:00:00	1.26305	1.26340	1.26251	1.26288	1382	0	0
2024.01.03	04:00:00	1.26288	1.26314	1.26262	1.26289	956	0	0
2024.01.03	05:00:00	1.26289	1.26412	1.26288	1.26405	1009	0	0
2024.01.03	06:00:00	1.26405	1.26416	1.26378	1.26410	862	0	0
2024.01.03	07:00:00	1.26412	1.26414	1.26297	1.26305	1027	0	0
2024.01.03	08:00:00	1.26306	1.26464	1.26305	1.26436	935	0	0
2024.01.03	09:00:00	1.26430	1.26465	1.26243	1.26432	1776	0	0
2024.01.03	10:00:00	1.26435	1.26523	1.26353	1.26416	2002	0	0
2024.01.03	11:00:00	1.26416	1.26466	1.26255	1.26281	2005	0	0
2024.01.03	12:00:00	1.26278	1.26315	1.26200	1.26268	1638	0	0
2024.01.03	13:00:00	1.26265	1.26311	1.26185	1.26266	1789	0	0
2024.01.03	14:00:00	1.26266	1.26420	1.26196	1.26243	1751	0	0
2024.01.03	15:00:00	1.26242	1.26430	1.26181	1.26296	2205	0	0
2024.01.03	16:00:00	1.26298	1.26412	1.26175	1.26300	2499	0	0
2024.01.03	17:00:00	1.26249	1.26562	1.26163	1.26278	2824	0	0
2024.01.03	18:00:00	1.26278	1.26502	1.26270	1.26407	2324	0	0
2024.01.03	19:00:00	1.26407	1.26470	1.26372	1.26448	1738	0	0
2024.01.03	20:00:00	1.26454	1.26544	1.26406	1.26474	1696	0	0
2024.01.03	21:00:00	1.26457	1.26763	1.26304	1.26638	2755	0	1
2024.01.03	22:00:00	1.26645	1.26671	1.26542	1.26639	2138	0	0
2024.01.03	23:00:00	1.26636	1.26682	1.26617	1.26641	842	0	0
2024.01.04	00:00:00	1.26572	1.26670	1.26555	1.26626	595	0	1
2024.01.04	01:00:00	1.26646	1.26735	1.26638	1.26730	688	0	0
2024.01.04	02:00:00	1.26730	1.26730	1.26658	1.26686	984	0	0
2024.01.04	03:00:00	1.26685	1.26698	1.26598	1.26623	1499	0	0
2024.01.04	04:00:00	1.26622	1.26639	1.26567	1.26598	1109	0	0
2024.01.04	05:00:00	1.26598	1.26734	1.26589	1.26729	1082	0	0
2024.01.04	06:00:00	1.26730	1.26758	1.26696	1.26701	875	0	0
2024.01.04	07:00:00	1.26700	1.26713	1.26635	1.26650	1100	0	0
2024.01.04	08:00:00	1.26649	1.26790	1.26649	1.26789	1417	0	0
2024.01.04	09:00:00	1.26792	1.26934	1.26776	1.26928	1834	0	0
2024.01.04	10:00:00	1.26928	1.27079	1.26814	1.27015	2193	0	0
2024.01.04	11:00:00	1.27011	1.27242	1.26889	1.27200	2041	0	0
2024.01.04	12:00:00	1.27202	1.27294	1.27038	1.27072	1862	0	0
2024.01.04	13:00:00	1.27072	1.27076	1.26860	1.26899	1569	0	0
2024.01.04	14:00:00	1.26900	1.26952	1.26858	1.26927	1598	0	0
2024.01.04	15:00:00	1.26925	1.26960	1.26702	1.26727	2257	0	0
2024.01.04	16:00:00	1.26728	1.26852	1.26646	1.26785	2452	0	0
2024.01.04	17:00:00	1.26786	1.27108	1.26786	1.26992	2472	0	0
2024.01.04	18:00:00	1.26998	1.27042	1.26887	1.26892	2009	0	0
2024.01.04	19:00:00	1.26896	1.26954	1.26727	1.26834	1767	0	0
2024.01.04	20:00:00	1.26833	1.26864	1.26778	1.26819	1365	0	0
2024.01.04	21:00:00	1.26820	1.26854	1.26737	1.26829	1062	0	0
2024.01.04	22:00:00	1.26828	1.26853	1.26769	1.26841	1142	0	0
2024.01.04	23:00:00	1.26840	1.26874	1.26794	1.26826	659	0	0
2024.01.05	00:00:00	1.26758	1.26849	1.26750	1.26802	562	0	1
2024.01.05	01:00:00	1.26832	1.26866	1.26799	1.26810	499	0	1
2024.01.05	02:00:00	1.26807	1.26920	1.26795	1.26908	958	0	0
