<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.02	00:00:00	37986.50	38040.70	37986.50	38005.20	1588	0	500
2024.01.02	04:00:00	38005.20	38051.50	38002.70	38037.50	1410	0	800
2024.01.02	08:00:00	38038.00	38108.50	37999.00	38007.00	3717	0	800
2024.01.02	12:00:00	38007.00	38011.00	37758.00	37777.00	5615	0	800
2024.01.02	16:00:00	37777.00	38064.50	37754.50	38035.50	8729	0	800
2024.01.02	20:00:00	38035.00	38036.00	37853.00	37997.00	6956	0	500
2024.01.03	00:00:00	37997.50	38009.00	37981.50	37985.50	1692	0	500
2024.01.03	04:00:00	37985.00	37988.50	37953.00	37960.50	1629	0	800
2024.01.03	08:00:00	37959.50	37997.50	37925.50	37929.50	3963	0	800
2024.01.03	12:00:00	37929.50	37937.50	37851.00	37855.50	4971	0	800
2024.01.03	16:00:00	37855.00	37890.00	37666.00	37814.50	8861	0	800
2024.01.03	20:00:00	37815.50	37877.50	37663.50	37717.00	7602	0	500
2024.01.04	00:00:00	37729.00	37747.00	37702.00	37738.00	1757	0	500
2024.01.04	04:00:00	37739.00	37743.50	37704.00	37708.50	1910	0	800
2024.01.04	08:00:00	37708.50	37776.50	37708.50	37746.00	4094	0	800
2024.01.04	12:00:00	37746.50	37803.50	37715.00	37778.00	5101	0	800
2024.01.04	16:00:00	37779.50	37980.00	37721.50	37796.50	8540	0	800
2024.01.04	20:00:00	37795.50	37832.00	37695.50	37751.00	6960	0	500
2024.01.05	00:00:00	37754.50	37774.50	37745.00	37761.00	1769	0	800
2024.01.05	04:00:00	37760.50	37760.50	37722.00	37724.50	1904	0	800
2024.01.05	08:00:00	37723.50	37733.50	37617.00	37622.00	4302	0	800
2024.01.05	12:00:00	37622.50	37662.00	37504.00	37634.00	5396	0	800
2024.01.05	16:00:00	37636.00	37876.50	37584.50	37616.00	9569	0	800
2024.01.05	20:00:00	37614.00	37776.50	37570.00	37706.50	7526	0	500
2024.01.08	00:00:00	37673.50	37704.00	37587.50	37591.50	1913	0	800
2024.01.08	04:00:00	37590.00	37596.00	37563.50	37579.00	1943	0	800
2024.01.08	08:00:00	37580.00	37622.00	37467.50	37541.00	4678	0	800
2024.01.08	12:00:00	37540.00	37610.50	37505.00	37571.50	5008	0	800
2024.01.08	16:00:00	37572.00	37715.50	37491.00	37702.00	13033	0	800
2024.01.08	20:00:00	37702.00	37940.00	37680.50	37891.00	9895	0	500
2024.01.09	00:00:00	37891.50	37898.50	37870.50	37880.00	2822	0	500
2024.01.09	04:00:00	37880.00	37887.50	37866.50	37869.50	3139	0	800
2024.01.09	08:00:00	37869.50	37883.50	37777.00	37819.50	7952	0	800
2024.01.09	12:00:00	37819.50	37828.50	37729.00	37731.00	9951	0	800
2024.01.09	16:00:00	37731.00	37779.50	37606.00	37751.00	14536	0	800
2024.01.09	20:00:00	37751.50	37795.00	37668.50	37735.50	11253	0	500
2024.01.10	00:00:00	37738.00	37759.00	37710.00	37727.00	3327	0	500
2024.01.10	04:00:00	37727.00	37736.50	37701.50	37715.50	3623	0	800
2024.01.10	08:00:00	37715.50	37786.50	37694.50	37761.00	8420	0	800
2024.01.10	12:00:00	37761.00	37771.50	37701.50	37746.00	9040	0	800
2024.01.10	16:00:00	37746.00	37896.50	37734.50	37817.50	14173	0	800
2024.01.10	20:00:00	37819.50	37980.00	37782.50	37934.00	10287	0	500
2024.01.11	00:00:00	37928.50	37968.50	37897.00	37967.50	3980	0	500
2024.01.11	04:00:00	37967.50	37992.00	37961.50	37978.50	3486	0	800
2024.01.11	08:00:00	37978.50	38033.50	37954.00	37963.00	8552	0	800
2024.01.11	12:00:00	37963.00	37972.50	37811.00	37846.00	9920	0	800
2024.01.11	16:00:00	37849.00	38020.00	37626.50	37752.00	17030	0	800
2024.01.11	20:00:00	37751.50	37947.00	37748.00	37908.50	11365	0	500
2024.01.12	00:00:00	37906.50	37925.50	37868.50	37893.50	5230	0	500
2024.01.12	04:00:00	37893.50	37921.50	37868.50	37886.00	4736	0	800
2024.01.12	08:00:00	37886.00	38000.50	37844.00	37957.00	11515	0	800
