<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.02	01:00:00	37986.50	38040.70	37986.50	38039.70	384	0	800
2024.01.02	01:30:00	38038.20	38038.20	38013.20	38020.70	206	0	800
2024.01.02	02:00:00	38020.70	38028.70	38010.70	38015.20	185	0	850
2024.01.02	02:30:00	38015.20	38021.70	38008.70	38014.70	154	0	850
2024.01.02	03:00:00	38015.70	38034.70	38011.70	38021.70	338	0	500
2024.01.02	03:30:00	38021.70	38025.70	37996.70	38005.20	321	0	850
2024.01.02	04:00:00	38005.20	38013.20	38002.70	38010.70	209	0	850
2024.01.02	04:30:00	38011.20	38015.20	38003.70	38013.20	223	0	850
2024.01.02	05:00:00	38015.20	38022.20	38013.70	38017.50	165	0	800
2024.01.02	05:30:00	38018.00	38021.50	38010.50	38020.00	163	0	800
2024.01.02	06:00:00	38020.00	38023.50	38016.50	38022.00	123	0	800
2024.01.02	06:30:00	38022.50	38035.50	38021.50	38031.00	130	0	800
2024.01.02	07:00:00	38031.50	38051.50	38031.00	38041.50	228	0	800
2024.01.02	07:30:00	38042.00	38043.50	38035.50	38037.50	169	0	800
2024.01.02	08:00:00	38038.00	38040.00	38028.50	38032.50	205	0	800
2024.01.02	08:30:00	38033.50	38037.50	38022.50	38029.00	226	0	800
2024.01.02	09:00:00	38029.50	38055.50	38028.00	38049.50	421	0	800
2024.01.02	09:30:00	38050.00	38052.00	38037.00	38040.50	317	0	800
2024.01.02	10:00:00	38044.00	38082.00	38044.00	38082.00	707	0	800
2024.01.02	10:30:00	38080.50	38108.50	38080.50	38104.50	609	0	800
2024.01.02	11:00:00	38104.00	38104.50	38044.00	38049.00	650	0	800
2024.01.02	11:30:00	38049.00	38053.50	37999.00	38007.00	582	0	800
2024.01.02	12:00:00	38007.00	38011.00	37965.00	37972.50	544	0	800
2024.01.02	12:30:00	37973.50	38007.50	37973.50	37982.50	562	0	800
2024.01.02	13:00:00	37981.50	37982.50	37875.00	37882.00	798	0	800
2024.01.02	13:30:00	37883.50	37884.00	37811.50	37844.00	851	0	800
2024.01.02	14:00:00	37841.50	37841.50	37804.00	37811.00	695	0	800
2024.01.02	14:30:00	37811.00	37815.00	37760.50	37769.00	724	0	800
2024.01.02	15:00:00	37768.00	37788.00	37758.00	37778.00	773	0	800
2024.01.02	15:30:00	37776.00	37812.50	37763.50	37777.00	668	0	800
2024.01.02	16:00:00	37777.00	37801.50	37754.50	37781.00	783	0	800
2024.01.02	16:30:00	37782.50	37938.50	37782.50	37938.50	1413	0	800
2024.01.02	17:00:00	37930.50	37963.50	37912.00	37924.50	1311	0	800
2024.01.02	17:30:00	37922.00	37990.00	37896.50	37969.00	1116	0	800
2024.01.02	18:00:00	37966.50	37989.50	37935.50	37955.50	1156	0	800
2024.01.02	18:30:00	37954.00	38021.00	37938.00	38015.00	923	0	800
2024.01.02	19:00:00	38017.00	38049.50	38009.50	38022.50	988	0	800
2024.01.02	19:30:00	38023.50	38064.50	38022.50	38035.50	1039	0	800
2024.01.02	20:00:00	38035.00	38036.00	37996.50	38005.00	961	0	800
2024.01.02	20:30:00	38003.50	38024.50	37960.00	37971.50	982	0	800
2024.01.02	21:00:00	37972.50	37976.50	37926.50	37949.00	1004	0	800
2024.01.02	21:30:00	37947.50	37959.50	37875.50	37875.50	968	0	800
2024.01.02	22:00:00	37876.50	37906.50	37853.00	37885.00	1043	0	800
2024.01.02	22:30:00	37888.00	38000.50	37878.50	37997.50	1145	0	800
2024.01.02	23:00:00	37989.50	38004.50	37980.50	37981.00	543	0	800
2024.01.02	23:30:00	37981.00	38005.50	37980.50	37997.00	310	0	500
2024.01.03	01:00:00	37997.50	38009.00	37984.50	37990.00	268	0	500
2024.01.03	01:30:00	37990.50	38005.00	37990.00	38004.50	206	0	800
2024.01.03	02:00:00	38005.00	38005.50	37997.50	38002.00	310	0	800
2024.01.03	02:30:00	38001.50	38004.50	37983.50	37990.00	256	0	800
2024.01.03	03:00:00	37989.50	37994.00	37981.50	37988.50	340	0	800
2024.01.03	03:30:00	37988.50	37992.50	37983.00	37985.50	312	0	800
2024.01.03	04:00:00	37985.00	37988.50	37975.00	37979.00	261	0	800
2024.01.03	04:30:00	37979.50	37987.00	37975.50	37979.50	206	0	800
2024.01.03	05:00:00	37979.50	37985.50	37971.00	37971.00	224	0	800
2024.01.03	05:30:00	37971.50	37978.00	37969.50	37969.50	178	0	800
2024.01.03	06:00:00	37969.00	37975.50	37968.50	37969.50	137	0	800
2024.01.03	06:30:00	37968.50	37972.00	37964.50	37966.50	181	0	800
2024.01.03	07:00:00	37967.00	37967.50	37953.00	37954.50	245	0	800
2024.01.03	07:30:00	37958.00	37962.50	37955.50	37960.50	197	0	800
2024.01.03	08:00:00	37959.50	37969.50	37958.50	37969.50	237	0	800
2024.01.03	08:30:00	37968.50	37970.50	37961.50	37967.00	182	0	800
2024.01.03	09:00:00	37965.00	37967.50	37951.50	37965.50	377	0	800
2024.01.03	09:30:00	37966.50	37977.50	37960.50	37964.50	343	0	800
2024.01.03	10:00:00	37965.00	37997.50	37958.50	37966.00	728	0	800
2024.01.03	10:30:00	37967.00	37993.50	37964.00	37969.00	739	0	800
2024.01.03	11:00:00	37969.00	37973.50	37932.50	37945.00	710	0	800
2024.01.03	11:30:00	37944.00	37952.50	37925.50	37929.50	647	0	800
2024.01.03	12:00:00	37929.50	37931.50	37901.50	37903.50	633	0	800
2024.01.03	12:30:00	37902.50	37937.50	37901.00	37919.50	612	0	800
2024.01.03	13:00:00	37920.00	37929.00	37891.00	37893.50	564	0	800
2024.01.03	13:30:00	37894.00	37897.50	37875.50	37888.50	600	0	800
2024.01.03	14:00:00	37891.00	37891.00	37867.00	37871.00	631	0	800
2024.01.03	14:30:00	37870.50	37885.50	37851.00	37868.50	659	0	800
2024.01.03	15:00:00	37868.50	37905.50	37864.00	37900.00	625	0	800
2024.01.03	15:30:00	37899.00	37900.00	37852.00	37855.50	647	0	800
2024.01.03	16:00:00	37855.00	37856.50	37825.00	37838.00	764	0	800
2024.01.03	16:30:00	37840.50	37890.00	37773.50	37791.00	1377	0	800
2024.01.03	17:00:00	37785.00	37842.50	37723.50	37758.50	1353	0	800
2024.01.03	17:30:00	37753.50	37771.50	37666.00	37708.00	1202	0	800
2024.01.03	18:00:00	37706.00	37751.50	37706.00	37738.50	1166	0	800
2024.01.03	18:30:00	37734.50	37752.50	37699.00	37729.50	1135	0	800
2024.01.03	19:00:00	37730.00	37756.00	37702.50	37749.50	931	0	800
2024.01.03	19:30:00	37751.50	37819.00	37742.50	37814.50	933	0	800
2024.01.03	20:00:00	37815.50	37850.50	37814.50	37835.50	926	0	800
