<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.02	02:15:00	4533.25	4535.25	4533.25	4534.25	17	0	130
2024.01.02	02:30:00	4534.25	4536.25	4534.25	4536.25	15	0	130
2024.01.02	02:45:00	4536.25	4536.25	4536.25	4536.25	15	0	130
2024.01.02	03:00:00	4536.25	4541.25	4536.25	4538.25	22	0	130
2024.01.02	03:15:00	4539.25	4541.25	4538.25	4538.25	18	0	130
2024.01.02	03:30:00	4539.25	4540.25	4536.25	4537.25	28	0	130
2024.01.02	03:45:00	4538.25	4539.25	4535.25	4537.25	28	0	130
2024.01.02	04:00:00	4537.25	4538.25	4537.25	4537.25	23	0	130
2024.01.02	04:15:00	4537.25	4538.25	4537.25	4538.25	16	0	130
2024.01.02	04:30:00	4538.25	4538.25	4537.25	4538.25	16	0	130
2024.01.02	04:45:00	4538.25	4539.25	4537.25	4539.25	21	0	130
2024.01.02	05:00:00	4539.25	4539.25	4538.25	4538.25	16	0	130
2024.01.02	05:15:00	4538.25	4538.25	4536.25	4536.25	17	0	130
2024.01.02	05:30:00	4536.25	4536.25	4536.25	4536.25	15	0	130
2024.01.02	05:45:00	4536.25	4536.25	4536.25	4536.25	15	0	130
2024.01.02	06:00:00	4536.25	4538.25	4536.25	4538.25	17	0	130
2024.01.02	06:15:00	4538.25	4539.25	4538.25	4538.25	16	0	130
2024.01.02	06:30:00	4538.25	4542.25	4538.25	4542.25	17	0	130
2024.01.02	06:45:00	4542.25	4542.25	4540.25	4540.25	18	0	130
2024.01.02	07:00:00	4540.25	4544.25	4540.25	4544.25	29	0	130
2024.01.02	07:15:00	4544.25	4544.25	4543.25	4543.25	27	0	130
2024.01.02	07:30:00	4543.25	4543.25	4542.25	4542.25	19	0	130
2024.01.02	07:45:00	4542.25	4543.25	4542.25	4542.25	21	0	130
2024.01.02	08:00:00	4542.25	4542.25	4540.25	4540.25	17	0	130
2024.01.02	08:15:00	4540.25	4541.25	4540.25	4541.25	17	0	130
2024.01.02	08:30:00	4541.25	4544.25	4541.25	4544.25	22	0	130
2024.01.02	08:45:00	4543.25	4544.25	4542.25	4542.25	20	0	130
2024.01.02	09:00:00	4542.25	4546.75	4539.75	4544.75	44	0	130
2024.01.02	09:15:00	4545.75	4545.75	4541.75	4542.75	40	0	130
2024.01.02	09:30:00	4542.75	4542.75	4537.75	4539.75	29	0	130
2024.01.02	09:45:00	4539.75	4545.75	4539.75	4540.75	32	0	130
2024.01.02	10:00:00	4540.75	4550.75	4539.75	4545.75	102	0	130
2024.01.02	10:15:00	4545.75	4550.75	4541.75	4550.75	84	0	130
2024.01.02	10:30:00	4549.75	4560.75	4549.75	4560.75	63	0	130
2024.01.02	10:45:00	4560.75	4568.75	4554.75	4568.75	86	0	130
2024.01.02	11:00:00	4568.75	4569.75	4560.75	4560.75	54	0	130
2024.01.02	11:15:00	4560.75	4560.75	4545.75	4547.75	91	0	130
2024.01.02	11:30:00	4547.75	4547.75	4535.75	4538.75	51	0	130
2024.01.02	11:45:00	4538.75	4541.75	4535.75	4539.75	51	0	130
2024.01.02	12:00:00	4539.75	4541.75	4534.75	4534.75	45	0	130
2024.01.02	12:15:00	4534.75	4537.75	4523.75	4527.75	52	0	130
2024.01.02	12:30:00	4527.75	4532.75	4527.75	4532.75	42	0	130
2024.01.02	12:45:00	4532.75	4533.75	4528.75	4529.75	47	0	130
2024.01.02	13:00:00	4529.75	4529.75	4524.75	4524.75	57	0	130
2024.01.02	13:15:00	4524.75	4524.75	4513.75	4513.75	87	0	130
2024.01.02	13:30:00	4513.75	4513.75	4500.75	4500.75	85	0	130
2024.01.02	13:45:00	4499.75	4508.75	4499.75	4507.75	60	0	130
2024.01.02	14:00:00	4507.75	4507.75	4499.75	4502.75	73	0	130
2024.01.02	14:15:00	4502.75	4503.75	4498.75	4498.75	58	0	130
2024.01.02	14:30:00	4498.75	4498.75	4488.75	4489.75	72	0	130
2024.01.02	14:45:00	4489.75	4491.75	4486.75	4489.75	61	0	130
2024.01.02	15:00:00	4488.75	4492.75	4484.75	4485.75	70	0	130
2024.01.02	15:15:00	4485.75	4488.75	4484.75	4486.75	53	0	130
2024.01.02	15:30:00	4485.75	4495.75	4483.75	4491.75	65	0	130
2024.01.02	15:45:00	4491.75	4494.75	4489.75	4492.75	59	0	130
2024.01.02	16:00:00	4492.75	4501.75	4492.75	4500.75	76	0	130
2024.01.02	16:15:00	4500.75	4507.75	4499.75	4506.75	45	0	130
2024.01.02	16:30:00	4506.75	4507.75	4496.25	4502.75	122	0	130
2024.01.02	16:45:00	4502.75	4510.75	4501.75	4509.75	122	0	130
2024.01.02	17:00:00	4509.75	4512.75	4506.75	4509.75	90	0	130
2024.01.02	17:15:00	4509.75	4514.75	4504.75	4507.75	90	0	130
2024.01.02	17:30:00	4506.75	4514.75	4502.75	4512.75	88	0	130
2024.01.02	17:45:00	4512.75	4514.75	4507.75	4513.75	61	0	130
2024.01.02	18:00:00	4513.75	4517.75	4510.75	4514.75	69	0	130
2024.01.02	18:15:00	4513.75	4516.75	4510.75	4511.75	38	0	130
2024.01.02	18:30:00	4511.75	4513.75	4509.75	4512.75	43	0	130
2024.01.02	18:45:00	4511.75	4516.75	4511.75	4516.75	26	0	130
2024.01.02	19:00:00	4516.75	4518.75	4515.75	4518.75	43	0	130
2024.01.02	19:15:00	4518.75	4518.75	4515.75	4515.75	45	0	130
2024.01.02	19:30:00	4515.75	4519.75	4515.75	4517.75	50	0	130
2024.01.02	19:45:00	4517.75	4517.75	4514.75	4515.75	32	0	130
2024.01.02	20:00:00	4515.75	4515.75	4511.75	4513.75	42	0	130
2024.01.02	20:15:00	4513.75	4515.75	4512.75	4513.75	44	0	130
2024.01.02	20:30:00	4513.75	4515.75	4512.75	4514.75	53	0	130
2024.01.02	20:45:00	4514.75	4515.75	4508.75	4509.75	58	0	130
2024.01.02	21:00:00	4509.75	4510.75	4505.75	4509.75	49	0	130
2024.01.02	21:15:00	4509.75	4509.75	4506.75	4508.75	50	0	130
2024.01.02	21:30:00	4508.75	4509.75	4504.75	4505.75	41	0	130
2024.01.02	21:45:00	4505.75	4505.75	4501.75	4501.75	33	0	130
2024.01.02	22:00:00	4500.75	4501.75	4497.75	4497.75	41	0	130
2024.01.02	22:15:00	4497.75	4499.75	4496.75	4498.75	36	0	130
2024.01.02	22:30:00	4498.75	4499.75	4494.75	4496.75	56	0	130
2024.01.02	22:45:00	4496.75	4502.75	4494.75	4501.75	53	0	130
2024.01.02	23:00:00	4499.90	4500.90	4497.90	4498.90	48	0	400
2024.01.02	23:15:00	4498.90	4498.90	4497.90	4497.90	24	0	400
2024.01.02	23:30:00	4497.90	4499.90	4497.90	4499.90	21	0	400
2024.01.02	23:45:00	4499.90	4500.90	4499.90	4499.90	17	0	400
2024.01.03	01:00:00	4500.40	4501.40	4500.40	4500.40	19	0	400
2024.01.03	01:15:00	4500.40	4500.40	4498.40	4498.40	22	0	400
2024.01.03	01:30:00	4498.40	4499.40	4498.40	4499.40	18	0	400
2024.01.03	01:45:00	4499.40	4500.40	4499.40	4500.40	20	0	400
2024.01.03	02:00:00	4500.40	4500.40	4499.40	4500.40	20	0	400
2024.01.03	02:15:00	4503.25	4504.25	4502.75	4502.75	23	0	130
2024.01.03	02:30:00	4502.75	4503.75	4501.75	4501.75	16	0	130
2024.01.03	02:45:00	4501.75	4501.75	4499.75	4500.75	21	0	130
2024.01.03	03:00:00	4500.75	4501.75	4499.75	4499.75	24	0	130
2024.01.03	03:15:00	4499.75	4500.75	4498.75	4500.75	30	0	130
2024.01.03	03:30:00	4500.75	4500.75	4499.75	4500.75	22	0	130
2024.01.03	03:45:00	4500.75	4500.75	4500.75	4500.75	15	0	130
2024.01.03	04:00:00	4500.75	4502.75	4500.75	4501.75	19	0	130
2024.01.03	04:15:00	4501.75	4501.75	4498.75	4499.75	22	0	130
2024.01.03	04:30:00	4499.75	4501.75	4499.75	4500.75	21	0	130
2024.01.03	04:45:00	4500.75	4500.75	4498.75	4498.75	17	0	130
2024.01.03	05:00:00	4498.75	4500.75	4498.75	4499.75	26	0	130
2024.01.03	05:15:00	4499.75	4499.75	4496.75	4496.75	20	0	130
2024.01.03	05:30:00	4496.75	4498.75	4496.75	4497.75	29	0	130
2024.01.03	05:45:00	4497.75	4498.75	4496.75	4496.75	23	0	130
2024.01.03	06:00:00	4496.75	4496.75	4496.75	4496.75	15	0	130
2024.01.03	06:15:00	4496.75	4497.75	4496.75	4496.75	16	0	130
2024.01.03	06:30:00	4496.75	4496.75	4495.75	4495.75	15	0	130
2024.01.03	06:45:00	4495.75	4495.75	4494.75	4495.75	16	0	130
2024.01.03	07:00:00	4495.75	4496.75	4495.75	4495.75	17	0	130
2024.01.03	07:15:00	4495.75	4496.75	4495.75	4496.75	16	0	130
2024.01.03	07:30:00	4497.75	4499.75	4497.75	4497.75	18	0	130
2024.01.03	07:45:00	4497.75	4498.75	4497.75	4498.75	16	0	130
2024.01.03	08:00:00	4498.75	4499.75	4498.75	4499.75	19	0	130
2024.01.03	08:15:00	4499.75	4500.75	4499.75	4500.75	16	0	130
2024.01.03	08:30:00	4500.75	4502.75	4500.75	4502.75	17	0	130
2024.01.03	08:45:00	4503.75	4503.75	4500.75	4501.75	28	0	130
2024.01.03	09:00:00	4500.75	4504.25	4498.25	4503.25	46	0	130
2024.01.03	09:15:00	4503.25	4508.25	4503.25	4507.25	32	0	130
2024.01.03	09:30:00	4507.25	4509.25	4505.25	4508.25	27	0	130
2024.01.03	09:45:00	4508.25	4514.25	4508.25	4509.25	41	0	130
2024.01.03	10:00:00	4509.25	4517.25	4508.25	4511.25	116	0	130
2024.01.03	10:15:00	4511.25	4514.25	4503.25	4505.25	84	0	130
