<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.02	02:00:00	16793.25	16803.75	16793.25	16800.25	99	0	210
2024.01.02	03:00:00	16800.25	16819.25	16795.25	16800.25	223	0	210
2024.01.02	04:00:00	16800.25	16804.75	16798.25	16804.75	165	0	210
2024.01.02	05:00:00	16804.25	16809.25	16794.25	16797.75	151	0	210
2024.01.02	06:00:00	16797.75	16814.25	16795.25	16809.25	120	0	210
2024.01.02	07:00:00	16809.25	16825.25	16809.25	16818.25	171	0	210
2024.01.02	08:00:00	16818.25	16821.25	16807.25	16818.75	209	0	210
2024.01.02	09:00:00	16818.25	16849.05	16812.05	16824.05	420	0	50
2024.01.02	10:00:00	16824.05	16982.55	16819.05	16979.55	1260	0	50
2024.01.02	11:00:00	16979.55	16983.55	16869.55	16887.55	1050	0	50
2024.01.02	12:00:00	16887.55	16890.55	16828.55	16847.55	828	0	50
2024.01.02	13:00:00	16846.55	16849.55	16710.55	16744.05	1117	0	50
2024.01.02	14:00:00	16745.05	16745.05	16668.05	16680.05	952	0	50
2024.01.02	15:00:00	16677.05	16719.05	16658.25	16710.05	1034	0	50
2024.01.02	16:00:00	16710.05	16786.05	16710.05	16781.05	1287	0	50
2024.01.02	17:00:00	16779.05	16794.05	16753.05	16787.05	1342	0	50
2024.01.02	18:00:00	16786.05	16802.05	16773.05	16792.05	874	0	50
2024.01.02	19:00:00	16793.05	16801.05	16781.05	16785.05	741	0	50
2024.01.02	20:00:00	16785.05	16788.05	16767.05	16770.05	587	0	50
2024.01.02	21:00:00	16769.05	16774.05	16744.05	16744.05	563	0	50
2024.01.02	22:00:00	16743.05	16753.85	16728.05	16751.15	664	0	50
2024.01.02	23:00:00	16747.25	16753.25	16740.25	16750.25	253	0	810
2024.01.03	02:00:00	16754.05	16759.05	16743.05	16745.05	141	0	210
2024.01.03	03:00:00	16745.05	16751.05	16742.05	16744.05	333	0	210
2024.01.03	04:00:00	16744.05	16752.05	16740.55	16743.05	233	0	210
2024.01.03	05:00:00	16743.05	16745.05	16732.05	16732.05	247	0	210
2024.01.03	06:00:00	16732.05	16733.55	16724.05	16728.05	137	0	210
2024.01.03	07:00:00	16728.55	16737.05	16723.55	16737.05	238	0	210
2024.01.03	08:00:00	16736.55	16752.05	16734.05	16742.55	277	0	210
2024.01.03	09:00:00	16741.55	16782.85	16736.05	16770.85	439	0	50
2024.01.03	10:00:00	16772.85	16799.85	16747.85	16761.85	1233	0	50
2024.01.03	11:00:00	16763.85	16767.85	16657.85	16657.85	1120	0	50
2024.01.03	12:00:00	16658.65	16696.85	16641.85	16680.85	1082	0	50
2024.01.03	13:00:00	16681.85	16700.85	16616.85	16636.85	884	0	50
2024.01.03	14:00:00	16637.85	16637.85	16592.85	16614.85	891	0	50
2024.01.03	15:00:00	16613.85	16649.85	16601.85	16604.85	891	0	50
2024.01.03	16:00:00	16604.85	16606.85	16516.85	16524.55	1381	0	50
2024.01.03	17:00:00	16516.55	16560.35	16488.35	16522.35	1641	0	50
2024.01.03	18:00:00	16521.35	16541.35	16510.35	16537.35	1209	0	50
2024.01.03	19:00:00	16537.35	16570.35	16534.35	16569.35	594	0	50
2024.01.03	20:00:00	16568.35	16579.35	16557.35	16560.35	572	0	50
2024.01.03	21:00:00	16560.35	16576.15	16540.35	16558.35	1068	0	50
2024.01.03	22:00:00	16558.35	16558.35	16525.35	16528.45	842	0	50
2024.01.03	23:00:00	16529.45	16537.55	16523.55	16537.55	259	0	130
2024.01.04	02:00:00	16514.85	16539.35	16514.85	16536.35	196	0	210
2024.01.04	03:00:00	16536.35	16543.35	16530.35	16538.35	335	0	210
2024.01.04	04:00:00	16538.35	16542.35	16524.35	16534.35	275	0	210
2024.01.04	05:00:00	16534.35	16544.85	16521.85	16524.35	270	0	210
2024.01.04	06:00:00	16524.85	16531.35	16521.35	16521.35	144	0	210
2024.01.04	07:00:00	16521.35	16525.35	16513.35	16514.85	202	0	210
2024.01.04	08:00:00	16515.85	16551.35	16514.85	16549.35	309	0	210
2024.01.04	09:00:00	16550.35	16577.15	16542.15	16543.15	500	0	50
2024.01.04	10:00:00	16545.15	16624.15	16545.15	16583.15	1303	0	50
2024.01.04	11:00:00	16585.15	16608.15	16570.15	16602.15	1008	0	50
2024.01.04	12:00:00	16602.15	16605.15	16571.15	16600.15	769	0	50
2024.01.04	13:00:00	16599.15	16603.15	16538.15	16539.15	755	0	50
2024.01.04	14:00:00	16540.15	16573.15	16509.15	16563.15	959	0	50
2024.01.04	15:00:00	16563.15	16568.15	16524.15	16544.15	968	0	50
2024.01.04	16:00:00	16545.15	16587.15	16539.15	16558.15	1196	0	50
2024.01.04	17:00:00	16560.15	16616.15	16557.15	16609.15	1123	0	50
2024.01.04	18:00:00	16609.15	16636.15	16596.15	16602.15	877	0	50
2024.01.04	19:00:00	16603.15	16617.15	16589.15	16603.15	739	0	50
2024.01.04	20:00:00	16602.15	16611.15	16598.15	16599.15	532	0	50
2024.01.04	21:00:00	16600.15	16604.15	16584.15	16592.15	589	0	50
2024.01.04	22:00:00	16591.15	16604.15	16574.15	16574.25	656	0	50
2024.01.04	23:00:00	16573.25	16584.35	16562.35	16580.35	289	0	230
2024.01.05	02:00:00	16593.15	16593.15	16571.15	16571.15	176	0	210
2024.01.05	03:00:00	16572.15	16582.15	16568.15	16577.15	313	0	210
2024.01.05	04:00:00	16577.15	16577.15	16567.15	16568.15	244	0	210
2024.01.05	05:00:00	16568.15	16574.15	16559.15	16562.15	195	0	210
