<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.02	02:00:00	16793.25	16799.25	16793.25	16798.25	35	0	210
2024.01.02	02:30:00	16798.25	16803.75	16796.25	16800.25	64	0	210
2024.01.02	03:00:00	16800.25	16819.25	16800.25	16807.25	110	0	210
2024.01.02	03:30:00	16807.25	16813.25	16795.25	16800.25	113	0	210
2024.01.02	04:00:00	16800.25	16802.75	16798.25	16800.25	93	0	210
2024.01.02	04:30:00	16800.25	16804.75	16798.25	16804.75	72	0	210
2024.01.02	05:00:00	16804.25	16809.25	16794.25	16795.25	87	0	210
2024.01.02	05:30:00	16795.25	16798.25	16794.25	16797.75	64	0	210
2024.01.02	06:00:00	16797.75	16805.25	16795.25	16804.25	55	0	210
2024.01.02	06:30:00	16804.25	16814.25	16803.25	16809.25	65	0	210
2024.01.02	07:00:00	16809.25	16825.25	16809.25	16820.25	93	0	210
2024.01.02	07:30:00	16820.25	16821.25	16816.25	16818.25	78	0	210
2024.01.02	08:00:00	16818.25	16820.25	16807.75	16813.25	90	0	210
2024.01.02	08:30:00	16812.25	16821.25	16807.25	16818.75	119	0	210
2024.01.02	09:00:00	16818.25	16846.05	16814.05	16837.05	238	0	50
2024.01.02	09:30:00	16837.05	16849.05	16812.05	16824.05	182	0	50
2024.01.02	10:00:00	16824.05	16911.55	16819.05	16910.55	665	0	50
2024.01.02	10:30:00	16909.55	16982.55	16909.55	16979.55	595	0	50
2024.01.02	11:00:00	16979.55	16983.55	16889.55	16900.55	561	0	50
2024.01.02	11:30:00	16900.55	16902.55	16869.55	16887.55	489	0	50
2024.01.02	12:00:00	16887.55	16890.55	16828.55	16839.55	423	0	50
2024.01.02	12:30:00	16840.55	16864.55	16835.55	16847.55	405	0	50
2024.01.02	13:00:00	16846.55	16849.55	16767.55	16770.55	492	0	50
2024.01.02	13:30:00	16770.55	16770.55	16710.55	16744.05	625	0	50
2024.01.02	14:00:00	16745.05	16745.05	16712.05	16715.05	486	0	50
2024.01.02	14:30:00	16715.05	16716.05	16668.05	16680.05	466	0	50
2024.01.02	15:00:00	16677.05	16693.05	16658.25	16680.05	522	0	50
2024.01.02	15:30:00	16678.05	16719.05	16671.05	16710.05	512	0	50
2024.01.02	16:00:00	16710.05	16769.05	16710.05	16763.05	518	0	50
2024.01.02	16:30:00	16763.05	16786.05	16743.05	16781.05	769	0	50
2024.01.02	17:00:00	16779.05	16794.05	16759.05	16769.05	683	0	50
2024.01.02	17:30:00	16768.05	16791.05	16753.05	16787.05	659	0	50
2024.01.02	18:00:00	16786.05	16802.05	16773.05	16782.05	536	0	50
2024.01.02	18:30:00	16781.05	16793.05	16773.05	16792.05	338	0	50
2024.01.02	19:00:00	16793.05	16799.05	16788.05	16788.05	383	0	50
2024.01.02	19:30:00	16789.05	16801.05	16781.05	16785.05	358	0	50
2024.01.02	20:00:00	16785.05	16785.05	16773.05	16781.05	288	0	50
2024.01.02	20:30:00	16781.05	16788.05	16767.05	16770.05	299	0	50
2024.01.02	21:00:00	16769.05	16774.05	16760.05	16769.05	307	0	50
2024.01.02	21:30:00	16768.05	16773.05	16744.05	16744.05	256	0	50
2024.01.02	22:00:00	16743.05	16745.05	16729.05	16740.05	314	0	50
2024.01.02	22:30:00	16740.05	16753.85	16728.05	16751.15	350	0	50
2024.01.02	23:00:00	16747.25	16753.25	16740.25	16745.25	162	0	810
2024.01.02	23:30:00	16745.25	16753.25	16744.25	16750.25	91	0	810
2024.01.03	02:00:00	16754.05	16755.05	16750.05	16752.05	47	0	210
2024.01.03	02:30:00	16752.05	16759.05	16743.05	16745.05	94	0	210
2024.01.03	03:00:00	16745.05	16751.05	16742.05	16745.05	177	0	210
2024.01.03	03:30:00	16744.55	16749.05	16744.05	16744.05	156	0	210
2024.01.03	04:00:00	16744.05	16752.05	16740.55	16744.05	138	0	210
2024.01.03	04:30:00	16743.05	16748.55	16740.55	16743.05	95	0	210
2024.01.03	05:00:00	16743.05	16745.05	16732.05	16734.05	127	0	210
2024.01.03	05:30:00	16734.05	16739.05	16732.05	16732.05	120	0	210
2024.01.03	06:00:00	16732.05	16733.55	16731.05	16731.05	54	0	210
2024.01.03	06:30:00	16732.05	16733.05	16724.05	16728.05	83	0	210
2024.01.03	07:00:00	16728.55	16732.05	16723.55	16727.05	133	0	210
2024.01.03	07:30:00	16730.05	16737.05	16728.05	16737.05	105	0	210
2024.01.03	08:00:00	16736.55	16741.05	16734.05	16741.05	159	0	210
2024.01.03	08:30:00	16740.05	16752.05	16738.05	16742.55	118	0	210
2024.01.03	09:00:00	16741.55	16762.85	16736.05	16759.85	238	0	50
2024.01.03	09:30:00	16760.85	16782.85	16755.85	16770.85	201	0	50
2024.01.03	10:00:00	16772.85	16799.85	16762.85	16771.85	702	0	50
2024.01.03	10:30:00	16775.85	16789.85	16747.85	16761.85	531	0	50
