<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.02	01:00:00	16859.25	16879.25	16856.50	16872.00	929	0	70
2024.01.02	02:00:00	16872.50	16872.75	16860.75	16869.25	656	0	70
2024.01.02	03:00:00	16869.75	16880.75	16853.50	16856.75	1148	0	70
2024.01.02	04:00:00	16856.75	16861.25	16843.50	16850.75	911	0	70
2024.01.02	05:00:00	16851.50	16855.00	16844.50	16849.50	599	0	70
2024.01.02	06:00:00	16849.50	16855.25	16845.75	16850.00	466	0	70
2024.01.02	07:00:00	16850.00	16861.50	16849.00	16860.00	758	0	70
2024.01.02	08:00:00	16860.00	16861.50	16845.25	16846.75	749	0	70
2024.01.02	09:00:00	16846.75	16865.00	16846.50	16858.75	1080	0	70
2024.01.02	10:00:00	16858.75	16877.60	16858.50	16868.35	1503	0	70
2024.01.02	11:00:00	16868.10	16869.10	16831.65	16837.65	1429	0	70
2024.01.02	12:00:00	16837.40	16840.90	16811.90	16814.65	1351	0	70
2024.01.02	13:00:00	16814.40	16820.15	16689.90	16718.90	2176	0	70
2024.01.02	14:00:00	16721.15	16721.15	16661.40	16667.15	1962	0	70
2024.01.02	15:00:00	16665.65	16699.40	16661.15	16696.65	2014	0	70
2024.01.02	16:00:00	16697.40	16721.40	16563.60	16606.60	2714	0	70
2024.01.02	17:00:00	16602.35	16629.40	16528.50	16554.50	3065	0	70
2024.01.02	18:00:00	16553.50	16628.00	16552.00	16620.25	2735	0	70
2024.01.02	19:00:00	16621.00	16629.00	16560.50	16562.50	2636	0	70
2024.01.02	20:00:00	16562.75	16585.50	16532.75	16540.50	2521	0	70
2024.01.02	21:00:00	16540.50	16551.25	16499.00	16499.00	2502	0	70
2024.01.02	22:00:00	16499.75	16569.75	16467.50	16565.50	2658	0	70
2024.01.02	23:00:00	16565.00	16580.50	16559.00	16575.75	1100	0	70
2024.01.03	01:00:00	16576.90	16580.40	16562.15	16569.40	794	0	70
2024.01.03	02:00:00	16569.90	16573.90	16559.90	16561.15	851	0	70
2024.01.03	03:00:00	16561.90	16565.40	16552.15	16556.40	1101	0	70
2024.01.03	04:00:00	16556.15	16559.40	16544.90	16547.40	890	0	70
2024.01.03	05:00:00	16547.65	16553.65	16546.15	16548.15	704	0	70
2024.01.03	06:00:00	16547.90	16549.15	16538.15	16539.40	592	0	70
2024.01.03	07:00:00	16539.65	16550.40	16534.15	16549.65	799	0	70
2024.01.03	08:00:00	16548.90	16561.40	16544.90	16556.15	819	0	70
2024.01.03	09:00:00	16556.15	16558.15	16546.40	16554.40	1133	0	70
2024.01.03	10:00:00	16554.65	16573.40	16518.05	16519.30	1836	0	70
2024.01.03	11:00:00	16522.30	16533.30	16486.80	16488.05	1875	0	70
2024.01.03	12:00:00	16487.80	16518.65	16482.55	16502.15	1672	0	70
2024.01.03	13:00:00	16502.40	16510.15	16480.90	16492.65	1458	0	70
2024.01.03	14:00:00	16493.40	16493.40	16447.65	16453.85	1793	0	70
2024.01.03	15:00:00	16453.35	16490.70	16443.10	16462.15	1828	0	70
2024.01.03	16:00:00	16461.90	16486.70	16427.70	16457.65	2722	0	70
2024.01.03	17:00:00	16448.90	16497.45	16389.95	16440.20	3102	0	70
2024.01.03	18:00:00	16440.70	16462.70	16404.45	16407.45	2878	0	70
2024.01.03	19:00:00	16408.45	16450.60	16395.65	16448.35	2569	0	70
