<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.02	01:00:00	16859.25	16879.25	16856.50	16875.50	546	0	70
2024.01.02	01:30:00	16875.50	16878.00	16869.75	16872.00	383	0	70
2024.01.02	02:00:00	16872.50	16872.75	16861.00	16862.25	341	0	70
2024.01.02	02:30:00	16862.25	16869.75	16860.75	16869.25	315	0	70
2024.01.02	03:00:00	16869.75	16880.75	16869.00	16871.50	539	0	70
2024.01.02	03:30:00	16871.00	16873.75	16853.50	16856.75	609	0	70
2024.01.02	04:00:00	16856.75	16861.25	16852.75	16853.50	426	0	70
2024.01.02	04:30:00	16854.00	16855.50	16843.50	16850.75	485	0	70
2024.01.02	05:00:00	16851.50	16855.00	16847.00	16851.75	323	0	70
2024.01.02	05:30:00	16851.50	16852.50	16844.50	16849.50	276	0	70
2024.01.02	06:00:00	16849.50	16850.75	16845.75	16850.00	213	0	70
2024.01.02	06:30:00	16850.50	16855.25	16849.50	16850.00	253	0	70
2024.01.02	07:00:00	16850.00	16861.00	16849.00	16859.00	412	0	70
2024.01.02	07:30:00	16859.00	16861.50	16858.00	16860.00	346	0	70
2024.01.02	08:00:00	16860.00	16861.50	16852.00	16854.25	363	0	70
2024.01.02	08:30:00	16854.25	16855.75	16845.25	16846.75	386	0	70
2024.01.02	09:00:00	16846.75	16865.00	16846.50	16860.75	570	0	70
2024.01.02	09:30:00	16861.00	16861.50	16853.00	16858.75	510	0	70
2024.01.02	10:00:00	16858.75	16875.35	16858.50	16874.10	815	0	70
2024.01.02	10:30:00	16873.60	16877.60	16866.60	16868.35	688	0	70
2024.01.02	11:00:00	16868.10	16869.10	16840.50	16847.50	742	0	70
2024.01.02	11:30:00	16847.25	16847.75	16831.65	16837.65	687	0	70
2024.01.02	12:00:00	16837.40	16839.90	16825.65	16829.40	638	0	70
2024.01.02	12:30:00	16829.65	16840.90	16811.90	16814.65	713	0	70
