<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.02	01:00:00	33254.50	33254.50	33199.00	33239.50	71	0	900
2024.01.02	01:30:00	33214.50	33244.50	33059.50	33079.50	168	0	900
2024.01.02	02:00:00	33079.50	33125.50	33029.50	33085.50	130	0	700
2024.01.02	02:30:00	33090.50	33108.00	33060.50	33090.50	116	0	700
2024.01.02	03:00:00	33090.50	33130.50	33090.50	33115.50	93	0	700
2024.01.02	03:30:00	33115.50	33125.50	33090.50	33115.50	85	0	700
2024.01.02	04:00:00	33115.50	33125.50	33105.50	33120.50	60	0	700
2024.01.02	04:30:00	33120.50	33160.50	33115.50	33155.50	90	0	700
2024.01.02	05:00:00	33155.50	33190.50	33150.50	33190.50	58	0	700
2024.01.02	05:30:00	33190.50	33256.60	33185.50	33236.60	71	0	700
2024.01.02	06:00:00	33236.60	33291.60	33236.60	33281.60	66	0	700
2024.01.02	06:30:00	33281.60	33316.60	33281.60	33306.60	60	0	700
2024.01.02	07:00:00	33306.60	33341.60	33291.60	33331.60	85	0	700
2024.01.02	07:30:00	33331.60	33360.50	33321.60	33330.50	73	0	700
2024.01.02	08:00:00	33330.50	33350.50	33295.50	33340.50	93	0	700
2024.01.02	08:30:00	33350.50	33350.50	33305.50	33320.50	78	0	700
2024.01.02	09:00:00	33325.50	33365.50	33320.50	33358.00	67	0	700
2024.01.02	09:30:00	33358.00	33385.50	33345.50	33365.50	86	0	700
2024.01.02	10:00:00	33360.50	33400.50	33355.50	33390.50	201	0	700
2024.01.02	10:30:00	33395.50	33435.50	33385.50	33425.50	166	0	700
2024.01.02	11:00:00	33420.50	33435.50	33340.50	33355.50	143	0	700
2024.01.02	11:30:00	33350.50	33355.50	33285.50	33315.50	152	0	700
2024.01.02	12:00:00	33315.50	33325.50	33280.50	33290.50	111	0	700
2024.01.02	12:30:00	33290.50	33345.50	33285.50	33295.50	122	0	700
