<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.02	08:00:00	70279.50	70304.30	69583.80	69709.70	3373	0	1050
2024.01.02	12:00:00	69709.70	69734.50	69193.10	69310.90	2881	0	1050
2024.01.02	16:00:00	69310.90	69559.20	69274.60	69489.60	1143	0	1050
2024.01.03	08:00:00	69577.70	69579.15	68362.60	68362.60	3441	0	1050
2024.01.03	12:00:00	68363.10	68652.20	68312.20	68354.50	3377	0	1050
2024.01.03	16:00:00	68354.50	68427.10	68179.60	68297.30	1701	0	1050
2024.01.04	08:00:00	68435.15	68661.80	68100.50	68505.90	3050	0	1050
2024.01.04	12:00:00	68505.90	68607.60	67999.20	67999.20	3404	0	1050
2024.01.04	16:00:00	67999.20	68140.70	67967.90	68006.90	1579	0	1050
2024.01.05	08:00:00	67700.60	68003.10	67493.60	67516.50	2701	0	1050
2024.01.05	12:00:00	67519.30	67828.70	67379.50	67801.10	2723	0	1050
2024.01.05	16:00:00	67801.10	68510.70	67793.30	68308.90	1613	0	1050
2024.01.08	08:00:00	67877.25	67900.90	67232.00	67340.40	3252	0	1050
2024.01.08	12:00:00	67340.40	67646.30	67137.80	67502.60	2912	0	1050
2024.01.08	16:00:00	67494.80	67775.50	67475.75	67707.70	1315	0	1050
2024.01.09	08:00:00	68040.70	68128.10	67550.10	67772.90	2635	0	1050
2024.01.09	12:00:00	67772.90	67849.50	67537.80	67647.00	3517	0	1050
2024.01.09	16:00:00	67647.00	67680.00	67248.70	67466.90	1467	0	1050
2024.01.10	08:00:00	67189.50	67485.90	67037.50	67198.10	2607	0	1050
2024.01.10	12:00:00	67198.10	67208.40	66871.50	66950.60	2857	0	1050
2024.01.10	16:00:00	66951.10	67194.90	66938.90	67084.90	1420	0	1050
2024.01.11	08:00:00	67596.00	67870.60	67530.70	67606.70	3361	0	1050
2024.01.11	12:00:00	67607.70	67752.70	67164.90	67405.20	2892	0	1050
2024.01.11	16:00:00	67405.20	67720.70	67089.30	67223.20	1767	0	1050
2024.01.12	08:00:00	67417.25	67682.60	67150.30	67219.20	2453	0	1050
2024.01.12	12:00:00	67220.20	67623.00	67148.40	67618.60	3185	0	1050
2024.01.12	16:00:00	67618.60	67941.60	67567.00	67714.20	1316	0	1050
2024.01.15	08:00:00	67711.45	67871.00	67257.40	67289.90	2825	0	1050
2024.01.15	12:00:00	67290.40	67355.90	66944.10	67089.80	4140	0	1050
2024.01.15	16:00:00	67089.80	67280.50	67019.30	67186.70	865	0	1050
2024.01.16	08:00:00	66702.15	66784.90	66429.40	66665.40	4223	0	1050
2024.01.16	12:00:00	66665.40	67001.70	66627.20	66774.20	3282	0	1050
2024.01.16	16:00:00	66774.20	66787.10	66455.10	66686.80	1859	0	1050
2024.01.17	08:00:00	65853.20	65853.20	65365.70	65719.50	4282	0	1050
2024.01.17	12:00:00	65721.50	65860.00	65355.10	65360.10	3318	0	1050
2024.01.17	16:00:00	65360.10	65559.30	65244.00	65399.00	1744	0	1050
2024.01.18	08:00:00	65737.50	66160.00	65737.50	66051.20	3253	0	1050
2024.01.18	12:00:00	66051.20	66145.00	65862.20	66018.60	3512	0	1050
2024.01.18	16:00:00	66021.50	66123.00	65850.60	65987.50	1704	0	1050
2024.01.19	08:00:00	66015.05	66667.50	65979.55	66390.60	2944	0	1050
2024.01.19	12:00:00	66390.60	66494.50	66275.20	66287.60	2539	0	1050
2024.01.19	16:00:00	66287.60	66345.60	66028.80	66179.00	1369	0	1050
2024.01.22	08:00:00	66295.55	66352.90	65942.30	66017.70	2460	0	1050
2024.01.22	12:00:00	66017.70	66143.60	65743.80	65838.60	2845	0	1050
2024.01.22	16:00:00	65836.60	66267.50	65830.80	66159.10	1465	0	1050
2024.01.23	08:00:00	66689.90	67160.70	66575.20	66804.60	3121	0	1050
2024.01.23	12:00:00	66804.60	66829.00	66533.50	66703.40	3010	0	1050
2024.01.23	16:00:00	66702.90	67140.80	66632.40	67043.90	1689	0	1050
2024.01.24	08:00:00	67196.60	67908.30	66926.10	67883.30	3650	0	1050
2024.01.24	12:00:00	67883.30	68128.60	67843.50	67957.10	3098	0	1050
2024.01.24	16:00:00	67957.10	68094.40	67722.20	67845.65	1454	0	1050
2024.01.25	08:00:00	68276.50	68276.50	67616.30	67920.00	2931	0	1050
2024.01.25	12:00:00	67920.00	68065.80	67565.90	67663.80	3020	0	1050
2024.01.25	16:00:00	67663.80	67694.70	67324.70	67366.10	1662	0	1050
2024.01.26	08:00:00	67010.90	67659.60	66969.40	67604.40	2357	0	1050
2024.01.26	12:00:00	67604.40	68441.70	67578.80	68407.70	3265	0	1050
2024.01.26	16:00:00	68407.70	68653.40	68342.00	68545.20	1720	0	1050
2024.01.29	08:00:00	68545.30	68617.80	68158.80	68471.60	3315	0	1050
2024.01.29	12:00:00	68461.30	68630.30	68028.90	68198.10	2343	0	1050
2024.01.29	16:00:00	68198.10	68233.50	67894.50	67928.00	1483	0	1050
2024.01.30	08:00:00	67999.65	68403.90	67827.90	68054.80	2685	0	1050
2024.01.30	12:00:00	68055.30	68116.10	67857.20	67978.60	2329	0	1050
2024.01.30	16:00:00	67978.60	68158.80	67890.20	67961.20	1387	0	1050
2024.01.31	08:00:00	67901.90	67940.50	67350.00	67362.70	4542	0	1050
2024.01.31	12:00:00	67361.80	67842.40	67304.50	67797.00	3359	0	1050
2024.01.31	16:00:00	67797.00	67936.20	67731.90	67902.00	1611	0	1050
2024.02.01	08:00:00	67463.90	67521.60	66819.40	67521.60	3485	0	1050
2024.02.01	12:00:00	67522.60	67787.10	67260.40	67574.60	3421	0	1050
2024.02.01	16:00:00	67574.60	67959.80	67472.45	67843.30	1836	0	1050
2024.02.02	08:00:00	68439.20	68899.80	68256.30	68323.60	3719	0	1050
2024.02.02	12:00:00	68323.60	68500.20	67855.00	67883.60	3546	0	1050
2024.02.02	16:00:00	67883.60	68029.10	67609.70	67733.30	1593	0	1050
2024.02.05	08:00:00	67983.50	68039.60	67612.10	67771.80	2686	0	1050
2024.02.05	12:00:00	67771.80	67972.90	67308.70	67318.60	2938	0	1050
2024.02.05	16:00:00	67318.60	67565.20	67203.60	67338.75	1779	0	1050
2024.02.06	08:00:00	67910.60	68399.80	67766.50	67876.40	2687	0	1050
2024.02.06	12:00:00	67876.40	67947.60	67522.50	67893.30	3157	0	1050
2024.02.06	16:00:00	67893.30	68122.90	67794.80	68074.80	1635	0	1050
2024.02.07	08:00:00	68019.60	68165.50	67799.00	67868.20	2381	0	1050
2024.02.07	12:00:00	67868.20	67963.10	67605.50	67810.50	2637	0	1050
2024.02.07	16:00:00	67810.50	67905.60	67584.00	67728.70	1404	0	1050
2024.02.08	08:00:00	67608.40	67666.30	67049.10	67546.10	3065	0	1050
2024.02.08	12:00:00	67544.10	67567.10	67162.30	67305.90	2929	0	1050
2024.02.08	16:00:00	67305.90	67391.40	67052.00	67215.20	1562	0	1050
2024.02.09	08:00:00	67181.90	67294.90	66951.00	67088.00	3350	0	1050
2024.02.09	12:00:00	67088.50	67141.40	66837.90	67075.20	3513	0	1050
2024.02.09	16:00:00	67064.40	67101.10	66672.80	66774.70	1622	0	1050
2024.02.12	08:00:00	66842.75	67065.10	66608.20	66836.30	2720	0	1050
2024.02.12	12:00:00	66839.20	66862.10	66650.30	66841.60	2691	0	1050
2024.02.12	16:00:00	66841.60	67347.20	66840.60	67225.30	1531	0	1050
2024.02.13	08:00:00	67215.30	67387.20	67016.20	67259.10	3137	0	1050
2024.02.13	12:00:00	67259.10	67328.00	66533.10	66533.10	3156	0	1050
2024.02.13	16:00:00	66540.00	66713.80	66237.20	66446.00	1848	0	1050
2024.02.14	08:00:00	66517.20	66562.40	66051.40	66353.30	3108	0	1050
2024.02.14	12:00:00	66353.30	66494.70	66240.60	66252.60	3010	0	1050
2024.02.14	16:00:00	66252.60	66458.60	66246.80	66261.70	1680	0	1050
2024.02.15	08:00:00	66385.05	66819.10	66230.20	66525.00	2587	0	1050
2024.02.15	12:00:00	66513.10	66705.90	66443.80	66600.60	2605	0	1050
2024.02.15	16:00:00	66600.60	66784.40	66386.80	66702.25	1566	0	1050
2024.02.16	08:00:00	67078.60	67444.90	66974.60	67202.20	3197	0	1050
2024.02.16	12:00:00	67203.20	67439.70	67086.70	67162.00	2918	0	1050
2024.02.16	16:00:00	67162.00	67414.10	67039.30	67276.45	1260	0	1050
2024.02.19	08:00:00	67043.60	67319.75	66745.80	67097.90	2890	0	1050
2024.02.19	12:00:00	67098.90	67471.00	66954.25	67052.60	2752	0	1050
2024.02.19	16:00:00	67052.60	67159.20	67027.90	67047.05	819	0	1050
2024.02.20	08:00:00	66888.40	66888.40	66363.80	66609.40	2764	0	1050
2024.02.20	12:00:00	66609.40	66706.70	66512.20	66565.10	2602	0	1050
2024.02.20	16:00:00	66565.10	66588.20	66299.10	66332.90	1430	0	1050
