<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.02	08:30:00	70279.50	70279.80	70174.65	70258.70	181	0	1050
2024.01.02	08:45:00	70265.70	70304.30	70158.10	70158.10	156	0	1050
2024.01.02	09:00:00	70158.10	70299.80	70101.20	70282.60	288	0	1050
2024.01.02	09:15:00	70282.60	70282.60	70142.55	70166.00	267	0	1050
2024.01.02	09:30:00	70166.55	70188.70	70045.70	70047.70	216	0	1050
2024.01.02	09:45:00	70050.60	70131.00	70035.10	70087.50	210	0	1050
2024.01.02	10:00:00	70087.50	70166.70	70009.10	70116.90	279	0	1050
2024.01.02	10:15:00	70099.40	70100.30	69956.20	70021.90	247	0	1050
2024.01.02	10:30:00	70021.90	70142.80	69994.40	70061.00	249	0	1050
2024.01.02	10:45:00	70061.00	70123.60	69986.50	70018.70	195	0	1050
2024.01.02	11:00:00	70018.70	70060.30	69871.60	69892.10	281	0	1050
2024.01.02	11:15:00	69892.10	69911.80	69803.25	69906.30	307	0	1050
2024.01.02	11:30:00	69906.80	69920.50	69583.80	69635.30	287	0	1050
2024.01.02	11:45:00	69635.30	69711.10	69600.00	69709.70	210	0	1050
2024.01.02	12:00:00	69709.70	69734.50	69644.90	69663.90	204	0	1050
2024.01.02	12:15:00	69663.90	69687.90	69561.50	69573.20	151	0	1050
2024.01.02	12:30:00	69573.20	69668.10	69573.20	69668.10	190	0	1050
2024.01.02	12:45:00	69671.00	69678.30	69626.90	69635.70	110	0	1050
2024.01.02	13:00:00	69636.60	69638.50	69403.70	69405.30	211	0	1050
2024.01.02	13:15:00	69402.70	69406.20	69316.10	69326.00	198	0	1050
2024.01.02	13:30:00	69326.00	69329.00	69203.50	69325.10	208	0	1050
2024.01.02	13:45:00	69325.10	69403.50	69308.20	69387.00	154	0	1050
2024.01.02	14:00:00	69387.00	69397.60	69310.50	69367.70	191	0	1050
2024.01.02	14:15:00	69367.70	69370.20	69298.10	69302.90	141	0	1050
2024.01.02	14:30:00	69302.90	69374.20	69271.20	69346.80	154	0	1050
2024.01.02	14:45:00	69346.80	69348.80	69193.10	69226.40	205	0	1050
2024.01.02	15:00:00	69226.40	69313.70	69225.40	69290.30	181	0	1050
2024.01.02	15:15:00	69290.30	69340.70	69256.10	69332.50	149	0	1050
2024.01.02	15:30:00	69340.40	69514.80	69336.50	69498.20	261	0	1050
2024.01.02	15:45:00	69498.20	69498.20	69309.90	69310.90	173	0	1050
2024.01.02	16:00:00	69310.90	69406.90	69274.60	69327.50	128	0	1050
2024.01.02	16:15:00	69327.50	69473.40	69327.50	69473.40	123	0	1050
2024.01.02	16:30:00	69473.40	69476.40	69359.70	69433.20	256	0	1050
2024.01.02	16:45:00	69433.20	69476.80	69346.00	69453.00	196	0	1050
2024.01.02	17:00:00	69460.70	69559.20	69404.85	69461.40	180	0	1050
2024.01.02	17:15:00	69461.40	69533.10	69405.60	69489.60	260	0	1050
2024.01.03	08:30:00	69577.70	69579.15	69311.20	69330.80	169	0	1050
2024.01.03	08:45:00	69331.80	69383.30	69331.80	69351.60	77	0	1050
2024.01.03	09:00:00	69339.80	69339.80	69060.60	69060.60	285	0	1050
2024.01.03	09:15:00	69062.60	69088.00	68958.70	68970.40	174	0	1050
2024.01.03	09:30:00	68969.40	69039.00	68938.20	68972.50	247	0	1050
2024.01.03	09:45:00	68973.50	69102.80	68972.50	69026.30	242	0	1050
2024.01.03	10:00:00	69026.30	69189.40	69026.30	69086.10	278	0	1050
2024.01.03	10:15:00	69097.30	69097.30	68815.50	68830.30	250	0	1050
