<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.02	01:00:00	2031.66	2038.11	2031.66	2035.81	516	0	48
2024.01.02	02:00:00	2035.91	2036.66	2033.61	2033.86	354	0	48
2024.01.02	03:00:00	2033.86	2037.06	2033.36	2033.56	576	0	48
2024.01.02	04:00:00	2033.56	2034.86	2033.46	2034.36	428	0	48
2024.01.02	05:00:00	2034.56	2035.91	2034.41	2035.56	374	0	48
2024.01.02	06:00:00	2035.56	2037.11	2035.26	2036.66	270	0	48
2024.01.02	07:00:00	2036.76	2038.06	2036.66	2037.61	377	0	48
2024.01.02	08:00:00	2037.56	2037.76	2035.26	2035.41	397	0	48
2024.01.02	09:00:00	2035.51	2039.21	2035.46	2036.86	562	0	48
2024.01.02	10:00:00	2037.01	2042.64	2036.96	2042.54	918	0	32
2024.01.02	11:00:00	2042.49	2043.44	2037.34	2038.74	838	0	32
2024.01.02	12:00:00	2038.74	2041.54	2036.24	2036.64	833	0	32
2024.01.02	13:00:00	2036.44	2036.44	2018.44	2023.14	1363	0	32
2024.01.02	14:00:00	2022.94	2023.44	2010.64	2011.94	1220	0	32
2024.01.02	15:00:00	2012.09	2016.84	2009.74	2015.24	1302	0	32
2024.01.02	16:00:00	2015.14	2031.69	2007.74	2031.44	2192	0	32
2024.01.02	17:00:00	2030.34	2036.59	2015.49	2016.74	2802	0	32
2024.01.02	18:00:00	2016.49	2031.39	2016.44	2031.39	2474	0	32
2024.01.02	19:00:00	2031.44	2036.19	2026.69	2027.29	2308	0	32
2024.01.02	20:00:00	2027.24	2027.59	2016.54	2016.79	2175	0	32
2024.01.02	21:00:00	2016.74	2018.44	2008.64	2008.64	2111	0	32
2024.01.02	22:00:00	2008.59	2015.49	2004.39	2015.49	2272	0	32
2024.01.02	23:00:00	2015.69	2018.29	2014.49	2016.84	711	0	32
2024.01.03	01:00:00	2017.66	2019.06	2015.96	2018.06	392	0	48
2024.01.03	02:00:00	2018.06	2018.16	2014.46	2014.56	454	0	48
2024.01.03	03:00:00	2014.26	2015.51	2013.61	2014.16	510	0	48
2024.01.03	04:00:00	2014.16	2014.91	2012.76	2013.56	445	0	48
2024.01.03	05:00:00	2013.56	2014.16	2011.86	2013.21	367	0	48
2024.01.03	06:00:00	2013.16	2013.56	2011.01	2011.01	268	0	48
2024.01.03	07:00:00	2011.16	2011.16	2009.51	2010.76	482	0	48
2024.01.03	08:00:00	2010.66	2012.46	2010.61	2011.86	480	0	48
2024.01.03	09:00:00	2011.71	2013.31	2010.26	2012.51	605	0	48
2024.01.03	10:00:00	2012.56	2016.44	2008.44	2008.64	1182	0	32
2024.01.03	11:00:00	2008.54	2008.84	2002.29	2002.29	1100	0	32
2024.01.03	12:00:00	2002.34	2004.24	2001.39	2001.74	927	0	32
2024.01.03	13:00:00	2001.79	2002.49	1996.69	1997.24	921	0	32
2024.01.03	14:00:00	1997.44	1997.84	1993.74	1993.84	1038	0	32
2024.01.03	15:00:00	1993.84	1996.64	1989.14	1989.19	1102	0	32
2024.01.03	16:00:00	1989.34	1994.24	1980.44	1981.49	2123	0	32
2024.01.03	17:00:00	1981.04	1995.94	1972.29	1982.79	2759	0	32
2024.01.03	18:00:00	1982.59	1987.61	1981.69	1982.41	2445	0	32
2024.01.03	19:00:00	1982.49	1983.11	1976.89	1981.89	2158	0	32
2024.01.03	20:00:00	1981.81	1986.01	1979.04	1979.39	2026	0	32
2024.01.03	21:00:00	1979.44	1986.81	1972.01	1974.59	2693	0	32
2024.01.03	22:00:00	1974.39	1974.91	1955.79	1958.69	2609	0	32
2024.01.03	23:00:00	1959.09	1962.21	1958.61	1961.81	741	0	32
2024.01.04	01:00:00	1964.26	1965.06	1962.56	1963.96	455	0	48
2024.01.04	02:00:00	1963.76	1966.41	1961.01	1966.06	553	0	48
2024.01.04	03:00:00	1965.86	1966.91	1964.26	1965.76	508	0	48
2024.01.04	04:00:00	1965.86	1966.16	1963.06	1964.56	430	0	48
2024.01.04	05:00:00	1964.56	1966.06	1963.61	1963.86	405	0	48
2024.01.04	06:00:00	1963.86	1965.16	1963.06	1963.06	254	0	48
2024.01.04	07:00:00	1963.26	1963.46	1961.76	1962.06	371	0	48
2024.01.04	08:00:00	1961.96	1966.11	1961.66	1965.86	398	0	48
2024.01.04	09:00:00	1965.91	1969.36	1965.91	1967.26	599	0	48
2024.01.04	10:00:00	1967.46	1971.29	1967.31	1967.54	1074	0	32
2024.01.04	11:00:00	1967.84	1970.94	1966.64	1970.34	871	0	32
2024.01.04	12:00:00	1970.44	1972.34	1966.54	1970.14	763	0	32
2024.01.04	13:00:00	1970.14	1972.14	1963.24	1963.44	807	0	32
2024.01.04	14:00:00	1963.54	1970.99	1960.04	1967.81	1033	0	32
2024.01.04	15:00:00	1967.61	1967.81	1949.74	1950.04	1548	0	32
2024.01.04	16:00:00	1950.24	1969.51	1947.44	1959.84	2252	0	32
2024.01.04	17:00:00	1959.34	1968.49	1958.34	1962.99	2578	0	32
2024.01.04	18:00:00	1963.09	1970.89	1959.74	1962.24	2384	0	32
2024.01.04	19:00:00	1962.24	1963.94	1955.64	1958.94	2174	0	32
2024.01.04	20:00:00	1958.84	1965.69	1958.04	1962.94	2082	0	32
2024.01.04	21:00:00	1962.94	1964.69	1956.07	1959.81	2187	0	32
2024.01.04	22:00:00	1959.81	1963.81	1953.31	1955.19	2335	0	32
2024.01.04	23:00:00	1955.49	1959.31	1955.19	1958.59	779	0	32
2024.01.05	01:00:00	1960.66	1961.21	1957.96	1957.96	388	0	48
2024.01.05	02:00:00	1957.96	1959.46	1957.06	1958.56	475	0	48
2024.01.05	03:00:00	1958.86	1960.46	1957.61	1959.16	473	0	48
2024.01.05	04:00:00	1959.16	1959.36	1957.66	1958.06	378	0	48
2024.01.05	05:00:00	1958.16	1958.76	1956.96	1957.16	285	0	48
2024.01.05	06:00:00	1957.26	1960.36	1957.26	1958.46	298	0	48
2024.01.05	07:00:00	1958.46	1958.96	1956.76	1957.76	372	0	48
2024.01.05	08:00:00	1957.96	1958.76	1950.31	1953.46	558	0	48
2024.01.05	09:00:00	1953.41	1956.51	1952.71	1953.21	548	0	48
2024.01.05	10:00:00	1953.01	1957.11	1950.71	1951.01	1009	0	32
2024.01.05	11:00:00	1950.91	1951.71	1946.21	1947.11	875	0	32
2024.01.05	12:00:00	1947.19	1948.21	1941.84	1944.21	909	0	32
2024.01.05	13:00:00	1944.11	1945.11	1937.09	1940.71	896	0	32
2024.01.05	14:00:00	1940.91	1942.69	1938.01	1942.41	900	0	32
2024.01.05	15:00:00	1942.31	1948.31	1920.67	1939.94	2064	0	32
2024.01.05	16:00:00	1940.34	1957.44	1935.44	1955.34	2551	0	32
2024.01.05	17:00:00	1957.94	1970.94	1957.94	1965.24	2764	0	32
2024.01.05	18:00:00	1965.79	1967.84	1955.44	1957.59	2396	0	32
2024.01.05	19:00:00	1957.64	1958.34	1947.64	1951.84	2353	0	32
2024.01.05	20:00:00	1951.74	1960.19	1947.24	1955.54	2336	0	32
2024.01.05	21:00:00	1955.64	1961.44	1943.99	1945.04	2310	0	32
2024.01.05	22:00:00	1944.64	1953.59	1943.99	1949.54	2368	0	32
2024.01.05	23:00:00	1949.69	1952.94	1949.69	1951.29	716	0	32
2024.01.08	01:00:00	1952.36	1956.91	1952.16	1956.46	529	0	48
2024.01.08	02:00:00	1956.36	1959.56	1956.11	1959.06	376	0	48
2024.01.08	03:00:00	1958.91	1960.46	1954.26	1954.56	609	0	48
2024.01.08	04:00:00	1954.26	1954.56	1951.71	1952.16	547	0	48
2024.01.08	05:00:00	1952.16	1952.36	1948.61	1949.26	483	0	48
2024.01.08	06:00:00	1949.31	1951.06	1948.66	1950.71	324	0	48
2024.01.08	07:00:00	1950.71	1951.26	1948.06	1948.76	381	0	48
2024.01.08	08:00:00	1948.76	1950.81	1947.86	1948.16	511	0	48
2024.01.08	09:00:00	1948.06	1952.06	1947.36	1947.56	626	0	48
2024.01.08	10:00:00	1947.56	1953.04	1946.66	1947.84	1216	0	32
2024.01.08	11:00:00	1947.94	1949.44	1938.47	1945.17	1127	0	32
2024.01.08	12:00:00	1945.07	1946.47	1942.69	1943.07	968	0	32
2024.01.08	13:00:00	1942.77	1950.67	1940.17	1947.37	909	0	32
2024.01.08	14:00:00	1947.49	1950.17	1945.87	1949.64	836	0	32
2024.01.08	15:00:00	1949.74	1950.69	1945.64	1946.64	1125	0	32
2024.01.08	16:00:00	1946.69	1955.99	1940.29	1955.54	3497	0	32
2024.01.08	17:00:00	1955.59	1970.24	1950.59	1966.59	4035	0	32
2024.01.08	18:00:00	1966.89	1971.24	1964.19	1970.94	3302	0	32
2024.01.08	19:00:00	1970.99	1974.24	1965.04	1973.24	2934	0	32
2024.01.08	20:00:00	1973.14	1980.24	1972.59	1980.09	2649	0	32
2024.01.08	21:00:00	1980.09	1985.84	1977.54	1984.19	2678	0	32
2024.01.08	22:00:00	1984.19	1988.39	1981.29	1987.94	3205	0	32
2024.01.08	23:00:00	1987.99	1988.14	1985.74	1986.04	805	0	32
2024.01.09	01:00:00	1986.06	1986.66	1983.86	1985.06	452	0	48
2024.01.09	02:00:00	1984.96	1986.31	1983.71	1983.71	581	0	48
2024.01.09	03:00:00	1983.71	1984.76	1983.06	1983.76	713	0	48
2024.01.09	04:00:00	1983.76	1984.76	1983.11	1983.51	686	0	48
2024.01.09	05:00:00	1983.61	1984.06	1982.76	1983.21	622	0	48
2024.01.09	06:00:00	1983.21	1983.21	1980.81	1981.26	579	0	48
2024.01.09	07:00:00	1981.26	1981.71	1980.11	1980.16	509	0	48
2024.01.09	08:00:00	1980.16	1981.61	1979.71	1979.91	458	0	48
2024.01.09	09:00:00	1979.86	1980.86	1978.11	1978.86	655	0	48
2024.01.09	10:00:00	1979.01	1979.01	1970.54	1972.94	1374	0	32
2024.01.09	11:00:00	1972.94	1973.34	1967.94	1969.71	1195	0	32
2024.01.09	12:00:00	1969.71	1970.64	1966.14	1966.74	1102	0	32
2024.01.09	13:00:00	1966.74	1967.24	1960.84	1961.64	1025	0	32
2024.01.09	14:00:00	1961.84	1968.29	1960.54	1967.14	1117	0	32
2024.01.09	15:00:00	1967.14	1968.04	1960.84	1961.94	1534	0	32
2024.01.09	16:00:00	1961.94	1963.64	1950.39	1958.79	4835	0	32
2024.01.09	17:00:00	1958.99	1964.74	1954.69	1959.79	4018	0	32
2024.01.09	18:00:00	1959.79	1970.19	1959.59	1970.19	3088	0	32
2024.01.09	19:00:00	1970.17	1971.89	1968.17	1971.89	2612	0	32
2024.01.09	20:00:00	1971.89	1975.17	1962.87	1972.47	3130	0	32
2024.01.09	21:00:00	1972.67	1973.29	1966.19	1969.87	3054	0	32
2024.01.09	22:00:00	1969.77	1972.57	1965.09	1967.49	3418	0	32
2024.01.09	23:00:00	1967.44	1968.09	1964.39	1965.34	776	0	32
2024.01.10	01:00:00	1965.86	1967.66	1965.06	1967.56	337	0	48
2024.01.10	02:00:00	1967.66	1969.01	1965.46	1966.31	769	0	48
2024.01.10	03:00:00	1966.46	1966.56	1963.76	1964.86	906	0	48
2024.01.10	04:00:00	1964.96	1965.36	1963.36	1964.66	710	0	48
2024.01.10	05:00:00	1964.66	1965.06	1962.56	1963.36	501	0	48
2024.01.10	06:00:00	1963.36	1964.61	1962.66	1963.16	404	0	48
2024.01.10	07:00:00	1963.26	1964.86	1962.71	1964.46	369	0	48
2024.01.10	08:00:00	1964.36	1965.36	1960.76	1961.56	560	0	48
2024.01.10	09:00:00	1961.66	1966.76	1961.06	1965.76	728	0	48
2024.01.10	10:00:00	1965.76	1967.74	1963.44	1966.34	1200	0	32
2024.01.10	11:00:00	1966.44	1973.34	1965.34	1970.54	1154	0	32
2024.01.10	12:00:00	1970.69	1970.84	1966.94	1968.54	939	0	32
2024.01.10	13:00:00	1968.54	1969.99	1963.84	1965.54	987	0	32
2024.01.10	14:00:00	1965.04	1969.84	1965.04	1967.44	939	0	32
2024.01.10	15:00:00	1967.54	1969.09	1962.94	1963.14	1187	0	32
2024.01.10	16:00:00	1963.14	1968.29	1955.59	1956.91	4132	0	32
2024.01.10	17:00:00	1956.79	1964.49	1948.21	1963.11	3969	0	32
