<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.02	01:00:00	3.8561	3.8631	3.8561	3.8621	226	0	35
2024.01.02	02:00:00	3.8621	3.8656	3.8618	3.8651	232	0	35
2024.01.02	03:00:00	3.8648	3.8708	3.8507	3.8517	1013	0	35
2024.01.02	04:00:00	3.8517	3.8611	3.8502	3.8611	578	0	35
2024.01.02	05:00:00	3.8609	3.8626	3.8566	3.8604	380	0	35
2024.01.02	06:00:00	3.8606	3.8621	3.8596	3.8611	180	0	35
2024.01.02	07:00:00	3.8616	3.8680	3.8614	3.8671	489	0	35
2024.01.02	08:00:00	3.8668	3.8750	3.8651	3.8680	617	0	35
2024.01.02	09:00:00	3.8680	3.8750	3.8571	3.8581	582	0	35
2024.01.02	10:00:00	3.8586	3.8675	3.8519	3.8549	815	0	35
2024.01.02	11:00:00	3.8552	3.8690	3.8532	3.8542	697	0	35
2024.01.02	12:00:00	3.8537	3.8557	3.8433	3.8522	716	0	35
2024.01.02	13:00:00	3.8522	3.8522	3.8368	3.8408	647	0	35
2024.01.02	14:00:00	3.8410	3.8428	3.8343	3.8383	539	0	35
2024.01.02	15:00:00	3.8393	3.8457	3.8319	3.8329	853	0	25
2024.01.02	16:00:00	3.8329	3.8428	3.8254	3.8405	1037	0	25
2024.01.02	17:00:00	3.8400	3.8438	3.8294	3.8381	1076	0	25
2024.01.02	18:00:00	3.8378	3.8547	3.8319	3.8443	828	0	25
2024.01.02	19:00:00	3.8443	3.8532	3.8433	3.8438	537	0	25
2024.01.02	20:00:00	3.8438	3.8438	3.8339	3.8358	333	0	25
2024.01.02	21:00:00	3.8358	3.8361	3.8309	3.8314	209	0	25
2024.01.02	22:00:00	3.8319	3.8329	3.8294	3.8304	196	0	25
2024.01.02	23:00:00	3.8299	3.8348	3.8294	3.8343	136	0	35
2024.01.03	01:00:00	3.8352	3.8370	3.8328	3.8333	118	0	35
2024.01.03	02:00:00	3.8333	3.8387	3.8328	3.8343	145	0	35
2024.01.03	03:00:00	3.8343	3.8372	3.8278	3.8323	732	0	35
2024.01.03	04:00:00	3.8328	3.8397	3.8293	3.8372	495	0	35
2024.01.03	05:00:00	3.8377	3.8377	3.8293	3.8323	293	0	35
2024.01.03	06:00:00	3.8323	3.8323	3.8273	3.8288	124	0	35
2024.01.03	07:00:00	3.8288	3.8343	3.8241	3.8303	406	0	35
2024.01.03	08:00:00	3.8303	3.8357	3.8288	3.8352	503	0	35
2024.01.03	09:00:00	3.8352	3.8352	3.8189	3.8224	441	0	35
2024.01.03	10:00:00	3.8224	3.8243	3.8095	3.8189	810	0	35
2024.01.03	11:00:00	3.8189	3.8243	3.8068	3.8110	735	0	35
2024.01.03	12:00:00	3.8110	3.8201	3.8090	3.8120	496	0	35
2024.01.03	13:00:00	3.8125	3.8164	3.8011	3.8045	630	0	35
2024.01.03	14:00:00	3.8045	3.8110	3.8001	3.8075	577	0	35
2024.01.03	15:00:00	3.8090	3.8134	3.8040	3.8060	835	0	25
2024.01.03	16:00:00	3.8060	3.8100	3.7971	3.8053	880	0	25
2024.01.03	17:00:00	3.8048	3.8288	3.8011	3.8127	1259	0	25
2024.01.03	18:00:00	3.8130	3.8382	3.8127	3.8303	742	0	25
2024.01.03	19:00:00	3.8303	3.8328	3.8234	3.8258	511	0	25
2024.01.03	20:00:00	3.8268	3.8338	3.8263	3.8315	292	0	25
2024.01.03	21:00:00	3.8315	3.8429	3.8258	3.8377	984	0	25
2024.01.03	22:00:00	3.8377	3.8377	3.8338	3.8348	460	0	25
2024.01.03	23:00:00	3.8353	3.8372	3.8343	3.8370	153	0	25
2024.01.04	01:00:00	3.8374	3.8406	3.8366	3.8386	149	0	35
2024.01.04	02:00:00	3.8386	3.8386	3.8359	3.8376	154	0	35
2024.01.04	03:00:00	3.8381	3.8399	3.8302	3.8312	733	0	35
2024.01.04	04:00:00	3.8317	3.8324	3.8210	3.8235	543	0	35
2024.01.04	05:00:00	3.8238	3.8243	3.8158	3.8163	434	0	35
2024.01.04	06:00:00	3.8163	3.8188	3.8153	3.8178	193	0	35
2024.01.04	07:00:00	3.8178	3.8228	3.8148	3.8223	401	0	35
2024.01.04	08:00:00	3.8223	3.8257	3.8193	3.8223	548	0	35
2024.01.04	09:00:00	3.8223	3.8490	3.8220	3.8423	681	0	35
2024.01.04	10:00:00	3.8436	3.8453	3.8272	3.8399	803	0	35
2024.01.04	11:00:00	3.8396	3.8416	3.8277	3.8347	735	0	35
2024.01.04	12:00:00	3.8357	3.8376	3.8153	3.8161	574	0	35
2024.01.04	13:00:00	3.8163	3.8168	3.8017	3.8059	542	0	35
2024.01.04	14:00:00	3.8054	3.8086	3.8020	3.8034	445	0	35
2024.01.04	15:00:00	3.8034	3.8109	3.7940	3.7945	907	0	25
2024.01.04	16:00:00	3.7948	3.7975	3.7831	3.7955	800	0	25
2024.01.04	17:00:00	3.7955	3.8079	3.7950	3.8010	813	0	25
2024.01.04	18:00:00	3.8015	3.8064	3.7965	3.7995	604	0	25
2024.01.04	19:00:00	3.8005	3.8124	3.7940	3.8082	522	0	25
2024.01.04	20:00:00	3.8084	3.8119	3.8069	3.8104	259	0	25
2024.01.04	21:00:00	3.8101	3.8139	3.8094	3.8124	256	0	25
2024.01.04	22:00:00	3.8124	3.8153	3.8114	3.8134	289	0	25
2024.01.04	23:00:00	3.8129	3.8158	3.8119	3.8151	117	0	25
2024.01.05	01:00:00	3.8152	3.8175	3.8108	3.8108	140	0	35
2024.01.05	02:00:00	3.8108	3.8123	3.8093	3.8118	161	0	35
2024.01.05	03:00:00	3.8115	3.8130	3.8038	3.8128	733	0	35
2024.01.05	04:00:00	3.8128	3.8180	3.8103	3.8167	463	0	35
2024.01.05	05:00:00	3.8172	3.8212	3.8098	3.8108	302	0	35
2024.01.05	06:00:00	3.8108	3.8152	3.8103	3.8143	171	0	35
2024.01.05	07:00:00	3.8138	3.8177	3.8120	3.8152	378	0	35
2024.01.05	08:00:00	3.8152	3.8177	3.8066	3.8093	533	0	35
2024.01.05	09:00:00	3.8093	3.8187	3.8073	3.8083	568	0	35
