<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.02	01:00:00	3.8561	3.8606	3.8561	3.8591	69	0	35
2024.01.02	01:15:00	3.8591	3.8606	3.8576	3.8606	45	0	35
2024.01.02	01:30:00	3.8606	3.8611	3.8581	3.8604	54	0	35
2024.01.02	01:45:00	3.8604	3.8631	3.8591	3.8621	58	0	35
2024.01.02	02:00:00	3.8621	3.8656	3.8621	3.8641	62	0	35
2024.01.02	02:15:00	3.8641	3.8646	3.8618	3.8641	38	0	35
2024.01.02	02:30:00	3.8636	3.8646	3.8626	3.8641	53	0	35
2024.01.02	02:45:00	3.8641	3.8656	3.8636	3.8651	79	0	35
2024.01.02	03:00:00	3.8648	3.8671	3.8586	3.8671	307	0	35
2024.01.02	03:15:00	3.8671	3.8708	3.8616	3.8646	244	0	35
2024.01.02	03:30:00	3.8643	3.8643	3.8527	3.8532	259	0	35
2024.01.02	03:45:00	3.8537	3.8561	3.8507	3.8517	203	0	35
2024.01.02	04:00:00	3.8517	3.8557	3.8502	3.8547	174	0	35
2024.01.02	04:15:00	3.8542	3.8552	3.8514	3.8527	107	0	35
2024.01.02	04:30:00	3.8522	3.8571	3.8522	3.8569	152	0	35
2024.01.02	04:45:00	3.8566	3.8611	3.8566	3.8611	145	0	35
2024.01.02	05:00:00	3.8609	3.8626	3.8581	3.8606	124	0	35
2024.01.02	05:15:00	3.8606	3.8611	3.8566	3.8576	112	0	35
2024.01.02	05:30:00	3.8576	3.8621	3.8576	3.8611	87	0	35
2024.01.02	05:45:00	3.8611	3.8616	3.8591	3.8604	57	0	35
2024.01.02	06:00:00	3.8606	3.8616	3.8596	3.8611	47	0	35
2024.01.02	06:15:00	3.8611	3.8621	3.8609	3.8618	49	0	35
2024.01.02	06:30:00	3.8616	3.8621	3.8601	3.8601	48	0	35
2024.01.02	06:45:00	3.8601	3.8611	3.8596	3.8611	36	0	35
2024.01.02	07:00:00	3.8616	3.8666	3.8614	3.8656	74	0	35
2024.01.02	07:15:00	3.8656	3.8656	3.8636	3.8646	74	0	35
2024.01.02	07:30:00	3.8641	3.8680	3.8621	3.8666	172	0	35
2024.01.02	07:45:00	3.8666	3.8675	3.8651	3.8671	169	0	35
2024.01.02	08:00:00	3.8668	3.8730	3.8651	3.8715	142	0	35
2024.01.02	08:15:00	3.8715	3.8718	3.8690	3.8710	150	0	35
2024.01.02	08:30:00	3.8710	3.8750	3.8690	3.8735	167	0	35
2024.01.02	08:45:00	3.8735	3.8750	3.8675	3.8680	158	0	35
2024.01.02	09:00:00	3.8680	3.8750	3.8611	3.8710	185	0	35
2024.01.02	09:15:00	3.8700	3.8700	3.8626	3.8648	124	0	35
2024.01.02	09:30:00	3.8651	3.8678	3.8584	3.8586	142	0	35
2024.01.02	09:45:00	3.8586	3.8611	3.8571	3.8581	131	0	35
2024.01.02	10:00:00	3.8586	3.8675	3.8552	3.8601	276	0	35
2024.01.02	10:15:00	3.8596	3.8606	3.8532	3.8547	195	0	35
2024.01.02	10:30:00	3.8544	3.8571	3.8522	3.8561	173	0	35
2024.01.02	10:45:00	3.8561	3.8576	3.8519	3.8549	171	0	35
2024.01.02	11:00:00	3.8552	3.8690	3.8547	3.8596	231	0	35
2024.01.02	11:15:00	3.8599	3.8626	3.8552	3.8581	175	0	35
2024.01.02	11:30:00	3.8571	3.8594	3.8561	3.8566	156	0	35
2024.01.02	11:45:00	3.8566	3.8589	3.8532	3.8542	135	0	35
2024.01.02	12:00:00	3.8537	3.8537	3.8438	3.8457	223	0	35
2024.01.02	12:15:00	3.8457	3.8487	3.8433	3.8470	191	0	35
2024.01.02	12:30:00	3.8467	3.8524	3.8467	3.8524	146	0	35
2024.01.02	12:45:00	3.8524	3.8557	3.8512	3.8522	156	0	35
2024.01.02	13:00:00	3.8522	3.8522	3.8433	3.8438	146	0	35
2024.01.02	13:15:00	3.8438	3.8438	3.8368	3.8413	197	0	35
2024.01.02	13:30:00	3.8415	3.8418	3.8368	3.8378	171	0	35
2024.01.02	13:45:00	3.8373	3.8420	3.8373	3.8408	133	0	35
2024.01.02	14:00:00	3.8410	3.8418	3.8373	3.8408	119	0	35
2024.01.02	14:15:00	3.8408	3.8408	3.8343	3.8408	138	0	35
2024.01.02	14:30:00	3.8405	3.8428	3.8383	3.8410	151	0	35
2024.01.02	14:45:00	3.8410	3.8423	3.8383	3.8383	131	0	35
2024.01.02	15:00:00	3.8393	3.8457	3.8319	3.8339	279	0	25
2024.01.02	15:15:00	3.8344	3.8403	3.8324	3.8368	210	0	25
2024.01.02	15:30:00	3.8368	3.8443	3.8368	3.8413	195	0	25
2024.01.02	15:45:00	3.8413	3.8413	3.8324	3.8329	169	0	25
2024.01.02	16:00:00	3.8329	3.8339	3.8254	3.8299	215	0	25
2024.01.02	16:15:00	3.8299	3.8368	3.8294	3.8314	185	0	25
2024.01.02	16:30:00	3.8314	3.8353	3.8259	3.8319	298	0	25
2024.01.02	16:45:00	3.8339	3.8428	3.8304	3.8405	339	0	25
2024.01.02	17:00:00	3.8400	3.8438	3.8363	3.8383	292	0	25
2024.01.02	17:15:00	3.8386	3.8398	3.8314	3.8353	255	0	25
2024.01.02	17:30:00	3.8353	3.8408	3.8294	3.8388	281	0	25
2024.01.02	17:45:00	3.8383	3.8388	3.8304	3.8381	248	0	25
2024.01.02	18:00:00	3.8378	3.8547	3.8378	3.8514	265	0	25
2024.01.02	18:15:00	3.8512	3.8522	3.8457	3.8462	195	0	25
2024.01.02	18:30:00	3.8457	3.8462	3.8319	3.8363	180	0	25
2024.01.02	18:45:00	3.8368	3.8453	3.8368	3.8443	188	0	25
2024.01.02	19:00:00	3.8443	3.8532	3.8443	3.8512	138	0	25
2024.01.02	19:15:00	3.8507	3.8514	3.8448	3.8492	159	0	25
2024.01.02	19:30:00	3.8492	3.8507	3.8460	3.8487	127	0	25
2024.01.02	19:45:00	3.8487	3.8500	3.8433	3.8438	113	0	25
2024.01.02	20:00:00	3.8438	3.8438	3.8368	3.8383	120	0	25
2024.01.02	20:15:00	3.8383	3.8403	3.8381	3.8383	80	0	25
2024.01.02	20:30:00	3.8383	3.8383	3.8356	3.8368	63	0	25
2024.01.02	20:45:00	3.8363	3.8373	3.8339	3.8358	70	0	25
2024.01.02	21:00:00	3.8358	3.8361	3.8334	3.8341	68	0	25
2024.01.02	21:15:00	3.8344	3.8344	3.8314	3.8329	37	0	25
2024.01.02	21:30:00	3.8329	3.8339	3.8324	3.8329	45	0	25
2024.01.02	21:45:00	3.8329	3.8334	3.8309	3.8314	59	0	25
2024.01.02	22:00:00	3.8319	3.8329	3.8314	3.8319	35	0	25
2024.01.02	22:15:00	3.8319	3.8324	3.8304	3.8309	54	0	25
2024.01.02	22:30:00	3.8309	3.8319	3.8304	3.8309	42	0	25
2024.01.02	22:45:00	3.8309	3.8314	3.8294	3.8304	65	0	25
2024.01.02	23:00:00	3.8299	3.8314	3.8294	3.8309	43	0	35
2024.01.02	23:15:00	3.8309	3.8314	3.8304	3.8314	30	0	35
2024.01.02	23:30:00	3.8309	3.8319	3.8309	3.8316	25	0	35
2024.01.02	23:45:00	3.8316	3.8348	3.8309	3.8343	38	0	35
2024.01.03	01:00:00	3.8352	3.8370	3.8338	3.8338	36	0	35
2024.01.03	01:15:00	3.8338	3.8343	3.8335	3.8335	19	0	35
2024.01.03	01:30:00	3.8333	3.8338	3.8328	3.8333	37	0	35
2024.01.03	01:45:00	3.8333	3.8340	3.8328	3.8333	26	0	35
2024.01.03	02:00:00	3.8333	3.8338	3.8328	3.8338	24	0	35
2024.01.03	02:15:00	3.8338	3.8367	3.8338	3.8367	28	0	35
2024.01.03	02:30:00	3.8362	3.8387	3.8362	3.8372	44	0	35
2024.01.03	02:45:00	3.8372	3.8372	3.8338	3.8343	49	0	35
2024.01.03	03:00:00	3.8343	3.8360	3.8328	3.8348	185	0	35
2024.01.03	03:15:00	3.8348	3.8348	3.8278	3.8303	175	0	35
2024.01.03	03:30:00	3.8308	3.8362	3.8295	3.8350	219	0	35
2024.01.03	03:45:00	3.8352	3.8372	3.8313	3.8323	153	0	35
2024.01.03	04:00:00	3.8328	3.8348	3.8308	3.8333	154	0	35
2024.01.03	04:15:00	3.8333	3.8333	3.8293	3.8298	83	0	35
2024.01.03	04:30:00	3.8300	3.8387	3.8300	3.8375	150	0	35
2024.01.03	04:45:00	3.8372	3.8397	3.8357	3.8372	108	0	35
2024.01.03	05:00:00	3.8377	3.8377	3.8313	3.8320	131	0	35
2024.01.03	05:15:00	3.8323	3.8325	3.8293	3.8303	95	0	35
2024.01.03	05:30:00	3.8303	3.8318	3.8298	3.8318	34	0	35
2024.01.03	05:45:00	3.8318	3.8323	3.8308	3.8323	33	0	35
2024.01.03	06:00:00	3.8323	3.8323	3.8298	3.8303	27	0	35
2024.01.03	06:15:00	3.8303	3.8303	3.8298	3.8298	27	0	35
2024.01.03	06:30:00	3.8303	3.8303	3.8293	3.8298	32	0	35
2024.01.03	06:45:00	3.8298	3.8298	3.8273	3.8288	38	0	35
2024.01.03	07:00:00	3.8288	3.8298	3.8273	3.8293	48	0	35
2024.01.03	07:15:00	3.8288	3.8298	3.8241	3.8243	61	0	35
2024.01.03	07:30:00	3.8263	3.8343	3.8263	3.8298	167	0	35
2024.01.03	07:45:00	3.8298	3.8308	3.8278	3.8303	130	0	35
2024.01.03	08:00:00	3.8303	3.8343	3.8288	3.8318	128	0	35
2024.01.03	08:15:00	3.8315	3.8352	3.8308	3.8338	145	0	35
2024.01.03	08:30:00	3.8333	3.8333	3.8303	3.8313	89	0	35
2024.01.03	08:45:00	3.8313	3.8357	3.8298	3.8352	141	0	35
2024.01.03	09:00:00	3.8352	3.8352	3.8263	3.8268	109	0	35
2024.01.03	09:15:00	3.8268	3.8276	3.8243	3.8258	111	0	35
2024.01.03	09:30:00	3.8258	3.8273	3.8219	3.8229	92	0	35
2024.01.03	09:45:00	3.8224	3.8248	3.8189	3.8224	129	0	35
2024.01.03	10:00:00	3.8224	3.8229	3.8159	3.8167	224	0	35
2024.01.03	10:15:00	3.8167	3.8174	3.8095	3.8120	226	0	35
2024.01.03	10:30:00	3.8120	3.8229	3.8110	3.8226	192	0	35
2024.01.03	10:45:00	3.8229	3.8243	3.8179	3.8189	168	0	35
2024.01.03	11:00:00	3.8189	3.8243	3.8085	3.8157	248	0	35
2024.01.03	11:15:00	3.8164	3.8184	3.8107	3.8129	184	0	35
2024.01.03	11:30:00	3.8115	3.8139	3.8082	3.8085	189	0	35
2024.01.03	11:45:00	3.8085	3.8115	3.8068	3.8110	114	0	35
2024.01.03	12:00:00	3.8110	3.8129	3.8090	3.8115	121	0	35
2024.01.03	12:15:00	3.8110	3.8139	3.8095	3.8115	124	0	35
2024.01.03	12:30:00	3.8115	3.8174	3.8110	3.8164	115	0	35
2024.01.03	12:45:00	3.8164	3.8201	3.8120	3.8120	136	0	35
2024.01.03	13:00:00	3.8125	3.8154	3.8100	3.8154	144	0	35
2024.01.03	13:15:00	3.8154	3.8164	3.8080	3.8097	162	0	35
2024.01.03	13:30:00	3.8097	3.8100	3.8013	3.8035	181	0	35
2024.01.03	13:45:00	3.8035	3.8048	3.8011	3.8045	143	0	35
2024.01.03	14:00:00	3.8045	3.8050	3.8001	3.8040	145	0	35
2024.01.03	14:15:00	3.8045	3.8090	3.8045	3.8055	142	0	35
2024.01.03	14:30:00	3.8055	3.8100	3.8045	3.8095	133	0	35
2024.01.03	14:45:00	3.8097	3.8110	3.8072	3.8075	157	0	35
2024.01.03	15:00:00	3.8090	3.8125	3.8050	3.8080	259	0	25
2024.01.03	15:15:00	3.8080	3.8125	3.8040	3.8060	191	0	25
2024.01.03	15:30:00	3.8070	3.8134	3.8060	3.8105	216	0	25
2024.01.03	15:45:00	3.8100	3.8100	3.8045	3.8060	169	0	25
2024.01.03	16:00:00	3.8060	3.8070	3.8011	3.8016	191	0	25
2024.01.03	16:15:00	3.8016	3.8035	3.7986	3.8016	181	0	25
2024.01.03	16:30:00	3.8016	3.8070	3.7971	3.8050	267	0	25
2024.01.03	16:45:00	3.8045	3.8100	3.8035	3.8053	241	0	25
2024.01.03	17:00:00	3.8048	3.8288	3.8048	3.8125	470	0	25
2024.01.03	17:15:00	3.8127	3.8130	3.8035	3.8105	292	0	25
2024.01.03	17:30:00	3.8100	3.8149	3.8011	3.8050	277	0	25
2024.01.03	17:45:00	3.8055	3.8134	3.8025	3.8127	220	0	25
2024.01.03	18:00:00	3.8130	3.8258	3.8127	3.8248	225	0	25
2024.01.03	18:15:00	3.8248	3.8348	3.8243	3.8343	203	0	25
2024.01.03	18:30:00	3.8353	3.8382	3.8288	3.8308	158	0	25
2024.01.03	18:45:00	3.8308	3.8323	3.8278	3.8303	156	0	25
2024.01.03	19:00:00	3.8303	3.8328	3.8268	3.8278	132	0	25
2024.01.03	19:15:00	3.8278	3.8288	3.8234	3.8278	123	0	25
2024.01.03	19:30:00	3.8283	3.8288	3.8258	3.8268	123	0	25
2024.01.03	19:45:00	3.8268	3.8293	3.8234	3.8258	133	0	25
2024.01.03	20:00:00	3.8268	3.8328	3.8263	3.8318	87	0	25
2024.01.03	20:15:00	3.8318	3.8338	3.8313	3.8328	81	0	25
2024.01.03	20:30:00	3.8323	3.8328	3.8298	3.8313	52	0	25
2024.01.03	20:45:00	3.8313	3.8335	3.8305	3.8315	72	0	25
2024.01.03	21:00:00	3.8315	3.8360	3.8263	3.8271	324	0	25
2024.01.03	21:15:00	3.8271	3.8407	3.8258	3.8402	259	0	25
2024.01.03	21:30:00	3.8405	3.8429	3.8362	3.8412	249	0	25
2024.01.03	21:45:00	3.8412	3.8417	3.8367	3.8377	152	0	25
2024.01.03	22:00:00	3.8377	3.8377	3.8348	3.8367	145	0	25
2024.01.03	22:15:00	3.8365	3.8367	3.8338	3.8348	117	0	25
2024.01.03	22:30:00	3.8348	3.8377	3.8343	3.8353	92	0	25
2024.01.03	22:45:00	3.8353	3.8367	3.8343	3.8348	106	0	25
2024.01.03	23:00:00	3.8353	3.8357	3.8343	3.8357	45	0	25
2024.01.03	23:15:00	3.8357	3.8362	3.8348	3.8357	33	0	35
2024.01.03	23:30:00	3.8357	3.8370	3.8350	3.8367	26	0	35
2024.01.03	23:45:00	3.8367	3.8372	3.8362	3.8370	49	0	35
2024.01.04	01:00:00	3.8374	3.8401	3.8366	3.8374	48	0	35
2024.01.04	01:15:00	3.8374	3.8401	3.8374	3.8401	34	0	35
2024.01.04	01:30:00	3.8399	3.8406	3.8396	3.8396	33	0	35
2024.01.04	01:45:00	3.8396	3.8396	3.8381	3.8386	34	0	35
2024.01.04	02:00:00	3.8386	3.8386	3.8359	3.8366	33	0	35
2024.01.04	02:15:00	3.8366	3.8379	3.8364	3.8376	31	0	35
2024.01.04	02:30:00	3.8376	3.8381	3.8364	3.8366	27	0	35
2024.01.04	02:45:00	3.8366	3.8381	3.8359	3.8376	63	0	35
2024.01.04	03:00:00	3.8381	3.8399	3.8342	3.8347	183	0	35
2024.01.04	03:15:00	3.8347	3.8379	3.8317	3.8322	186	0	35
2024.01.04	03:30:00	3.8332	3.8332	3.8302	3.8317	167	0	35
2024.01.04	03:45:00	3.8327	3.8342	3.8302	3.8312	197	0	35
2024.01.04	04:00:00	3.8317	3.8324	3.8277	3.8287	173	0	35
2024.01.04	04:15:00	3.8287	3.8292	3.8257	3.8275	115	0	35
