<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.02	00:00:00	23.748	23.929	23.748	23.810	1988	0	24
2024.01.02	04:00:00	23.804	24.057	23.769	24.038	2493	0	24
2024.01.02	08:00:00	24.041	24.082	23.953	24.053	3709	0	23
2024.01.02	12:00:00	24.054	24.067	23.796	23.914	4865	0	23
2024.01.02	16:00:00	23.913	24.011	23.696	23.700	6202	0	23
2024.01.02	20:00:00	23.702	23.728	23.631	23.643	2128	0	23
2024.01.03	00:00:00	23.569	23.699	23.569	23.643	1506	0	21
2024.01.03	04:00:00	23.646	23.716	23.599	23.612	1844	0	24
2024.01.03	08:00:00	23.611	23.665	23.395	23.429	3856	0	23
2024.01.03	12:00:00	23.426	23.465	22.982	23.026	5237	0	23
2024.01.03	16:00:00	23.026	23.167	22.825	22.889	6658	0	23
2024.01.03	20:00:00	22.889	23.103	22.879	22.970	4181	0	23
2024.01.04	00:00:00	22.910	23.020	22.898	22.936	1603	0	25
2024.01.04	04:00:00	22.936	23.013	22.911	23.003	1971	0	20
2024.01.04	08:00:00	23.002	23.059	22.967	23.005	3423	0	21
2024.01.04	12:00:00	23.005	23.053	22.899	22.899	3971	0	23
2024.01.04	16:00:00	22.900	23.031	22.678	22.986	5102	0	23
2024.01.04	20:00:00	22.986	23.035	22.952	22.987	2201	0	22
2024.01.05	00:00:00	22.987	23.177	22.972	23.126	1703	0	22
2024.01.05	04:00:00	23.127	23.183	23.057	23.093	2126	0	24
2024.01.05	08:00:00	23.093	23.131	22.946	22.960	3756	0	23
2024.01.05	12:00:00	22.960	23.116	22.766	23.050	4448	0	23
2024.01.05	16:00:00	23.054	23.505	22.965	23.145	8052	0	23
2024.01.05	20:00:00	23.145	23.290	23.100	23.170	3306	0	23
2024.01.08	00:00:00	23.029	23.198	23.029	23.121	1838	0	27
2024.01.08	04:00:00	23.115	23.121	22.943	22.982	2506	0	26
2024.01.08	08:00:00	22.977	23.061	22.900	22.982	3958	0	23
2024.01.08	12:00:00	22.982	23.000	22.830	22.884	4539	0	23
2024.01.08	16:00:00	22.885	23.193	22.881	23.116	7712	0	23
2024.01.08	20:00:00	23.115	23.125	23.043	23.087	2828	0	23
2024.01.09	00:00:00	23.086	23.176	23.077	23.111	2197	0	25
2024.01.09	04:00:00	23.111	23.173	23.069	23.095	2621	0	23
2024.01.09	08:00:00	23.095	23.363	23.072	23.153	6177	0	23
2024.01.09	12:00:00	23.153	23.244	23.068	23.173	7176	0	23
2024.01.09	16:00:00	23.173	23.227	22.894	22.898	8471	0	23
2024.01.09	20:00:00	22.895	22.975	22.884	22.960	2940	0	21
2024.01.10	00:00:00	22.946	23.020	22.922	23.016	2091	0	21
2024.01.10	04:00:00	23.016	23.029	22.842	22.854	2791	0	24
2024.01.10	08:00:00	22.854	23.071	22.808	23.044	6567	0	23
2024.01.10	12:00:00	23.044	23.095	22.865	22.865	5884	0	23
2024.01.10	16:00:00	22.869	22.945	22.768	22.886	7445	0	23
2024.01.10	20:00:00	22.885	22.931	22.847	22.881	3110	0	23
2024.01.11	00:00:00	22.791	22.986	22.791	22.977	1655	0	25
2024.01.11	04:00:00	22.976	23.056	22.936	23.034	2687	0	25
2024.01.11	08:00:00	23.034	23.083	22.945	22.964	4469	0	23
2024.01.11	12:00:00	22.963	23.162	22.760	22.868	7627	0	23
2024.01.11	16:00:00	22.875	23.012	22.464	22.511	13201	0	23
2024.01.11	20:00:00	22.511	22.765	22.484	22.741	4948	0	23
2024.01.12	00:00:00	22.745	22.883	22.723	22.880	2808	0	25
2024.01.12	04:00:00	22.882	22.909	22.808	22.850	2700	0	25
2024.01.12	08:00:00	22.850	22.975	22.804	22.887	6294	0	23
2024.01.12	12:00:00	22.887	23.335	22.886	23.297	8850	0	23
2024.01.12	16:00:00	23.299	23.521	23.045	23.109	10135	0	23
2024.01.12	20:00:00	23.110	23.204	23.094	23.174	2706	0	21
2024.01.15	00:00:00	22.938	23.236	22.938	23.222	2881	0	25
2024.01.15	04:00:00	23.222	23.322	23.212	23.233	2655	0	22
2024.01.15	08:00:00	23.233	23.296	23.176	23.209	4572	0	23
2024.01.15	12:00:00	23.209	23.271	23.128	23.167	4654	0	23
2024.01.15	16:00:00	23.167	23.232	23.098	23.222	3142	0	23
2024.01.15	20:00:00	23.222	23.226	23.190	23.194	250	0	24
2024.01.16	00:00:00	23.210	23.212	23.072	23.157	2371	0	21
2024.01.16	04:00:00	23.154	23.181	23.039	23.061	2672	0	25
2024.01.16	08:00:00	23.059	23.206	22.992	23.084	7466	0	23
2024.01.16	12:00:00	23.084	23.156	22.914	22.987	7508	0	20
2024.01.16	16:00:00	22.985	23.130	22.848	22.881	10805	0	23
2024.01.16	20:00:00	22.881	22.975	22.856	22.905	4046	0	20
2024.01.17	00:00:00	22.908	22.908	22.856	22.896	1737	0	22
2024.01.17	04:00:00	22.896	22.936	22.752	22.763	3784	0	24
2024.01.17	08:00:00	22.764	22.796	22.633	22.794	7430	0	23
2024.01.17	12:00:00	22.791	22.873	22.657	22.701	7088	0	23
2024.01.17	16:00:00	22.701	22.723	22.498	22.567	9236	0	23
2024.01.17	20:00:00	22.567	22.573	22.503	22.542	3525	0	22
2024.01.18	00:00:00	22.500	22.613	22.500	22.597	2028	0	25
2024.01.18	04:00:00	22.596	22.611	22.516	22.579	2786	0	25
2024.01.18	08:00:00	22.579	22.672	22.519	22.584	5040	0	23
2024.01.18	12:00:00	22.582	22.641	22.365	22.435	5850	0	21
2024.01.18	16:00:00	22.439	22.680	22.414	22.668	8155	0	23
2024.01.18	20:00:00	22.669	22.748	22.643	22.732	3423	0	23
2024.01.19	00:00:00	22.723	22.783	22.716	22.756	2390	0	25
2024.01.19	04:00:00	22.754	22.757	22.650	22.676	2407	0	23
2024.01.19	08:00:00	22.675	22.833	22.655	22.805	5579	0	23
2024.01.19	12:00:00	22.805	22.832	22.677	22.702	6269	0	23
2024.01.19	16:00:00	22.702	22.716	22.454	22.580	8401	0	23
2024.01.19	20:00:00	22.580	22.614	22.548	22.593	2795	0	22
2024.01.22	00:00:00	22.584	22.650	22.494	22.575	2688	0	25
2024.01.22	04:00:00	22.575	22.592	22.281	22.303	3556	0	25
