<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.02	01:00:00	23.748	23.845	23.748	23.844	142	0	30
2024.01.02	01:15:00	23.844	23.845	23.810	23.823	88	0	24
2024.01.02	01:30:00	23.823	23.828	23.809	23.814	108	0	24
2024.01.02	01:45:00	23.814	23.814	23.793	23.808	100	0	25
2024.01.02	02:00:00	23.808	23.813	23.797	23.802	110	0	25
2024.01.02	02:15:00	23.803	23.807	23.767	23.775	103	0	24
2024.01.02	02:30:00	23.773	23.787	23.767	23.786	86	0	25
2024.01.02	02:45:00	23.784	23.822	23.783	23.821	129	0	24
2024.01.02	03:00:00	23.821	23.929	23.798	23.907	369	0	24
2024.01.02	03:15:00	23.909	23.926	23.858	23.900	254	0	24
2024.01.02	03:30:00	23.898	23.904	23.848	23.858	283	0	24
2024.01.02	03:45:00	23.862	23.873	23.804	23.810	216	0	25
2024.01.02	04:00:00	23.804	23.808	23.769	23.784	232	0	24
2024.01.02	04:15:00	23.784	23.815	23.783	23.809	151	0	24
2024.01.02	04:30:00	23.814	23.834	23.792	23.829	214	0	24
2024.01.02	04:45:00	23.830	23.875	23.830	23.874	189	0	24
2024.01.02	05:00:00	23.875	23.915	23.860	23.910	175	0	24
2024.01.02	05:15:00	23.910	23.938	23.900	23.920	189	0	24
2024.01.02	05:30:00	23.924	23.941	23.924	23.941	102	0	25
2024.01.02	05:45:00	23.941	23.947	23.913	23.931	108	0	25
2024.01.02	06:00:00	23.931	23.946	23.919	23.945	99	0	24
2024.01.02	06:15:00	23.946	23.947	23.916	23.923	108	0	24
2024.01.02	06:30:00	23.925	23.933	23.920	23.922	89	0	24
2024.01.02	06:45:00	23.922	23.925	23.902	23.918	104	0	24
2024.01.02	07:00:00	23.921	23.952	23.921	23.951	141	0	24
2024.01.02	07:15:00	23.949	23.954	23.937	23.950	126	0	24
2024.01.02	07:30:00	23.950	23.988	23.944	23.984	214	0	24
2024.01.02	07:45:00	23.984	24.057	23.974	24.038	252	0	24
2024.01.02	08:00:00	24.041	24.047	23.984	24.015	196	0	24
2024.01.02	08:15:00	24.015	24.076	24.000	24.057	206	0	24
2024.01.02	08:30:00	24.058	24.069	24.032	24.055	215	0	24
2024.01.02	08:45:00	24.056	24.065	24.029	24.041	192	0	24
2024.01.02	09:00:00	24.041	24.070	24.024	24.058	230	0	23
2024.01.02	09:15:00	24.056	24.079	24.032	24.073	257	0	23
2024.01.02	09:30:00	24.073	24.077	24.053	24.064	207	0	23
2024.01.02	09:45:00	24.059	24.068	23.988	23.988	291	0	23
2024.01.02	10:00:00	23.996	24.005	23.953	23.998	306	0	23
2024.01.02	10:15:00	23.997	24.025	23.987	23.995	259	0	23
2024.01.02	10:30:00	23.995	24.031	23.977	24.031	270	0	23
2024.01.02	10:45:00	24.031	24.032	24.002	24.025	219	0	23
2024.01.02	11:00:00	24.026	24.072	24.026	24.062	234	0	23
2024.01.02	11:15:00	24.062	24.073	24.057	24.060	241	0	23
2024.01.02	11:30:00	24.058	24.082	24.058	24.075	210	0	23
2024.01.02	11:45:00	24.073	24.081	24.053	24.053	176	0	23
2024.01.02	12:00:00	24.054	24.061	24.007	24.014	229	0	23
2024.01.02	12:15:00	24.014	24.022	23.975	24.016	227	0	23
2024.01.02	12:30:00	24.015	24.045	24.011	24.036	208	0	23
2024.01.02	12:45:00	24.036	24.067	24.033	24.060	212	0	24
2024.01.02	13:00:00	24.059	24.065	23.993	23.994	273	0	23
2024.01.02	13:15:00	23.995	24.023	23.965	24.004	270	0	23
2024.01.02	13:30:00	24.005	24.005	23.904	23.911	345	0	23
2024.01.02	13:45:00	23.906	23.943	23.906	23.937	301	0	23
2024.01.02	14:00:00	23.937	23.937	23.874	23.895	284	0	23
2024.01.02	14:15:00	23.896	23.897	23.857	23.857	287	0	23
2024.01.02	14:30:00	23.856	23.903	23.845	23.876	280	0	23
2024.01.02	14:45:00	23.876	23.899	23.866	23.882	256	0	23
2024.01.02	15:00:00	23.883	23.915	23.796	23.816	427	0	23
2024.01.02	15:15:00	23.818	23.957	23.803	23.937	449	0	23
2024.01.02	15:30:00	23.938	24.002	23.938	23.976	438	0	23
2024.01.02	15:45:00	23.979	23.984	23.888	23.914	379	0	23
2024.01.02	16:00:00	23.913	23.940	23.870	23.891	423	0	23
2024.01.02	16:15:00	23.891	23.953	23.872	23.905	366	0	23
2024.01.02	16:30:00	23.904	23.973	23.807	23.890	536	0	23
2024.01.02	16:45:00	23.913	23.986	23.845	23.983	558	0	23
2024.01.02	17:00:00	23.986	24.011	23.888	23.903	511	0	23
2024.01.02	17:15:00	23.906	23.914	23.839	23.857	424	0	23
2024.01.02	17:30:00	23.852	23.854	23.705	23.779	511	0	23
2024.01.02	17:45:00	23.779	23.798	23.698	23.718	447	0	23
2024.01.02	18:00:00	23.720	23.895	23.714	23.870	478	0	23
2024.01.02	18:15:00	23.869	23.880	23.815	23.822	364	0	23
2024.01.02	18:30:00	23.818	23.822	23.775	23.813	328	0	23
2024.01.02	18:45:00	23.819	23.850	23.793	23.803	248	0	23
2024.01.02	19:00:00	23.804	23.822	23.756	23.756	234	0	24
2024.01.02	19:15:00	23.756	23.759	23.711	23.717	278	0	23
2024.01.02	19:30:00	23.718	23.755	23.709	23.723	251	0	23
2024.01.02	19:45:00	23.723	23.724	23.696	23.700	245	0	23
2024.01.02	20:00:00	23.702	23.706	23.665	23.695	248	0	23
2024.01.02	20:15:00	23.693	23.728	23.687	23.718	195	0	24
2024.01.02	20:30:00	23.718	23.718	23.649	23.658	164	0	23
2024.01.02	20:45:00	23.658	23.673	23.638	23.647	177	0	23
2024.01.02	21:00:00	23.644	23.673	23.643	23.662	169	0	23
2024.01.02	21:15:00	23.662	23.662	23.641	23.652	137	0	23
2024.01.02	21:30:00	23.653	23.667	23.649	23.662	131	0	23
2024.01.02	21:45:00	23.661	23.662	23.635	23.637	116	0	24
2024.01.02	22:00:00	23.640	23.657	23.640	23.646	109	0	23
2024.01.02	22:15:00	23.646	23.658	23.635	23.637	136	0	23
2024.01.02	22:30:00	23.638	23.646	23.632	23.636	144	0	23
2024.01.02	22:45:00	23.636	23.655	23.636	23.642	161	0	23
2024.01.02	23:00:00	23.643	23.653	23.635	23.636	97	0	23
2024.01.02	23:15:00	23.635	23.639	23.631	23.635	46	0	24
2024.01.02	23:30:00	23.635	23.641	23.633	23.637	44	0	23
2024.01.02	23:45:00	23.639	23.655	23.637	23.643	54	0	25
2024.01.03	01:00:00	23.569	23.643	23.569	23.635	90	0	24
2024.01.03	01:15:00	23.632	23.642	23.625	23.634	53	0	24
2024.01.03	01:30:00	23.630	23.637	23.625	23.627	57	0	24
2024.01.03	01:45:00	23.626	23.641	23.625	23.626	85	0	24
2024.01.03	02:00:00	23.628	23.646	23.623	23.646	51	0	24
2024.01.03	02:15:00	23.646	23.687	23.643	23.686	87	0	24
2024.01.03	02:30:00	23.686	23.693	23.672	23.675	120	0	25
2024.01.03	02:45:00	23.675	23.685	23.671	23.675	95	0	24
2024.01.03	03:00:00	23.672	23.699	23.668	23.695	230	0	24
2024.01.03	03:15:00	23.695	23.695	23.628	23.646	272	0	24
2024.01.03	03:30:00	23.650	23.679	23.635	23.638	221	0	21
2024.01.03	03:45:00	23.640	23.669	23.638	23.643	145	0	25
2024.01.03	04:00:00	23.646	23.674	23.633	23.673	150	0	25
2024.01.03	04:15:00	23.673	23.673	23.645	23.658	118	0	25
2024.01.03	04:30:00	23.658	23.697	23.653	23.681	174	0	25
2024.01.03	04:45:00	23.678	23.696	23.674	23.696	151	0	26
2024.01.03	05:00:00	23.694	23.716	23.667	23.667	164	0	24
2024.01.03	05:15:00	23.669	23.681	23.657	23.657	120	0	24
2024.01.03	05:30:00	23.657	23.687	23.657	23.686	88	0	24
2024.01.03	05:45:00	23.687	23.691	23.677	23.686	86	0	24
2024.01.03	06:00:00	23.685	23.689	23.676	23.682	81	0	24
2024.01.03	06:15:00	23.682	23.686	23.675	23.682	79	0	24
2024.01.03	06:30:00	23.682	23.692	23.675	23.676	72	0	24
2024.01.03	06:45:00	23.676	23.680	23.665	23.674	73	0	24
2024.01.03	07:00:00	23.673	23.674	23.662	23.667	65	0	24
2024.01.03	07:15:00	23.667	23.671	23.615	23.621	68	0	24
2024.01.03	07:30:00	23.616	23.669	23.616	23.632	188	0	24
2024.01.03	07:45:00	23.632	23.636	23.599	23.612	167	0	24
2024.01.03	08:00:00	23.611	23.661	23.597	23.650	182	0	25
2024.01.03	08:15:00	23.650	23.665	23.616	23.654	195	0	24
2024.01.03	08:30:00	23.654	23.654	23.633	23.635	143	0	25
2024.01.03	08:45:00	23.636	23.655	23.617	23.640	181	0	24
2024.01.03	09:00:00	23.635	23.636	23.594	23.594	184	0	23
2024.01.03	09:15:00	23.595	23.595	23.545	23.556	250	0	23
2024.01.03	09:30:00	23.556	23.587	23.551	23.587	257	0	23
2024.01.03	09:45:00	23.587	23.591	23.567	23.572	197	0	23
2024.01.03	10:00:00	23.573	23.574	23.546	23.562	269	0	23
2024.01.03	10:15:00	23.563	23.563	23.420	23.441	330	0	23
2024.01.03	10:30:00	23.442	23.501	23.428	23.501	295	0	23
2024.01.03	10:45:00	23.503	23.504	23.457	23.484	286	0	24
2024.01.03	11:00:00	23.484	23.520	23.464	23.470	312	0	23
2024.01.03	11:15:00	23.471	23.494	23.454	23.459	265	0	23
2024.01.03	11:30:00	23.457	23.466	23.395	23.400	255	0	23
2024.01.03	11:45:00	23.401	23.430	23.400	23.429	255	0	23
2024.01.03	12:00:00	23.426	23.465	23.394	23.394	245	0	23
2024.01.03	12:15:00	23.395	23.405	23.370	23.379	216	0	23
2024.01.03	12:30:00	23.379	23.432	23.378	23.409	234	0	23
2024.01.03	12:45:00	23.409	23.426	23.383	23.410	211	0	23
2024.01.03	13:00:00	23.414	23.422	23.376	23.384	230	0	23
2024.01.03	13:15:00	23.384	23.392	23.357	23.360	239	0	23
2024.01.03	13:30:00	23.357	23.357	23.245	23.253	328	0	23
2024.01.03	13:45:00	23.254	23.284	23.245	23.246	284	0	23
2024.01.03	14:00:00	23.246	23.272	23.214	23.257	358	0	23
2024.01.03	14:15:00	23.258	23.277	23.222	23.255	318	0	23
2024.01.03	14:30:00	23.246	23.312	23.234	23.311	384	0	23
2024.01.03	14:45:00	23.311	23.335	23.280	23.300	334	0	23
2024.01.03	15:00:00	23.294	23.335	23.184	23.188	491	0	23
2024.01.03	15:15:00	23.188	23.227	23.136	23.146	477	0	23
2024.01.03	15:30:00	23.147	23.192	23.082	23.085	463	0	23
2024.01.03	15:45:00	23.083	23.099	22.982	23.026	425	0	23
2024.01.03	16:00:00	23.026	23.081	22.937	22.952	503	0	23
2024.01.03	16:15:00	22.948	23.013	22.927	23.007	501	0	23
2024.01.03	16:30:00	23.002	23.008	22.913	22.997	548	0	23
2024.01.03	16:45:00	22.989	23.040	22.957	22.973	454	0	23
2024.01.03	17:00:00	22.952	23.167	22.952	22.993	660	0	23
2024.01.03	17:15:00	22.996	22.997	22.886	22.930	488	0	23
2024.01.03	17:30:00	22.927	22.967	22.853	22.879	512	0	23
2024.01.03	17:45:00	22.872	22.872	22.825	22.857	428	0	24
2024.01.03	18:00:00	22.860	22.987	22.858	22.967	496	0	24
