<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.02	01:00:00	3028.48	3033.72	3028.18	3032.73	336	0	18
2024.01.02	01:15:00	3032.41	3033.86	3031.52	3031.54	278	0	36
2024.01.02	01:30:00	3031.53	3032.33	3030.68	3031.77	309	0	29
2024.01.02	01:45:00	3031.69	3032.32	3030.26	3030.46	306	0	25
2024.01.02	02:00:00	3030.64	3031.37	3029.33	3029.72	315	0	21
2024.01.02	02:15:00	3029.72	3030.25	3028.65	3029.87	346	0	10
2024.01.02	02:30:00	3029.60	3030.85	3029.47	3030.80	280	0	29
2024.01.02	02:45:00	3030.78	3031.88	3030.18	3031.13	307	0	29
2024.01.02	03:00:00	3031.45	3035.37	3030.24	3035.15	601	0	20
2024.01.02	03:15:00	3035.14	3035.17	3031.39	3034.08	484	0	21
2024.01.02	03:30:00	3034.09	3036.55	3032.95	3034.62	552	0	30
2024.01.02	03:45:00	3034.61	3035.18	3032.83	3033.50	464	0	25
2024.01.02	04:00:00	3033.45	3033.45	3030.19	3031.27	432	0	17
2024.01.02	04:15:00	3031.21	3035.30	3031.21	3035.13	367	0	19
2024.01.02	04:30:00	3035.32	3039.35	3034.12	3038.42	451	0	19
2024.01.02	04:45:00	3038.55	3039.72	3038.40	3038.88	400	0	29
2024.01.02	05:00:00	3038.85	3040.77	3037.76	3040.10	400	0	29
2024.01.02	05:15:00	3040.04	3041.45	3040.04	3040.35	349	0	29
2024.01.02	05:30:00	3040.38	3040.38	3036.03	3036.52	286	0	29
2024.01.02	05:45:00	3036.43	3037.02	3034.77	3036.95	313	0	29
2024.01.02	06:00:00	3036.95	3037.74	3036.30	3037.68	258	0	35
2024.01.02	06:15:00	3037.74	3037.83	3034.79	3034.90	244	0	36
2024.01.02	06:30:00	3034.84	3036.00	3034.73	3036.00	229	0	29
2024.01.02	06:45:00	3036.05	3036.47	3034.26	3034.73	273	0	38
2024.01.02	07:00:00	3034.86	3034.88	3032.67	3034.01	365	0	29
2024.01.02	07:15:00	3034.26	3035.04	3032.78	3033.88	332	0	29
2024.01.02	07:30:00	3033.84	3035.14	3032.17	3033.26	376	0	20
2024.01.02	07:45:00	3033.11	3035.62	3031.91	3033.20	498	0	10
2024.01.02	08:00:00	3033.42	3036.05	3033.32	3036.05	423	0	16
2024.01.02	08:15:00	3035.96	3038.86	3035.74	3036.80	405	0	22
