<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.02	00:00:00	2063.93	2069.82	2062.28	2066.64	3961	0	3
2024.01.02	04:00:00	2066.63	2074.81	2064.02	2074.48	4935	0	2
2024.01.02	08:00:00	2074.70	2078.84	2071.85	2077.05	6987	0	0
2024.01.02	12:00:00	2077.07	2077.75	2064.89	2066.13	8077	0	0
2024.01.02	16:00:00	2066.22	2070.68	2056.02	2062.73	9675	0	0
2024.01.02	20:00:00	2062.72	2064.96	2058.01	2058.89	4652	0	4
2024.01.03	00:00:00	2059.26	2062.56	2058.58	2062.41	3480	0	8
2024.01.03	04:00:00	2062.54	2065.93	2061.59	2064.16	4256	0	0
2024.01.03	08:00:00	2064.09	2065.34	2054.44	2056.84	6683	0	0
2024.01.03	12:00:00	2056.77	2057.15	2038.77	2041.00	8410	0	0
2024.01.03	16:00:00	2041.01	2048.77	2030.74	2033.35	10451	0	0
2024.01.03	20:00:00	2033.36	2042.32	2030.62	2041.19	7148	0	0
2024.01.04	00:00:00	2042.10	2043.89	2040.18	2042.23	3508	0	8
2024.01.04	04:00:00	2042.31	2046.88	2042.30	2043.78	5065	0	0
2024.01.04	08:00:00	2043.81	2050.98	2043.68	2047.96	7384	0	0
2024.01.04	12:00:00	2047.96	2050.77	2038.92	2040.31	7376	0	0
2024.01.04	16:00:00	2040.30	2047.69	2036.31	2043.28	9070	0	0
2024.01.04	20:00:00	2043.18	2044.92	2041.60	2043.27	4034	0	7
2024.01.05	00:00:00	2043.72	2048.21	2042.85	2046.18	3621	0	0
2024.01.05	04:00:00	2046.17	2047.88	2043.13	2044.49	4331	0	0
2024.01.05	08:00:00	2044.48	2046.97	2038.46	2038.86	6835	0	0
2024.01.05	12:00:00	2038.90	2041.83	2024.47	2040.11	7306	0	0
2024.01.05	16:00:00	2040.12	2063.96	2038.73	2041.93	11416	0	0
2024.01.05	20:00:00	2041.95	2050.31	2040.52	2045.31	6302	0	0
2024.01.08	00:00:00	2044.86	2046.61	2042.95	2043.81	3546	0	5
2024.01.08	04:00:00	2043.79	2043.81	2027.25	2030.76	5778	0	0
2024.01.08	08:00:00	2030.54	2033.33	2026.67	2029.07	7983	0	1
2024.01.08	12:00:00	2029.06	2029.49	2017.04	2018.95	8617	0	0
2024.01.08	16:00:00	2018.97	2036.90	2018.56	2027.71	43092	0	8
2024.01.08	20:00:00	2027.65	2029.85	2026.15	2028.08	12354	0	8
2024.01.09	00:00:00	2028.22	2035.60	2027.98	2032.26	10452	0	8
2024.01.09	04:00:00	2032.26	2035.85	2030.32	2032.77	12550	0	8
2024.01.09	08:00:00	2032.76	2038.25	2031.17	2035.41	22548	0	8
2024.01.09	12:00:00	2035.42	2041.96	2031.65	2038.65	26560	0	8
2024.01.09	16:00:00	2038.62	2040.11	2026.12	2027.69	40364	0	8
2024.01.09	20:00:00	2027.70	2031.11	2026.81	2029.93	14096	0	8
2024.01.10	00:00:00	2030.54	2032.49	2027.22	2031.79	9482	0	8
2024.01.10	04:00:00	2031.77	2032.84	2025.49	2026.67	12324	0	8
2024.01.10	08:00:00	2026.68	2036.17	2023.89	2035.73	22665	0	8
2024.01.10	12:00:00	2035.71	2040.23	2030.05	2030.29	23788	0	8
2024.01.10	16:00:00	2030.31	2033.63	2022.21	2024.06	38896	0	8
2024.01.10	20:00:00	2024.05	2025.00	2020.47	2024.21	17234	0	8
2024.01.11	00:00:00	2023.98	2030.37	2023.98	2029.74	8727	0	8
2024.01.11	04:00:00	2029.73	2034.64	2028.80	2032.95	11343	0	8
2024.01.11	08:00:00	2032.97	2035.72	2030.23	2031.33	17129	0	8
2024.01.11	12:00:00	2031.38	2039.54	2025.07	2029.37	29588	0	0
2024.01.11	16:00:00	2029.45	2034.88	2013.35	2014.35	59609	0	8
2024.01.11	20:00:00	2014.35	2029.60	2013.87	2028.78	21754	0	8
2024.01.12	00:00:00	2029.00	2035.59	2028.65	2033.89	11312	0	8
2024.01.12	04:00:00	2033.89	2037.23	2032.86	2036.06	10722	0	8
2024.01.12	08:00:00	2036.08	2040.09	2034.19	2038.16	18999	0	8
2024.01.12	12:00:00	2038.15	2056.65	2038.09	2056.16	33566	0	8
2024.01.12	16:00:00	2056.18	2062.22	2041.44	2043.89	48549	0	8
2024.01.12	20:00:00	2043.94	2049.15	2043.08	2048.82	13711	0	8
2024.01.15	00:00:00	2047.26	2051.42	2045.78	2051.07	11432	0	8
2024.01.15	04:00:00	2051.09	2058.06	2049.79	2055.11	13908	0	8
2024.01.15	08:00:00	2055.13	2058.61	2052.90	2055.05	15829	0	8
2024.01.15	12:00:00	2055.05	2055.18	2051.34	2054.28	14340	0	8
2024.01.15	16:00:00	2054.28	2056.34	2049.27	2055.39	14055	0	8
2024.01.15	20:00:00	2055.39	2055.45	2053.64	2054.79	1072	0	8
2024.01.16	00:00:00	2055.03	2055.60	2049.98	2050.88	10853	0	8
2024.01.16	04:00:00	2050.87	2051.67	2047.54	2048.65	12466	0	8
2024.01.16	08:00:00	2048.64	2050.94	2038.72	2041.25	24720	0	8
2024.01.16	12:00:00	2041.25	2045.08	2031.38	2037.62	33081	0	8
2024.01.16	16:00:00	2037.61	2042.75	2024.97	2025.32	51630	0	8
2024.01.16	20:00:00	2025.32	2030.16	2024.27	2028.41	15944	0	8
2024.01.17	00:00:00	2027.86	2030.84	2025.63	2030.28	10706	0	8
2024.01.17	04:00:00	2030.29	2032.95	2019.33	2020.65	17589	0	8
2024.01.17	08:00:00	2020.62	2026.60	2017.67	2023.80	24417	0	8
2024.01.17	12:00:00	2023.69	2029.09	2018.90	2022.41	28466	0	8
2024.01.17	16:00:00	2022.39	2023.11	2003.41	2007.05	43111	0	8
2024.01.17	20:00:00	2007.08	2007.22	2001.84	2006.13	15379	0	8
2024.01.18	00:00:00	2006.16	2012.15	2006.14	2011.66	10109	0	8
2024.01.18	04:00:00	2011.67	2011.91	2005.77	2009.25	11693	0	8
2024.01.18	08:00:00	2009.27	2014.12	2008.15	2010.19	18911	0	8
2024.01.18	12:00:00	2010.19	2017.25	2007.49	2009.12	26470	0	8
2024.01.18	16:00:00	2009.16	2017.71	2009.10	2016.38	38534	0	8
2024.01.18	20:00:00	2016.46	2023.25	2015.54	2023.06	15741	0	8
2024.01.19	00:00:00	2024.06	2025.57	2021.20	2024.06	11127	0	8
2024.01.19	04:00:00	2024.02	2025.10	2020.41	2021.67	10190	0	8
2024.01.19	08:00:00	2021.62	2030.87	2020.85	2029.79	18396	0	8
2024.01.19	12:00:00	2029.82	2039.41	2028.76	2035.29	22419	0	8
2024.01.19	16:00:00	2035.30	2035.74	2023.21	2029.04	42728	0	8
2024.01.19	20:00:00	2029.05	2029.93	2026.44	2029.34	13207	0	8
2024.01.22	00:00:00	2029.17	2032.14	2025.46	2029.12	10280	0	8
2024.01.22	04:00:00	2029.20	2030.04	2021.86	2023.23	12101	0	8
2024.01.22	08:00:00	2023.22	2026.24	2019.09	2021.70	22639	0	8
2024.01.22	12:00:00	2021.69	2030.12	2021.09	2023.19	26222	0	8
2024.01.22	16:00:00	2023.21	2026.55	2016.51	2021.54	36555	0	8
2024.01.22	20:00:00	2021.53	2021.90	2019.15	2021.53	11426	0	8
2024.01.23	00:00:00	2021.61	2023.13	2019.63	2021.72	8159	0	8
2024.01.23	04:00:00	2021.72	2031.69	2020.75	2030.82	17364	0	8
2024.01.23	08:00:00	2030.84	2037.90	2027.09	2028.79	21633	0	4
2024.01.23	12:00:00	2028.62	2030.32	2022.39	2024.97	15867	0	0
2024.01.23	16:00:00	2024.96	2027.76	2021.42	2024.26	22175	0	0
2024.01.23	20:00:00	2024.28	2030.68	2023.03	2029.05	8992	0	0
2024.01.24	00:00:00	2028.64	2029.66	2026.43	2027.25	9246	0	8
2024.01.24	04:00:00	2027.26	2027.56	2022.86	2024.49	10875	0	8
2024.01.24	08:00:00	2024.47	2034.12	2023.67	2030.89	20952	0	0
2024.01.24	12:00:00	2030.86	2036.63	2029.34	2034.03	16107	0	0
2024.01.24	16:00:00	2034.04	2034.71	2011.92	2019.25	26109	0	0
2024.01.24	20:00:00	2019.24	2019.77	2011.20	2014.16	10025	0	0
2024.01.25	00:00:00	2014.83	2017.61	2014.52	2016.42	7535	0	7
2024.01.25	04:00:00	2016.43	2016.99	2014.60	2015.57	7381	0	6
2024.01.25	08:00:00	2015.58	2018.25	2012.65	2017.87	11364	0	0
2024.01.25	12:00:00	2017.88	2022.99	2009.65	2019.44	18394	0	0
2024.01.25	16:00:00	2019.36	2025.22	2012.54	2015.00	31185	0	0
2024.01.25	20:00:00	2014.99	2020.78	2013.42	2020.75	12497	0	0
2024.01.26	00:00:00	2019.77	2024.24	2019.38	2021.91	8811	0	8
2024.01.26	04:00:00	2021.89	2023.91	2021.06	2023.09	8610	0	8
2024.01.26	08:00:00	2023.09	2023.49	2018.25	2020.83	17504	0	8
2024.01.26	12:00:00	2020.84	2026.79	2018.81	2024.68	22000	0	0
2024.01.26	16:00:00	2024.68	2026.11	2015.94	2016.67	18964	0	0
2024.01.26	20:00:00	2016.67	2019.31	2016.09	2018.51	7478	0	4
2024.01.29	00:00:00	2025.34	2028.45	2019.34	2023.24	13027	0	8
2024.01.29	04:00:00	2023.24	2027.65	2021.56	2025.52	10452	0	8
2024.01.29	08:00:00	2025.52	2033.87	2024.90	2028.38	19763	0	8
2024.01.29	12:00:00	2028.38	2037.59	2025.52	2036.90	20879	0	8
2024.01.29	16:00:00	2036.89	2037.26	2020.59	2029.35	24433	0	0
2024.01.29	20:00:00	2029.35	2035.20	2025.11	2032.41	13247	0	0
2024.01.30	00:00:00	2032.79	2034.12	2029.28	2031.10	7942	0	8
2024.01.30	04:00:00	2031.10	2033.34	2029.85	2032.20	9013	0	8
2024.01.30	08:00:00	2032.20	2040.39	2032.13	2035.72	20270	0	8
2024.01.30	12:00:00	2035.72	2037.98	2031.47	2037.76	22343	0	8
2024.01.30	16:00:00	2037.78	2048.61	2029.10	2034.05	31648	0	0
