<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.02	01:00:00	2063.93	2066.51	2063.75	2065.15	502	0	8
2024.01.02	01:30:00	2065.16	2065.45	2063.18	2063.74	488	0	8
2024.01.02	02:00:00	2063.78	2064.99	2062.28	2063.40	582	0	3
2024.01.02	02:30:00	2063.32	2065.88	2063.10	2065.47	513	0	7
2024.01.02	03:00:00	2065.63	2069.82	2064.87	2068.55	975	0	7
2024.01.02	03:30:00	2068.57	2069.09	2066.44	2066.64	901	0	8
2024.01.02	04:00:00	2066.63	2067.09	2064.02	2066.81	701	0	7
2024.01.02	04:30:00	2066.97	2068.42	2065.91	2067.84	729	0	7
2024.01.02	05:00:00	2067.87	2070.01	2066.52	2069.79	609	0	6
2024.01.02	05:30:00	2069.91	2070.31	2068.66	2069.65	505	0	8
2024.01.02	06:00:00	2069.68	2070.66	2068.94	2069.50	569	0	8
2024.01.02	06:30:00	2069.74	2070.40	2068.95	2069.55	516	0	8
2024.01.02	07:00:00	2069.66	2071.83	2069.53	2071.50	582	0	2
2024.01.02	07:30:00	2071.29	2074.81	2070.88	2074.48	724	0	4
2024.01.02	08:00:00	2074.70	2076.69	2072.96	2075.85	743	0	0
2024.01.02	08:30:00	2075.91	2076.59	2073.90	2074.14	709	0	4
2024.01.02	09:00:00	2074.17	2076.36	2073.36	2075.29	941	0	7
2024.01.02	09:30:00	2075.28	2075.75	2073.22	2073.22	866	0	1
2024.01.02	10:00:00	2073.38	2074.57	2072.33	2072.68	999	0	6
2024.01.02	10:30:00	2072.68	2074.39	2071.85	2073.31	969	0	0
2024.01.02	11:00:00	2073.32	2075.62	2073.32	2074.72	873	0	7
2024.01.02	11:30:00	2074.64	2078.84	2074.64	2077.05	887	0	0
2024.01.02	12:00:00	2077.07	2077.75	2073.53	2074.82	852	0	5
2024.01.02	12:30:00	2074.71	2076.55	2074.41	2076.00	866	0	0
2024.01.02	13:00:00	2075.98	2076.17	2072.87	2075.04	925	0	2
2024.01.02	13:30:00	2074.94	2074.95	2068.36	2069.26	1013	0	6
2024.01.02	14:00:00	2069.23	2069.44	2065.08	2066.02	1040	0	7
2024.01.02	14:30:00	2066.00	2068.34	2065.61	2067.99	970	0	3
2024.01.02	15:00:00	2067.95	2068.76	2064.89	2067.07	1165	0	0
2024.01.02	15:30:00	2066.99	2071.09	2064.89	2066.13	1246	0	0
2024.01.02	16:00:00	2066.22	2067.91	2064.76	2065.94	1138	0	5
2024.01.02	16:30:00	2065.71	2070.41	2062.37	2070.35	1481	0	0
2024.01.02	17:00:00	2070.37	2070.68	2063.98	2064.89	1384	0	7
2024.01.02	17:30:00	2064.75	2065.27	2056.02	2059.39	1399	0	0
2024.01.02	18:00:00	2059.42	2067.50	2059.30	2065.57	1318	0	5
2024.01.02	18:30:00	2065.39	2066.92	2064.19	2066.12	1029	0	0
2024.01.02	19:00:00	2066.11	2066.93	2062.87	2064.05	980	0	7
2024.01.02	19:30:00	2064.05	2065.21	2061.90	2062.73	946	0	0
2024.01.02	20:00:00	2062.72	2064.96	2061.56	2064.52	858	0	6
2024.01.02	20:30:00	2064.47	2064.47	2060.60	2061.19	758	0	6
2024.01.02	21:00:00	2061.20	2062.16	2060.49	2061.63	651	0	8
2024.01.02	21:30:00	2061.60	2062.04	2060.46	2060.91	614	0	4
2024.01.02	22:00:00	2060.96	2061.60	2059.55	2059.76	535	0	8
2024.01.02	22:30:00	2059.73	2060.22	2058.01	2058.21	698	0	8
2024.01.02	23:00:00	2058.51	2059.09	2058.06	2058.50	350	0	8
2024.01.02	23:30:00	2058.50	2059.27	2058.46	2058.89	188	0	8
2024.01.03	01:00:00	2059.26	2059.49	2058.58	2059.33	252	0	8
2024.01.03	01:30:00	2059.24	2060.14	2058.84	2059.64	447	0	8
2024.01.03	02:00:00	2059.74	2062.09	2059.28	2062.09	493	0	8
2024.01.03	02:30:00	2062.08	2062.12	2060.00	2060.25	631	0	8
2024.01.03	03:00:00	2060.16	2062.19	2059.59	2061.28	840	0	8
2024.01.03	03:30:00	2061.37	2062.56	2061.02	2062.41	817	0	8
2024.01.03	04:00:00	2062.54	2064.37	2061.59	2064.14	705	0	0
2024.01.03	04:30:00	2064.10	2065.17	2063.27	2064.57	651	0	8
2024.01.03	05:00:00	2064.67	2065.53	2063.37	2063.66	612	0	5
2024.01.03	05:30:00	2063.67	2065.37	2063.43	2065.12	454	0	8
2024.01.03	06:00:00	2065.01	2065.16	2064.40	2065.16	375	0	8
2024.01.03	06:30:00	2065.14	2065.58	2064.53	2064.85	336	0	8
2024.01.03	07:00:00	2064.78	2064.78	2063.59	2063.59	450	0	8
2024.01.03	07:30:00	2063.70	2065.93	2063.70	2064.16	673	0	8
2024.01.03	08:00:00	2064.09	2065.34	2063.45	2064.66	738	0	8
2024.01.03	08:30:00	2064.66	2065.09	2063.73	2064.40	618	0	7
2024.01.03	09:00:00	2064.25	2064.27	2060.96	2061.48	874	0	7
2024.01.03	09:30:00	2061.49	2063.76	2061.03	2062.97	813	0	0
2024.01.03	10:00:00	2062.94	2064.35	2058.91	2060.61	908	0	0
2024.01.03	10:30:00	2060.72	2061.73	2059.43	2060.09	934	0	0
2024.01.03	11:00:00	2060.08	2060.59	2057.88	2058.80	897	0	8
2024.01.03	11:30:00	2058.80	2059.12	2054.44	2056.84	901	0	0
2024.01.03	12:00:00	2056.77	2057.15	2052.70	2052.99	859	0	1
2024.01.03	12:30:00	2052.98	2055.95	2052.98	2054.94	847	0	2
2024.01.03	13:00:00	2055.05	2055.67	2051.61	2052.36	807	0	4
2024.01.03	13:30:00	2052.23	2052.30	2046.74	2047.52	1011	0	7
2024.01.03	14:00:00	2047.61	2048.07	2041.83	2043.62	1155	0	0
2024.01.03	14:30:00	2043.16	2048.29	2042.09	2045.66	1160	0	0
2024.01.03	15:00:00	2045.48	2047.89	2041.42	2042.95	1260	0	0
2024.01.03	15:30:00	2042.96	2044.94	2038.77	2041.00	1311	0	0
2024.01.03	16:00:00	2041.01	2042.32	2034.60	2037.04	1349	0	0
2024.01.03	16:30:00	2037.16	2039.68	2031.86	2037.89	1429	0	0
2024.01.03	17:00:00	2037.69	2048.77	2035.56	2037.58	1575	0	0
2024.01.03	17:30:00	2037.41	2038.89	2031.88	2032.62	1409	0	0
2024.01.03	18:00:00	2032.56	2036.11	2031.35	2034.06	1334	0	0
2024.01.03	18:30:00	2034.49	2034.67	2031.45	2032.43	1243	0	2
2024.01.03	19:00:00	2032.56	2033.71	2031.04	2032.73	1124	0	0
2024.01.03	19:30:00	2032.89	2033.39	2030.74	2033.35	988	0	0
2024.01.03	20:00:00	2033.36	2035.22	2032.96	2034.97	915	0	5
2024.01.03	20:30:00	2035.18	2036.31	2034.04	2035.78	796	0	0
2024.01.03	21:00:00	2035.72	2039.16	2030.62	2038.85	1375	0	5
2024.01.03	21:30:00	2038.85	2042.32	2034.83	2036.72	1291	0	0
2024.01.03	22:00:00	2036.72	2042.01	2036.52	2041.16	1096	0	8
2024.01.03	22:30:00	2041.16	2042.31	2040.77	2040.78	947	0	8
2024.01.03	23:00:00	2041.25	2041.79	2040.35	2041.49	464	0	8
2024.01.03	23:30:00	2041.50	2041.69	2040.70	2041.19	264	0	8
2024.01.04	01:00:00	2042.10	2043.08	2041.46	2042.60	349	0	8
2024.01.04	01:30:00	2042.59	2043.89	2042.39	2043.04	441	0	8
2024.01.04	02:00:00	2042.97	2043.17	2042.20	2043.02	519	0	8
2024.01.04	02:30:00	2043.00	2043.00	2041.64	2042.16	502	0	8
