<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.02	01:00:00	985.87	993.34	985.87	993.24	328	0	250
2024.01.02	01:30:00	993.24	993.44	991.39	992.56	190	0	200
2024.01.02	02:00:00	992.56	995.19	992.38	993.21	240	0	200
2024.01.02	02:30:00	993.13	993.29	991.54	993.14	236	0	200
2024.01.02	03:00:00	993.24	994.14	990.64	991.24	375	0	200
2024.01.02	03:30:00	991.04	991.34	986.44	987.44	236	0	261
2024.01.02	04:00:00	987.44	987.74	985.64	986.54	179	0	264
2024.01.02	04:30:00	986.64	987.34	985.04	985.84	211	0	253
2024.01.02	05:00:00	985.84	989.24	985.84	988.94	201	0	299
2024.01.02	05:30:00	988.94	989.84	986.85	987.48	155	0	332
2024.01.02	06:00:00	987.57	988.17	986.95	987.70	193	0	345
2024.01.02	06:30:00	987.81	989.54	987.69	989.44	110	0	312
2024.01.02	07:00:00	989.54	991.04	989.34	991.04	126	0	271
2024.01.02	07:30:00	991.04	991.04	989.04	990.64	189	0	264
2024.01.02	08:00:00	990.64	990.94	987.74	988.84	154	0	269
2024.01.02	08:30:00	988.84	989.24	987.64	988.14	140	0	352
2024.01.02	09:00:00	988.04	989.84	987.74	989.64	158	0	342
2024.01.02	09:30:00	989.64	992.14	988.54	988.64	211	0	265
2024.01.02	10:00:00	988.64	991.54	988.34	990.94	238	0	278
2024.01.02	10:30:00	991.04	994.54	991.04	993.14	241	0	273
2024.01.02	11:00:00	993.14	995.14	993.14	993.64	207	0	242
2024.01.02	11:30:00	993.64	995.54	993.44	994.44	228	0	201
2024.01.02	12:00:00	994.34	995.64	992.74	995.14	250	0	266
2024.01.02	12:30:00	995.14	1001.74	995.14	1001.04	291	0	245
2024.01.02	13:00:00	1001.04	1001.74	994.54	995.44	281	0	238
2024.01.02	13:30:00	995.34	995.54	991.84	993.64	267	0	269
2024.01.02	14:00:00	993.84	994.14	991.14	992.24	247	0	282
2024.01.02	14:30:00	992.14	992.84	988.74	989.14	290	0	260
2024.01.02	15:00:00	989.34	991.74	981.14	990.14	587	0	200
2024.01.02	15:30:00	990.24	991.68	984.54	986.24	620	0	200
2024.01.02	16:00:00	986.24	991.14	984.54	987.04	537	0	243
2024.01.02	16:30:00	987.04	990.66	983.70	990.64	830	0	259
2024.01.02	17:00:00	990.64	991.64	985.32	987.99	666	0	335
2024.01.02	17:30:00	987.97	989.54	984.64	987.24	568	0	359
2024.01.02	18:00:00	987.24	994.24	986.94	991.04	551	0	302
2024.01.02	18:30:00	990.74	995.04	989.04	994.24	359	0	321
2024.01.02	19:00:00	994.24	995.04	989.34	990.04	383	0	322
2024.01.02	19:30:00	990.04	991.54	986.04	987.04	395	0	321
2024.01.02	20:00:00	986.94	988.24	985.34	985.84	275	0	312
2024.01.02	20:30:00	985.74	986.94	984.44	985.34	152	0	302
2024.01.02	21:00:00	985.34	985.74	984.64	985.74	161	0	302
2024.01.02	21:30:00	985.84	986.14	983.64	984.14	153	0	312
2024.01.02	22:00:00	984.24	984.44	983.24	983.74	127	0	312
2024.01.02	22:30:00	984.04	984.44	983.24	984.34	141	0	302
2024.01.02	23:00:00	984.54	985.24	984.34	984.94	74	0	302
2024.01.02	23:30:00	984.84	985.24	981.24	984.55	82	0	302
2024.01.03	01:00:00	980.89	986.34	980.61	985.44	110	0	356
2024.01.03	01:30:00	985.34	986.34	984.84	985.64	114	0	323
2024.01.03	02:00:00	985.74	986.74	985.34	986.44	89	0	322
2024.01.03	02:30:00	986.54	987.24	984.54	985.04	123	0	318
2024.01.03	03:00:00	985.14	985.74	982.94	984.24	245	0	242
2024.01.03	03:30:00	984.34	986.24	984.14	984.74	244	0	302
2024.01.03	04:00:00	984.94	985.94	983.34	983.64	165	0	302
2024.01.03	04:30:00	983.54	986.44	982.94	986.44	164	0	312
2024.01.03	05:00:00	986.44	987.84	985.54	985.54	166	0	302
2024.01.03	05:30:00	985.54	987.14	985.54	987.14	124	0	302
2024.01.03	06:00:00	987.14	987.34	985.44	985.64	99	0	307
2024.01.03	06:30:00	985.64	986.34	984.64	984.84	99	0	292
2024.01.03	07:00:00	984.84	985.54	984.14	984.94	146	0	302
2024.01.03	07:30:00	985.04	986.54	983.64	984.54	183	0	312
2024.01.03	08:00:00	984.54	987.32	983.74	987.15	198	0	311
2024.01.03	08:30:00	987.14	988.22	986.11	987.79	190	0	299
2024.01.03	09:00:00	987.88	987.96	984.14	985.04	225	0	321
2024.01.03	09:30:00	984.94	986.04	984.84	985.34	147	0	341
2024.01.03	10:00:00	985.24	986.94	981.64	982.64	236	0	332
2024.01.03	10:30:00	982.64	983.94	981.04	981.64	188	0	342
2024.01.03	11:00:00	981.64	982.14	978.24	978.44	310	0	312
2024.01.03	11:30:00	978.34	978.94	976.04	977.14	281	0	276
2024.01.03	12:00:00	977.14	977.64	975.54	975.64	210	0	254
2024.01.03	12:30:00	975.54	977.04	975.34	975.34	216	0	332
2024.01.03	13:00:00	975.54	975.84	974.54	974.94	207	0	308
2024.01.03	13:30:00	974.74	974.74	971.34	971.84	287	0	312
2024.01.03	14:00:00	971.94	974.54	970.54	971.04	329	0	292
2024.01.03	14:30:00	970.84	972.64	970.44	971.04	428	0	296
2024.01.03	15:00:00	970.94	975.32	968.78	975.26	784	0	258
2024.01.03	15:30:00	975.35	976.44	968.94	969.40	670	0	280
2024.01.03	16:00:00	969.36	974.04	968.24	973.24	620	0	267
2024.01.03	16:30:00	973.14	973.24	966.00	969.33	898	0	214
2024.01.03	17:00:00	968.73	975.24	966.04	969.35	1091	0	238
2024.01.03	17:30:00	969.21	970.67	965.79	966.16	1063	0	235
2024.01.03	18:00:00	966.34	974.04	965.99	973.44	911	0	295
2024.01.03	18:30:00	973.74	975.44	972.14	974.04	502	0	385
2024.01.03	19:00:00	974.04	976.04	973.14	975.94	390	0	352
2024.01.03	19:30:00	975.94	977.14	975.54	977.04	340	0	342
2024.01.03	20:00:00	977.24	978.04	975.24	975.84	340	0	292
2024.01.03	20:30:00	975.84	976.04	971.45	971.83	187	0	302
2024.01.03	21:00:00	971.83	976.84	971.44	975.74	502	0	292
2024.01.03	21:30:00	975.74	977.04	973.54	973.54	420	0	292
2024.01.03	22:00:00	973.64	974.24	972.59	973.64	331	0	292
2024.01.03	22:30:00	973.64	974.94	973.44	974.14	202	0	292
2024.01.03	23:00:00	974.04	974.74	974.04	974.74	76	0	302
2024.01.03	23:30:00	974.74	974.74	971.54	971.54	104	0	312
2024.01.04	01:00:00	970.12	975.44	970.12	975.44	177	0	357
2024.01.04	01:30:00	975.54	975.69	975.24	975.44	88	0	372
2024.01.04	02:00:00	975.44	975.64	973.14	973.94	140	0	372
2024.01.04	02:30:00	973.94	973.94	972.99	973.19	118	0	372
2024.01.04	03:00:00	973.24	973.59	970.87	970.95	242	0	338
2024.01.04	03:30:00	970.94	971.24	969.56	969.91	408	0	289
2024.01.04	04:00:00	969.99	970.19	969.09	969.62	343	0	275
2024.01.04	04:30:00	969.49	969.49	968.25	969.27	334	0	257
2024.01.04	05:00:00	969.28	970.09	968.93	969.20	328	0	259
2024.01.04	05:30:00	969.23	970.04	968.54	968.74	171	0	302
2024.01.04	06:00:00	968.74	969.34	967.84	969.14	131	0	322
2024.01.04	06:30:00	969.14	969.44	968.54	968.84	82	0	332
2024.01.04	07:00:00	968.84	969.04	967.54	967.74	104	0	322
2024.01.04	07:30:00	967.74	968.14	966.84	967.14	153	0	312
2024.01.04	08:00:00	967.14	967.64	964.74	967.54	214	0	292
2024.01.04	08:30:00	967.54	968.34	967.14	968.24	168	0	312
2024.01.04	09:00:00	968.04	969.84	966.24	968.94	244	0	312
2024.01.04	09:30:00	969.04	971.44	968.03	970.10	251	0	245
2024.01.04	10:00:00	970.33	972.72	969.14	969.14	375	0	253
2024.01.04	10:30:00	969.24	969.54	965.44	966.84	273	0	293
2024.01.04	11:00:00	966.45	968.87	966.00	968.84	423	0	292
2024.01.04	11:30:00	968.87	972.04	968.87	971.96	393	0	314
2024.01.04	12:00:00	971.94	976.64	971.41	975.54	284	0	302
2024.01.04	12:30:00	975.54	976.44	972.94	975.54	228	0	302
2024.01.04	13:00:00	975.54	977.04	975.04	976.34	247	0	312
2024.01.04	13:30:00	976.34	976.64	971.74	972.64	188	0	312
2024.01.04	14:00:00	972.64	974.54	971.64	974.24	199	0	312
2024.01.04	14:30:00	974.54	975.46	972.85	973.14	402	0	293
2024.01.04	15:00:00	973.12	973.84	969.64	973.84	504	0	302
2024.01.04	15:30:00	973.84	973.84	966.33	966.64	499	0	274
2024.01.04	16:00:00	966.64	967.33	961.33	961.84	503	0	200
2024.01.04	16:30:00	961.94	963.54	959.54	961.46	667	0	248
2024.01.04	17:00:00	961.47	964.35	959.94	962.94	733	0	301
2024.01.04	17:30:00	963.04	964.74	962.24	962.94	591	0	312
2024.01.04	18:00:00	962.94	963.84	958.35	959.77	662	0	276
2024.01.04	18:30:00	959.84	960.21	958.07	958.64	473	0	275
2024.01.04	19:00:00	958.64	959.44	956.94	957.14	326	0	302
2024.01.04	19:30:00	957.24	957.74	955.74	957.14	356	0	342
2024.01.04	20:00:00	957.14	957.74	955.14	957.09	355	0	297
2024.01.04	20:30:00	957.09	957.94	956.39	957.09	224	0	297
2024.01.04	21:00:00	956.99	957.49	955.29	955.74	202	0	297
2024.01.04	21:30:00	955.59	956.99	955.19	956.34	233	0	317
2024.01.04	22:00:00	956.34	957.29	956.04	956.89	174	0	322
2024.01.04	22:30:00	956.89	957.59	956.49	956.49	184	0	327
2024.01.04	23:00:00	956.84	957.34	955.79	956.38	120	0	327
2024.01.04	23:30:00	956.38	960.67	954.22	956.75	137	0	200
2024.01.05	01:00:00	953.84	958.14	953.42	957.34	162	0	382
2024.01.05	01:30:00	957.34	957.79	956.69	957.59	90	0	367
2024.01.05	02:00:00	957.59	957.64	955.71	955.79	134	0	317
2024.01.05	02:30:00	955.94	957.29	955.39	955.54	119	0	302
2024.01.05	03:00:00	955.49	958.52	955.49	956.89	394	0	279
2024.01.05	03:30:00	956.89	958.14	956.24	956.62	367	0	269
2024.01.05	04:00:00	956.58	957.94	956.04	957.30	257	0	292
2024.01.05	04:30:00	957.59	957.59	952.94	954.04	192	0	221
2024.01.05	05:00:00	953.94	954.44	952.94	953.24	140	0	312
2024.01.05	05:30:00	953.24	953.34	952.24	952.54	87	0	302
2024.01.05	06:00:00	952.54	953.74	952.14	953.54	111	0	302
2024.01.05	06:30:00	953.44	953.94	952.19	952.19	130	0	302
2024.01.05	07:00:00	952.21	953.34	951.94	952.54	139	0	302
2024.01.05	07:30:00	952.84	953.44	951.74	952.34	158	0	312
2024.01.05	08:00:00	952.34	953.24	951.14	951.54	175	0	272
2024.01.05	08:30:00	951.34	951.54	948.80	950.94	198	0	302
2024.01.05	09:00:00	950.64	953.54	950.24	951.64	255	0	362
2024.01.05	09:30:00	951.74	951.94	949.74	949.74	184	0	402
2024.01.05	10:00:00	949.84	950.54	947.94	948.74	303	0	332
2024.01.05	10:30:00	948.84	950.24	947.34	949.94	269	0	309
2024.01.05	11:00:00	949.94	951.94	948.14	951.24	259	0	402
2024.01.05	11:30:00	951.24	951.54	949.64	949.84	229	0	392
2024.01.05	12:00:00	949.84	953.04	949.24	952.04	249	0	372
2024.01.05	12:30:00	951.94	952.24	947.54	949.84	207	0	362
2024.01.05	13:00:00	949.74	951.24	948.34	948.44	171	0	352
2024.01.05	13:30:00	948.24	952.06	948.04	950.65	222	0	236
2024.01.05	14:00:00	950.65	951.48	949.17	949.82	321	0	213
2024.01.05	14:30:00	949.82	950.85	948.43	950.20	238	0	224
2024.01.05	15:00:00	950.00	951.97	946.33	946.43	490	0	200
2024.01.05	15:30:00	945.53	955.58	941.82	954.34	1186	0	280
2024.01.05	16:00:00	954.54	963.48	954.54	962.29	748	0	263
2024.01.05	16:30:00	962.13	963.33	956.74	960.03	825	0	303
2024.01.05	17:00:00	961.86	968.62	961.39	963.54	996	0	200
2024.01.05	17:30:00	963.54	966.64	962.54	965.44	628	0	295
2024.01.05	18:00:00	965.44	967.24	962.14	962.54	528	0	342
2024.01.05	18:30:00	962.44	964.34	961.54	962.94	476	0	322
2024.01.05	19:00:00	962.94	963.14	959.44	961.24	454	0	312
2024.01.05	19:30:00	961.24	964.14	960.44	962.34	424	0	312
2024.01.05	20:00:00	962.24	963.44	960.64	963.24	368	0	302
2024.01.05	20:30:00	963.34	965.14	963.04	964.64	304	0	292
