time,open,high,low,close,volume,spread
2024-11-11 14:00:00+00:00,0.1415,0.1426,0.1401,0.1408,397,28
2024-11-11 14:30:00+00:00,0.1408,0.1425,0.1405,0.1424,625,28
2024-11-11 15:00:00+00:00,0.1424,0.1446,0.142,0.1445,522,28
2024-11-11 15:30:00+00:00,0.1446,0.1455,0.1435,0.1444,518,28
2024-11-11 16:00:00+00:00,0.1444,0.146,0.1442,0.1452,468,28
2024-11-11 16:30:00+00:00,0.1452,0.1467,0.1445,0.1465,378,28
2024-11-11 17:00:00+00:00,0.1464,0.1479,0.1463,0.1474,432,28
2024-11-11 17:30:00+00:00,0.1474,0.1508,0.1473,0.1508,378,28
2024-11-11 18:00:00+00:00,0.1508,0.151,0.1489,0.1503,401,28
2024-11-11 18:30:00+00:00,0.1503,0.153,0.1502,0.153,446,28
2024-11-11 19:00:00+00:00,0.153,0.1536,0.1509,0.1511,423,28
2024-11-11 19:30:00+00:00,0.1511,0.1524,0.151,0.1516,364,28
2024-11-11 20:00:00+00:00,0.1516,0.1525,0.1507,0.1516,299,28
2024-11-11 20:30:00+00:00,0.1516,0.1534,0.1514,0.152,295,28
2024-11-11 21:00:00+00:00,0.152,0.1527,0.151,0.1525,288,28
2024-11-11 21:30:00+00:00,0.1525,0.1525,0.1498,0.1501,286,28
2024-11-11 22:00:00+00:00,0.1501,0.1504,0.1477,0.149,264,28
2024-11-11 22:30:00+00:00,0.149,0.1517,0.149,0.1517,195,29
2024-11-11 23:00:00+00:00,0.1518,0.1547,0.1518,0.1546,418,28
2024-11-11 23:30:00+00:00,0.1546,0.1582,0.1543,0.158,593,28
2024-11-12 00:00:00+00:00,0.158,0.1584,0.1518,0.1554,902,28
2024-11-12 00:30:00+00:00,0.1555,0.1572,0.1532,0.1567,676,28
2024-11-12 01:00:00+00:00,0.1567,0.1567,0.1542,0.1543,707,28
2024-11-12 01:30:00+00:00,0.1543,0.155,0.1529,0.1531,465,29
2024-11-12 02:00:00+00:00,0.1531,0.1555,0.153,0.1548,431,28
2024-11-12 02:30:00+00:00,0.1548,0.1554,0.1524,0.154,681,28
2024-11-12 03:00:00+00:00,0.1539,0.1547,0.1525,0.1544,598,28
2024-11-12 03:30:00+00:00,0.1543,0.1564,0.1541,0.1558,480,28
2024-11-12 04:00:00+00:00,0.1559,0.1561,0.1539,0.1546,550,28
2024-11-12 04:30:00+00:00,0.1546,0.1555,0.1539,0.154,414,28
2024-11-12 05:00:00+00:00,0.154,0.1563,0.154,0.1552,550,28
2024-11-12 05:30:00+00:00,0.1552,0.1554,0.1534,0.1551,656,28
2024-11-12 06:00:00+00:00,0.1551,0.1568,0.1548,0.1561,411,28
2024-11-12 06:30:00+00:00,0.1561,0.1578,0.1557,0.1569,538,28
2024-11-12 07:00:00+00:00,0.1569,0.1581,0.1563,0.1577,502,28
2024-11-12 07:30:00+00:00,0.1577,0.1583,0.1572,0.1581,372,28
2024-11-12 08:00:00+00:00,0.1582,0.1613,0.1579,0.161,386,28
2024-11-12 08:30:00+00:00,0.161,0.1623,0.1605,0.1615,573,28
2024-11-12 09:00:00+00:00,0.1615,0.1619,0.1582,0.1585,908,28
2024-11-12 09:30:00+00:00,0.1586,0.1589,0.153,0.153,789,28
2024-11-12 10:00:00+00:00,0.153,0.1544,0.148,0.1513,1339,28
2024-11-12 10:30:00+00:00,0.1513,0.1519,0.143,0.1482,1875,28
2024-11-12 11:00:00+00:00,0.1482,0.1511,0.1471,0.1507,1119,28
2024-11-12 11:30:00+00:00,0.1507,0.1516,0.148,0.149,695,28
2024-11-12 12:00:00+00:00,0.149,0.1523,0.148,0.1487,906,28
2024-11-12 12:30:00+00:00,0.1487,0.1498,0.1461,0.1474,1022,28
2024-11-12 13:00:00+00:00,0.1474,0.1479,0.1452,0.1469,1180,28
2024-11-12 13:30:00+00:00,0.1468,0.1474,0.1435,0.1468,1248,28
2024-11-12 14:00:00+00:00,0.1468,0.1478,0.1451,0.1462,924,28
2024-11-12 14:30:00+00:00,0.1462,0.1475,0.1445,0.1474,1005,28
2024-11-12 15:00:00+00:00,0.1474,0.1483,0.146,0.1467,697,28
