<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.07.01	00:00:00	61974.44	62003.44	61824.24	61924.44	1283	0	1442
2024.07.01	01:00:00	61924.44	62948.04	61917.09	62887.64	2989	0	1442
2024.07.01	02:00:00	62887.64	63040.64	62747.04	62758.84	2535	0	1442
2024.07.01	03:00:00	62758.84	62927.94	62559.24	62917.44	2315	0	1442
2024.07.01	04:00:00	62917.44	63718.64	62874.14	63624.64	4088	0	1442
2024.07.01	05:00:00	63624.64	63792.64	63262.34	63419.94	2939	0	1442
2024.07.01	06:00:00	63419.94	63502.74	63309.74	63409.24	2229	0	1442
2024.07.01	07:00:00	63409.24	63446.44	63193.24	63255.74	1731	0	1442
2024.07.01	08:00:00	63255.74	63432.74	63236.44	63401.56	1510	0	1442
2024.07.01	09:00:00	63403.24	63434.33	63263.65	63376.15	1635	0	1119
2024.07.01	10:00:00	63376.15	63413.45	63226.04	63256.84	1756	0	1119
2024.07.01	11:00:00	63259.24	63296.44	62812.84	62903.84	2455	0	1242
2024.07.01	12:00:00	62903.84	62981.74	62756.24	62914.04	1901	0	1242
2024.07.01	13:00:00	62914.04	62963.74	62756.84	62835.74	1552	0	1242
2024.07.01	14:00:00	62835.74	62847.54	62573.84	62651.74	2181	0	1242
2024.07.01	15:00:00	62651.74	62883.74	62626.84	62862.14	2422	0	1242
2024.07.01	16:00:00	62862.14	63068.24	62507.17	62669.84	3669	0	1242
2024.07.01	17:00:00	62669.84	62926.34	62591.24	62803.44	4030	0	1242
2024.07.01	18:00:00	62803.44	63127.34	62796.64	63113.74	2766	0	1242
2024.07.01	19:00:00	63113.74	63337.94	62940.37	63099.04	2972	0	1242
2024.07.01	20:00:00	63099.04	63679.44	63033.84	63677.34	3049	0	1242
2024.07.01	21:00:00	63677.34	63842.74	63420.66	63633.84	3168	0	1242
2024.07.01	22:00:00	63633.84	63633.84	63046.34	63202.84	2885	0	1242
2024.07.01	23:00:00	63200.07	63408.74	63137.73	63268.74	1465	0	1242
2024.07.02	00:00:00	63268.74	63268.74	63008.14	63107.34	896	0	1242
2024.07.02	01:00:00	63107.34	63141.14	62774.54	62955.44	1651	0	1242
2024.07.02	02:00:00	62955.44	63021.64	62804.84	62877.44	1234	0	1242
2024.07.02	03:00:00	62877.44	62969.04	62759.54	62906.54	2076	0	1242
2024.07.02	04:00:00	62906.54	62949.44	62790.64	62908.34	1920	0	1242
2024.07.02	05:00:00	62908.34	63101.04	62896.04	62977.64	1722	0	1242
2024.07.02	06:00:00	62977.64	63277.64	62965.69	63109.44	1911	0	1242
2024.07.02	07:00:00	63109.44	63220.74	63011.24	63012.34	1644	0	1242
2024.07.02	08:00:00	63012.34	63079.44	62974.74	63003.94	797	0	1242
2024.07.02	09:00:00	63003.94	63031.44	62811.84	62853.14	1390	0	1242
2024.07.02	10:00:00	62853.14	62858.34	62559.84	62611.64	1927	0	1242
2024.07.02	11:00:00	62611.64	62739.94	62378.95	62659.84	2088	0	1242
2024.07.02	12:00:00	62659.84	62784.84	62615.84	62645.64	1343	0	1242
2024.07.02	13:00:00	62645.64	62786.74	62493.84	62709.34	1756	0	1242
2024.07.02	14:00:00	62709.34	62854.44	62608.94	62820.84	1962	0	1242
2024.07.02	15:00:00	62817.04	63043.14	62705.44	62865.74	2349	0	1242
2024.07.02	16:00:00	62865.74	63159.84	62526.81	62619.14	4208	0	1242
2024.07.02	17:00:00	62614.28	62721.74	61873.84	62032.04	4991	0	1242
2024.07.02	18:00:00	62026.44	62141.44	61833.84	61932.84	3329	0	1242
2024.07.02	19:00:00	61938.84	62018.44	61793.84	61916.54	2638	0	1242
2024.07.02	20:00:00	61916.54	62153.84	61874.94	62137.94	1482	0	1242
2024.07.02	21:00:00	62137.94	62354.94	62127.64	62307.64	1335	0	1242
2024.07.02	22:00:00	62307.64	62356.54	61878.78	61889.74	1666	0	1242
2024.07.02	23:00:00	61889.74	62078.94	61869.84	62000.04	951	0	1242
2024.07.03	00:00:00	62000.04	62086.44	61894.94	61946.44	1095	0	1242
