<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.02	01:00:00	33254.50	33254.50	33059.50	33079.50	239	0	900
2024.01.02	02:00:00	33079.50	33125.50	33029.50	33090.50	246	0	700
2024.01.02	03:00:00	33090.50	33130.50	33090.50	33115.50	178	0	700
2024.01.02	04:00:00	33115.50	33160.50	33105.50	33155.50	150	0	700
2024.01.02	05:00:00	33155.50	33256.60	33150.50	33236.60	129	0	700
2024.01.02	06:00:00	33236.60	33316.60	33236.60	33306.60	126	0	700
2024.01.02	07:00:00	33306.60	33360.50	33291.60	33330.50	158	0	700
2024.01.02	08:00:00	33330.50	33350.50	33295.50	33320.50	171	0	700
2024.01.02	09:00:00	33325.50	33385.50	33320.50	33365.50	153	0	700
2024.01.02	10:00:00	33360.50	33435.50	33355.50	33425.50	367	0	700
2024.01.02	11:00:00	33420.50	33435.50	33285.50	33315.50	295	0	700
2024.01.02	12:00:00	33315.50	33345.50	33280.50	33295.50	233	0	700
2024.01.02	13:00:00	33295.50	33300.50	33165.50	33215.50	352	0	700
2024.01.02	14:00:00	33220.50	33225.50	33140.50	33145.50	312	0	700
2024.01.02	15:00:00	33140.50	33201.50	33109.50	33191.50	338	0	700
2024.01.02	16:00:00	33191.50	33211.50	33082.50	33146.50	473	0	700
2024.01.02	17:00:00	33141.50	33221.50	33106.50	33201.50	438	0	700
2024.01.02	18:00:00	33196.50	33331.50	33191.50	33326.50	325	0	700
2024.01.02	19:00:00	33326.50	33326.50	33286.50	33291.50	251	0	700
2024.01.02	20:00:00	33291.50	33296.50	33226.50	33231.50	235	0	700
2024.01.02	21:00:00	33231.50	33246.50	33166.50	33166.50	247	0	700
2024.01.02	22:00:00	33166.50	33171.50	32966.50	33041.50	489	0	700
2024.01.02	23:00:00	33036.50	33096.50	33021.50	33064.00	138	0	700
2024.01.03	01:00:00	33095.50	33215.50	33095.50	33210.50	182	0	900
2024.01.03	02:00:00	33225.50	33236.50	33136.50	33206.50	384	0	700
2024.01.03	03:00:00	33206.50	33246.50	33201.50	33211.50	247	0	700
2024.01.03	04:00:00	33211.50	33286.50	33211.50	33271.50	225	0	700
2024.01.03	05:00:00	33271.50	33281.50	33211.50	33231.50	182	0	700
2024.01.03	06:00:00	33226.50	33261.50	33226.50	33251.50	138	0	700
2024.01.03	07:00:00	33251.50	33271.50	33221.50	33236.50	222	0	700
2024.01.03	08:00:00	33236.50	33266.50	33226.50	33251.50	172	0	700
2024.01.03	09:00:00	33256.50	33319.50	33241.50	33304.50	237	0	700
2024.01.03	10:00:00	33304.50	33355.50	33280.50	33285.50	414	0	700
2024.01.03	11:00:00	33285.50	33300.50	33208.50	33208.50	356	0	700
2024.01.03	12:00:00	33208.50	33253.50	33198.50	33228.50	310	0	700
2024.01.03	13:00:00	33228.50	33233.50	33178.50	33199.50	243	0	700
2024.01.03	14:00:00	33199.50	33199.50	33159.50	33174.50	259	0	700
2024.01.03	15:00:00	33174.50	33234.50	33164.50	33169.50	230	0	700
2024.01.03	16:00:00	33169.50	33204.50	33114.50	33159.50	531	0	700
2024.01.03	17:00:00	33154.50	33189.50	33059.50	33124.50	665	0	700
2024.01.03	18:00:00	33124.50	33169.50	33119.50	33154.50	404	0	700
2024.01.03	19:00:00	33159.50	33184.50	33099.50	33174.50	285	0	700
2024.01.03	20:00:00	33174.50	33199.50	33149.50	33164.50	249	0	700
2024.01.03	21:00:00	33164.50	33224.50	33124.50	33174.50	610	0	700
2024.01.03	22:00:00	33174.50	33179.50	33079.50	33079.50	386	0	700
2024.01.03	23:00:00	33084.50	33084.50	33049.50	33074.50	101	0	700
2024.01.04	01:00:00	33098.50	33098.50	32983.50	33003.50	294	0	900
2024.01.04	02:00:00	33003.50	33003.50	32684.50	32914.50	946	0	700
2024.01.04	03:00:00	32909.50	33159.50	32889.50	33104.50	599	0	700
2024.01.04	04:00:00	33109.50	33129.50	33025.60	33114.50	408	0	700
2024.01.04	05:00:00	33114.50	33149.50	33074.50	33139.50	401	0	700
2024.01.04	06:00:00	33139.50	33254.50	33129.50	33234.50	281	0	700
2024.01.04	07:00:00	33239.50	33294.50	33234.50	33269.50	394	0	700
2024.01.04	08:00:00	33269.50	33289.50	33239.50	33244.50	221	0	700
2024.01.04	09:00:00	33249.50	33284.50	33229.50	33234.50	298	0	700
2024.01.04	10:00:00	33239.50	33359.50	33239.50	33309.50	436	0	700
2024.01.04	11:00:00	33309.50	33384.50	33304.50	33374.50	305	0	700
2024.01.04	12:00:00	33374.50	33409.50	33344.50	33399.50	238	0	700
2024.01.04	13:00:00	33394.50	33404.50	33339.50	33344.50	232	0	700
