<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.02	01:00:00	33254.50	33254.50	33199.00	33214.50	49	0	900
2024.01.02	01:15:00	33214.50	33239.50	33214.50	33239.50	22	0	900
2024.01.02	01:30:00	33214.50	33244.50	33099.50	33119.50	112	0	900
2024.01.02	01:45:00	33119.50	33129.50	33059.50	33079.50	56	0	900
2024.01.02	02:00:00	33079.50	33125.50	33029.50	33095.50	75	0	700
2024.01.02	02:15:00	33100.50	33125.50	33085.50	33085.50	55	0	700
2024.01.02	02:30:00	33090.50	33095.50	33060.50	33085.50	57	0	700
2024.01.02	02:45:00	33090.50	33108.00	33073.00	33090.50	59	0	700
2024.01.02	03:00:00	33090.50	33130.50	33090.50	33115.50	54	0	700
2024.01.02	03:15:00	33120.50	33130.50	33110.50	33115.50	39	0	700
2024.01.02	03:30:00	33115.50	33125.50	33090.50	33095.50	43	0	700
2024.01.02	03:45:00	33098.00	33125.50	33095.50	33115.50	42	0	700
2024.01.02	04:00:00	33115.50	33125.50	33105.50	33125.50	33	0	700
2024.01.02	04:15:00	33125.50	33125.50	33115.50	33120.50	27	0	700
2024.01.02	04:30:00	33120.50	33155.50	33115.50	33145.50	42	0	700
2024.01.02	04:45:00	33145.50	33160.50	33140.50	33155.50	48	0	700
2024.01.02	05:00:00	33155.50	33175.50	33150.50	33150.50	32	0	700
2024.01.02	05:15:00	33150.50	33190.50	33150.50	33190.50	26	0	700
2024.01.02	05:30:00	33190.50	33231.60	33185.50	33226.60	40	0	700
2024.01.02	05:45:00	33226.60	33256.60	33226.60	33236.60	31	0	700
2024.01.02	06:00:00	33236.60	33286.60	33236.60	33281.60	35	0	700
2024.01.02	06:15:00	33281.60	33291.60	33271.60	33281.60	31	0	700
2024.01.02	06:30:00	33281.60	33301.60	33281.60	33296.60	36	0	700
2024.01.02	06:45:00	33296.60	33316.60	33296.60	33306.60	24	0	700
2024.01.02	07:00:00	33306.60	33326.60	33291.60	33326.60	42	0	700
2024.01.02	07:15:00	33326.60	33341.60	33316.60	33331.60	43	0	700
2024.01.02	07:30:00	33331.60	33360.50	33321.60	33355.50	39	0	700
2024.01.02	07:45:00	33350.50	33350.50	33325.50	33330.50	34	0	700
2024.01.02	08:00:00	33330.50	33340.50	33295.50	33315.50	51	0	700
2024.01.02	08:15:00	33315.50	33350.50	33315.50	33340.50	42	0	700
2024.01.02	08:30:00	33350.50	33350.50	33305.50	33320.50	28	0	700
2024.01.02	08:45:00	33320.50	33335.50	33320.50	33320.50	50	0	700
2024.01.02	09:00:00	33325.50	33355.50	33320.50	33345.50	40	0	700
2024.01.02	09:15:00	33345.50	33365.50	33340.50	33358.00	27	0	700
2024.01.02	09:30:00	33358.00	33365.50	33350.50	33355.50	35	0	700
2024.01.02	09:45:00	33360.50	33385.50	33345.50	33365.50	51	0	700
2024.01.02	10:00:00	33360.50	33400.50	33360.50	33370.50	107	0	700
2024.01.02	10:15:00	33370.50	33390.50	33355.50	33390.50	94	0	700
2024.01.02	10:30:00	33395.50	33405.50	33385.50	33395.50	87	0	700
2024.01.02	10:45:00	33395.50	33435.50	33390.50	33425.50	79	0	700
2024.01.02	11:00:00	33420.50	33435.50	33405.50	33415.50	70	0	700
2024.01.02	11:15:00	33410.50	33415.50	33340.50	33355.50	73	0	700
2024.01.02	11:30:00	33350.50	33355.50	33295.50	33310.50	80	0	700
2024.01.02	11:45:00	33310.50	33340.50	33285.50	33315.50	72	0	700
2024.01.02	12:00:00	33315.50	33320.50	33295.50	33295.50	43	0	700
2024.01.02	12:15:00	33295.50	33325.50	33280.50	33290.50	68	0	700
2024.01.02	12:30:00	33290.50	33345.50	33290.50	33340.50	58	0	700
2024.01.02	12:45:00	33345.50	33345.50	33285.50	33295.50	64	0	700
2024.01.02	13:00:00	33295.50	33300.50	33260.50	33260.50	56	0	700
2024.01.02	13:15:00	33265.50	33265.50	33210.50	33210.50	103	0	700
2024.01.02	13:30:00	33215.50	33220.50	33165.50	33195.50	108	0	700
2024.01.02	13:45:00	33195.50	33235.50	33185.50	33215.50	85	0	700
2024.01.02	14:00:00	33220.50	33220.50	33195.50	33210.50	88	0	700
2024.01.02	14:15:00	33210.50	33215.50	33185.50	33205.50	75	0	700
2024.01.02	14:30:00	33205.50	33225.50	33185.50	33185.50	81	0	700
2024.01.02	14:45:00	33190.50	33200.50	33140.50	33145.50	68	0	700
2024.01.02	15:00:00	33140.50	33173.50	33126.50	33131.50	85	0	700
2024.01.02	15:15:00	33126.50	33151.50	33118.50	33119.50	96	0	700
2024.01.02	15:30:00	33114.50	33179.50	33109.50	33161.50	93	0	700
2024.01.02	15:45:00	33156.50	33201.50	33151.50	33191.50	64	0	700
2024.01.02	16:00:00	33191.50	33211.50	33156.50	33201.50	70	0	700
2024.01.02	16:15:00	33201.50	33201.50	33161.50	33176.50	83	0	700
2024.01.02	16:30:00	33176.50	33201.50	33105.50	33120.50	146	0	700
2024.01.02	16:45:00	33115.50	33146.50	33082.50	33146.50	174	0	700
2024.01.02	17:00:00	33141.50	33181.50	33141.50	33156.50	118	0	700
2024.01.02	17:15:00	33156.50	33171.50	33121.50	33131.50	135	0	700
2024.01.02	17:30:00	33131.50	33186.50	33106.50	33186.50	89	0	700
2024.01.02	17:45:00	33186.50	33221.50	33176.50	33201.50	96	0	700
2024.01.02	18:00:00	33196.50	33231.50	33191.50	33221.50	99	0	700
2024.01.02	18:15:00	33221.50	33266.50	33221.50	33266.50	68	0	700
2024.01.02	18:30:00	33261.50	33306.50	33261.50	33306.50	84	0	700
2024.01.02	18:45:00	33311.50	33331.50	33306.50	33326.50	74	0	700
2024.01.02	19:00:00	33326.50	33326.50	33301.50	33326.50	77	0	700
2024.01.02	19:15:00	33326.50	33326.50	33296.50	33301.50	68	0	700
2024.01.02	19:30:00	33301.50	33321.50	33286.50	33321.50	46	0	700
2024.01.02	19:45:00	33321.50	33321.50	33291.50	33291.50	60	0	700
2024.01.02	20:00:00	33291.50	33296.50	33246.50	33256.50	62	0	700
2024.01.02	20:15:00	33251.50	33271.50	33241.50	33251.50	47	0	700
2024.01.02	20:30:00	33246.50	33271.50	33246.50	33261.50	61	0	700
2024.01.02	20:45:00	33261.50	33271.50	33226.50	33231.50	65	0	700
2024.01.02	21:00:00	33231.50	33246.50	33216.50	33231.50	77	0	700
2024.01.02	21:15:00	33231.50	33231.50	33196.50	33216.50	65	0	700
2024.01.02	21:30:00	33216.50	33226.50	33196.50	33201.50	56	0	700
2024.01.02	21:45:00	33201.50	33206.50	33166.50	33166.50	49	0	700
2024.01.02	22:00:00	33166.50	33171.50	33146.50	33151.50	65	0	700
2024.01.02	22:15:00	33146.50	33161.50	33136.50	33141.50	66	0	700
2024.01.02	22:30:00	33141.50	33141.50	33006.50	33006.50	141	0	700
2024.01.02	22:45:00	33011.50	33041.50	32966.50	33041.50	217	0	700
2024.01.02	23:00:00	33036.50	33096.50	33021.50	33086.50	62	0	700
2024.01.02	23:15:00	33086.50	33086.50	33066.50	33071.50	21	0	700
2024.01.02	23:30:00	33071.50	33071.50	33046.50	33061.50	28	0	700
2024.01.02	23:45:00	33066.50	33086.50	33064.00	33064.00	27	0	700
2024.01.03	01:00:00	33095.50	33130.50	33095.50	33125.50	25	0	900
2024.01.03	01:15:00	33125.50	33130.50	33115.50	33125.50	27	0	900
2024.01.03	01:30:00	33125.50	33140.50	33110.50	33110.50	43	0	900
2024.01.03	01:45:00	33120.50	33215.50	33115.50	33210.50	87	0	900
2024.01.03	02:00:00	33225.50	33236.50	33156.50	33171.50	143	0	700
2024.01.03	02:15:00	33166.50	33191.50	33141.50	33146.50	71	0	700
2024.01.03	02:30:00	33146.50	33186.50	33136.50	33186.50	86	0	700
2024.01.03	02:45:00	33186.50	33211.50	33181.50	33206.50	84	0	700
2024.01.03	03:00:00	33206.50	33236.50	33206.50	33231.50	62	0	700
2024.01.03	03:15:00	33231.50	33246.50	33226.50	33236.50	69	0	700
2024.01.03	03:30:00	33236.50	33236.50	33206.50	33211.50	62	0	700
2024.01.03	03:45:00	33211.50	33216.50	33201.50	33211.50	54	0	700
2024.01.03	04:00:00	33211.50	33246.50	33211.50	33236.50	78	0	700
2024.01.03	04:15:00	33236.50	33246.50	33221.50	33226.50	58	0	700
2024.01.03	04:30:00	33226.50	33266.50	33226.50	33261.50	37	0	700
2024.01.03	04:45:00	33261.50	33286.50	33256.50	33271.50	52	0	700
2024.01.03	05:00:00	33271.50	33281.50	33251.50	33261.50	41	0	700
2024.01.03	05:15:00	33261.50	33261.50	33211.50	33211.50	45	0	700
2024.01.03	05:30:00	33211.50	33236.50	33211.50	33231.50	52	0	700
2024.01.03	05:45:00	33226.50	33241.50	33226.50	33231.50	44	0	700
2024.01.03	06:00:00	33226.50	33241.50	33226.50	33241.50	28	0	700
2024.01.03	06:15:00	33241.50	33261.50	33236.50	33256.50	41	0	700
2024.01.03	06:30:00	33256.50	33261.50	33246.50	33251.50	29	0	700
2024.01.03	06:45:00	33251.50	33261.50	33246.50	33251.50	40	0	700
2024.01.03	07:00:00	33251.50	33271.50	33246.50	33261.50	70	0	700
2024.01.03	07:15:00	33261.50	33266.50	33241.50	33241.50	30	0	700
2024.01.03	07:30:00	33241.50	33256.50	33221.50	33226.50	61	0	700
2024.01.03	07:45:00	33231.50	33241.50	33231.50	33236.50	61	0	700
2024.01.03	08:00:00	33236.50	33261.50	33226.50	33261.50	86	0	700
2024.01.03	08:15:00	33261.50	33266.50	33241.50	33261.50	34	0	700
2024.01.03	08:30:00	33261.50	33266.50	33251.50	33256.50	24	0	700
2024.01.03	08:45:00	33256.50	33261.50	33251.50	33251.50	28	0	700
2024.01.03	09:00:00	33256.50	33283.50	33241.50	33283.50	42	0	700
2024.01.03	09:15:00	33283.50	33303.50	33273.50	33283.50	66	0	700
2024.01.03	09:30:00	33288.50	33308.50	33273.50	33294.50	71	0	700
2024.01.03	09:45:00	33294.50	33319.50	33294.50	33304.50	58	0	700
2024.01.03	10:00:00	33304.50	33340.50	33304.50	33310.50	116	0	700
2024.01.03	10:15:00	33310.50	33345.50	33305.50	33330.50	104	0	700
2024.01.03	10:30:00	33330.50	33355.50	33320.50	33335.50	85	0	700
2024.01.03	10:45:00	33335.50	33340.50	33280.50	33285.50	109	0	700
2024.01.03	11:00:00	33285.50	33300.50	33260.50	33260.50	104	0	700
2024.01.03	11:15:00	33260.50	33275.50	33255.50	33265.50	93	0	700
2024.01.03	11:30:00	33265.50	33265.50	33235.50	33243.50	82	0	700
2024.01.03	11:45:00	33238.50	33248.50	33208.50	33208.50	77	0	700
2024.01.03	12:00:00	33208.50	33223.50	33198.50	33223.50	113	0	700
2024.01.03	12:15:00	33218.50	33233.50	33213.50	33218.50	68	0	700
2024.01.03	12:30:00	33218.50	33253.50	33218.50	33243.50	79	0	700
2024.01.03	12:45:00	33243.50	33253.50	33228.50	33228.50	50	0	700
2024.01.03	13:00:00	33228.50	33233.50	33213.50	33218.50	60	0	700
2024.01.03	13:15:00	33213.50	33218.50	33198.50	33203.50	51	0	700
2024.01.03	13:30:00	33203.50	33208.50	33178.50	33178.50	71	0	700
2024.01.03	13:45:00	33178.50	33209.50	33178.50	33199.50	61	0	700
2024.01.03	14:00:00	33199.50	33199.50	33159.50	33159.50	80	0	700
2024.01.03	14:15:00	33164.50	33179.50	33159.50	33174.50	61	0	700
2024.01.03	14:30:00	33174.50	33174.50	33159.50	33164.50	50	0	700
2024.01.03	14:45:00	33164.50	33179.50	33159.50	33174.50	68	0	700
2024.01.03	15:00:00	33174.50	33189.50	33164.50	33189.50	50	0	700
2024.01.03	15:15:00	33189.50	33234.50	33189.50	33234.50	47	0	700
2024.01.03	15:30:00	33234.50	33234.50	33214.50	33219.50	71	0	700
2024.01.03	15:45:00	33219.50	33224.50	33164.50	33169.50	62	0	700
2024.01.03	16:00:00	33169.50	33169.50	33114.50	33119.50	71	0	700
2024.01.03	16:15:00	33119.50	33159.50	33119.50	33159.50	129	0	700
2024.01.03	16:30:00	33154.50	33204.50	33154.50	33184.50	190	0	700
2024.01.03	16:45:00	33179.50	33179.50	33134.50	33159.50	141	0	700
2024.01.03	17:00:00	33154.50	33189.50	33124.50	33124.50	223	0	700
2024.01.03	17:15:00	33129.50	33129.50	33084.50	33119.50	161	0	700
2024.01.03	17:30:00	33114.50	33129.50	33059.50	33084.50	160	0	700
2024.01.03	17:45:00	33084.50	33129.50	33079.50	33124.50	121	0	700
2024.01.03	18:00:00	33124.50	33159.50	33124.50	33154.50	130	0	700
