         1457927 function calls (1423228 primitive calls) in 1.148 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      163    0.004    0.000    3.821    0.023 __init__.py:1(<module>)
   1535/1    0.027    0.000    1.149    1.149 {built-in method builtins.exec}
        1    0.000    0.000    1.149    1.149 batch_backtest.py:1(<module>)
   1513/4    0.006    0.000    1.149    0.287 <frozen importlib._bootstrap>:1349(_find_and_load)
   1484/4    0.004    0.000    1.149    0.287 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
   1448/5    0.006    0.000    1.148    0.230 <frozen importlib._bootstrap>:911(_load_unlocked)
   1203/5    0.002    0.000    1.148    0.230 <frozen importlib._bootstrap_external>:989(exec_module)
  3498/10    0.023    0.000    1.147    0.115 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
   692/53    0.001    0.000    0.936    0.018 {built-in method builtins.__import__}
        1    0.000    0.000    0.779    0.779 physics_engine.py:1(<module>)
 1724/786    0.003    0.000    0.664    0.001 <frozen importlib._bootstrap>:1390(_handle_fromlist)
       12    0.000    0.000    0.659    0.055 base.py:1(<module>)
        1    0.000    0.000    0.635    0.635 _chunking.py:1(<module>)
        1    0.000    0.000    0.635    0.635 _param_validation.py:1(<module>)
        2    0.000    0.000    0.564    0.282 _array_api.py:1(<module>)
        1    0.000    0.000    0.524    0.524 validation.py:1(<module>)
        1    0.000    0.000    0.342    0.342 fixes.py:1(<module>)
18158/13115    0.004    0.000    0.281    0.000 {built-in method builtins.hasattr}
     1203    0.006    0.000    0.272    0.000 <frozen importlib._bootstrap_external>:1062(get_code)
        1    0.000    0.000    0.234    0.234 _stats_py.py:1(<module>)
       11    0.001    0.000    0.230    0.021 _base.py:1(<module>)
        9    0.000    0.000    0.213    0.024 api.py:1(<module>)
       35    0.000    0.000    0.203    0.006 __init__.py:73(import_module)
       35    0.000    0.000    0.203    0.006 <frozen importlib._bootstrap>:1375(_gcd_import)
      210    0.001    0.000    0.146    0.001 _docscrape.py:579(__init__)
     1204    0.002    0.000    0.138    0.000 <frozen importlib._bootstrap_external>:1183(get_data)
1448/1437    0.002    0.000    0.136    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
      216    0.001    0.000    0.128    0.001 _docscrape.py:140(__init__)
        1    0.000    0.000    0.121    0.121 _bayesian_mixture.py:1(<module>)
2210/2189    0.019    0.000    0.119    0.000 {built-in method builtins.__build_class__}
        1    0.000    0.000    0.119    0.119 __init__.py:128(__getattr__)
  217/214    0.000    0.000    0.116    0.001 <frozen importlib._bootstrap_external>:1287(create_module)
  217/214    0.110    0.001    0.115    0.001 {built-in method _imp.create_dynamic}
        3    0.000    0.000    0.111    0.037 generic.py:1(<module>)
        1    0.000    0.000    0.110    0.110 distributions.py:1(<module>)
